gene,assigned_cluster,dist_to_cluster_0,dist_to_cluster_1,dist_to_cluster_2,dist_to_cluster_3,rank_cluster_0,rank_cluster_1,rank_cluster_2,rank_cluster_3,mean_distance
Hand1,2,1.1684039198196243,1.080180770052288,0.5541547816653984,1.4663520166288984,24,27,1,58,1.0672728720415523
Sall4,2,1.0802072259295346,1.170395461876592,0.6477955566034215,1.4074197030341442,17,33,2,56,1.0764544868609232
Gli3,1,1.4996080803492482,0.4557385558535449,1.0799970183609784,1.3040665026413147,54,1,22,45,1.0848525393012716
Gata4,0,0.5207988545834586,1.4227243840603307,1.2039295786180797,1.211323518633464,1,53,36,28,1.0896940839738334
Hand2,2,1.294607795097957,1.0335978404933022,0.6560668963695359,1.38381456190866,34,24,3,53,1.0920217734673638
Flt4,2,1.2507764501404195,1.0295013439813396,0.8181386439858253,1.317771303267271,30,23,10,46,1.104046935343714
Foxc1,1,1.4539334888290236,0.5817143187889331,1.0595916719168716,1.3210384134780813,52,3,21,47,1.1040694732532272
Fbn1,1,1.5074024902565184,0.6431782923087044,0.9286372195590722,1.3456769686848322,55,4,16,50,1.1062237427022819
Pbx1,2,1.368867018163782,1.0804024613972785,0.7105020282397201,1.266822206158211,46,28,5,38,1.1066484284897478
Pitx2,1,1.3284013106081551,0.82965155552298,0.9109253721800694,1.3719445217713335,38,14,14,52,1.1102306900206347
Mybpc3,2,1.0320135262553491,1.2912302493079633,0.8645940938835337,1.2560509780125184,16,41,12,33,1.110972211864841
Kdr,1,1.2631382540484966,0.8610471112139283,0.9157993522374884,1.4042515239551978,31,16,15,55,1.1110590603637778
Gata5,0,0.7090960677700177,1.5373813985178546,1.1191964528819411,1.080825289024613,6,58,24,17,1.1116248020486066
Tll1,2,1.1489207372638748,1.0954344591714706,0.7961750372309755,1.4080325242959135,22,29,8,57,1.1121406894905586
Smad2,0,0.7516775437967342,1.3824093691485029,1.054138679767254,1.268334186101836,7,48,20,39,1.1141399447035818
Myh7,2,1.3959306270281229,1.054653060610244,0.8067949551551757,1.2018982099480966,48,26,9,26,1.1148192131854098
Tfap2b,2,1.2883732723381875,1.0438591141998528,0.7882106617558908,1.3454569148540283,32,25,7,49,1.1164749907869898
Meis2,2,1.3300952003144462,1.1617933102872668,0.6889970662087048,1.2865553368346865,39,32,4,44,1.116860228411276
Tbx20,0,0.6682795938476815,1.460010816620659,1.2606129273844235,1.0813631781094148,3,54,41,18,1.1175666289905446
Tbx5,0,0.6472280982003523,1.3901786706478818,1.4924128822811198,0.9433771414931156,2,49,55,10,1.1182991981556174
