pathway,overlap,pathway_size,p_value,enrichment
GOBP_SYNAPSE_ORGANIZATION,21,158,4.0942720080772125e-05,0.13291139240506328
GOBP_CELL_JUNCTION_ORGANIZATION,26,232,9.839941123484817e-05,0.11206896551724138
GOBP_NEURON_PROJECTION_GUIDANCE,15,104,0.00021707303665667092,0.14423076923076922
GOBP_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY,5,13,0.00030909924261156676,0.38461538461538464
GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY,13,87,0.00040428698037917634,0.14942528735632185
GOBP_REGULATION_OF_PRESYNAPSE_ORGANIZATION,5,14,0.00046094272109908636,0.35714285714285715
GOBP_CELL_PROJECTION_ORGANIZATION,36,403,0.0004975803776491428,0.08933002481389578
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_DIFFERENTIATION,4,10,0.001102027855126287,0.4
GOBP_NEURAL_CREST_CELL_MIGRATION_INVOLVED_IN_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT,3,5,0.0012288742255043262,0.6
GOBP_AXON_DEVELOPMENT,20,188,0.001276898524884286,0.10638297872340426
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,8,44,0.0014871643720303603,0.18181818181818182
GOBP_NEURON_DEVELOPMENT,33,382,0.0015781582503891973,0.08638743455497382
GOBP_CELLULAR_PIGMENTATION,4,11,0.0016627564688479997,0.36363636363636365
GOBP_BLASTODERM_SEGMENTATION,4,11,0.0016627564688479997,0.36363636363636365
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION,5,18,0.0016669828755702723,0.2777777777777778
GOBP_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING,5,18,0.0016669828755702723,0.2777777777777778
GOBP_NATURAL_KILLER_CELL_ACTIVATION,7,36,0.001959608916351495,0.19444444444444445
GOBP_POSITIVE_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION,6,27,0.0020130191965323256,0.2222222222222222
GOBP_PRESYNAPSE_ORGANIZATION,5,19,0.0021693460058637044,0.2631578947368421
GOBP_POSITIVE_REGULATION_OF_KERATINOCYTE_PROLIFERATION,3,6,0.0023650674307736925,0.5
GOBP_BRANCHING_INVOLVED_IN_SALIVARY_GLAND_MORPHOGENESIS,4,12,0.00239492090294974,0.3333333333333333
GOBP_POSITIVE_REGULATION_OF_NEURAL_PRECURSOR_CELL_PROLIFERATION,6,28,0.002454504813962066,0.21428571428571427
GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT,13,109,0.003405772794812231,0.11926605504587157
