pathway,overlap,pathway_size,p_value,enrichment
GOBP_TERPENOID_METABOLIC_PROCESS,6,19,0.00031736483377281614,0.3157894736842105
GOBP_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM,6,19,0.00031736483377281614,0.3157894736842105
GOBP_ISOPRENOID_METABOLIC_PROCESS,6,20,0.0004335129270943864,0.3
GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM,7,29,0.0006193396073596389,0.2413793103448276
GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_CYTOKINE_PRODUCTION,3,5,0.0013672674765607931,0.6
GOBP_HUMORAL_IMMUNE_RESPONSE,10,67,0.002496086157472432,0.14925373134328357
GOBP_REGULATION_OF_HORMONE_LEVELS,20,192,0.0025495832585880128,0.10416666666666667
GOBP_RESPONSE_TO_NUTRIENT_LEVELS,16,142,0.0031287404388934447,0.11267605633802817
GOBP_REGULATION_OF_MACROPHAGE_CYTOKINE_PRODUCTION,4,13,0.003791995261237205,0.3076923076923077
GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS,4,13,0.003791995261237205,0.3076923076923077
GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,8,49,0.003797647445400632,0.16326530612244897
GOBP_RESPONSE_TO_YEAST,3,7,0.004418934373577264,0.42857142857142855
GOBP_KILLING_BY_HOST_OF_SYMBIONT_CELLS,3,7,0.004418934373577264,0.42857142857142855
GOBP_POSITIVE_REGULATION_OF_COLD_INDUCED_THERMOGENESIS,6,31,0.005044367189508666,0.1935483870967742
GOBP_MACROPHAGE_CYTOKINE_PRODUCTION,4,14,0.005090617894910973,0.2857142857142857
GOBP_IMMUNE_EFFECTOR_PROCESS,19,191,0.005440326867272705,0.09947643979057591
GOBP_PROTEIN_TRANSPORT,19,192,0.005757807379209169,0.09895833333333333
GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,7,42,0.005948112325349906,0.16666666666666666
GOBP_PEPTIDE_TRANSPORT,12,101,0.006652773853490519,0.1188118811881188
GOBP_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION,4,15,0.006656978288995795,0.26666666666666666
GOBP_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,3,8,0.00679523610559798,0.375
GOBP_RETINOIC_ACID_METABOLIC_PROCESS,3,8,0.00679523610559798,0.375
GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,3,8,0.00679523610559798,0.375
GOBP_ADAPTIVE_THERMOGENESIS,8,54,0.006977322809172127,0.14814814814814814
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION,5,24,0.007494483906436573,0.20833333333333334
GOBP_RHYTHMIC_PROCESS,12,105,0.00903682430599341,0.11428571428571428
GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE,6,35,0.009317488897359625,0.17142857142857143
GOBP_SENSORY_PERCEPTION_OF_TASTE,3,9,0.009797369034313198,0.3333333333333333
GOBP_REGULATION_OF_PEPTIDE_TRANSPORT,10,81,0.009890692056965548,0.12345679012345678
GOBP_KILLING_OF_CELLS_OF_ANOTHER_ORGANISM,5,26,0.010639286075297362,0.19230769230769232
