gene,type,is_tf,atrial_marker_change,ventricular_marker_change,marker_v_to_a_ratio
Nkx2-6,VSD_only,False,7.324885580799999e-05,8.26579657306e-05,1.1284540190943486
Igf2,VSD_only,False,0.00016176257306200003,0.000328683317194,2.031887296130131
Tbx1,VSD_only,False,0.0001075758598388,9.972439496740001e-05,0.9270146212805993
Smad3,VSD_only,False,0.00012176753948800001,0.00018064525999860002,1.4835255829112184
Sall4,VSD_only,False,0.00011684330189000001,0.00010128687342400001,0.866860759544049
Pkd1l1,VSD_only,False,4.434328496948e-05,5.8882881219999996e-05,1.3278872158552781
Mesp1,VSD_only,False,1.07037835228e-05,1.4472479300560002e-05,1.352090059531973
Hand2,VSD_only,False,0.00011212723335639999,0.0001203097032166,1.0729748662770602
Hand1,VSD_only,False,0.00012978652568464003,0.0001466922925234,1.1302582587027425
Foxc2,VSD_only,False,9.500982228799998e-05,6.787067967200001e-05,0.7143543481879797
Tbx3,VSD_only,False,0.000219703074313,0.000190344299546,0.8663706693281222
Aff4,VSD_only,False,0.00019150752528579999,0.00028237355118,1.4744775734457136
Adamts19,ASD_only,False,0.0002269116594752,0.000408261958244,1.799211019778472
Myh7,ASD_only,False,0.00034981392406999997,0.00018456849305120002,0.5276190578802309
Foxc1,ASD_only,False,0.0001414196748986,0.00014670530003200002,1.037375458097962
Smarce1,ASD_only,False,9.0655553686e-05,7.495420274e-05,0.8268021063509895
Eln,ASD_only,False,2.3897495078119998e-05,2.19304931108e-05,0.9176900356757082
Actc1,Both,False,0.00014993585637200003,0.000131194761756,0.8750059187343271
Dnah5,Both,False,2.195214834054e-05,3.1531511238800006e-05,1.43637473424728
Rere,Both,False,7.2363708174e-05,0.0001123558700036,1.5526549542408472
Sall1,Both,False,0.0001561723467504,0.00011704630360540001,0.7494688146837379
Smad2,Both,False,0.000157528797496,0.00011522299326279999,0.731440822848443
Pitx2,Both,False,0.0001406833721028,0.000249581372944,1.7740644769420664
Arid1b,Both,False,9.88459212278e-05,9.3545292639e-05,0.9463748374949718
Smad4,Both,False,7.694696998946e-05,8.256902537200002e-05,1.0730640255660504
Son,Both,False,0.00020027909482799998,0.000356438552434,1.7797092239712289
Arid1a,Both,False,0.00010569820164644,0.00017745944073399998,1.6789258281574269
Tbx20,Both,False,0.00019552411519159997,0.00017458800891199998,0.892923150379256
Tbx5,Both,False,0.0004062113903739999,0.000244754104116,0.602528904693328
Dnah11,Both,False,1.5934985129e-05,1.66846032152e-05,1.0470422833866204
Pbx1,Both,False,9.709151509099999e-05,9.182783814044e-05,0.9457864372017828
Nodal,Both,False,7.4385683812554e-05,6.296541506042001e-05,0.8464722219814211
Zeb2,Both,False,7.0944279263e-05,5.458087449599999e-05,0.7693484952276608
Foxp1,Both,False,5.5102072364e-05,6.21481019808e-05,1.127872316130952
Gata4,Both,False,0.0002940120906394,0.000189622352828,0.6449474659889687
Gata5,Both,False,0.0002508249873988,0.00024164295223800001,0.9633926617279124
Gata6,Both,False,0.0001707203127154,0.00012353226740000002,0.7235944301832142
Gli3,Both,False,0.0001722358916438,0.00019679884444459997,1.1426122776523169
Nr2f2,Both,False,0.00021575067195539997,0.0001262618960008,0.5852213337574257
Tll1,Both,False,6.043205054e-05,8.30584321494e-05,1.374410290685463
Kynu,Both,False,1.8931534075099997e-05,2.5508685417e-05,1.347417769516666
Meis2,Both,False,0.00022136619247540003,0.00016051606774599998,0.7251155470085514
Mybpc3,Both,False,0.0001540232080908,0.00018269194267200002,1.1861325636348203
Myh6,Both,False,0.0004165244825488,0.000304872671228,0.7319441809576731
Nkx2-5,Both,False,0.00016099115788252,0.000103757352826,0.6444910030507067
Zfpm2,Other,False,9.758904548879997e-05,0.00017085915314300003,1.7508025853435472
Aldh1a2,Other,False,6.873028398720001e-05,9.5282932062e-05,1.3863311270435754
Dnah9,Other,False,7.2207115491200005e-06,9.594010188025999e-06,1.3286793306672438
Plxnd1,Other,False,2.3091491301400004e-05,2.4822726824400006e-05,1.074972876389973
Foxh1,Other,False,0.00027476484053040004,0.0002520563955856,0.9173531631595798
Smad6,Other,False,0.000116371120685354,9.10123669984e-05,0.7820872263014517
Sema3a,Other,False,0.0002211125937254,0.00019184604972200003,0.86763963322801
Myh11,Other,False,2.4484786935800003e-05,4.2640806545600006e-05,1.7415224668854887
Kdr,Other,False,4.707016070580001e-05,6.86931818304e-05,1.4593785277205478
Fbn1,Other,False,0.0002040792625836,0.00017582085191,0.861532179625433
Flt4,Other,False,1.3249535157799997e-05,1.28260929936e-05,0.968040979614993
Tfap2b,Other,False,2.0679831343400004e-05,1.8409707037680003e-05,0.8902252021293919
Prdm6,Other,False,0.0002105317832871,0.000172461617092,0.8191714068028194
