gene,type,is_tf,atrial_marker_change,ventricular_marker_change,marker_v_to_a_ratio
Nkx2-6,VSD_only,False,6.4331354002799996e-09,7.994153238126e-09,1.2426527254156747
Igf2,VSD_only,False,8.390073363700002e-06,9.398977149999999e-06,1.1202496977755951
Tbx1,VSD_only,False,5.02424152112e-08,9.152603640219998e-08,1.8216886273770747
Smad3,VSD_only,False,2.9303691434140003e-07,5.279724708005999e-07,1.8017268301750213
Sall4,VSD_only,False,3.1716271573399996e-07,3.9150302403972006e-07,1.2343917005934213
Pkd1l1,VSD_only,False,3.4297511748700003e-09,5.36587603438e-09,1.5645088406692902
Mesp1,VSD_only,False,1.0214612500259999e-10,1.5079506667499998e-10,1.4762681077834494
Hand2,VSD_only,False,4.886627191566e-07,6.265973221694e-07,1.2822695442182823
Hand1,VSD_only,False,1.6926206694400003e-07,1.8861133736199996e-07,1.1143154563059992
Foxc2,VSD_only,False,3.52576016942e-08,6.189004444192e-08,1.7553673950574222
Tbx3,VSD_only,False,2.24516903118e-07,1.5272125559259998e-07,0.6802216379776708
Aff4,VSD_only,False,1.16682885946e-06,1.4192460513992e-06,1.2163275187211404
Adamts19,ASD_only,False,4.2549849533e-07,8.886767546739999e-07,2.088554400139011
Myh7,ASD_only,False,6.212587067800001e-06,1.1092533276540002e-05,1.785493411276743
Foxc1,ASD_only,False,1.1773284452660002e-08,1.79191005821e-08,1.5220137298263816
Smarce1,ASD_only,False,3.915526168360001e-07,6.16883360938e-07,1.5754801127951052
Eln,ASD_only,False,2.5566519344999996e-07,4.0033713238400003e-07,1.565864821025367
Actc1,Both,False,8.5054557937e-06,2.6663194951999997e-05,3.1348343461792436
Dnah5,Both,False,3.0329898047200003e-09,6.354196344558e-09,2.0950272680341593
Rere,Both,False,1.79894146705e-06,2.908138851639999e-06,1.616583365777276
Sall1,Both,False,2.37040347882e-07,3.34100690568e-07,1.4094676014157606
Smad2,Both,False,4.61519604796e-07,7.756570730313999e-07,1.6806589903678184
Pitx2,Both,False,1.4062474606739998e-07,3.067780856026e-07,2.1815369924690526
Arid1b,Both,False,9.508362026099999e-07,1.107702129348e-06,1.16497681336429
Smad4,Both,False,2.95655707934e-07,3.2991832158099994e-07,1.1158868668101225
Son,Both,False,6.629777275520001e-07,9.02398415662e-07,1.3611293082107667
Arid1a,Both,False,6.25143431203e-07,6.915876868574e-07,1.106286417385107
Tbx20,Both,False,4.98250406252e-06,5.6941863102599995e-06,1.1428362604043822
Tbx5,Both,False,8.991567146799999e-07,6.7015876866e-07,0.7453192060057098
Dnah11,Both,False,3.88691122428e-09,4.53456019723e-09,1.1666230421997785
Pbx1,Both,False,5.0330391793400006e-06,5.517584603060001e-06,1.0962729290304354
Nodal,Both,False,2.5214436996000003e-08,3.006225831686e-08,1.1922637146976176
Zeb2,Both,False,8.7031146594e-07,1.3279182534499999e-06,1.5257965744663045
Foxp1,Both,False,2.5874944838799997e-06,2.6128818080800002e-06,1.0098115471774578
Gata4,Both,False,2.5289332256400005e-06,3.115213814313999e-06,1.231829208746952
Gata5,Both,False,2.8281951650490007e-07,4.81306836439e-07,1.7018162055681931
Gata6,Both,False,1.1252807139399998e-06,1.125175467034e-06,0.9999064705324672
Gli3,Both,False,5.4305563475128e-07,7.957656863560002e-07,1.4653483647590944
Nr2f2,Both,False,2.2182047108940002e-06,1.5812535849660002e-06,0.7128528657432657
Tll1,Both,False,8.20342748352e-08,9.390055037280003e-08,1.144650215552443
Kynu,Both,False,2.8136377625799994e-08,4.911203722034e-08,1.745499647236257
Meis2,Both,False,2.7029190346600002e-06,5.219781448379999e-06,1.9311645600352194
Mybpc3,Both,False,7.361856829679998e-07,1.3501243543239999e-06,1.8339454101862593
Myh6,Both,False,7.3849286229999996e-06,1.0045909996699999e-05,1.3603259434915191
Nkx2-5,Both,False,2.6767160045444005e-07,5.197703059162e-07,1.9418208918456752
Zfpm2,Other,False,4.56182505812e-06,5.934559857579999e-06,1.3009178962302699
Aldh1a2,Other,False,1.3072573010799999e-07,1.83386879607e-07,1.402836912484586
Dnah9,Other,False,4.454418518440001e-09,8.402186073800002e-09,1.8862587875426138
Plxnd1,Other,False,6.148286654039999e-08,7.385483398894e-08,1.201226262611072
Foxh1,Other,False,2.9095101406000004e-08,4.12524217442e-08,1.4178476702505292
Smad6,Other,False,9.445429322859999e-07,1.1714125572060001e-06,1.2401898496777972
Sema3a,Other,False,1.4474049696299998e-06,2.026485724214e-06,1.4000820549428061
Myh11,Other,False,1.27758892526e-07,1.224291668526e-07,0.9582829377429414
Kdr,Other,False,2.0689207502188003e-07,2.629146324632e-07,1.2707815533069369
Fbn1,Other,False,4.892216256372e-07,5.962736651768001e-07,1.2188211516614116
Flt4,Other,False,1.74990589828e-07,2.262232462904e-07,1.292773780080158
Tfap2b,Other,False,1.4274584397699998e-08,2.4855082991319997e-08,1.7412123743038563
Prdm6,Other,False,1.4851584096279995e-06,2.3113812935e-06,1.5563197020033381
