pathway,with,without,with_ratio,without_ratio,ratio_diff
NEGATIVE REGULATION OF CARDIOCYTE DIFFERENTIATION,6,8,0.5454545454545454,0.1702127659574468,0.3752417794970986
CELL MIGRATION,7,14,0.6363636363636364,0.2978723404255319,0.33849129593810445
POSTSYNAPTIC DENSITY ORGANIZATION,5,6,0.45454545454545453,0.1276595744680851,0.3268858800773694
HINDGUT DEVELOPMENT,4,2,0.36363636363636365,0.0425531914893617,0.32108317214700194
HINDGUT MORPHOGENESIS,4,2,0.36363636363636365,0.0425531914893617,0.32108317214700194
TRANSITION BETWEEN FAST AND SLOW FIBER,7,15,0.6363636363636364,0.3191489361702128,0.31721470019342357
LIMB BUD FORMATION,5,7,0.45454545454545453,0.14893617021276595,0.3056092843326886
MAMMARY GLAND FORMATION,4,3,0.36363636363636365,0.06382978723404255,0.2998065764023211
POSITIVE REGULATION OF NEUROBLAST PROLIFERATION,4,3,0.36363636363636365,0.06382978723404255,0.2998065764023211
SKELETAL MUSCLE CONTRACTION,5,8,0.45454545454545453,0.1702127659574468,0.28433268858800775
CELLULAR PIGMENTATION,4,4,0.36363636363636365,0.0851063829787234,0.27852998065764023
CELL PROJECTION MORPHOGENESIS,4,4,0.36363636363636365,0.0851063829787234,0.27852998065764023
AMEBOIDAL TYPE CELL MIGRATION,4,4,0.36363636363636365,0.0851063829787234,0.27852998065764023
EXTRACELLULAR REGULATION OF SIGNAL TRANSDUCTION,4,4,0.36363636363636365,0.0851063829787234,0.27852998065764023
REGULATION OF CARDIAC MUSCLE CELL DIFFERENTIATION,7,17,0.6363636363636364,0.3617021276595745,0.27466150870406186
POSITIVE REGULATION OF POST TRANSLATIONAL PROTEIN MODIFICATION,6,13,0.5454545454545454,0.2765957446808511,0.26885880077369434
ASYMMETRIC CELL DIVISION,4,5,0.36363636363636365,0.10638297872340426,0.2572533849129594
CELL MORPHOGENESIS INVOLVED IN NEURON DIFFERENTIATION,4,5,0.36363636363636365,0.10638297872340426,0.2572533849129594
REGULATION OF STEM CELL PROLIFERATION,4,5,0.36363636363636365,0.10638297872340426,0.2572533849129594
CELLULAR COMPONENT DISASSEMBLY,4,5,0.36363636363636365,0.10638297872340426,0.2572533849129594
SMOOTHENED SIGNALING PATHWAY INVOLVED IN DORSAL VENTRAL NEURAL TUBE PATTERNING,3,1,0.2727272727272727,0.02127659574468085,0.2514506769825919
FOREBRAIN DORSAL VENTRAL PATTERN FORMATION,3,1,0.2727272727272727,0.02127659574468085,0.2514506769825919
MIRNA METABOLIC PROCESS,4,6,0.36363636363636365,0.1276595744680851,0.23597678916827855
DEVELOPMENTAL GROWTH INVOLVED IN MORPHOGENESIS,7,19,0.6363636363636364,0.40425531914893614,0.2321083172147002
BRANCHING MORPHOGENESIS OF AN EPITHELIAL TUBE,3,2,0.2727272727272727,0.0425531914893617,0.230174081237911
NEGATIVE REGULATION OF B CELL APOPTOTIC PROCESS,3,2,0.2727272727272727,0.0425531914893617,0.230174081237911
POSITIVE REGULATION OF STRIATED MUSCLE CELL DIFFERENTIATION,6,15,0.5454545454545454,0.3191489361702128,0.22630560928433263
VASCULAR ASSOCIATED SMOOTH MUSCLE CELL PROLIFERATION,5,11,0.45454545454545453,0.23404255319148937,0.22050290135396516
SKELETAL MUSCLE CELL DIFFERENTIATION,5,11,0.45454545454545453,0.23404255319148937,0.22050290135396516
EMBRYO DEVELOPMENT,7,20,0.6363636363636364,0.425531914893617,0.21083172147001933
