pathway,with,without,with_ratio,without_ratio,ratio_diff
INTRACELLULAR PH REDUCTION,4,4,0.5,0.08,0.42
NEGATIVE REGULATION OF OSTEOBLAST PROLIFERATION,3,1,0.375,0.02,0.355
STRIATED MUSCLE ADAPTATION,6,20,0.75,0.4,0.35
REGULATION OF TRANSMEMBRANE TRANSPORT,5,14,0.625,0.28,0.345
NEGATIVE REGULATION OF B CELL APOPTOTIC PROCESS,3,2,0.375,0.04,0.335
POSITIVE REGULATION OF CALCIUM ION TRANSMEMBRANE TRANSPORTER ACTIVITY,5,15,0.625,0.3,0.325
CELL SUBSTRATE JUNCTION ORGANIZATION,5,16,0.625,0.32,0.305
POSITIVE REGULATION OF TRANSPORTER ACTIVITY,4,10,0.5,0.2,0.3
MUSCLE HYPERTROPHY,7,29,0.875,0.58,0.29500000000000004
CARDIAC MUSCLE ADAPTATION,5,17,0.625,0.34,0.285
REGULATION OF PROTEIN LOCALIZATION TO CELL SURFACE,5,17,0.625,0.34,0.285
VENTRICULAR CARDIAC MUSCLE CELL ACTION POTENTIAL,5,17,0.625,0.34,0.285
POSITIVE REGULATION OF THE FORCE OF HEART CONTRACTION,5,17,0.625,0.34,0.285
SUPRAMOLECULAR FIBER ORGANIZATION,5,17,0.625,0.34,0.285
MYOSIN FILAMENT ASSEMBLY,5,17,0.625,0.34,0.285
POSITIVE REGULATION OF CALCIUM ION TRANSMEMBRANE TRANSPORT VIA HIGH VOLTAGE GATED CALCIUM CHANNEL,5,17,0.625,0.34,0.285
MYOSIN FILAMENT ORGANIZATION,5,17,0.625,0.34,0.285
TRANSITION BETWEEN FAST AND SLOW FIBER,5,17,0.625,0.34,0.285
REGULATION OF CARDIAC MUSCLE CONTRACTION BY REGULATION OF THE RELEASE OF SEQUESTERED CALCIUM ION,5,17,0.625,0.34,0.285
REGULATION OF CARDIAC MUSCLE CONTRACTION BY CALCIUM ION SIGNALING,5,17,0.625,0.34,0.285
CALCIUM ION TRANSPORT INTO CYTOSOL,5,17,0.625,0.34,0.285
CYTOSKELETON ORGANIZATION,5,17,0.625,0.34,0.285
RELAXATION OF MUSCLE,4,11,0.5,0.22,0.28
POSITIVE REGULATION OF BONE MINERALIZATION,3,5,0.375,0.1,0.275
CELLULAR PIGMENTATION,3,5,0.375,0.1,0.275
REGULATION OF B CELL APOPTOTIC PROCESS,3,5,0.375,0.1,0.275
POSITIVE REGULATION OF OSSIFICATION,3,5,0.375,0.1,0.275
AMEBOIDAL TYPE CELL MIGRATION,3,5,0.375,0.1,0.275
REGULATION OF OSSIFICATION,3,5,0.375,0.1,0.275
REGULATION OF ORGANELLE ASSEMBLY,3,5,0.375,0.1,0.275
