pathway,with,without,with_ratio,without_ratio,ratio_diff
REGULATION OF CARDIAC MUSCLE CELL DIFFERENTIATION,19,5,0.6129032258064516,0.18518518518518517,0.42771804062126645
VASCULAR ASSOCIATED SMOOTH MUSCLE CELL MIGRATION,16,6,0.5161290322580645,0.2222222222222222,0.2939068100358423
NEGATIVE REGULATION OF SMOOTH MUSCLE CELL MIGRATION,16,6,0.5161290322580645,0.2222222222222222,0.2939068100358423
CHEMICAL HOMEOSTASIS,11,2,0.3548387096774194,0.07407407407407407,0.2807646356033453
REGULATION OF ORGANELLE ORGANIZATION,12,3,0.3870967741935484,0.1111111111111111,0.27598566308243727
CELLULAR RESPONSE TO CAMP,12,3,0.3870967741935484,0.1111111111111111,0.27598566308243727
CELL JUNCTION ORGANIZATION,20,10,0.6451612903225806,0.37037037037037035,0.2747909199522103
MUSCLE CELL MIGRATION,13,4,0.41935483870967744,0.14814814814814814,0.2712066905615293
REGULATION OF LOCOMOTION,13,4,0.41935483870967744,0.14814814814814814,0.2712066905615293
NEGATIVE REGULATION OF VASCULAR ASSOCIATED SMOOTH MUSCLE CELL MIGRATION,13,4,0.41935483870967744,0.14814814814814814,0.2712066905615293
LOCOMOTION,13,4,0.41935483870967744,0.14814814814814814,0.2712066905615293
SMOOTH MUSCLE CELL MIGRATION,15,6,0.4838709677419355,0.2222222222222222,0.2616487455197133
REGULATION OF SKELETAL MUSCLE CELL DIFFERENTIATION,8,0,0.25806451612903225,0.0,0.25806451612903225
POSITIVE REGULATION OF ORGAN GROWTH,16,7,0.5161290322580645,0.25925925925925924,0.25686977299880526
GERMINAL CENTER FORMATION,9,1,0.2903225806451613,0.037037037037037035,0.2532855436081243
NEGATIVE REGULATION OF ORGANELLE ORGANIZATION,10,2,0.3225806451612903,0.07407407407407407,0.24850657108721624
REGULATION OF SKELETAL MUSCLE ADAPTATION,10,2,0.3225806451612903,0.07407407407407407,0.24850657108721624
NEGATIVE REGULATION OF SMOOTH MUSCLE CELL PROLIFERATION,11,3,0.3548387096774194,0.1111111111111111,0.24372759856630827
REGULATION OF VASCULAR ASSOCIATED SMOOTH MUSCLE CELL MIGRATION,12,4,0.3870967741935484,0.14814814814814814,0.23894862604540024
ADHERENS JUNCTION ORGANIZATION,12,4,0.3870967741935484,0.14814814814814814,0.23894862604540024
VASCULAR ASSOCIATED SMOOTH MUSCLE CELL PROLIFERATION,12,4,0.3870967741935484,0.14814814814814814,0.23894862604540024
RESPONSE TO PURINE CONTAINING COMPOUND,12,4,0.3870967741935484,0.14814814814814814,0.23894862604540024
REGULATION OF GROWTH,20,11,0.6451612903225806,0.4074074074074074,0.23775388291517324
POSITIVE REGULATION OF MUSCLE CONTRACTION,13,5,0.41935483870967744,0.18518518518518517,0.23416965352449226
INTRACELLULAR SIGNALING CASSETTE,13,5,0.41935483870967744,0.18518518518518517,0.23416965352449226
CELL MORPHOGENESIS,13,5,0.41935483870967744,0.18518518518518517,0.23416965352449226
NEURON PROJECTION EXTENSION INVOLVED IN NEURON PROJECTION GUIDANCE,14,6,0.45161290322580644,0.2222222222222222,0.22939068100358423
CARDIAC MUSCLE CELL CARDIAC MUSCLE CELL ADHESION,14,6,0.45161290322580644,0.2222222222222222,0.22939068100358423
TRANSITION BETWEEN FAST AND SLOW FIBER,15,7,0.4838709677419355,0.25925925925925924,0.22461170848267625
INSULIN LIKE GROWTH FACTOR RECEPTOR SIGNALING PATHWAY,8,1,0.25806451612903225,0.037037037037037035,0.22102747909199522
