pathway,with,without,with_ratio,without_ratio,ratio_diff
VENTRICULAR SEPTUM DEVELOPMENT,17,3,0.425,0.16666666666666666,0.2583333333333333
SINOATRIAL NODE CELL DIFFERENTIATION,10,0,0.25,0.0,0.25
CARDIAC PACEMAKER CELL DEVELOPMENT,12,1,0.3,0.05555555555555555,0.24444444444444444
CARDIAC PACEMAKER CELL DIFFERENTIATION,12,1,0.3,0.05555555555555555,0.24444444444444444
POSITIVE REGULATION OF G1 S TRANSITION OF MITOTIC CELL CYCLE,12,1,0.3,0.05555555555555555,0.24444444444444444
VENTRICULAR SEPTUM MORPHOGENESIS,14,2,0.35,0.1111111111111111,0.23888888888888887
REGULATION OF CELL CYCLE PROCESS,8,0,0.2,0.0,0.2
COMMITMENT OF NEURONAL CELL TO SPECIFIC NEURON TYPE IN FOREBRAIN,8,0,0.2,0.0,0.2
HIS PURKINJE SYSTEM DEVELOPMENT,10,1,0.25,0.05555555555555555,0.19444444444444445
BUNDLE OF HIS DEVELOPMENT,10,1,0.25,0.05555555555555555,0.19444444444444445
EMBRYO DEVELOPMENT,21,6,0.525,0.3333333333333333,0.1916666666666667
NEGATIVE REGULATION OF CARDIOCYTE DIFFERENTIATION,12,2,0.3,0.1111111111111111,0.18888888888888888
REGULATION OF MITOTIC CELL CYCLE,7,0,0.175,0.0,0.175
MAMMARY GLAND FORMATION,7,0,0.175,0.0,0.175
POSITIVE REGULATION OF STEM CELL PROLIFERATION,7,0,0.175,0.0,0.175
NEGATIVE REGULATION OF CARDIAC MUSCLE CELL DIFFERENTIATION,7,0,0.175,0.0,0.175
T HELPER 17 TYPE IMMUNE RESPONSE,7,0,0.175,0.0,0.175
EPITHELIAL CELL APOPTOTIC PROCESS,7,0,0.175,0.0,0.175
ENUCLEATE ERYTHROCYTE DIFFERENTIATION,7,0,0.175,0.0,0.175
NUCLEOTIDE METABOLIC PROCESS,7,0,0.175,0.0,0.175
REGULATION OF MYELOID CELL DIFFERENTIATION,9,1,0.225,0.05555555555555555,0.16944444444444445
CARBOHYDRATE TRANSPORT,9,1,0.225,0.05555555555555555,0.16944444444444445
CARDIAC CONDUCTION SYSTEM DEVELOPMENT,9,1,0.225,0.05555555555555555,0.16944444444444445
REGULATION OF CELLULAR RESPONSE TO INSULIN STIMULUS,9,1,0.225,0.05555555555555555,0.16944444444444445
MITOTIC CELL CYCLE,9,1,0.225,0.05555555555555555,0.16944444444444445
CARDIAC MUSCLE CELL FATE COMMITMENT,9,1,0.225,0.05555555555555555,0.16944444444444445
REGULATION OF SYNAPSE STRUCTURE OR ACTIVITY,11,2,0.275,0.1111111111111111,0.16388888888888892
REGULATION OF CELL CYCLE,11,2,0.275,0.1111111111111111,0.16388888888888892
TRIPARTITE REGIONAL SUBDIVISION,11,2,0.275,0.1111111111111111,0.16388888888888892
OOCYTE MATURATION,15,4,0.375,0.2222222222222222,0.1527777777777778
