,names,scores,logfoldchanges,pvals,pvals_adj
0,Myl7,36.118282,12.849263,1.171398944859802e-285,1.142699670710737e-282
1,Myh6,32.672585,43.33482,3.8296002867888165e-234,2.49051671984166e-231
2,Slit3,32.06026,12.34994,1.579405998968996e-225,8.804060297110033e-223
3,Kcnj3,31.224897,8.692455,4.894387736301662e-214,2.1219889941165647e-211
4,Myl4,30.815643,9.978991,1.617562705350125e-208,6.311729676276189e-206
5,Fras1,29.814823,7.305498,2.5101989279285234e-195,8.90436019707009e-193
6,Sox5,29.293804,6.390843,1.2438201852848508e-188,4.0444886358179064e-186
7,Ryr3,29.17298,16.533808,4.2709303835308564e-187,1.2819361812721078e-184
8,Tbx5,28.729393,5.295161,1.6388324865719477e-181,4.567660259002671e-179
9,Lrrc4c,27.347656,13.066577,1.151505504978882e-164,2.8082340502672486e-162
10,Epha4,26.808544,6.2977457,2.5690819694932156e-158,5.896798732330899e-156
11,Tmem163,25.539082,6.4592333,7.260119832207012e-144,1.416449379263588e-141
12,Gpx3,25.136065,8.325127,2.007305728432038e-139,3.729765215400863e-137
13,Cacna1d,24.885166,11.505355,1.0769537653987418e-136,1.910124360266314e-134
14,Fgf12,24.508795,10.23797,1.1903683022722313e-132,2.0194857023766286e-130
15,Rgs6,22.240528,13.033028,1.3930880532808817e-109,1.8744239944489654e-107
16,Creb3l2,21.946451,3.6313562,9.363049769100429e-107,1.2178206733009957e-104
17,Kcnh7,21.923141,14.109105,1.5628988821477628e-106,1.9672359477872807e-104
18,Cav1,21.580456,4.6841393,2.7414733271359304e-103,3.24158452196497e-101
19,Arhgap31,21.185614,7.243586,1.2962722438403157e-99,1.4876630280779152e-97
20,Trabd2b,21.02274,5.652137,4.0629290115008124e-98,4.529585429393192e-96
21,Sphkap,20.82833,3.8947213,2.396781912800688e-96,2.5978452843745233e-94
22,Vsnl1,20.034582,7.425802,2.751376765771214e-89,2.8252295105366517e-87
23,Shisa6,19.57301,9.334772,2.627058911976128e-85,2.5001911889099633e-83
24,Dkk3,18.58754,4.277776,4.053480409076796e-77,3.4384088165690556e-75
25,Peg3,17.838236,3.5400984,3.5678691530494925e-71,2.729769693176298e-69
26,Spon1,17.833046,3.7289538,3.914962542809813e-71,2.9377276619315174e-69
27,Ccdc141,17.487942,5.5468807,1.7703761144367784e-68,1.256001381551329e-66
28,Rora,17.156816,4.029211,5.589411340993651e-66,3.826295272378461e-64
29,Plcb1,17.14437,6.822081,6.924645879269947e-66,4.658615210501954e-64
30,Pdzrn4,17.033762,5.706115,4.614088961328276e-65,3.051555106288633e-63
31,Igfbp5,16.905355,6.405671,4.108425373684183e-64,2.67184596801928e-62
32,Nr2f1,16.851099,4.9774966,1.0298171586388728e-63,6.58745336558833e-62
33,Nr2f2,16.832066,3.8675454,1.4206074111527935e-63,8.940661481158388e-62
34,Myl1,16.55998,4.0791764,1.3563615340207508e-61,7.670322761955029e-60
35,Agbl4,16.125132,3.8418381,1.6989589439619324e-58,9.470482570484943e-57
36,Rxfp1,16.109028,3.8089933,2.204642718352994e-58,1.2116219559173776e-56
37,Gucy1a3,16.06195,3.403211,4.7148844406634975e-58,2.5552054288151342e-56
38,Mast4,15.871654,5.466438,9.958245466889551e-57,5.180943174907071e-55
39,Tpm2,15.391959,2.7731016,1.853357995555706e-53,9.154180884377677e-52
40,Angpt1,15.311301,10.236175,6.426484534578916e-53,3.134517831740866e-51
41,Erbb4,14.93751,12.600879,1.8786581969164982e-50,9.050029980701452e-49
42,Aff3,14.763048,2.9321985,2.5355643652816173e-49,1.2065575796742526e-47
43,Fgf14,14.630314,3.8808532,1.7995578536783537e-48,8.460090054280645e-47
44,Adamts19,14.599046,3.5637991,2.8480479117219247e-48,1.322986065659399e-46
45,Pgm5,14.522905,2.5978487,8.675404724459741e-48,3.98252108645199e-46
46,Ano4,14.403022,2.741152,4.952968822685884e-47,2.2472656216418973e-45
47,Plppr5,14.074398,3.3246834,5.456768383562223e-45,2.3658122480733106e-43
48,Myl9,13.755264,3.939929,4.735453806593328e-43,1.9868538444437814e-41
49,Lmntd1,13.601371,4.3590817,3.929979866619638e-42,1.5973730666197736e-40
50,Plcl1,13.334154,3.4662588,1.4650777908227975e-40,5.833401571214853e-39
51,Rbpms,12.95227,5.1732154,2.2811008543112078e-38,8.900855533522332e-37
52,Dach1,12.781438,2.8591661,2.0818599973157055e-37,7.886813310219304e-36
53,Lama2,12.7535305,3.2772248,2.97941895577184e-37,1.1178550735982424e-35
54,Shox2,12.63112,6.694907,1.4224017956953987e-36,5.285916006479472e-35
55,Mrvi1,12.283595,4.6445036,1.1095620572959268e-34,4.046272100531501e-33
56,Nav3,12.148414,5.0062575,5.848957800250202e-34,2.0938195721629623e-32
57,Pard3b,12.095664,2.6651368,1.113387541492827e-33,3.9494892608227367e-32
58,Tbx20,12.035708,4.4644427,2.3064509090152546e-33,8.107902204484255e-32
59,Nppa,11.973065,13.615234,4.9177811391104996e-33,1.6542398280007905e-31
60,Gria1,11.772014,3.1913896,5.441007239453114e-32,1.769234187362171e-30
61,Fbn2,11.584083,3.368066,4.962514159284628e-31,1.5490984199622894e-29
62,Slc24a4,11.350768,6.381285,7.35138113882502e-30,2.2236503258678472e-28
63,Arhgap24,10.80972,2.8154798,3.0961214903320476e-27,8.948937818722704e-26
64,Prkg1,10.747023,14.922927,6.120523758407185e-27,1.743232387248528e-25
65,Epha7,10.52812,2.396859,6.410220099028946e-26,1.799473296864097e-24
66,Naaladl2,10.23028,2.4119616,1.4509966204247907e-24,3.959292876152121e-23
67,Gabrg3,10.210438,4.9089847,1.780590964440339e-24,4.824906905032085e-23
68,Zfp608,9.772632,1.8051918,1.4756880801608763e-22,3.83875659252516e-21
69,Thsd4,9.405856,2.1041439,5.1608170453684244e-21,1.2991940716791994e-19
70,Tsc22d1,9.361334,1.3079189,7.873642530660049e-21,1.9694200740150968e-19
71,Zim1,9.35074,2.6735423,8.703599692537824e-21,2.1494586076128222e-19
72,Frem2,9.111243,2.2445664,8.144351750868075e-20,1.9738671137818155e-18
73,Gm45123,8.978858,4.6213884,2.735923922525224e-19,6.509497040056965e-18
74,Ntm,8.970201,2.5029576,2.959752092475531e-19,6.999365251417892e-18
75,Palm2,8.839348,2.6508858,9.627900473308944e-19,2.196963020283713e-17
76,Gja5,8.632005,2.4713242,6.028564348668781e-18,1.33656011866509e-16
77,Slc24a2,8.60727,2.3593204,7.482084447030765e-18,1.649440311430172e-16
78,Sema6d,8.424878,2.0060725,3.611271715881057e-17,7.658251214873851e-16
79,Prickle1,8.323384,1.6516281,8.54867983513011e-17,1.803078309009605e-15
80,Tead2,8.177986,1.6192814,2.886265893256682e-16,6.022571933415814e-15
81,Epb41,8.132576,1.3067805,4.202613740422679e-16,8.676507309592219e-15
82,Lncpint,8.092786,3.7427275,5.83155105060727e-16,1.19761643155103e-14
83,Cap2,8.054607,1.5683845,7.97340628201648e-16,1.6204287141889743e-14
84,Esr1,7.875522,4.3741055,3.3932286233303865e-15,6.721004105703131e-14
85,Enpep,7.753273,2.6417773,8.955394067854705e-15,1.747197382638453e-13
86,Slco3a1,7.699152,1.742374,1.3697228656113358e-14,2.645870604760115e-13
87,Sema3a,7.647101,1.5576138,2.055606170356637e-14,3.951219348143644e-13
88,Enpp1,7.5371923,3.478592,4.801976168735552e-14,9.095782043886467e-13
89,Foxp2,7.4416404,1.6396745,9.944246793742394e-14,1.8131986443543374e-12
90,Eps8,7.343508,2.3835607,2.0806730772790988e-13,3.741376197024444e-12
91,Chrm2,7.334098,4.345266,2.2322009225265697e-13,3.9954348622470985e-12
92,Susd1,7.2965655,2.4031522,2.9520653793554965e-13,5.235890504656885e-12
93,Fbxo32,7.2941995,2.1464295,3.0044022665684813e-13,5.30460526884625e-12
94,Ank1,7.2473645,1.8032465,4.249592572765411e-13,7.402638490594034e-12
95,Zfp579,7.215209,2.646957,5.38511285293495e-13,9.3389823787343e-12
96,Sdk1,7.2019277,2.7087896,5.936719428972436e-13,1.0204880710066275e-11
97,Plxna4,7.119254,1.5784369,1.0851269207711884e-12,1.8250712262280935e-11
98,Rere,7.06887,1.174893,1.5620005980828865e-12,2.593585673923159e-11
99,Dpp6,7.023917,2.7469997,2.157323856053465e-12,3.551847125029798e-11
100,Pdgfc,6.9500895,2.1179996,3.650551941989126e-12,5.960022459264255e-11
101,Kcnq3,6.887365,4.2921114,5.683530577876024e-12,9.202131250984333e-11
102,Abcc8,6.8543763,1.7760485,7.162439900043083e-12,1.1548694417342193e-10
103,Adamtsl1,6.8502088,1.9529183,7.374224852056617e-12,1.1841245009351818e-10
104,Mlip,6.837331,3.0973666,8.068240512580887e-12,1.2849907951057396e-10
105,Ankrd1,6.7853875,3.0635672,1.1577540529226807e-11,1.80702252580172e-10
106,Nav2,6.7352457,1.7192893,1.6365329177502205e-11,2.5154704171538386e-10
107,Kdr,6.700402,2.9301434,2.078473759144593e-11,3.1262042001446083e-10
108,Cobl,6.628536,1.7583861,3.390319588243615e-11,5.010995088381282e-10
109,Pakap,6.5647364,2.292487,5.2124976906938905e-11,7.617665164452269e-10
110,Ndst4,6.562478,3.779834,5.292083827521652e-11,7.705116080219957e-10
111,Kcnb2,6.535162,2.687297,6.354065893236318e-11,9.182801894595597e-10
112,Zbtb20,6.50911,2.6528184,7.559739757937004e-11,1.0844891373334629e-09
113,Kcnk3,6.401406,1.6390872,1.539528134031891e-10,2.1608772586303737e-09
114,Zfp804b,6.3785796,3.0667148,1.7873769243495155e-10,2.4471385118637927e-09
115,Zeb2,6.3149953,1.0538845,2.7017000682287826e-10,3.61028550213312e-09
116,Slc39a8,6.2838078,3.6165116,3.303793361011632e-10,4.384830508390268e-09
117,Runx1t1,6.259046,1.1063963,3.873397067126645e-10,5.123388256246837e-09
118,Tenm2,6.138168,1.7862263,8.347864362640122e-10,1.071492327073084e-08
119,Colec12,6.0875154,2.0599327,1.1467651754042513e-09,1.467107447353242e-08
120,Lef1,6.081439,2.516288,1.1910868441017391e-09,1.5188303482630672e-08
121,Thsd7b,5.8971376,4.1618605,3.698616775061626e-09,4.5670894481931854e-08
122,Zfhx4,5.896358,1.1644523,3.7161271621897835e-09,4.574236021092913e-08
123,Pitx2,5.8873243,3.4521072,3.924983063985848e-09,4.8161270175071635e-08
124,Prdm6,5.8413496,2.9465015,5.177959866742232e-09,6.274658198766518e-08
125,Fstl4,5.7875514,1.9909713,7.1419858265852614e-09,8.574778060103289e-08
126,Slc24a3,5.602013,1.7195348,2.118765409326358e-08,2.512894415559711e-07
127,Hcn1,5.530766,4.1137204,3.188354498019254e-08,3.747276882912991e-07
128,Atp1b1,5.518237,1.323858,3.424169718876622e-08,4.012345418335309e-07
129,Acvr1c,5.443092,3.2452037,5.2363674821714266e-08,6.027228883608527e-07
130,Baz2b,5.3798027,0.9534324,7.456749778012074e-08,8.409317235203212e-07
131,Pou6f2,5.3158684,3.6523938,1.0614976982081265e-07,1.1800467288911994e-06
132,Mical2,5.0579004,1.2561933,4.238981769999158e-07,4.446372813585139e-06
133,Zfp516,5.0415535,1.3571603,4.6176726735994736e-07,4.8048423393027055e-06
134,Bmp6,4.9392266,3.446183,7.84329899033524e-07,7.990744819918565e-06
135,Podxl,4.930435,2.3367894,8.204668584399414e-07,8.272510805252329e-06
136,Bicc1,4.928392,0.9025703,8.290924865634992e-07,8.337935264357664e-06
137,Zfp521,4.8637586,0.9875298,1.1517742240529495e-06,1.1377779803176226e-05
138,Dapk2,4.830044,3.327843,1.3650299125328048e-06,1.341649047532243e-05
139,Mapk10,4.8246665,2.847223,1.4023758242732195e-06,1.3748920769633424e-05
140,Gramd1b,4.769551,1.0668516,1.8463699052605355e-06,1.7701561106453586e-05
141,Slc9a9,4.743875,1.7895315,2.096680944265128e-06,1.9954265962250073e-05
142,Trps1,4.7231193,0.8664541,2.3225440747301634e-06,2.2050041312888315e-05
143,Chsy3,4.6916633,1.5283223,2.7099308749791693e-06,2.541863046675173e-05
144,Bmper,4.690265,1.8985802,2.7285135939154485e-06,2.5531558857213622e-05
145,Atf6,4.6690793,1.062785,3.0255284417814013e-06,2.824309086083978e-05
146,Aff1,4.6495333,1.1551914,3.326871029008431e-06,3.083479989356508e-05
147,Spock2,4.560434,1.9748231,5.104800799120708e-06,4.67580580238709e-05
148,Pla2r1,4.4860144,2.1837828,7.256785365506802e-06,6.55462418893693e-05
149,Frmd4b,4.472948,1.7833622,7.714857797382055e-06,6.904443836097427e-05
150,Bmp5,4.374358,1.4932262,1.2179035676262046e-05,0.00010631453514267227
151,Lin7a,4.224148,3.2166615,2.398468404905906e-05,0.0002012650261493085
152,Dlc1,4.216808,1.3332893,2.477850048312457e-05,0.00020683974496295615
153,Fhad1,4.2159476,3.4108567,2.4873168383238993e-05,0.00020694051819061525
154,Corin,4.1839,1.3232548,2.8655059507919496e-05,0.00023688991991504635
155,Mef2c,4.1591377,0.86565477,3.1945093084315436e-05,0.0002607735422907925
156,Nfia,4.1554008,1.7584258,3.2471775460359555e-05,0.00026341968367218915
157,Limch1,4.1491632,1.8101782,3.336926284391285e-05,0.00027013872119698745
158,Magi2,4.1477118,0.9785505,3.358151554217206e-05,0.00027129414833448315
159,Mcc,4.1364465,1.0565045,3.527256722779295e-05,0.0002826151074391131
160,Gm44536,4.1260953,5.139907,3.689742250625804e-05,0.00029442483153255386
161,Tshz1,4.1091576,1.2073228,3.971053141301362e-05,0.00031494002758857546
162,Hivep3,4.0957413,1.7502822,4.208193612920417e-05,0.00033239618375739807
163,Smad6,4.072082,1.3871175,4.659476116977968e-05,0.0003658204388017712
164,Prrx2,4.0140896,1.7312692,5.9675683281496745e-05,0.0004574744914821224
165,Nebl,3.9883869,1.3647416,6.652412292197073e-05,0.0005079787233689428
166,Zfp36l1,3.9738955,1.035172,7.070661182863222e-05,0.0005388617174908651
167,Pcdh17,3.9635444,2.638689,7.384510743098859e-05,0.0005605906793691002
168,Sema5a,3.8564587,1.4121788,0.0001150415325553959,0.0008485672212309163
169,A930011G23Rik,3.8337402,1.1861066,0.00012620940881757984,0.0009222268037569223
170,Col18a1,3.794971,1.598852,0.0001476606707268937,0.0010610901237133319
171,Id2,3.7919867,1.8063586,0.00014944688315089266,0.0010719517243654101
172,Etv6,3.7739465,0.9001711,0.00016068526474463237,0.0011441494580904299
173,Gli2,3.7304723,1.5788406,0.00019112118134975465,0.0013485621150574009
174,Arhgef4,3.7278106,1.8477161,0.00019315045753272946,0.0013584040734086371
175,Med12l,3.715497,1.0057935,0.00020280472867513564,0.0014131143773042489
176,Csrnp3,3.7120018,1.7205473,0.00020562653495599778,0.0014302223518686335
177,Tbcel,3.6176062,1.4383012,0.00029734048258449444,0.0020142752830637103
178,Myh8,3.5913386,1.8174855,0.0003289837085514882,0.002209456851579874
179,Unc5c,3.5866337,2.2294676,0.0003349742943192237,0.0022458242206763075
180,Bbx,3.584483,0.8366175,0.0003377467074156224,0.002260527705550186
181,Cpeb1,3.5771968,2.4599462,0.0003472986186175026,0.0023125583785759303
182,Zbtb7c,3.5700722,2.0997317,0.00035688291844740845,0.002372329042217696
183,Osr1,3.5566025,2.7944763,0.0003756820680294204,0.002472026019309947
184,Tmem132c,3.5528653,2.040909,0.00038105953644346127,0.002503189076098293
185,Sh3rf3,3.5140154,2.4449153,0.00044138713382637387,0.0028671620709301558
186,Etv1,3.5008953,1.2280673,0.00046369810134004564,0.003000580416963281
187,Nes,3.4691432,1.3890644,0.0005221210546812627,0.003334396653627311
188,Epha3,3.4587653,1.3972678,0.0005426574876076968,0.0034374180465020017
189,Sptb,3.419539,0.8949124,0.0006272732046494507,0.003928764116440059
