,0
0,Prdm12
1,Zfp456
2,Tfec
3,Zbtb37
4,Zfp953
5,Zfp445
6,Zfp850
7,Snai2
8,Ppargc1a
9,Lyl1
10,Olig2
11,Ikzf3
12,Spib
13,Zfp511
14,Barx1
15,Zfp454
16,BC025920
17,Onecut3
18,Tulp1
19,Foxn2
20,Hes6
21,Zfp354a
22,Zfp64
23,Mafb
24,Tfap2c
25,Glis1
26,Spdef
27,Lhx6
28,Fosb
29,Zkscan1
30,Zfp280b
31,Six5
32,Gm4924
33,Mctp2
34,Hoxc6
35,Prdm16
36,Foxb2
37,Nfyc
38,Ikzf2
39,Zfp516
40,Zfp524
41,Nr2f2
42,Vsx1
43,Fhl2
44,Tead3
45,Prdm10
46,Zfp775
47,Spic
48,Rlf
49,Emx1
50,Zfp60
51,Zfp968
52,AW822073
53,Zkscan8
54,Zfp959
55,Sp2
56,Smad5
57,Sp8
58,Tcf12
59,Zic4
60,Zkscan5
61,Stat4
62,Runx3
63,Zfp553
64,Zfp664
65,Zmiz1
66,Jazf1
67,Ahrr
68,Ikzf5
69,Twist1
70,Snai3
71,Fgf15
72,Gm14322
73,Heyl
74,Zscan20
75,Sox15
76,Zfp746
77,Pbx1
78,Cbfb
79,Zfp13
80,Lcorl
81,Gabpa
82,Zmat4
83,Zfp108
84,Zfpm1
85,Myf6
86,Sox17
87,Wt1
88,Zkscan2
89,Gata6
90,Rxra
91,Zfp961
92,Zfp251
93,Hoxa10
94,Rxrb
95,Hoxa9
96,Prrx2
97,Zfhx2
98,Fezf2
99,Pax4
100,Purg
101,Hmx1
102,Hmg20a
103,Crebzf
104,Maff
105,Smad6
106,Zfp521
107,Peg3
108,Zfp174
109,Zfp984
110,Zfp963
111,Olig3
112,Prop1
113,Plag1
114,Grhl1
115,Esr1
116,Zfp784
117,Klf1
118,Pou5f1
119,Zbtb11
120,Zfp82
121,Foxp4
122,E430018J23Rik
123,Etv6
124,Klf9
125,Zfp655
126,Zfp985
127,Gata4
128,Gm12845
129,Zfp661
130,Gbx1
131,Frem1
132,Hivep1
133,Pitx2
134,Zfp771
135,Tbx2
136,Hoxb9
137,Scrt1
138,Zbtb49
139,Klf12
140,Dmrta2
141,Zfp120
142,Foxf2
143,Hoxb4
144,Zfp955b
145,Pou3f3
146,Usf2
147,Tbx18
148,Ubp1
149,Zfp111
150,Neurod2
151,Sim1
152,Zfp414
153,Spi1
154,Irf7
155,Ovol3
156,Zbtb20
157,Dmrtc2
158,Zfp69
159,Gmeb2
160,Lef1
161,Rfx6
162,Zfp799
163,Elk3
164,Pax9
165,Zscan22
166,Nfkb1
167,Zbtb21
168,Osr1
169,Myef2
170,Mef2d
171,Cdx2
172,Zfp322a
173,Foxd1
174,Relb
175,Foxd4
176,Zbtb2
177,Zfp7
178,Zbtb3
179,Zfp672
180,Dlx3
181,Pbx4
182,Nkx6-3
183,Mycn
184,9130023H24Rik
185,Mkx
186,Zbtb22
187,Bbx
188,Zfp960
189,Gpbp1l1
190,Zfp287
191,Zfp641
192,Terf2
193,Hoxc9
194,Prdm4
195,Cphx1
196,Irx5
197,Gm3854
198,Gm20422
199,Gata3
200,Gm13212
201,T
202,Zbtb5
203,Atf6
204,Pou2f3
205,Gm14410
206,Zfp763
207,Zfp438
208,Esrrg
209,Zfp286
210,Gli2
211,Nfix
212,Foxi2
213,Hoxd4
214,Sp100
215,Pknox1
216,Zfp987
217,Zfp114
218,Pbx3
219,Prox2
220,Elf1
221,Cpeb1
222,Zhx1
223,Nr2f6
224,Atf3
225,Tcf23
226,Zfp429
227,Shox2
228,Zbtb8a
229,Bsx
230,Gm6710
231,Rorc
232,Hsf5
233,Zfp607b
234,Erf
235,Zscan4-ps2
236,Mixl1
237,Stat3
238,Ascl1
239,Irf3
240,Tbx21
241,Etv4
242,Hes1
243,Stat1
244,Zfp574
245,Zfp282
246,Zfp647
247,Zfp358
248,Zfp369
249,E4f1
250,Zfp2
251,Gm21411
252,Meox2
253,Zfp1
254,Pax2
255,Prdm5
256,Mzf1
257,Gm14295
258,Hmga1-rs1
259,Zfp747
260,Fosl1
261,Mbd4
262,Pkm
263,Nfe2l1
264,Zbtb41
265,Zfp777
266,Hoxb5
267,Tfap2e
268,Mnx1
269,Zfp24
270,Zxdc
271,Meis3
272,Hand2
273,Smad3
274,Hand1
275,Zfp239
276,Zbtb38
277,Cebpb
278,Zfp366
279,Zic5
280,Zfp128
281,Msx3
282,Mtf1
283,Zfp809
284,Smarcc2
285,Phtf1
286,5730507C01Rik
287,Cdx1
288,Bhlhe23
289,Zfp740
290,Bcl6
291,Zfp853
292,Aff4
293,Zfp846
294,Mef2b
295,Barhl2
296,Egr2
297,Stat5a
298,Sp7
299,Zfp65
300,Zfp105
301,Zfp800
302,Zfp992
303,Vax2
304,Zfp551
305,Nkx1-1
306,Foxs1
307,Hes5
308,Dmrta1
309,Vax1
310,Foxo6
311,Thrb
312,Nfxl1
313,Gm6871
314,Gfi1
315,Zscan25
316,Hic1
317,Rarg
318,Rbpjl
319,Zfp142
320,Ebf4
321,Sox12
322,Otx1
323,Obox6
324,Klf4
325,Ebf2
