gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Gm44973,-9.472668e-05,-0.0007080287,-0.00080275536,-0.0038791182,0.20694263
Rap1gap2,-9.915233e-05,-0.0006108582,-0.0007100105,-0.00108494,0.65442365
1700001K19Rik,-9.821355e-05,-0.0005694106,-0.0006676242,-0.009132708,0.073102444
Zfp637,-0.00010866672,-0.0005209036,-0.00062957034,-0.0038764887,0.16240726
Sema6d,-9.612739e-05,-0.0005302131,-0.0006263405,-0.0011695435,0.5355426
Ltbp1,-5.725026e-05,-0.0005597472,-0.0006169975,-0.00078969967,0.7813064
Etv2,3.463123e-06,0.0006132759,0.00061673904,0.010846475,0.056860678
Smad6,-8.158386e-05,-0.00052306056,-0.0006046444,-0.0009721235,0.621983
Plxdc2,-9.289384e-05,-0.0005109906,-0.00060388446,-0.0011058277,0.54609257
Cux2,-8.34465e-05,-0.000515759,-0.0005992055,-0.0012112919,0.4946829
Cfap43,-0.00010660291,-0.0004864186,-0.0005930215,-0.0012163174,0.4875548
Ddit3,-9.5039606e-05,-0.0004826486,-0.0005776882,-0.000982985,0.5876876
Mta2,0.00010326505,0.00046490878,0.0005681738,0.0017464053,0.32533896
Zbtb8a,-7.6428056e-05,-0.00048720837,-0.0005636364,-0.0020240955,0.27846327
Gm28363,-0.00011538481,-0.00044602063,-0.00056140544,-0.032632753,0.01720364
Zfp61,-0.00014539063,-0.0004137531,-0.0005591437,-0.0017151244,0.3260076
Etl4,-7.148087e-05,-0.0004797876,-0.00055126846,-0.0011685526,0.47175315
Fosl1,6.698631e-05,0.00048131868,0.000548305,0.008082205,0.06784091
Lcor,-9.1046095e-05,-0.0004554093,-0.0005464554,-0.00072137004,0.75752425
Zfp934,-6.917864e-05,-0.00046522915,-0.0005344078,-0.0018010796,0.29671517
Zfp740,-9.402633e-05,-0.0004350841,-0.00052911043,-0.0010508214,0.50352067
Zfp827,-8.162856e-05,-0.00044351816,-0.0005251467,-0.0006426156,0.81720185
Zfp984,-0.000103995204,-0.00041909516,-0.00052309036,-0.0019966033,0.26199004
Zfp950,-6.964803e-05,-0.00045147538,-0.0005211234,-0.0007116615,0.73226297
Zfp941,-7.7251345e-05,-0.00044027716,-0.0005175285,-0.0039693443,0.13038126
Prdm11,-9.7453594e-05,-0.00041863322,-0.0005160868,-0.0009203772,0.5607339
Capn15,-9.033084e-05,-0.00042530894,-0.0005156398,-0.00087141164,0.59172916
4930455D15Rik,-6.777793e-05,-0.0004414767,-0.00050925463,-0.005287143,0.09631934
Lcn3,5.516177e-05,0.00044726953,0.0005024313,0.027150983,0.018504987
Esrrb,-3.0606985e-05,-0.0004658401,-0.0004964471,-0.0010858799,0.45718408
Zfp369,-0.00010500848,-0.00039118528,-0.00049619377,-0.0014070536,0.3526473
Unc5c,-5.3025782e-05,-0.000442788,-0.0004958138,-0.0013901248,0.35666844
Atf4,6.1914325e-05,0.00043386593,0.00049578026,0.0018796845,0.26375708
Zbtb43,-8.8617206e-05,-0.00040256977,-0.000491187,-0.0012631328,0.38886398
Ccnd2,-8.678436e-05,-0.0004041195,-0.00049090385,-0.0007243184,0.6777458
Zfp970,-6.7994e-05,-0.00041659176,-0.00048458576,-0.0019838659,0.24426326
Gzf1,7.95275e-05,0.00040433556,0.00048386306,0.0017466666,0.27702075
Aff3,-5.0142407e-05,-0.0004197657,-0.00046990812,-0.0007690189,0.61104876
Rspo3,-0.00011077523,-0.00035904348,-0.0004698187,-0.0011386469,0.41261137
Tcf7l1,-5.634129e-05,-0.0004106164,-0.0004669577,-0.0011370988,0.41065702
Zfp386,-9.958446e-05,-0.00036633015,-0.0004659146,-0.0011823565,0.39405587
Sema3c,-0.00010201335,-0.00036284328,-0.00046485662,-0.0006630629,0.7010746
Tet2,-9.325147e-05,-0.00037011504,-0.0004633665,-0.0007413997,0.6249887
Tmem163,5.4851174e-05,0.0004066825,0.00046153367,0.0007280789,0.633906
Zscan12,-9.033084e-05,-0.00037048757,-0.0004608184,-0.0013772178,0.33460087
Ebf4,-5.4225326e-05,-0.0004031062,-0.00045733154,-0.0011438647,0.39981252
Abcc9,5.465746e-05,0.00040113926,0.00045579672,0.00073435873,0.620673
Cma1,5.7796948e-05,0.0003951285,0.00045292545,0.017631654,0.0256881
Gtf2ird2,-6.79791e-05,-0.00037911534,-0.00044709444,-0.0007900972,0.56587255
Zfp457,-4.68567e-05,-0.00039854646,-0.00044540316,-0.0020371338,0.21864198
Nfat5,-6.66976e-05,-0.00037792325,-0.00044462085,-0.000639811,0.6949252
Esrra,4.5239925e-05,0.00039881468,0.0004440546,0.00059697026,0.743847
Zfp820,-9.7855926e-05,-0.00034587085,-0.00044372678,-0.0015926785,0.27860403
Zfp384,-7.733703e-05,-0.00036519766,-0.00044253469,-0.0009718204,0.45536667
Platr25,-5.558133e-05,-0.00038321316,-0.0004387945,-0.0014870648,0.29507414
Zfp282,-8.393824e-05,-0.00035093725,-0.0004348755,-0.0011260108,0.3862089
Zfp661,5.722046e-05,0.0003761053,0.00043332577,0.0024812522,0.17463985
Pf4,6.0741324e-05,0.00036482234,0.00042556366,0.025271282,0.016839713
Zkscan5,-7.735193e-05,-0.00034748018,-0.0004248321,-0.0011788829,0.36036828
Runx1t1,-6.508827e-05,-0.00035959482,-0.0004246831,-0.00072228676,0.5879701
Fstl4,-4.222989e-05,-0.00038152933,-0.00042375922,-0.0006173112,0.6864595
Synpo2,-5.5179e-05,-0.00036337972,-0.00041855872,-0.00074449496,0.5622048
Zfp583,-8.460879e-05,-0.00033257902,-0.0004171878,-0.0015231859,0.2738915
Bcl6b,6.1266124e-05,0.0003548432,0.00041610934,0.012476074,0.033352487
Zfp609,-5.672872e-05,-0.00035780668,-0.0004145354,-0.0006222791,0.6661566
