gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Myh6,-0.0002939105,-0.00087952614,-0.0011734366,-0.0010504845,1.1170431
Asb2,-0.00016379356,-0.0009614825,-0.0011252761,-0.0013199793,0.85249513
Tnni1,-0.00012099743,-0.0009883642,-0.0011093616,-0.0010411587,1.0655067
Myh7,-0.0002091229,-0.0008697808,-0.0010789037,-0.0012272564,0.8791183
Actn2,-0.00011447072,-0.0009331703,-0.001047641,-0.0010539689,0.9939961
Ldb3,-0.00014525652,-0.0008789301,-0.0010241866,-0.0009466359,1.0819223
Myl9,-0.00011533499,-0.0008830428,-0.0009983778,-0.0012330794,0.8096621
Trim55,-0.00014200807,-0.0008152127,-0.0009572208,-0.00091647776,1.044456
Myom1,-0.00016450882,-0.0007762313,-0.0009407401,-0.00095651427,0.9835086
Ankrd1,-0.0001770556,-0.0007595718,-0.0009366274,-0.0014533711,0.6444515
Jph2,-0.000101298094,-0.00083082914,-0.00093212724,-0.001049587,0.8880894
Myocd,-0.000110551715,-0.0007919073,-0.000902459,-0.0012008745,0.75150144
Smyd1,-0.00015547872,-0.00074222684,-0.00089770555,-0.0010762296,0.8341207
Palm2,-0.00014948845,-0.00071901083,-0.0008684993,-0.0010379094,0.8367774
Obscn,-0.0001784265,-0.00068083405,-0.00085926056,-0.0009377098,0.9163394
Cacna1c,-0.00011342764,-0.0007401109,-0.0008535385,-0.0007840268,1.0886598
Rel,-0.00014904141,-0.00069743395,-0.00084647536,-0.0019382584,0.43671948
Dsp,-8.416176e-05,-0.0007420182,-0.00082618,-0.0008855173,0.93299127
Ttn,-0.0001501441,-0.00065910816,-0.00080925226,-0.00064325676,1.2580547
Nebl,-0.00018036366,-0.00062316656,-0.0008035302,-0.00081099034,0.9908011
Sorbs2,-0.0001449585,-0.000646472,-0.0007914305,-0.00077149726,1.025837
Ctnna3,-7.8588724e-05,-0.0006902814,-0.0007688701,-0.0007731981,0.9944024
Filip1,-0.00011485815,-0.00063604116,-0.0007508993,-0.00091443496,0.821162
Nexn,-0.00011187792,-0.00060653687,-0.0007184148,-0.0007162327,1.0030465
Tpm1,-9.23872e-05,-0.0006020367,-0.0006944239,-0.00069731765,0.9958501
Mitf,-0.00010514259,-0.00058841705,-0.00069355965,-0.0008222823,0.84345675
Slc16a10,-7.9616904e-05,-0.0006133318,-0.0006929487,-0.0010319556,0.6714907
Myo18b,-0.00013971329,-0.0005518198,-0.0006915331,-0.00079302804,0.87201583
Mybpc3,-0.00010150671,-0.00058853626,-0.000690043,-0.0007085053,0.9739418
Unc45b,-0.00011998415,-0.0005669892,-0.00068697333,-0.0009922315,0.6923517
Myl7,-0.0001501441,-0.0005351007,-0.0006852448,-0.00094027194,0.7287729
Palld,-0.00014454126,-0.0005404353,-0.0006849766,-0.00055412436,1.2361423
Mylk3,-0.00011372566,-0.00055742264,-0.0006711483,-0.0009293046,0.72220474
Pakap,-6.9350004e-05,-0.00058847666,-0.00065782666,-0.0007301728,0.900919
Cacnb2,-8.824468e-05,-0.0005683899,-0.00065663457,-0.00072742597,0.9026822
Grin3a,-0.0001244992,-0.00053057075,-0.00065506995,-0.0010336637,0.6337359
Tmem71,-0.00012207031,-0.0005270466,-0.00064911693,-0.0032093902,0.20225543
3632451O06Rik,-0.00013011694,-0.000500381,-0.00063049793,-0.0012782787,0.49323973
Myl2,-0.00011649728,-0.0005057156,-0.0006222129,-0.0010735632,0.5795772
Tbx20,-0.00010892749,-0.000510633,-0.0006195605,-0.00079604314,0.7783
Ppp1r14c,-5.2809715e-05,-0.0005569458,-0.0006097555,-0.0008533391,0.7145523
Prox1,-8.034706e-05,-0.0005289912,-0.0006093383,-0.0008353271,0.7294606
Abcc9,-9.87947e-05,-0.00049993396,-0.00059872866,-0.0009646441,0.620673
Erbb4,-5.2541494e-05,-0.0005393028,-0.0005918443,-0.0006125734,0.96616054
Slc8a1,-6.6161156e-05,-0.00052046776,-0.0005866289,-0.0005460872,1.0742402
Casz1,-0.00011098385,-0.00047272444,-0.0005837083,-0.0006602688,0.8840463
Myl4,-9.584427e-05,-0.0004823804,-0.00057822466,-0.00059503166,0.9717543
Rassf5,-0.0001180172,-0.00045710802,-0.0005751252,-0.0011020399,0.5218732
Dpf3,-7.3850155e-05,-0.00050091743,-0.0005747676,-0.00072559895,0.7921284
Acta2,-9.6708536e-05,-0.00047460198,-0.0005713105,-0.0009454895,0.6042483
Mpped2,-0.000108629465,-0.0004608035,-0.000569433,-0.00082892034,0.6869573
Tmod1,-7.4893236e-05,-0.00049063563,-0.00056552887,-0.00064467284,0.8772338
Sphkap,-0.00010976195,-0.0004554987,-0.00056526065,-0.00068594987,0.8240552
Cacna1d,-8.3103776e-05,-0.00048086047,-0.00056396425,-0.00086910545,0.6489019
Col26a1,0.00011637062,0.00043830276,0.0005546734,0.002817918,0.1968379
Kcnh7,-0.000102847815,-0.00045132637,-0.0005541742,-0.0006884662,0.8049402
Pura,-0.00011238456,-0.00043584406,-0.0005482286,-0.0014430617,0.37990648
Tmem163,-8.781254e-05,-0.000456959,-0.00054477155,-0.0008593884,0.633906
Esrrg,-4.3928623e-05,-0.0004978776,-0.0005418062,-0.00071730715,0.75533354
Parp12,-9.5680356e-05,-0.0004440844,-0.00053976476,-0.0027786568,0.19425374
Lama4,-8.7082386e-05,-0.00044491887,-0.00053200126,-0.000744608,0.71447146
Syne1,-0.000104904175,-0.00042515993,-0.0005300641,-0.0011766388,0.45049
Myl3,-0.000102669,-0.00042639673,-0.0005290657,-0.0008674144,0.6099341
Zfp64,-8.225441e-05,-0.00044053793,-0.00052279234,-0.0012100448,0.43204367
Ryr2,-7.623434e-05,-0.0004439354,-0.00052016973,-0.00051230146,1.0153586
Lrrfip1,-8.046627e-05,-0.00043863058,-0.00051909685,-0.0005806038,0.8940637
Pip5k1b,-7.379055e-05,-0.00043070316,-0.0005044937,-0.0005736324,0.879472
Plppr5,-7.95722e-05,-0.00042283535,-0.00050240755,-0.0011548583,0.43503818
Zfp287,-6.79791e-05,-0.00043408573,-0.0005020648,-0.001567138,0.32037044
Ccdc141,-0.00010770559,-0.00038570166,-0.00049340725,-0.00049019774,1.0065472
Nr1d2,-6.598234e-05,-0.00042408705,-0.0004900694,-0.0012581667,0.3895106
Lama2,4.9054623e-05,0.00043269992,0.00048175454,0.0010676007,0.45124966
Rcsd1,-9.487569e-05,-0.00038519502,-0.0004800707,-0.0009197577,0.52195334
Dnah8,-0.00010496378,-0.00037187338,-0.00047683716,-0.00094043463,0.507039
Mical2,-7.95722e-05,-0.0003966689,-0.0004762411,-0.00043883425,1.0852413
Prdm16,-6.251037e-05,-0.00041034818,-0.00047285855,-0.00097081234,0.48707503
Sema3c,-0.000108361244,-0.00036406517,-0.0004724264,-0.0006738603,0.7010746
Hmg20b,-0.00011044741,-0.0003555119,-0.0004659593,-0.00090014894,0.5176468
Tspan18,-8.316338e-05,-0.00038212538,-0.00046528876,-0.0009624642,0.4834348
Zfp809,-7.928908e-05,-0.000385046,-0.00046433508,-0.0010332509,0.44939226
Alcam,-9.343028e-05,-0.00036993623,-0.0004633665,-0.0006235392,0.7431232
Mest,-0.00010499358,-0.0003540665,-0.00045906007,-0.00083044317,0.55278915
Irx4,-7.623434e-05,-0.00038098544,-0.00045721978,-0.0011207525,0.40795773
Slco3a1,-8.496642e-05,-0.00036504865,-0.00045001507,-0.00054082443,0.83209074
Dthd1,-5.2625313e-05,-0.00039555877,-0.0004481841,-0.003637744,0.123203754
Nav2,-6.7174435e-05,-0.0003761053,-0.00044327974,-0.00047002282,0.9431025
Cc2d1a,-9.0926886e-05,-0.0003517568,-0.0004426837,-0.0012030223,0.36797622
Zfp456,-7.048249e-05,-0.0003697127,-0.0004401952,-0.0029763395,0.14789808
Zbtb4,-7.583201e-05,-0.00036212802,-0.00043796003,-0.0013996838,0.31289917
P3h2,-4.1410327e-05,-0.0003938675,-0.00043527782,-0.0009961269,0.43697014
Zfp607a,-6.9499016e-05,-0.0003655851,-0.0004350841,-0.0012294331,0.3538899
Sh3bgr,-6.148219e-05,-0.0003696084,-0.0004310906,-0.00063138414,0.6827706
Myh7b,-6.681681e-05,-0.00036358833,-0.00043040514,-0.0006358406,0.6769072
Pde3a,-6.446242e-05,-0.00036156178,-0.0004260242,-0.00052952685,0.80453736
Gm14401,-8.835457e-05,-0.00033593178,-0.00042428635,-0.0062700678,0.067668445
Zfp235,-7.521361e-05,-0.00034807622,-0.00042328984,-0.0021896025,0.19331801
Zbtb25,-5.827844e-05,-0.00036472082,-0.00042299926,-0.0010636927,0.39767045
Igf2,7.2956085e-05,0.00034860522,0.0004215613,0.0007250509,0.5814229
Nkx2-5,-9.9375844e-05,-0.00031128526,-0.0004106611,-0.0013107933,0.31329194
Trpc3,-4.942715e-05,-0.0003593564,-0.00040878356,-0.0009441034,0.4329859
Unc13c,-4.1991472e-05,-0.00036522746,-0.00040721893,-0.0009172163,0.44397253
Cap2,-4.091859e-05,-0.00036516786,-0.00040608644,-0.00056490354,0.7188597
Kif26b,-5.0634146e-05,-0.00035119057,-0.0004018247,-0.0004773683,0.8417498
Ano3,-4.737079e-05,-0.00035358965,-0.00040096045,-0.0019756556,0.20295048
Ptk2b,-8.137524e-05,-0.00031867623,-0.00040005147,-0.0010887092,0.36745477
Prickle1,-4.7773123e-05,-0.00035116076,-0.0003989339,-0.00056683976,0.7037859
Gm14399,-7.648766e-05,-0.00031863898,-0.00039512664,-0.0016888051,0.23396808
Slc24a3,4.632771e-05,0.00034856796,0.00039489567,0.0007406343,0.53318566
Zfp189,-5.4575503e-05,-0.00033953786,-0.00039411336,-0.0013743015,0.2867735
Ctcfl,-6.32219e-05,-0.00032820553,-0.00039142743,-0.00233565,0.16758811
Pbx4,-7.085502e-05,-0.00031912327,-0.0003899783,-0.0015338297,0.25425127
