gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Asb2,0.0001437664,0.0009059906,0.001049757,0.0012313934,0.85249513
Tmod1,9.265542e-05,0.0007894933,0.00088214874,0.0010056027,0.8772338
Myo18b,0.00015690923,0.0006875992,0.0008445084,0.0009684552,0.87201583
Mybpc3,0.00011378527,0.00071287155,0.0008266568,0.0008487742,0.9739418
Myh7,0.00015822053,0.0006682575,0.000826478,0.00094012136,0.8791183
Actn2,8.8989735e-05,0.0007200837,0.00080907345,0.0008139603,0.9939961
Esrrb,5.0790608e-05,0.00073462725,0.00078541785,0.0017179464,0.45718408
Mylk3,0.00011241436,0.00067064166,0.000783056,0.0010842575,0.72220474
Grhl1,0.0001308471,0.00058853626,0.00071938336,0.0014465188,0.49732032
Mitf,0.0001116097,0.0006068051,0.0007184148,0.0008517505,0.84345675
Myl9,7.638335e-05,0.0006339848,0.00071036816,0.0008773636,0.8096621
Mical2,0.00010496378,0.0006020069,0.0007069707,0.00065144093,1.0852413
Rassf5,0.00012610853,0.00057688355,0.0007029921,0.0013470551,0.5218732
Slco3a1,0.00011178851,0.0005840659,0.0006958544,0.00083627214,0.83209074
Gpld1,-4.1337684e-05,-0.0006521791,-0.0006935168,-0.0037467536,0.18509795
Cdh20,4.696101e-05,0.00064370036,0.00069066137,0.001478159,0.4672442
Dkk3,8.186698e-05,0.0005888641,0.00067073107,0.0010399325,0.6449755
Des,7.0631504e-05,0.00058835745,0.00065898895,0.00092584017,0.7117739
Bcl2,0.00012102723,0.00052675605,0.0006477833,0.0008190107,0.7909337
Cdip1,7.9751015e-05,0.0005636811,0.00064343214,0.0007830121,0.8217396
Fstl4,5.708635e-05,0.00058460236,0.0006416887,0.00093478,0.6864595
Jph2,6.3449144e-05,0.000564754,0.00062820315,0.00070736464,0.8880894
Filip1,8.571148e-05,0.0005391836,0.0006248951,0.00076098874,0.821162
Myh7b,8.544326e-05,0.00053840876,0.000623852,0.00092162105,0.6769072
Cacna1c,7.7456236e-05,0.0005456209,0.00062307715,0.0005723341,1.0886598
Pgm5,4.0888786e-05,0.00057709217,0.00061798096,0.000727893,0.84899956
Lama4,9.176135e-05,0.0005181134,0.0006098747,0.0008536025,0.71447146
Atp2b4,9.793043e-05,0.00050774217,0.0006056726,0.0012166712,0.49781114
Mpped2,0.00010880828,0.00049620867,0.00060501695,0.00088071974,0.6869573
Tfeb,7.6919794e-05,0.00052294135,0.00059986115,0.0011488962,0.5221194
Ltbp1,5.8561563e-05,0.00053685904,0.0005954206,0.0007620833,0.7813064
Myh6,0.00015693903,0.0004323125,0.0005892515,0.00052751,1.1170431
Slc2a1,7.4744225e-05,0.00051242113,0.00058716536,0.00085200014,0.689161
Pip5k1b,8.812547e-05,0.00049877167,0.00058689713,0.00066732883,0.879472
Ldb3,8.267164e-05,0.00050342083,0.0005860925,0.00054171396,1.0819223
Lrrfip1,8.484721e-05,0.0004988909,0.0005837381,0.0006529043,0.8940637
Rspo3,0.00013616681,0.00043563545,0.00057180226,0.0013858129,0.41261137
Tnni1,5.8084726e-05,0.0005129576,0.0005710423,0.00053593493,1.0655067
Ankrd1,0.0001090467,0.00046151876,0.00057056546,0.00088535034,0.6444515
Camta2,0.00010803342,0.00046162307,0.0005696565,0.0012874057,0.44248396
Obscn,0.00012668967,0.00043523312,0.0005619228,0.0006132255,0.9163394
Cux2,7.392466e-05,0.00048309565,0.0005570203,0.0011260146,0.4946829
Myl2,0.000105232,0.00045126677,0.00055649877,0.00096018036,0.5795772
Sorbs2,9.855628e-05,0.0004541874,0.0005527437,0.0005388221,1.025837
Sema6d,7.633865e-05,0.00046917796,0.0005455166,0.0010186239,0.5355426
Ctnna3,5.3942204e-05,0.0004904866,0.0005444288,0.0005474934,0.9944024
Lncpint,5.979091e-05,0.00048351288,0.0005433038,0.0013124868,0.41394982
Ano4,5.581975e-05,0.00048732758,0.0005431473,0.0007990607,0.67973214
Myom1,9.217858e-05,0.00044447184,0.0005366504,0.00054564886,0.9835086
Arntl2,7.3067844e-05,0.000459522,0.00053258985,0.0013939346,0.38207656
Rora,6.1541796e-05,0.0004683733,0.0005299151,0.00079518434,0.6664052
Kif26b,5.7816505e-05,0.00047159195,0.00052940845,0.00062893797,0.8417498
Zfp827,7.8469515e-05,0.00045090914,0.00052937865,0.00064779416,0.81720185
Atp1b1,6.2674284e-05,0.00046667457,0.00052934885,0.00072500797,0.7301282
Esrrg,4.1678548e-05,0.00048702955,0.0005287081,0.0006999663,0.75533354
Prox1,7.107854e-05,0.0004518032,0.00052288175,0.0007168059,0.7294606
Grin3a,0.000112086535,0.00040876865,0.0005208552,0.00082188036,0.6337359
Myl3,9.906292e-05,0.0004195273,0.0005185902,0.0008502396,0.6099341
Tpm1,6.490946e-05,0.0004479885,0.00051289797,0.00051503524,0.9958501
Trim55,7.6532364e-05,0.0004361272,0.00051265955,0.0004908388,1.044456
Smyd1,8.9138746e-05,0.00042161345,0.0005107522,0.000612324,0.8341207
