gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Smyd1,-8.8095665e-05,-0.00033909082,-0.0004271865,-0.0005121398,0.8341207
Ttn,-8.7440014e-05,-0.00031745434,-0.00040489435,-0.00032184157,1.2580547
Myom1,-7.432699e-05,-0.00029087067,-0.00036519766,-0.00037132122,0.9835086
Tnni1,-4.7266483e-05,-0.000305295,-0.00035256147,-0.00033088616,1.0655067
Filip1,-5.7578087e-05,-0.00029468536,-0.00035226345,-0.0004289816,0.821162
Ldb3,-5.7786703e-05,-0.00028395653,-0.00034174323,-0.00031586667,1.0819223
Nexn,-6.300211e-05,-0.00027278066,-0.00033578277,-0.00033476288,1.0030465
Myh6,-0.00010716915,-0.00022554398,-0.00033271313,-0.0002978516,1.1170431
3632451O06Rik,-8.007884e-05,-0.00025129318,-0.00033137202,-0.0006718274,0.49323973
Nebl,-9.11355e-05,-0.00023972988,-0.00033086538,-0.0003339372,0.9908011
Ctnna3,-3.772974e-05,-0.00028908253,-0.00032681227,-0.0003286519,0.9944024
Actn2,-4.2796135e-05,-0.0002836585,-0.00032645464,-0.00032842645,0.9939961
Grin3a,-6.905198e-05,-0.00025627017,-0.00032532215,-0.0005133402,0.6337359
Asb2,-5.558133e-05,-0.0002682209,-0.00032380223,-0.0003798288,0.85249513
Ppp1r14c,-3.145635e-05,-0.00028705597,-0.00031851232,-0.00044575083,0.7145523
Tmod1,-4.529953e-05,-0.00027263165,-0.00031793118,-0.00036242462,0.8772338
Ankrd1,-6.937981e-05,-0.00024855137,-0.00031793118,-0.000493336,0.6444515
Myocd,-4.5776367e-05,-0.00025600195,-0.00030177832,-0.00040156711,0.75150144
Jph2,-3.8594007e-05,-0.0002604723,-0.0002990663,-0.00033675242,0.8880894
Gpld1,-2.2487715e-05,-0.00026541948,-0.0002879072,-0.0015554307,0.18509795
Trim55,-5.0634146e-05,-0.00023180246,-0.0002824366,-0.000270415,1.044456
Palm2,-5.814433e-05,-0.00022244453,-0.00028058887,-0.00033532074,0.8367774
Myl7,-7.271767e-05,-0.00020691752,-0.0002796352,-0.00038370685,0.7287729
Myo18b,-6.210804e-05,-0.00021219254,-0.00027430058,-0.00031455912,0.87201583
Acta2,-5.1409006e-05,-0.00022098422,-0.00027239323,-0.00045079677,0.6042483
Unc13c,-3.2171607e-05,-0.00022912025,-0.00026129186,-0.0005885315,0.44397253
Myh7,-6.109476e-05,-0.00019973516,-0.00026082993,-0.00029669487,0.8791183
Mylk3,-4.9084425e-05,-0.0002117455,-0.00026082993,-0.0003611578,0.72220474
