gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Rel,7.337332e-05,0.00040575862,0.00047913194,0.0010971158,0.43671948
Myl9,3.924966e-05,0.0004310906,0.00047034025,0.0005809092,0.8096621
Myl2,7.477403e-05,0.00038987398,0.000464648,0.0008017015,0.5795772
Obscn,7.364154e-05,0.00037145615,0.00044509768,0.00048573446,0.9163394
Etv2,1.8319115e-06,0.00043347478,0.0004353067,0.0076556583,0.056860678
Tnni1,3.6120415e-05,0.00038725138,0.0004233718,0.0003973431,1.0655067
Slc16a10,3.6090612e-05,0.00034204125,0.00037813187,0.0005631229,0.6714907
Zfp14,6.309152e-05,0.0003104955,0.000373587,0.00096749805,0.38613713
Pip5k1b,4.297495e-05,0.00032931566,0.0003722906,0.00042331143,0.879472
Trim55,4.6551228e-05,0.0003246665,0.00037121773,0.00035541726,1.044456
Myh7b,4.246831e-05,0.00032004714,0.00036251545,0.0005355467,0.6769072
Actn2,3.20673e-05,0.00033038855,0.00036245584,0.0003646451,0.9939961
Trdn,5.8308244e-05,0.0002990365,0.00035734475,0.00065589725,0.54481804
Zfp987,4.5668334e-05,0.00031079724,0.00035646558,0.0069931797,0.050973218
Pde4b,2.6673079e-05,0.0003286004,0.00035527349,0.00046990442,0.75605464
Lama4,4.8279762e-05,0.00030604005,0.0003543198,0.0004959187,0.71447146
Atf4,4.6223402e-05,0.00030748174,0.00035370514,0.0013410257,0.26375708
Nfkb2,5.5730343e-05,0.0002975315,0.00035326183,0.001820474,0.19404925
Asb2,3.6656857e-05,0.0003157258,0.00035238266,0.0004133544,0.85249513
Rnf213,4.874915e-05,0.0003029257,0.00035167485,0.0010293277,0.3416548
Xpa,-5.9887767e-05,-0.000286296,-0.00034618378,-0.00086900557,0.39836764
Zkscan7,5.285442e-05,0.00029212236,0.00034497678,0.0011936657,0.2890061
Mical2,4.3094158e-05,0.00029581785,0.000338912,0.0003122918,1.0852413
Kif26b,3.156066e-05,0.0003065467,0.00033810735,0.00040167198,0.8417498
Lcn3,3.1807693e-05,0.00030604005,0.00033784774,0.01825702,0.018504987
Ntn1,3.3795834e-05,0.0003029704,0.00033676624,0.000800956,0.42045528
Gm14399,5.3606927e-05,0.00027778745,0.00033139437,0.0014164079,0.23396808
Tgfbr3,3.4689903e-05,0.00029554963,0.00033023953,0.0007518895,0.43921277
Lipf,3.6984682e-05,0.00029209442,0.0003290791,0.0067677256,0.048624672
Zbtb18,6.3210726e-05,0.00026451796,0.0003277287,0.0013477943,0.24315917
Kcnh7,4.386902e-05,0.0002836585,0.00032752752,0.00040689664,0.8049402
Lncpint,3.2000244e-05,0.00029358268,0.00032558292,0.00078652735,0.41394982
Esrra,3.7819147e-05,0.00027894974,0.00031676888,0.00042585214,0.743847
Glis2,4.118681e-05,0.00027057528,0.0003117621,0.00047358702,0.6582994
Akap6,3.3453107e-05,0.00027790666,0.00031135976,0.0007163365,0.43465567
Nkx2-6,1.8969178e-05,0.0002921559,0.00031112507,0.005181736,0.060042534
Cma1,4.0627085e-05,0.00026743673,0.0003080638,0.011992425,0.0256881
Zfp937,5.481392e-05,0.00025024265,0.00030505657,0.0016859124,0.1809444
Zfp712,4.709512e-05,0.00025731325,0.00030440837,0.0014030695,0.21695876
Ror1,3.6150217e-05,0.0002657771,0.00030192733,0.0008137993,0.37100947
Hopx,4.2319298e-05,0.0002592206,0.0003015399,0.00075084495,0.40160066
Zfp169,5.38826e-05,0.00024536252,0.00029924512,0.0010246277,0.29205245
Ldb3,3.579259e-05,0.00026261806,0.00029841065,0.0002758152,1.0819223
Zfp54,4.567951e-05,0.00025121868,0.0002968982,0.0013615193,0.21806377
Zfpm2,1.9311905e-05,0.00027519464,0.00029450655,0.00043255006,0.68086106
Irx4,4.49121e-05,0.0002490729,0.000293985,0.000720626,0.40795773
Tsc22d4,5.64456e-05,0.00023536384,0.00029180944,0.00052606827,0.5546987
Hmcn1,3.668666e-05,0.00025454164,0.0002912283,0.0006026806,0.48322153
Tnni3k,2.9370189e-05,0.00026094913,0.00029031932,0.0007375639,0.39361915
Pura,5.9902668e-05,0.00023016334,0.000290066,0.0007635193,0.37990648
Thap3,4.9501657e-05,0.00023952127,0.00028902292,0.00045531208,0.6347797
Ereg,4.2598695e-05,0.00024624355,0.00028884225,0.008449369,0.034184966
Gm14443,3.0755997e-05,0.00025767088,0.00028842688,0.0012263028,0.23520027
Atp6v0a2,3.798306e-05,0.00024914742,0.00028713048,0.0005123824,0.560383
