gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Tmem163,-6.2823296e-05,-0.00044298172,-0.000505805,-0.00079791783,0.633906
Myo18b,-8.255243e-05,-0.00039988756,-0.00048244,-0.00055324676,0.87201583
Kif26b,-3.8713217e-05,-0.0003514886,-0.0003902018,-0.00046356025,0.8417498
Myh6,-9.1671944e-05,-0.0002900958,-0.00038176775,-0.0003417663,1.1170431
Pgm5,-2.0861626e-05,-0.00035065413,-0.00037151575,-0.00043759233,0.84899956
Mecom,5.1409006e-05,0.0002861023,0.0003375113,0.0008126484,0.41532257
Nrp2,6.7323446e-05,0.00025497377,0.00032229722,0.0011444159,0.28162587
Gabrb1,5.327165e-05,0.00026716292,0.00032043457,0.0013057764,0.24539763
Foxp4,6.0483813e-05,0.00025841594,0.00031889975,0.0006545453,0.48720795
Tnc,6.350875e-05,0.00025254488,0.00031605363,0.0010246396,0.30845338
Esrrb,-1.898408e-05,-0.00029152632,-0.0003105104,-0.00067918014,0.45718408
Actn2,-3.528595e-05,-0.00027507544,-0.00031036139,-0.000312236,0.9939961
Gramd1b,-3.387034e-05,-0.00026673079,-0.00030060112,-0.00045815614,0.6561105
Erbb4,-2.1874905e-05,-0.00027364492,-0.00029551983,-0.0003058703,0.96616054
Zfp64,4.8086047e-05,0.00024110079,0.00028918684,0.0006693462,0.43204367
Mast4,-4.0203333e-05,-0.00024360418,-0.00028380752,-0.00028975276,0.9794816
Nfya,5.747378e-05,0.00022397935,0.00028145313,0.0007682635,0.36634967
Frmd4b,5.671382e-05,0.00022432208,0.0002810359,0.00045591465,0.61642206
Synpo2,3.7059188e-05,0.00024202466,0.00027908385,0.0004964095,0.5622048
Myrfl,3.17581e-05,0.0002463907,0.0002781488,0.0009901772,0.28090802
Sema3c,6.145239e-05,0.00021415949,0.00027561188,0.00039312767,0.7010746
Ltbp1,2.8043985e-05,0.00024485588,0.00027289987,0.00034928657,0.7813064
Sema6d,3.9622188e-05,0.00023186207,0.00027148426,0.00050693296,0.5355426
Dkk3,-3.33637e-05,-0.00023469329,-0.000268057,-0.00041560794,0.6449755
Trpc3,3.2499433e-05,0.00023397803,0.00026647747,0.0006154413,0.4329859
Slc8a1,-2.7030706e-05,-0.00023770332,-0.00026473403,-0.00024643837,1.0742402
Ldb3,-3.4809113e-05,-0.00022935867,-0.0002641678,-0.0002441652,1.0819223
Thap3,5.441904e-05,0.00020691752,0.00026133657,0.0004116964,0.6347797
Smad6,3.07858e-05,0.00022915006,0.00025993586,0.00041791465,0.621983
Ttn,-5.0485134e-05,-0.0002092123,-0.00025969744,-0.00020642775,1.2580547
Zfp740,4.0873885e-05,0.00021871924,0.00025959313,0.0005155559,0.50352067
Kcnh7,-3.349781e-05,-0.00022280216,-0.00025629997,-0.00031840865,0.8049402
Ctnna3,-2.3305416e-05,-0.00022745132,-0.00025075674,-0.00025216825,0.9944024
Zfp85,3.20673e-05,0.00021725893,0.00024932623,0.0010074653,0.24747863
Zfpm2,-1.3783574e-05,-0.00023531914,-0.0002491027,-0.00036586417,0.68086106
Gm28047,-3.4114346e-05,-0.00021262467,-0.00024673901,-0.0023030462,0.10713585
Plxdc2,3.941357e-05,0.00020581484,0.0002452284,0.00044906005,0.54609257
Ankrd1,-4.8607588e-05,-0.00019478798,-0.00024339557,-0.00037767857,0.6444515
Zfp605,4.249811e-05,0.00020088255,0.00024338067,0.0010696332,0.22753647
Lcor,3.838539e-05,0.00020498037,0.00024336576,0.0003212646,0.75752425
Ano4,-2.2992492e-05,-0.00021764636,-0.00024063885,-0.00035402004,0.67973214
Angpt1,-2.5600195e-05,-0.00021287799,-0.00023847818,-0.00042821473,0.5569125
Palld,-4.6670437e-05,-0.00019162893,-0.00023829937,-0.00019277663,1.2361423
Aff3,2.2545457e-05,0.00020989776,0.00023244321,0.00038040036,0.61104876
Zfp97,-5.479902e-05,-0.00017712265,-0.00023192167,-0.0014354324,0.1615691
Amph,3.1977892e-05,0.00019820035,0.00023017824,0.0009599732,0.23977558
Cdh3,3.170967e-05,0.00019812584,0.00022983551,0.00046556586,0.4936691
Rgs6,-2.6792288e-05,-0.00020244718,-0.00022923946,-0.0003095674,0.7405154
Zfp251,3.604591e-05,0.00019077957,0.00022682548,0.00059486716,0.38130432
Etl4,2.913177e-05,0.00019359589,0.00022272766,0.00047212746,0.47175315
Zfp867,-3.992766e-05,-0.00018182397,-0.00022175163,-0.0008889797,0.24944499
Lama4,-3.927946e-05,-0.00018200278,-0.00022128224,-0.00030971455,0.71447146
Galnt14,4.120916e-05,0.0001796633,0.00022087246,0.0009235661,0.23915166
Trim55,-3.245473e-05,-0.00018811226,-0.00022056699,-0.00021117879,1.044456
Gtf2ird2,3.7059188e-05,0.00018289685,0.00021995604,0.00038870235,0.56587255
Mical2,-2.8848648e-05,-0.00019055605,-0.0002194047,-0.00020217133,1.0852413
Casz1,-4.118681e-05,-0.00017791986,-0.00021910667,-0.00024784522,0.8840463
Edil3,3.1024218e-05,0.00018796325,0.00021898746,0.0004980227,0.43971372
Ryr2,-2.6971102e-05,-0.00019091368,-0.00021788478,-0.00021458897,1.0153586
Zfp236,3.6746264e-05,0.00018075109,0.00021749735,0.00039232112,0.5543859
Ppp1r14c,-1.9550323e-05,-0.00019735098,-0.0002169013,-0.0003035485,0.7145523
Cacna1c,-3.0219555e-05,-0.0001835227,-0.00021374226,-0.0001963352,1.0886598
Cc2d1a,5.5760145e-05,0.00015716255,0.00021292269,0.00057863153,0.36797622
Meis2,3.2186508e-05,0.00018030405,0.00021249056,0.0003409063,0.6233106
Zfp809,3.6597252e-05,0.0001758039,0.00021240115,0.0004726408,0.44939226
Zkscan5,3.8847327e-05,0.0001731664,0.00021201372,0.000588325,0.36036828
Grid2,2.4460256e-05,0.00018697977,0.00021144003,0.0005782538,0.36565253
Emilin2,-1.8000603e-05,-0.00019338727,-0.00021138787,-0.0003253558,0.6497128
Fam179a,3.4101307e-05,0.00017690659,0.0002110079,0.0011146384,0.18930604
Zfp54,3.0100346e-05,0.00017990172,0.00021000206,0.00096303003,0.21806377
Etv5,3.1873584e-05,0.00017809868,0.00020997226,0.0005916221,0.35490936
Mysm1,3.8534403e-05,0.00017124414,0.00020977855,0.00043150797,0.4861521
Zfpm1,3.324449e-05,0.00017495453,0.00020819902,0.00057882984,0.3596894
Zfp950,3.1411648e-05,0.00017386675,0.0002052784,0.0002803342,0.73226297
Zim1,4.157424e-05,0.00016364455,0.00020521879,0.00039729127,0.5165448
Myom1,-4.0769577e-05,-0.00016403198,-0.00020480156,-0.00020823564,0.9835086
Cebpg,4.7519803e-05,0.00015640259,0.00020392239,0.0005706723,0.35733703
Bmp6,1.8253922e-05,0.00018538535,0.00020363927,0.0007280458,0.27970657
E2f3,2.56598e-05,0.0001770556,0.0002027154,0.00045965562,0.44101572
Syne1,2.8833747e-05,0.0001719892,0.00020082295,0.0004457877,0.45049
Zfp60,4.2960048e-05,0.00015673041,0.00019969046,0.00054631813,0.3655204
