gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Gpld1,1.2500212e-05,0.00017946959,0.0001919698,0.0010371249,0.18509795
Etv2,8.349307e-07,0.0001536049,0.00015443983,0.0027161047,0.056860678
Zfp85,1.4521182e-05,7.7843666e-05,9.236485e-05,0.00037322336,0.24747863
Cyp26b1,7.789582e-06,7.740408e-05,8.5193664e-05,0.0006053006,0.14074594
Nkx2-6,5.5311248e-06,7.5913966e-05,8.144509e-05,0.0013564543,0.060042534
Klf10,7.733703e-06,6.443262e-05,7.2166324e-05,0.00023716142,0.3042919
Cebpg,-2.1025538e-05,-5.032122e-05,-7.134676e-05,-0.00019966233,0.35733703
Zgpat,7.681549e-06,6.335974e-05,7.1041286e-05,0.00020217402,0.35138673
Gm14443,9.678304e-06,6.082654e-05,7.0504844e-05,0.00029976503,0.23520027
Lypd6,-1.0147691e-05,-5.888939e-05,-6.903708e-05,-0.00016402957,0.42088184
Klf13,-8.21054e-06,-6.0468912e-05,-6.867945e-05,-0.00016789377,0.40906483
Gm12295,7.174909e-06,5.2690506e-05,5.9865415e-05,0.00016626113,0.36006853
Gtf2ird2,7.852912e-06,5.197525e-05,5.9828162e-05,0.00010572725,0.56587255
Sox30,7.824972e-06,5.186349e-05,5.9688464e-05,0.00087160955,0.06848064
Zfp873,-1.4156103e-05,-4.5374036e-05,-5.953014e-05,-0.00017928926,0.33203396
Zfp467,1.0147691e-05,4.8831105e-05,5.8978796e-05,0.00018876248,0.3124497
Nexn,6.4969063e-06,5.143881e-05,5.7935715e-05,5.7759742e-05,1.0030465
Csrnp1,1.167506e-05,4.5754015e-05,5.7429075e-05,0.00030492534,0.18833804
Plxdc2,-7.838011e-06,-4.914403e-05,-5.698204e-05,-0.000104344996,0.54609257
Zfp628,4.172325e-06,5.146861e-05,5.5640936e-05,0.00023307923,0.23872101
Ttn,8.702278e-06,4.6789646e-05,5.5491924e-05,4.4109303e-05,1.2580547
Zfp977,6.3180923e-06,4.9114227e-05,5.543232e-05,0.00020703781,0.26773998
Zfp947,-5.684793e-06,-4.9710274e-05,-5.5395067e-05,-0.00017136459,0.32325846
Foxj2,-9.581447e-06,-4.5403838e-05,-5.4985285e-05,-0.00012940215,0.42491776
Etv3,-1.08629465e-05,-4.4085085e-05,-5.4948032e-05,-0.00014941295,0.3677594
Frmd4b,7.2419643e-06,4.7653913e-05,5.4895878e-05,8.905565e-05,0.61642206
Pcsk5,-8.389354e-06,-4.6104193e-05,-5.4493546e-05,-0.000109359404,0.49829766
Zfp637,7.5921416e-06,4.6506524e-05,5.4098666e-05,0.00033310475,0.16240726
Nebl,1.04010105e-05,4.3213367e-05,5.3614378e-05,5.4112144e-05,0.9908011
Rspo3,-1.4066696e-05,-3.85195e-05,-5.2586198e-05,-0.00012744726,0.41261137
Tcf19,7.852912e-06,4.427135e-05,5.2124262e-05,0.00023041366,0.22622027
Zfp72,6.854534e-06,4.5090914e-05,5.1945448e-05,0.0004407869,0.11784698
Zfp51,1.0155141e-05,4.0963292e-05,5.1118433e-05,0.00024687152,0.2070648
Zfp948,-1.168251e-05,-3.8564205e-05,-5.0246716e-05,-0.00012232197,0.41077417
2010315B03Rik,-1.0117888e-05,-4.0128827e-05,-5.0246716e-05,-0.0001349642,0.37229654
Actb,9.089708e-06,4.041195e-05,4.9501657e-05,0.00013886993,0.3564605
3632451O06Rik,7.987022e-06,4.1246414e-05,4.9233437e-05,9.9816425e-05,0.49323973
Smad6,-6.1541796e-06,-4.2438507e-05,-4.8592687e-05,-7.812541e-05,0.621983
Zfp9,-1.0743737e-05,-3.7536025e-05,-4.8279762e-05,-0.00018087255,0.26692688
Ciz1,-6.0498714e-06,-4.221499e-05,-4.826486e-05,-9.339579e-05,0.5167776
Tox4,8.6426735e-06,3.950298e-05,4.814565e-05,0.00013471904,0.35737815
Zbtb37,7.1823597e-06,4.094839e-05,4.813075e-05,0.00010533368,0.4569359
Tulp2,4.2021275e-06,4.3831766e-05,4.8033893e-05,0.00025744032,0.18658252
Sox5,-5.096197e-06,-4.2676926e-05,-4.7773123e-05,-0.0001244503,0.38387302
Cux2,-5.5879354e-06,-4.1931868e-05,-4.7519803e-05,-9.606112e-05,0.4946829
