gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Myh6,-2.3543835e-05,-7.045269e-05,-9.3996525e-05,-8.4147614e-05,1.1170431
Kcnh7,-1.4364719e-05,-7.736683e-05,-9.173155e-05,-0.00011396068,0.8049402
Obscn,-1.8000603e-05,-7.2836876e-05,-9.083748e-05,-9.913081e-05,0.9163394
Bcl2,-1.513958e-05,-7.355213e-05,-8.869171e-05,-0.000112135436,0.7909337
Atf4,9.894371e-06,6.8716705e-05,7.8611076e-05,0.00029804336,0.26375708
Nfkb2,1.3887882e-05,6.425567e-05,7.814355e-05,0.00040269937,0.19404925
Myl9,-9.298325e-06,-6.791949e-05,-7.721782e-05,-9.537041e-05,0.8096621
Ldb3,-1.04904175e-05,-6.6280365e-05,-7.677078e-05,-7.095775e-05,1.0819223
Grin3a,-1.2457371e-05,-5.9634447e-05,-7.209182e-05,-0.00011375686,0.6337359
Tnni1,-7.95722e-06,-6.41346e-05,-7.209182e-05,-6.765965e-05,1.0655067
Tmem163,-1.0251999e-05,-6.148219e-05,-7.173419e-05,-0.00011316217,0.633906
Lcn3,7.780734e-06,6.0753897e-05,6.853463e-05,0.0037035563,0.018504987
Pf4,1.0811724e-05,5.766377e-05,6.847549e-05,0.0040662857,0.016839713
Palm2,-1.1175871e-05,-5.722046e-05,-6.839633e-05,-8.173777e-05,0.8367774
Asb2,-1.0460615e-05,-5.64754e-05,-6.6936016e-05,-7.851776e-05,0.85249513
Il15,-8.389354e-06,-5.8442354e-05,-6.683171e-05,-0.00014195168,0.47080594
Zfp651,-1.3366342e-05,-5.222857e-05,-6.559491e-05,-0.00016449395,0.39876786
Gja4,9.593554e-06,5.5463985e-05,6.505754e-05,0.0028158287,0.023104124
Palld,-1.4066696e-05,-5.018711e-05,-6.425381e-05,-5.1979292e-05,1.2361423
Nebl,-1.3709068e-05,-4.9591064e-05,-6.330013e-05,-6.388783e-05,0.9908011
Zfp322a,1.1742115e-05,4.9978495e-05,6.172061e-05,0.00012219891,0.505083
Myl4,-8.523464e-06,-5.2392483e-05,-6.0915947e-05,-6.2686566e-05,0.9717543
Cma1,8.387491e-06,5.2288175e-05,6.0675666e-05,0.0023620052,0.0256881
Tcl1b1,3.532914e-06,5.709566e-05,6.0628576e-05,0.004695614,0.012911647
Rspo3,-1.2785196e-05,-4.7430396e-05,-6.0215592e-05,-0.00014593777,0.41261137
Ttn,-1.1384487e-05,-4.839897e-05,-5.978346e-05,-4.752055e-05,1.2580547
Pla2r1,-1.0639429e-05,-4.9114227e-05,-5.9753656e-05,-0.00013360912,0.44722727
Tsc22d4,-1.1086464e-05,-4.8160553e-05,-5.9247017e-05,-0.00010680934,0.5546987
Angpt1,-8.85129e-06,-4.9948692e-05,-5.8799982e-05,-0.00010558206,0.5569125
Pms1,-6.273389e-06,-5.248189e-05,-5.875528e-05,-0.00015111855,0.38880244
Zfp273,-1.2382865e-05,-4.6297908e-05,-5.8680773e-05,-0.00034498973,0.17009415
Zfp950,-9.298325e-06,-4.9322844e-05,-5.8621168e-05,-8.005479e-05,0.73226297
Nfrkb,-8.836389e-06,-4.8696995e-05,-5.7533383e-05,-0.000114296454,0.5033697
Zfp189,-7.033348e-06,-5.00679e-05,-5.710125e-05,-0.00019911614,0.2867735
Zfp263,-1.1146069e-05,-4.5709312e-05,-5.685538e-05,-0.00016612127,0.34225217
Alcam,-9.745359e-06,-4.708767e-05,-5.683303e-05,-7.64786e-05,0.7431232
