gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Myh6,-0.00020343065,-0.000639379,-0.0008428097,-0.0007545005,1.1170431
Pip5k1b,-0.000116854906,-0.00069993734,-0.00081679225,-0.0009287301,0.879472
Tmem163,-0.00010472536,-0.000646472,-0.00075119734,-0.0011850293,0.633906
Rgs6,-0.00010186434,-0.0006196797,-0.000721544,-0.0009743807,0.7405154
Pgm5,-4.246831e-05,-0.00064080954,-0.00068327785,-0.0008048034,0.84899956
Erbb4,-5.0976872e-05,-0.000613749,-0.0006647259,-0.0006880076,0.96616054
Grin3a,-0.00011113286,-0.00054487586,-0.0006560087,-0.0010351451,0.6337359
Ctnna3,-6.324053e-05,-0.0005611181,-0.00062435865,-0.0006278732,0.9944024
Actn2,-6.3955784e-05,-0.0005476475,-0.00061160326,-0.0006152974,0.9939961
Casz1,-0.00010547042,-0.00050389767,-0.0006093681,-0.0006892942,0.8840463
Palld,-0.00012266636,-0.00047451258,-0.00059717894,-0.00048309882,1.2361423
Ldb3,-7.8588724e-05,-0.00049996376,-0.0005785525,-0.0005347449,1.0819223
Myo18b,-0.000101059675,-0.00046899915,-0.0005700588,-0.00065372523,0.87201583
Arhgap31,-7.405877e-05,-0.0004836321,-0.00055769086,-0.00068385445,0.8155109
Mical2,-7.766485e-05,-0.0004685521,-0.00054621696,-0.0005033138,1.0852413
Sdk1,-7.8350306e-05,-0.00046610832,-0.0005444586,-0.0005739715,0.9485812
Kcnh7,-7.855892e-05,-0.0004528761,-0.000531435,-0.00066021667,0.8049402
Trim55,-7.331371e-05,-0.00044327974,-0.00051659346,-0.0004946052,1.044456
Slc24a2,-7.686019e-05,-0.0004300475,-0.0005069077,-0.0010231533,0.4954366
Slc16a10,-5.7205558e-05,-0.000446558,-0.00050376356,-0.00075021654,0.6714907
Obscn,-9.766221e-05,-0.0003887713,-0.0004864335,-0.0005308442,0.9163394
Kcnq3,-6.73607e-05,-0.00039616227,-0.00046352297,-0.0011378437,0.40736955
Slc8a1,-4.6551228e-05,-0.0004082322,-0.00045478344,-0.00042335354,1.0742402
Grid2,5.9731305e-05,0.00039207935,0.00045181066,0.0012356282,0.36565253
Myh7b,-5.7965517e-05,-0.00037658215,-0.00043454766,-0.00064196036,0.6769072
Kif26b,-3.6805868e-05,-0.0003861189,-0.00042292476,-0.00050243514,0.8417498
Rassf5,-8.429587e-05,-0.000336051,-0.00042034686,-0.0008054577,0.5218732
Sphkap,-8.0406666e-05,-0.00033915043,-0.0004195571,-0.00050913705,0.8240552
Fbxo32,-8.4757805e-05,-0.00033271313,-0.00041747093,-0.0008695099,0.48012203
Emilin2,-5.2660704e-05,-0.00036257505,-0.00041523576,-0.0006391065,0.6497128
Lncpint,-4.0866435e-05,-0.0003722906,-0.00041315705,-0.0009980847,0.41394982
Myl9,-4.49121e-05,-0.0003671944,-0.0004121065,-0.0005089857,0.8096621
