gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Zfp955b,-9.179115e-06,-6.276369e-05,-7.1942806e-05,-0.00026063385,0.27603006
Zfp934,-9.059906e-06,-5.3808093e-05,-6.2868e-05,-0.0002118799,0.29671517
Pakap,-7.3313713e-06,-5.5253506e-05,-6.258488e-05,-6.946781e-05,0.900919
Cd5,-7.874332e-06,-4.9535185e-05,-5.7409517e-05,-0.001190491,0.048223294
Epha7,-8.866191e-06,-4.813075e-05,-5.699694e-05,-9.548019e-05,0.59695035
Ptprb,-1.042895e-05,-4.5470893e-05,-5.5899844e-05,-0.0016010982,0.03491334
Erbb4,-4.9620867e-06,-5.0842762e-05,-5.580485e-05,-5.775939e-05,0.96616054
Adgrf5,-9.490177e-06,-4.5705587e-05,-5.5195764e-05,-0.0013601814,0.04057961
Fgd5,-1.03432685e-05,-4.408881e-05,-5.443208e-05,-0.0010789698,0.050448094
Arap3,-9.706244e-06,-4.268624e-05,-5.2392483e-05,-0.0011434923,0.04581786
Esrrg,-4.8577785e-06,-4.708767e-05,-5.1945448e-05,-6.877152e-05,0.75533354
Zfp974,-6.4969063e-06,-4.3183565e-05,-4.968047e-05,-0.00010664692,0.46584058
Vcan,-9.447336e-06,-4.017353e-05,-4.9620867e-05,-6.431732e-05,0.7715007
Zfp9,-1.14142895e-05,-3.7401915e-05,-4.8816204e-05,-0.00018288224,0.26692688
Plvap,-8.121133e-06,-4.0085986e-05,-4.820712e-05,-0.0011731506,0.04109191
Hand2,-9.611249e-06,-3.835559e-05,-4.7966838e-05,-0.00014076216,0.34076506
St8sia4,-8.448958e-06,-3.8571656e-05,-4.7020614e-05,-0.00057220156,0.082174815
Slit3,-6.467104e-06,-4.0501356e-05,-4.696846e-05,-7.202163e-05,0.6521437
Zfp943,-8.359551e-06,-3.8415194e-05,-4.6774745e-05,-0.000104806815,0.44629478
Rbm20,-4.6789646e-06,-4.1782856e-05,-4.646182e-05,-4.581442e-05,1.0141308
Calcrl,-7.376075e-06,-3.9022416e-05,-4.639849e-05,-0.0005853639,0.07926426
Bmp5,-5.170703e-06,-4.0769577e-05,-4.594028e-05,-0.00010633153,0.4320475
Gm3604,-4.74602e-06,-4.1112304e-05,-4.5858324e-05,-0.00015684731,0.2923755
Cd34,-8.130446e-06,-3.765151e-05,-4.5781955e-05,-0.00096164446,0.047607884
Rsl1,-6.146729e-06,-3.926456e-05,-4.541129e-05,-0.0002529204,0.17954764
Slc8a1,-5.6922436e-06,-3.963709e-05,-4.5329332e-05,-4.219664e-05,1.0742402
Bace2,-6.7166984e-06,-3.6951154e-05,-4.3667853e-05,-0.0007792372,0.056039132
Gm44973,-5.6624413e-06,-3.7804246e-05,-4.3466687e-05,-0.0002100421,0.20694263
AW146154,-6.213784e-06,-3.616512e-05,-4.2378902e-05,-0.00011300504,0.37501773
Rassf9,-6.377697e-06,-3.5874546e-05,-4.2252243e-05,-0.0007913697,0.05339118
Actn2,-5.275011e-06,-3.683567e-05,-4.211068e-05,-4.236503e-05,0.9939961
Ets1,-6.8992376e-06,-3.5092235e-05,-4.1991472e-05,-0.00046608222,0.09009446
Etv2,2.682209e-07,4.1719526e-05,4.1987747e-05,0.00073843077,0.056860678
Zfp382,-9.380281e-06,-3.257394e-05,-4.195422e-05,-0.00014647568,0.2864244
Ahr,-7.4617565e-06,-3.4101307e-05,-4.1563064e-05,-0.0005598106,0.07424477
Cacnb2,-6.7055225e-06,-3.4749508e-05,-4.145503e-05,-4.5924276e-05,0.9026822
Homez,-7.44313e-06,-3.398955e-05,-4.143268e-05,-0.00015218183,0.27225763
Hgf,-7.1004033e-06,-3.4108758e-05,-4.120916e-05,-0.0003324535,0.12395457
Tek,-5.673617e-06,-3.521517e-05,-4.0888786e-05,-0.00046448843,0.08802962
Dach1,-4.976988e-06,-3.567338e-05,-4.0650368e-05,-7.182538e-05,0.56596094
Zfp108,-6.7725778e-06,-3.3621676e-05,-4.0394254e-05,-0.0008326602,0.04851219
Cacna1c,-7.7188015e-06,-3.2663345e-05,-4.0382147e-05,-3.7093447e-05,1.0886598
Tie1,-6.9364905e-06,-3.3302233e-05,-4.0238723e-05,-0.0013175712,0.030539975
Pde7b,-4.053116e-06,-3.606081e-05,-4.0113926e-05,-0.0002764799,0.14508793
Emcn,-6.5723434e-06,-3.340654e-05,-3.9978884e-05,-0.0010493125,0.038099974
Plcb1,-5.990267e-06,-3.3915043e-05,-3.990531e-05,-0.00010128129,0.39400464
Cap2,-4.4107437e-06,-3.5345554e-05,-3.9756298e-05,-5.5304663e-05,0.7188597
Igf2,-8.583069e-06,-3.116578e-05,-3.9748847e-05,-6.836476e-05,0.5814229
Pde3a,-7.033348e-06,-3.2663345e-05,-3.9696693e-05,-4.934101e-05,0.80453736
Col26a1,-8.34465e-06,-3.1135976e-05,-3.9480627e-05,-0.0002005742,0.1968379
Elk3,-6.3441694e-06,-3.2942742e-05,-3.928691e-05,-0.00038567494,0.10186525
Zbtb20,-6.735325e-06,-3.248453e-05,-3.9219856e-05,-4.1650936e-05,0.9416319
Gm14443,6.6012144e-06,3.245473e-05,3.9055943e-05,0.00016605391,0.23520027
Zfp994,6.005168e-06,3.297627e-05,3.8981438e-05,0.00012739205,0.30599576
Ano4,-4.813075e-06,-3.412366e-05,-3.8936734e-05,-5.7282457e-05,0.67973214
