gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Kcnh7,-7.659197e-05,-0.00029182434,-0.0003684163,-0.00045769394,0.8049402
Tbx20,-7.632375e-05,-0.0002811849,-0.00035750866,-0.00045934552,0.7783
Ryr2,-5.567074e-05,-0.0002644658,-0.00032013655,-0.00031529405,1.0153586
Gata4,-4.6387315e-05,-0.00027114153,-0.00031752884,-0.00045552276,0.6970646
Erbb4,-2.9727817e-05,-0.00025504827,-0.0002847761,-0.00029475024,0.96616054
Tmem108,-5.0723553e-05,-0.0002321899,-0.00028291345,-0.00035687903,0.79274315
Pde3a,-4.8696995e-05,-0.00023120642,-0.0002799034,-0.000347906,0.80453736
Prdm6,-4.7579408e-05,-0.00023126602,-0.00027884543,-0.00069456216,0.4014693
Ccdc141,-7.221103e-05,-0.0002039671,-0.00027617812,-0.00027438166,1.0065472
Dpf3,-4.4882298e-05,-0.00022089481,-0.0002657771,-0.00033552272,0.7921284
Slc8a1,-3.6001205e-05,-0.00022798777,-0.00026398897,-0.0002457448,1.0742402
Dsp,-3.2365322e-05,-0.00022876263,-0.00026112795,-0.0002798825,0.93299127
Sphkap,-5.5789948e-05,-0.00019997358,-0.00025576353,-0.0003103718,0.8240552
Tnni1,-3.412366e-05,-0.00021630526,-0.00025042892,-0.00023503267,1.0655067
Nebl,-6.791949e-05,-0.00017750263,-0.00024542212,-0.00024770066,0.9908011
Nrp1,-5.3167343e-05,-0.00019079447,-0.00024396181,-0.00039478883,0.6179551
Rbm20,-2.2530556e-05,-0.00021344423,-0.00023597479,-0.00023268671,1.0141308
Alcam,-5.3048134e-05,-0.00017786026,-0.0002309084,-0.0003107269,0.7431232
Grin3a,-4.8607588e-05,-0.00017771125,-0.00022631884,-0.00035711846,0.6337359
Ldb3,-3.6895275e-05,-0.00018250942,-0.0002194047,-0.00020279153,1.0819223
Myh6,-6.479025e-05,-0.00015425682,-0.00021904707,-0.00019609543,1.1170431
Ctnna3,-2.5779009e-05,-0.000192523,-0.00021830201,-0.00021953083,0.9944024
Ttn,-4.851818e-05,-0.00016784668,-0.00021636486,-0.00017198364,1.2580547
Cacna1d,-3.8713217e-05,-0.00017690659,-0.0002156198,-0.00033228408,0.6489019
Arhgap31,-3.4749508e-05,-0.00018048286,-0.00021523237,-0.0002639233,0.8155109
Ano4,-2.7880073e-05,-0.00018531084,-0.00021319091,-0.00031363952,0.67973214
Smoc2,-5.7049096e-05,-0.00015027076,-0.00020731986,-0.0011318949,0.18316165
Rnf220,3.5971403e-05,0.00017112494,0.00020709634,0.00042437707,0.4880007
Fbxo32,-5.1364303e-05,-0.00015115738,-0.00020252168,-0.00042181285,0.48012203
Rgs6,-3.287196e-05,-0.00016835332,-0.00020122528,-0.00027173676,0.7405154
Unc45b,-4.1484833e-05,-0.00015631318,-0.00019779801,-0.00028569004,0.6923517
Mef2c,-4.673004e-05,-0.00015068054,-0.00019741058,-0.0002726416,0.72406614
Hcn1,-3.2916665e-05,-0.00016400218,-0.00019691885,-0.00063622795,0.3095098
Plagl1,-3.6090612e-05,-0.0001590848,-0.00019517541,-0.00025924837,0.75285095
Podxl,-5.583465e-05,-0.00013805926,-0.00019389391,-0.0004352529,0.44547403
Wnt2,-4.862994e-05,-0.00014254451,-0.00019117445,-0.00073721394,0.25932008
Cdh3,-3.4824014e-05,-0.00015506148,-0.0001898855,-0.00038464117,0.4936691
Casz1,-4.1782856e-05,-0.00014799833,-0.00018978119,-0.00021467333,0.8840463
Nexn,-3.5464764e-05,-0.00014832616,-0.00018379092,-0.00018323268,1.0030465
Runx1t1,-3.9711595e-05,-0.00013878942,-0.00017850101,-0.00030358855,0.5879701
Myl4,-3.373623e-05,-0.00014308095,-0.00017681718,-0.00018195665,0.9717543
Jph2,-2.2143126e-05,-0.0001540184,-0.00017616153,-0.0001983601,0.8880894
Cobll1,-2.707541e-05,-0.00014773011,-0.00017480552,-0.00036468328,0.47933507
Smad6,-3.46303e-05,-0.00013747811,-0.00017210841,-0.00027670915,0.621983
Tbx5,-4.735589e-05,-0.00012335181,-0.0001707077,-0.00036682407,0.4653666
Mical2,-2.9742718e-05,-0.00014024973,-0.00016999245,-0.0001566402,1.0852413
Gucy1a3,-4.068017e-05,-0.00012923777,-0.00016991794,-0.00039556806,0.42955416
Igfbp5,-3.0964613e-05,-0.00013810396,-0.00016906857,-0.00028093567,0.6018052
Fstl4,-1.771748e-05,-0.00014942884,-0.00016714633,-0.0002434904,0.6864595
Trim55,-3.015995e-05,-0.00013667345,-0.0001668334,-0.00015973233,1.044456
Rbpms,-2.5212765e-05,-0.00014138222,-0.00016659498,-0.00017840366,0.9338091
Angpt1,-2.9399991e-05,-0.00013315678,-0.00016255677,-0.00029188918,0.5569125
Spon1,-3.3408403e-05,-0.00012564659,-0.000159055,-0.00019253728,0.82609963
Prox1,-2.5302172e-05,-0.00013205409,-0.00015735626,-0.00021571589,0.7294606
Gpld1,-1.2269244e-05,-0.00014281273,-0.00015508197,-0.0008378369,0.18509795
Myocd,-2.6032329e-05,-0.00012809038,-0.00015412271,-0.00020508634,0.75150144
Plppr5,-2.9951334e-05,-0.00012338161,-0.00015333295,-0.00035245853,0.43503818
Slc24a2,-2.5466084e-05,-0.00012755394,-0.00015302002,-0.00030885887,0.4954366
Gata6,-4.823506e-05,-0.00010356307,-0.00015179813,-0.000332542,0.456478
Jazf1,-1.3269484e-05,-0.0001360476,-0.00014931709,-0.00033484452,0.44592953
Myo18b,-2.9295683e-05,-0.00011947751,-0.0001487732,-0.00017060834,0.87201583
Unc13c,-1.8641353e-05,-0.00012674928,-0.00014539063,-0.00032747656,0.44397253
Sorbs2,-3.1888485e-05,-0.00011318922,-0.0001450777,-0.00014142373,1.025837
Smyd1,-3.1083822e-05,-0.00011366606,-0.00014474988,-0.00017353587,0.8341207
Filip1,-2.4527311e-05,-0.00012022257,-0.00014474988,-0.00017627442,0.821162
Kcnq3,-2.4154782e-05,-0.00011831522,-0.00014247,-0.0003497315,0.40736955
Fbn2,2.2917986e-05,0.00011730194,0.00014021993,0.00013852208,1.0122567
Zfpm2,-1.0982156e-05,-0.00012791157,-0.00013889372,-0.00020399713,0.68086106
Plxna4,-2.9057264e-05,-0.000109523535,-0.0001385808,-0.0002310345,0.5998272
Lrrfip1,-2.8461218e-05,-0.000107854605,-0.00013631582,-0.00015246766,0.8940637
