gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Ldb3,0.00020250678,0.0009611845,0.0011636913,0.0010755773,1.0819223
Grin3a,0.0002721995,0.0008588135,0.001131013,0.0017846753,0.6337359
Myh6,0.00033819675,0.0007892847,0.0011274815,0.0010093445,1.1170431
Kcnh7,0.00021734834,0.0008394122,0.0010567605,0.0013128433,0.8049402
Actn2,0.00013780594,0.00085681677,0.0009946227,0.0010006303,0.9939961
Myo18b,0.00022274256,0.0007715225,0.0009942651,0.0011401913,0.87201583
Rassf5,0.00022546947,0.0007015765,0.00092704594,0.0017763813,0.5218732
Ankrd1,0.00020480156,0.0007201731,0.0009249747,0.0014352895,0.6444515
Tmem163,0.00016237795,0.0007287264,0.00089110434,0.0014057355,0.633906
Ttn,0.00019437075,0.0006940961,0.00088846684,0.00070622267,1.2580547
Tnni1,0.00011280179,0.0006967783,0.0008095801,0.00075980753,1.0655067
Casz1,0.0001784563,0.0006095171,0.0007879734,0.0008913258,0.8840463
Erbb4,7.9110265e-05,0.0007019639,0.00078107417,0.00080843095,0.96616054
Obscn,0.00020077825,0.0005773008,0.00077807903,0.00084911654,0.9163394
Unc45b,0.00015705824,0.00061678886,0.0007738471,0.0011177079,0.6923517
Alcam,0.00018039346,0.0005888939,0.00076928735,0.0010352082,0.7431232
Lama4,0.00014418364,0.0006223023,0.00076648593,0.0010728012,0.71447146
Nebl,0.00021266937,0.00054603815,0.0007587075,0.0007657515,0.9908011
Myl7,0.00018587708,0.00056269765,0.00074857473,0.0010271714,0.7287729
Pgm5,5.7667494e-05,0.0006837249,0.0007413924,0.00087325403,0.84899956
Ptk2b,0.00016126037,0.0005546808,0.0007159412,0.0019483786,0.36745477
Pip5k1b,0.00013527274,0.00056988,0.00070515275,0.0008017909,0.879472
Cacna1c,0.0001142323,0.0005867481,0.0007009804,0.00064389297,1.0886598
Myl4,0.00012564659,0.0005735159,0.0006991625,0.00071948476,0.9717543
Nexn,0.00013327599,0.00055992603,0.000693202,0.00069109653,1.0030465
Zhx3,-0.00010987371,-0.0005723536,-0.0006822273,-0.0016883612,0.40407655
Emilin2,9.915233e-05,0.0005723536,0.0006715059,0.0010335426,0.6497128
Tbx20,0.00013527274,0.0005194247,0.0006546974,0.0008411889,0.7783
Slc8a1,8.666515e-05,0.000567317,0.00065398216,0.0006087857,1.0742402
Jph2,8.7201595e-05,0.00056385994,0.00065106153,0.0007331035,0.8880894
Ctnna3,8.3744526e-05,0.00056391954,0.00064766407,0.00065130973,0.9944024
Rgs6,0.000116705894,0.0005297363,0.0006464422,0.00087296235,0.7405154
Sphkap,0.00014302135,0.0005027056,0.0006457269,0.0007835966,0.8240552
Myom1,0.00013250113,0.0005015135,0.0006340146,0.00064464565,0.9835086
Cacna1d,0.00010892749,0.0005247593,0.0006336868,0.0009765524,0.6489019
