gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Dnah8,-7.019937e-05,-0.00022926927,-0.00029946864,-0.00059062237,0.507039
Preb,-5.3167343e-05,-0.00023572147,-0.0002888888,-0.0007763668,0.37210342
Ccnd2,-5.3435564e-05,-0.00021517277,-0.00026860833,-0.00039632598,0.6777458
Myl9,-2.6464462e-05,-0.00022909045,-0.0002555549,-0.0003156315,0.8096621
Klf10,-3.223121e-05,-0.00021505356,-0.00024728477,-0.0008126562,0.3042919
BC025920,4.3295324e-05,0.000198178,0.00024147332,0.0016682796,0.1447438
Ddit3,3.3169985e-05,0.00020566583,0.00023883581,0.00040639917,0.5876876
Esrra,-3.4570694e-05,-0.00020173192,-0.00023630261,-0.0003176763,0.743847
Crebl2,2.1964312e-05,0.0002040267,0.00022599101,0.0007485917,0.30188814
Podxl,-5.3793192e-05,-0.00017103553,-0.00022482872,-0.00050469534,0.44547403
Zfp758,3.5971403e-05,0.00018061697,0.00021658838,0.000693355,0.31237724
Mta2,-5.5477023e-05,-0.0001610443,-0.00021652132,-0.00066552515,0.32533896
Blk,2.2441149e-05,0.00018908083,0.00021152198,0.0010949752,0.19317505
Gmeb1,-2.8163195e-05,-0.00018274784,-0.00021091104,-0.00035565134,0.5930274
Dsp,2.2351742e-05,0.00018757582,0.00020992756,0.00022500483,0.93299127
Myl7,-3.4838915e-05,-0.000172019,-0.00020685792,-0.0002838441,0.7287729
Zfp212,-2.670288e-05,-0.00018009543,-0.00020679832,-0.00064603135,0.3201056
Crem,1.7538667e-05,0.00018796325,0.00020550191,0.000436847,0.4704207
Thap3,-4.3958426e-05,-0.00015938282,-0.00020334125,-0.00032033352,0.6347797
Foxj2,3.504753e-05,0.0001680851,0.00020313263,0.00047805154,0.42491776
Arid5a,2.9556453e-05,0.00017226115,0.0002018176,0.0016091806,0.12541628
Atf4,2.6881695e-05,0.00017395988,0.00020084158,0.00076146395,0.26375708
Fbn2,2.2888184e-05,0.00017505884,0.00019794703,0.0001955502,1.0122567
Tmem132c,-2.7507544e-05,-0.00016823411,-0.00019574165,-0.00053918496,0.3630324
Rsl1,2.1185726e-05,0.00017187,0.00019305572,0.0010752333,0.17954764
Gm14418,2.6367605e-05,0.00016610324,0.00019247085,0.0018242677,0.10550572
Zbtb24,3.20822e-05,0.00015860796,0.00019069016,0.0007692776,0.24788201
Ahrr,2.2307038e-05,0.00016778708,0.00019009411,0.0013360657,0.14227891
Zscan2,2.8721988e-05,0.00015856326,0.00018728524,0.00078139355,0.23968098
Zfp85,-2.7522445e-05,-0.00015828013,-0.00018580258,-0.00075078197,0.24747863
Gucy1a3,3.142655e-05,0.00015340745,0.000184834,0.00043029257,0.42955416
Zfp687,1.5258789e-05,0.00016894937,0.00018420815,0.00059597666,0.3090861
Rgs6,2.6077032e-05,0.00015547872,0.00018155575,0.0002451748,0.7405154
Myh7,-4.145503e-05,-0.00013747811,-0.00017893314,-0.00020353701,0.8791183
Nrp2,-4.158914e-05,-0.00013631582,-0.00017790496,-0.00063170656,0.28162587
Plac8,3.6798418e-05,0.0001405552,0.00017735362,0.0008496408,0.20873941
Ghrl,1.4667865e-05,0.00016256422,0.00017723208,0.003742063,0.047362033
Zfp866,3.6478043e-05,0.00013922155,0.00017569959,0.00038889825,0.45178798
Etv5,-3.889203e-05,-0.00013576448,-0.00017465651,-0.0004921157,0.35490936
Slc2a1,-2.4676323e-05,-0.00014993548,-0.0001746118,-0.00025336863,0.689161
Gm28047,1.9563362e-05,0.00015497208,0.00017453544,0.0016291025,0.10713585
Zfp867,2.926588e-05,0.00014519691,0.0001744628,0.0006994036,0.24944499
Camta1,-3.08156e-05,-0.00014275312,-0.00017356873,-0.00022148508,0.7836586
Homez,2.9444695e-05,0.00014308095,0.00017252564,0.00063368503,0.27225763
Nfkb1,-2.8252602e-05,-0.00014331937,-0.00017157197,-0.00020863017,0.8223736
Mxi1,2.0042062e-05,0.00014922023,0.00016926229,0.000366052,0.46239948
Gm14393,2.737157e-05,0.00014000013,0.0001673717,0.0026192681,0.06390008
Zfp987,2.1368265e-05,0.00014482066,0.00016618893,0.0032603121,0.050973218
Cma1,3.006775e-05,0.00013571419,0.00016578194,0.0064536217,0.0256881
Sall4,-2.2478402e-05,-0.00014305115,-0.00016552955,-0.00072941935,0.22693321
Hmgxb4,-3.2648444e-05,-0.00013241172,-0.00016506016,-0.00038887945,0.42445064
Hmgxb3,-2.6851892e-05,-0.00013819337,-0.00016504526,-0.00037160082,0.44414657
Esrrg,1.2725592e-05,0.00015115738,0.00016388297,0.00021696764,0.75533354
Hey1,3.1337142e-05,0.00013142265,0.0001627598,0.0012544439,0.12974647
Dkk3,-2.5197864e-05,-0.00013741851,-0.00016261637,-0.00025212794,0.6449755
Fosl1,1.7110258e-05,0.00014544651,0.00016255677,0.002396143,0.06784091
Zfp74,-2.82228e-05,-0.00013419986,-0.00016242266,-0.00038567637,0.4211371
Zfp947,1.9952655e-05,0.00014162064,0.00016157329,0.0004998268,0.32325846
Zfp28,2.335012e-05,0.00013655424,0.00015990436,0.0008837207,0.18094435
Abcc9,-2.464652e-05,-0.00013309717,-0.00015774369,-0.00025414937,0.620673
Lcn3,1.9859057e-05,0.00013782457,0.00015768362,0.008521096,0.018504987
Kcnk3,2.142787e-05,0.00013510883,0.0001565367,0.0003735487,0.41905287
Arid3a,-2.8550625e-05,-0.00012759864,-0.00015614927,-0.0004644407,0.33620918
Zhx1,2.2247434e-05,0.00013360381,0.00015585124,0.00032628071,0.4776599
Zfp995,-3.0517578e-05,-0.00012360513,-0.00015412271,-0.00039923636,0.38604367
Tfap2d,1.7741695e-05,0.00013631582,0.00015405752,0.0021854984,0.070490696
Col2a1,-3.528595e-05,-0.000117108226,-0.00015239418,-0.00035205937,0.4328649
Zfp30,3.1784177e-05,0.0001205951,0.00015237927,0.00047808557,0.31872794
Zbtb4,2.5615096e-05,0.00012668967,0.00015230477,0.00048675336,0.31289917
Rara,-1.6272068e-05,-0.00013509393,-0.000151366,-0.00024874994,0.60850656
Esr2,1.9013882e-05,0.00013178587,0.00015079975,0.0012149544,0.12411958
Bcl2,-2.6732683e-05,-0.00012379885,-0.00015053153,-0.00019032127,0.7909337
Tfcp2,-1.8283725e-05,-0.00013172626,-0.00015000999,-0.00025664215,0.5845102
Atp4a,-2.2910535e-05,-0.00012618303,-0.00014909357,-0.0014647102,0.10179039
Zbtb37,2.9355288e-05,0.000118911266,0.00014826655,0.00032447992,0.4569359
Synpo2l,2.5600195e-05,0.00012247264,0.00014807284,0.00026347325,0.5620032
Zfp820,3.08156e-05,0.00011512637,0.00014594197,0.0005238328,0.27860403
Tpm1,-1.9311905e-05,-0.00012648106,-0.00014579296,-0.00014640049,0.9958501
Kif26b,-1.6778708e-05,-0.00012868643,-0.00014546514,-0.00017281277,0.8417498
Arid3b,-3.106892e-05,-0.000114142895,-0.00014521182,-0.000358953,0.40454262
Zfp97,3.491342e-05,0.0001097247,0.00014463812,0.00089520845,0.1615691
Smyd1,-2.9087067e-05,-0.00011458993,-0.000143677,-0.00017224962,0.8341207
Vmn2r30,2.511451e-05,0.00011767261,0.00014278712,0.004052594,0.035233412
