gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Myh6,0.00023949146,0.00086313486,0.0011026263,0.0009870937,1.1170431
Myocd,9.2834234e-05,0.0007683039,0.0008611381,0.00114589,0.75150144
Sphkap,0.00012332201,0.0007375479,0.0008608699,0.0010446749,0.8240552
Casz1,0.00013259053,0.00070393085,0.0008365214,0.00094624143,0.8840463
Ldb3,0.00010114908,0.00071799755,0.00081914663,0.0007571214,1.0819223
Tnni1,7.70092e-05,0.0007252097,0.0008022189,0.0007528989,1.0655067
Ttn,0.000120818615,0.00066435337,0.000785172,0.00062411587,1.2580547
Myl9,7.972121e-05,0.00070410967,0.0007838309,0.00096809614,0.8096621
Cacna1d,9.429455e-05,0.0006880164,0.00078231096,0.0012055918,0.6489019
Erbb4,5.173683e-05,0.0007266998,0.00077843666,0.0008057011,0.96616054
Cacna1c,8.812547e-05,0.00068444014,0.0007725656,0.00070964824,1.0886598
Palm2,0.00010341406,0.0006278157,0.0007312298,0.00087386405,0.8367774
Actn2,7.420778e-05,0.0006554127,0.00072962046,0.0007340274,0.9939961
Jph2,6.875396e-05,0.00065624714,0.0007250011,0.00081636035,0.8880894
Myl7,0.00014445186,0.0005502701,0.00069472194,0.0009532762,0.7287729
Pakap,5.7786703e-05,0.0006355047,0.0006932914,0.00076953793,0.900919
Obscn,0.0001116693,0.0005771816,0.0006888509,0.000751742,0.9163394
Ppp1r14c,4.772842e-05,0.00063717365,0.0006849021,0.000958505,0.7145523
Ryr2,7.343292e-05,0.0006034374,0.00067687035,0.00066663173,1.0153586
Tmem163,8.934736e-05,0.00058427453,0.0006736219,0.0010626524,0.633906
Nebl,0.00013011694,0.00053966045,0.0006697774,0.0006759957,0.9908011
Slc8a1,5.605817e-05,0.00060909986,0.00066515803,0.00061918923,1.0742402
Myom1,0.000101059675,0.0005540252,0.00065508485,0.0006660692,0.9835086
Kcnh7,8.907914e-05,0.00056296587,0.000652045,0.00081005384,0.8049402
Myl4,8.6426735e-05,0.0005606711,0.0006470978,0.00066590676,0.9717543
Ankrd1,0.00010704994,0.0005326569,0.00063970685,0.0009926375,0.6444515
Trim55,7.9631805e-05,0.00054216385,0.00062179565,0.0005953296,1.044456
Dsp,5.057454e-05,0.00055754185,0.0006081164,0.0006517921,0.93299127
Unc45b,8.803606e-05,0.0005160272,0.0006040633,0.0008724802,0.6923517
Rassf5,0.00011320412,0.00048562884,0.00059883296,0.0011474681,0.5218732
Tpm1,6.496906e-05,0.0005221069,0.00058707595,0.00058952236,0.9958501
Ctnna3,5.0127506e-05,0.0005363226,0.0005864501,0.00058975123,0.9944024
Myo18b,9.778142e-05,0.00047910213,0.00057688355,0.0006615516,0.87201583
Rgs6,7.018447e-05,0.0005043149,0.00057449937,0.00077581004,0.7405154
Tbx20,8.532405e-05,0.00048810244,0.0005734265,0.00073676783,0.7783
Pgm5,3.245473e-05,0.0005360842,0.0005685389,0.00066965737,0.84899956
Palld,9.6559525e-05,0.00046873093,0.00056529045,0.00045730206,1.2361423
Cacnb2,6.201863e-05,0.0005018115,0.00056383014,0.00062461634,0.9026822
Asb2,7.355213e-05,0.0004838109,0.00055736303,0.0006538019,0.85249513
Esrrg,4.082918e-05,0.0005120039,0.0005528331,0.0007319058,0.75533354
Nexn,7.57575e-05,0.0004656911,0.0005414486,0.000539804,1.0030465
Arhgap31,6.1035156e-05,0.0004580319,0.00051906705,0.000636493,0.8155109
Gata4,4.9069524e-05,0.00046750903,0.00051657856,0.0007410769,0.6970646
Dpf3,5.2958727e-05,0.0004580021,0.0005109608,0.00064504787,0.7921284
Smad6,6.647408e-05,0.00044360757,0.00051008165,0.00082008925,0.621983
Slc24a2,6.149709e-05,0.00043284893,0.000494346,0.0009977985,0.4954366
Smyd1,8.007884e-05,0.0004118681,0.00049194694,0.000589779,0.8341207
Rap1gap2,5.8829784e-05,0.0004311502,0.00048998,0.0007487197,0.65442365
Acta2,6.79791e-05,0.00042042136,0.00048840046,0.00080827763,0.6042483
Grin3a,7.416308e-05,0.00041398406,0.00048814714,0.0007702689,0.6337359
Ccdc141,8.3357096e-05,0.000400424,0.0004837811,0.00048063422,1.0065472
Gm44973,5.2202493e-05,0.00043082237,0.00048302487,0.002334099,0.20694263
Cap2,3.6805868e-05,0.00042682886,0.00046363473,0.0006449585,0.7188597
Rbm20,2.7805567e-05,0.0004348755,0.00046268106,0.00045623403,1.0141308
Fbxo32,7.611513e-05,0.00038433075,0.00046044588,0.00095901825,0.48012203
Filip1,5.5879354e-05,0.00040113926,0.0004570186,0.00055655104,0.821162
Prickle1,4.310906e-05,0.00040987134,0.0004529804,0.0006436337,0.7037859
Angpt1,4.6297908e-05,0.00039947033,0.00044576824,0.00080042763,0.5569125
Mef2c,6.955862e-05,0.0003694594,0.000439018,0.00060632295,0.72406614
Pip5k1b,5.7041645e-05,0.00038039684,0.0004374385,0.00049738755,0.879472
Tmod1,5.045533e-05,0.00038662553,0.00043708086,0.0004982489,0.8772338
Slit3,3.6999583e-05,0.0003978908,0.0004348904,0.0006668627,0.6521437
Tmem108,4.7653913e-05,0.0003811419,0.0004287958,0.00054090127,0.79274315
Grhl1,7.05719e-05,0.0003566742,0.0004272461,0.00085909624,0.49732032
Mybpc3,5.8293343e-05,0.0003682077,0.00042650104,0.00043791218,0.9739418
Kcnq3,4.502386e-05,0.00037902594,0.0004240498,0.001040946,0.40736955
Mical2,5.6743622e-05,0.00036662817,0.0004233718,0.0003901176,1.0852413
Sorbs2,7.066131e-05,0.0003492236,0.00041988492,0.00040930955,1.025837
Sox6,-4.6521425e-05,-0.00037044287,-0.0004169643,-0.00052596914,0.7927542
Cdh20,-2.5734305e-05,-0.00038138032,-0.00040711462,-0.00087131,0.4672442
Rbpms,3.489852e-05,0.00037127733,0.00040617585,0.00043496664,0.9338091
Dnah8,5.7399273e-05,0.00033769011,0.0003950894,0.00077920884,0.507039
Ccnd2,-6.914139e-05,-0.00032040477,-0.00038954616,-0.00057476724,0.6777458
3632451O06Rik,7.632375e-05,0.00031220913,0.00038853288,0.00078771595,0.49323973
Sh3bgr,4.246831e-05,0.0003271401,0.0003696084,0.000541336,0.6827706
Myo1h,6.1541796e-05,0.000302352,0.0003638938,0.0014943007,0.24352103
Lrrfip1,4.6253204e-05,0.00030720234,0.00035345554,0.00039533593,0.8940637
Mitf,4.735589e-05,0.00030502677,0.00035238266,0.00041778386,0.84345675
Slco3a1,4.6491623e-05,0.0003053844,0.00035187602,0.00042288174,0.83209074
Mylk3,4.87864e-05,0.0003029108,0.0003516972,0.00048697708,0.72220474
Rcsd1,6.9990754e-05,0.00028052926,0.00035052001,0.0006715541,0.52195334
Gm12295,4.0106475e-05,0.00030964613,0.0003497526,0.0009713499,0.36006853
Camta2,4.8205256e-05,0.00029833615,0.0003465414,0.00078317267,0.44248396
Epha7,3.9592385e-05,0.00030511618,0.00034470856,0.00057744916,0.59695035
Etv2,-1.9972213e-06,-0.00033949688,-0.0003414941,-0.006005794,0.056860678
Emilin2,3.644824e-05,0.00028961897,0.0003260672,0.00050186354,0.6497128
Stk32a,3.08007e-05,0.0002926439,0.0003234446,0.0010260385,0.3152362
Hmg20b,6.651878e-05,0.00025448203,0.0003210008,0.0006201154,0.5176468
Vsnl1,3.7312508e-05,0.00028268993,0.00032000244,0.00091166625,0.35100824
Zfp941,4.7013164e-05,0.0002681315,0.00031514466,0.002417099,0.13038126
Slc16a10,3.105402e-05,0.00028294325,0.00031399727,0.00046761215,0.6714907
Fbn2,3.5852194e-05,0.00027775764,0.00031360984,0.00030981252,1.0122567
Hcn1,3.1925738e-05,0.00027769804,0.00030962378,0.0010003679,0.3095098
Spon1,4.273653e-05,0.00026637316,0.0003091097,0.00037417962,0.82609963
Kif26b,2.9623508e-05,0.00027561188,0.0003052354,0.00036262005,0.8417498
Unc13c,2.7827919e-05,0.00027152896,0.00029935688,0.0006742688,0.44397253
Myh7,5.686283e-05,0.00023838878,0.0002952516,0.00033584965,0.8791183
Bmp6,1.6767532e-05,0.00027550757,0.0002922751,0.0010449344,0.27970657
Nav2,3.5256147e-05,0.00025635958,0.00029161572,0.0003092089,0.9431025
Tnnt2,4.10676e-05,0.00024929643,0.00029036403,0.00033455095,0.8679216
Ptk2b,5.7041645e-05,0.00022649765,0.0002835393,0.00077163026,0.36745477
Zfp112,3.6776066e-05,0.00024446845,0.00028124452,0.0008327987,0.33771
Lncpint,3.07858e-05,0.00024992228,0.00028070807,0.0006781209,0.41394982
Fgf10,-3.509596e-05,-0.00024332106,-0.00027841702,-0.0015634537,0.1780781
Klk1,4.0845945e-05,0.00023626909,0.00027711503,0.0047268253,0.058625937
Hdac9,2.3797154e-05,0.0002513826,0.00027517974,0.00042493784,0.64757633
Alox5,4.3570995e-05,0.00023128092,0.00027485192,0.0010923261,0.25162065
Ntn1,-2.886355e-05,-0.00024548173,-0.00027434528,-0.0006524956,0.42045528
Prox1,3.1977892e-05,0.00023889542,0.0002708733,0.00037133365,0.7294606
Myh7b,3.4809113e-05,0.0002347827,0.0002695918,0.0003982699,0.6769072
Rnf220,2.9578805e-05,0.00023949146,0.00026907027,0.0005513726,0.4880007
Zmiz1,4.258752e-05,0.0002246201,0.00026720762,0.0004373985,0.6109019
Pde3a,2.8640032e-05,0.00023835897,0.000266999,0.00033186647,0.80453736
Gabrb1,4.955381e-05,0.00021602213,0.00026557595,0.0010822265,0.24539763
Podxl,5.8487058e-05,0.00020700693,0.000265494,0.00059598073,0.44547403
Irf2,-3.1873584e-05,-0.00023251772,-0.0002643913,-0.00065767823,0.40200698
L3mbtl3,-4.3943524e-05,-0.00021864474,-0.00026258826,-0.0006456284,0.40671727
9430076C15Rik,-3.823638e-05,-0.00022387505,-0.00026211143,-0.00047033885,0.557282
Sema3c,5.6892633e-05,0.00020420551,0.00026109815,0.00037242557,0.7010746
Terf2,-3.0636787e-05,-0.00023013353,-0.00026077032,-0.00041545674,0.6276713
Lyst,-3.6247075e-05,-0.00021976233,-0.0002560094,-0.0009446266,0.27101642
Prrx2,5.286932e-05,0.00020296872,0.00025583804,0.0005567976,0.45948112
Pou6f2,5.39124e-05,0.00020070374,0.00025461614,0.0006062853,0.41996086
Dach1,1.6883016e-05,0.00023713708,0.0002540201,0.00044882964,0.56596094
Nfia,-1.950562e-05,-0.0002309084,-0.000250414,-0.00051493425,0.48630282
Schip1,2.7313828e-05,0.00022101402,0.00024832785,0.00046699372,0.5317583
Slc35f1,2.4482608e-05,0.00022223592,0.00024671853,0.0006320976,0.39031705
Tshz3,-4.1395426e-05,-0.0002046749,-0.00024607033,-0.001367075,0.17999758
Zfp382,3.7282705e-05,0.0002079755,0.0002452582,0.0008562753,0.2864244
