gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Myh6,-0.00020867586,-0.0005247593,-0.00073343515,-0.0006565862,1.1170431
Ttn,-0.00013530254,-0.0005412102,-0.0006765127,-0.000537745,1.2580547
Tnni1,-7.95722e-05,-0.000585258,-0.0006648302,-0.0006239568,1.0655067
Ldb3,-0.000103622675,-0.00055861473,-0.0006622374,-0.00061209325,1.0819223
Erbb4,-5.8412552e-05,-0.00059086084,-0.0006492734,-0.0006720139,0.96616054
Actn2,-7.5638294e-05,-0.0005630851,-0.0006387234,-0.0006425813,0.9939961
Grin3a,-0.00012102723,-0.0005121529,-0.00063318014,-0.0009991229,0.6337359
Myo18b,-0.00012546778,-0.00048616529,-0.00061163306,-0.0007014012,0.87201583
Ppp1r14c,-5.1006675e-05,-0.0005558133,-0.00060682,-0.0008492309,0.7145523
Myl4,-9.864569e-05,-0.0004913509,-0.0005899966,-0.0006071458,0.9717543
Tmem163,-8.842349e-05,-0.0005005002,-0.0005889237,-0.00092903926,0.633906
Ctnna3,-6.198883e-05,-0.0005247593,-0.0005867481,-0.00059005094,0.9944024
Casz1,-0.000115484,-0.0004606843,-0.0005761683,-0.0006517399,0.8840463
Jph2,-6.711483e-05,-0.0005084872,-0.00057560205,-0.00064813514,0.8880894
Ankrd1,-0.00011277199,-0.00045022368,-0.0005629957,-0.00087360427,0.6444515
Pgm5,-3.361702e-05,-0.0005273223,-0.0005609393,-0.00066070614,0.84899956
Myom1,-0.00010877848,-0.00044226646,-0.00055104494,-0.00056028477,0.9835086
Kcnh7,-9.813905e-05,-0.00045263767,-0.0005507767,-0.0006842454,0.8049402
Slc8a1,-6.568432e-05,-0.0004762411,-0.00054192543,-0.00050447317,1.0742402
Unc45b,-0.00010162592,-0.00043568015,-0.00053730607,-0.0007760593,0.6923517
Myocd,-7.6428056e-05,-0.0004594326,-0.00053586066,-0.0007130533,0.75150144
Nebl,-0.00013753772,-0.0003977418,-0.0005352795,-0.00054024917,0.9908011
Trim55,-8.267164e-05,-0.0004236102,-0.00050628185,-0.00048473253,1.044456
Cacna1c,-7.43866e-05,-0.00043010712,-0.0005044937,-0.000463408,1.0886598
