gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Camta2,0.00014689565,0.0008005053,0.0009474009,0.0021410962,0.44248396
Dsp,8.556247e-05,0.00085169077,0.00093725324,0.001004568,0.93299127
Myh7,0.0001616478,0.00072696805,0.00088861585,0.0010108033,0.8791183
Tnni1,8.4877014e-05,0.0007842183,0.0008690953,0.0008156638,1.0655067
Asb2,0.00010743737,0.0007223785,0.00082981586,0.00097339647,0.85249513
Gabrb1,0.0001354739,0.00065250695,0.00078798085,0.0032110356,0.24539763
Gtf2ird2,0.00010403991,0.0006623864,0.0007664263,0.0013544149,0.56587255
Trpc3,9.045005e-05,0.0006361306,0.0007265806,0.0016780696,0.4329859
Mitf,0.00010821223,0.00061661005,0.0007248223,0.0008593472,0.84345675
Myocd,8.429587e-05,0.00063693523,0.0007212311,0.00095972006,0.75150144
Mybpc3,9.417534e-05,0.00059849024,0.0006926656,0.000711198,0.9739418
Syne1,0.00012393296,0.0005619526,0.00068588555,0.001522532,0.45049
Smyd1,0.000106334686,0.00057169795,0.00067803264,0.00081287103,0.8341207
Tpm1,8.869171e-05,0.0005841255,0.00067281723,0.0006756209,0.9958501
Smad6,8.845329e-05,0.0005814135,0.0006698668,0.0010769855,0.621983
Myl9,7.164478e-05,0.0005980134,0.0006696582,0.0008270834,0.8096621
Arhgef28,0.00010121614,0.0005646646,0.00066588074,0.0021383998,0.31139198
Tmod1,6.368756e-05,0.0005978644,0.00066155195,0.00075413403,0.8772338
Myom1,0.000102072954,0.000546813,0.00064888597,0.0006597664,0.9835086
Myo18b,0.000114023685,0.0005339682,0.0006479919,0.0007430964,0.87201583
Myl2,0.00011110306,0.00053194165,0.0006430447,0.0011095064,0.5795772
Cacna1c,7.870793e-05,0.0005631447,0.0006418526,0.0005895805,1.0886598
Actn2,6.586313e-05,0.0005749464,0.00064080954,0.00064468005,0.9939961
Arntl2,7.265806e-05,0.00056764483,0.0006403029,0.0016758493,0.38207656
Esrrg,5.0649047e-05,0.00058221817,0.0006328672,0.00083786447,0.75533354
