gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Foxj2,-3.838539e-05,-0.00017124414,-0.00020962954,-0.00049334136,0.42491776
Actn2,-2.0354986e-05,-0.00017666817,-0.00019702315,-0.00019821318,0.9939961
Ttn,-3.3318996e-05,-0.00015056133,-0.00018388033,-0.0001461624,1.2580547
Slco3a1,-3.33786e-05,-0.00014153123,-0.00017490983,-0.00021020521,0.83209074
Myl4,-2.9027462e-05,-0.00014585257,-0.00017488003,-0.00017996319,0.9717543
Erbb4,-1.4647841e-05,-0.00015640259,-0.00017105043,-0.0001770414,0.96616054
Myh7,-3.400445e-05,-0.0001322031,-0.00016620755,-0.00018906161,0.8791183
Grin3a,-3.388524e-05,-0.00012809038,-0.00016197562,-0.00025558847,0.6337359
Myl2,-2.989173e-05,-0.00013008714,-0.00015997887,-0.00027602678,0.5795772
Myrfl,-1.597777e-05,-0.00014202297,-0.00015800074,-0.0005624641,0.28090802
Myocd,-2.1651387e-05,-0.00013536215,-0.00015701354,-0.00020893308,0.75150144
Mpped2,-3.1113625e-05,-0.00012433529,-0.00015544891,-0.0002262861,0.6869573
Cap2,-1.4677644e-05,-0.00013872981,-0.00015340745,-0.00021340387,0.7188597
Tnni1,-1.66893e-05,-0.00013577938,-0.00015246868,-0.00014309498,1.0655067
9430076C15Rik,-2.4035573e-05,-0.0001284182,-0.00015245378,-0.00027356663,0.557282
Ctnna3,-1.5944242e-05,-0.00013393164,-0.00014987588,-0.00015071953,0.9944024
Slc8a1,-1.7911196e-05,-0.0001282692,-0.00014618039,-0.00013607793,1.0742402
Mylk3,-2.2798777e-05,-0.0001232326,-0.00014603138,-0.00020220215,0.72220474
Homez,-2.7172267e-05,-0.00011700392,-0.00014417619,-0.00052955776,0.27225763
Ldb3,-2.2619963e-05,-0.00011998415,-0.00014260411,-0.00013180623,1.0819223
Myom1,-2.7537346e-05,-0.000113248825,-0.00014078617,-0.00014314684,0.9835086
Asb2,-2.2053719e-05,-0.00011846423,-0.00014051795,-0.00016483136,0.85249513
Gm14418,-1.8898398e-05,-0.00012128055,-0.00014017895,-0.0013286371,0.10550572
