gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Ttn,-1.23381615e-05,-7.2181225e-05,-8.4519386e-05,-6.718259e-05,1.2580547
Tnni1,-7.778406e-06,-7.545948e-05,-8.323789e-05,-7.8120465e-05,1.0655067
Ctnna3,-5.4836273e-06,-6.937981e-05,-7.4863434e-05,-7.5284835e-05,0.9944024
Cacna1c,-7.6293945e-06,-6.657839e-05,-7.420778e-05,-6.816434e-05,1.0886598
Trim55,-8.910894e-06,-6.324053e-05,-7.215142e-05,-6.908038e-05,1.044456
Actn2,-6.377697e-06,-6.5505505e-05,-7.18832e-05,-7.231738e-05,0.9939961
Myom1,-9.4771385e-06,-5.9485435e-05,-6.8962574e-05,-7.011893e-05,0.9835086
Pakap,-5.841255e-06,-6.258488e-05,-6.842613e-05,-7.5951466e-05,0.900919
Ldb3,-7.5399876e-06,-6.055832e-05,-6.809831e-05,-6.294195e-05,1.0819223
Slc8a1,-6.28829e-06,-6.169081e-05,-6.79791e-05,-6.328109e-05,1.0742402
Grin3a,-1.04010105e-05,-5.5283308e-05,-6.568432e-05,-0.00010364618,0.6337359
Jph2,-5.6028366e-06,-6.0021877e-05,-6.5624714e-05,-7.3894254e-05,0.8880894
Myl4,-7.8082085e-06,-5.7280064e-05,-6.508827e-05,-6.698017e-05,0.9717543
Nebl,-1.3321638e-05,-5.143881e-05,-6.476045e-05,-6.5361695e-05,0.9908011
Erbb4,-4.261732e-06,-5.978346e-05,-6.404519e-05,-6.628835e-05,0.96616054
Ppp1r14c,-4.157424e-06,-5.9485435e-05,-6.364286e-05,-8.906675e-05,0.7145523
Myocd,-6.467104e-06,-5.698204e-05,-6.3449144e-05,-8.442983e-05,0.75150144
Mef2d,-8.5532665e-06,-5.4895878e-05,-6.3449144e-05,-6.999045e-05,0.9065399
Ccdc141,-1.22487545e-05,-5.0783157e-05,-6.303191e-05,-6.2621904e-05,1.0065472
Lama4,-8.910894e-06,-5.301833e-05,-6.1929226e-05,-8.667836e-05,0.71447146
Lrrfip1,-9.179115e-06,-5.2124262e-05,-6.130338e-05,-6.856711e-05,0.8940637
Filip1,-6.765127e-06,-5.4121017e-05,-6.0886145e-05,-7.4146315e-05,0.821162
Myo18b,-9.894371e-06,-5.0783157e-05,-6.067753e-05,-6.9583046e-05,0.87201583
Ryr2,-7.838011e-06,-5.2809715e-05,-6.0647726e-05,-5.9730348e-05,1.0153586
Myh6,-1.2934208e-05,-4.5776367e-05,-5.8710575e-05,-5.255891e-05,1.1170431
Palld,-9.23872e-06,-4.941225e-05,-5.865097e-05,-4.7446774e-05,1.2361423
Rbm20,-4.440546e-06,-5.340576e-05,-5.7846308e-05,-5.7040274e-05,1.0141308
Cap2,-5.26011e-06,-5.1677227e-05,-5.6937337e-05,-7.920506e-05,0.7188597
Asb2,-7.0929527e-06,-4.9829483e-05,-5.6922436e-05,-6.677156e-05,0.85249513
