gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Mpped2,0.0001821518,0.000767231,0.0009493828,0.0013820111,0.6869573
Sema3c,0.00020685792,0.0006363094,0.0008431673,0.0012026782,0.7010746
Myh7,0.0001642704,0.0006508231,0.0008150935,0.00092717144,0.8791183
Zfpm2,-4.9084425e-05,-0.0007151365,-0.00076422095,-0.0011224329,0.68086106
Rgs6,-9.059906e-05,-0.00066789985,-0.0007584989,-0.001024285,0.7405154
Synpo2,0.00010713935,0.00062808394,0.0007352233,0.0013077497,0.5622048
Mecom,0.00012387335,0.0006092787,0.00073315203,0.001765259,0.41532257
Dnah8,0.0001565814,0.0005713701,0.0007279515,0.001435691,0.507039
P3h2,7.0780516e-05,0.0006349087,0.0007056892,0.0016149594,0.43697014
Mast4,-8.651614e-05,-0.00060766935,-0.0006941855,-0.0007087274,0.9794816
Bcl2,0.0001437366,0.0005503893,0.0006941259,0.00087760296,0.7909337
Fstl4,-5.2168965e-05,-0.0006301999,-0.0006823689,-0.0009940409,0.6864595
Tmem163,-8.46684e-05,-0.00059458613,-0.00067925453,-0.0010715381,0.633906
Vcan,0.00010719895,0.0005193949,0.0006265938,0.00081217516,0.7715007
Emilin2,-6.222725e-05,-0.00055870414,-0.0006209314,-0.00095570117,0.6497128
Syne1,0.00012266636,0.0004967451,0.00061941147,0.0013749725,0.45049
3632451O06Rik,0.000121727586,0.00048971176,0.00061143935,0.001239639,0.49323973
Spon1,-9.319186e-05,-0.0005175173,-0.0006107092,-0.0007392681,0.82609963
Ltbp1,6.607175e-05,0.00054109097,0.0006071627,0.0007771121,0.7813064
Nrp2,0.00012906641,0.0004465729,0.0005756393,0.0020439853,0.28162587
Cdh6,6.362423e-05,0.00049878657,0.0005624108,0.0023440658,0.23992951
Etv2,-3.233552e-06,-0.0005497895,-0.00055302307,-0.009725914,0.056860678
Pgm5,-2.6762486e-05,-0.00052142143,-0.0005481839,-0.0006456821,0.84899956
Tnc,0.00010506809,0.0004324913,0.0005375594,0.0017427568,0.30845338
Gabrb1,9.871274e-05,0.00043664873,0.00053536147,0.0021816073,0.24539763
Ano4,-4.2662024e-05,-0.00046861172,-0.00051127374,-0.0007521693,0.67973214
Ccnd2,9.176135e-05,0.00041908026,0.0005108416,0.0007537361,0.6777458
Tbx5,-0.00010085106,-0.00040905178,-0.00050990283,-0.0010957012,0.4653666
Esr1,-5.441904e-05,-0.00045509636,-0.0005095154,-0.0013453546,0.37872192
Gata4,-5.0917268e-05,-0.00045269728,-0.00050361454,-0.0007224789,0.6970646
Grid2,6.518513e-05,0.0004352033,0.00050038844,0.0013684804,0.36565253
Amph,7.7828765e-05,0.00042119622,0.000499025,0.0020812158,0.23977558
Atp8a1,-8.1688166e-05,-0.00041261315,-0.0004943013,-0.0013157496,0.3756803
Nfia,-3.85046e-05,-0.0004529357,-0.0004914403,-0.0010105642,0.48630282
Myl7,9.4264746e-05,0.00039717555,0.0004914403,0.00067433936,0.7287729
Lama2,-5.5924058e-05,-0.00043424964,-0.0004901737,-0.0010862581,0.45124966
Ghr,7.684529e-05,0.00041171908,0.0004885644,0.00072301895,0.6757282
Cdh20,-2.6889145e-05,-0.00045874715,-0.0004856363,-0.0010393627,0.4672442
Smyd1,8.276105e-05,0.000392735,0.00047549605,0.00057005655,0.8341207
Schip1,6.8977475e-05,0.00040209293,0.0004710704,0.0008858729,0.5317583
Pde3a,6.774068e-05,0.00040251017,0.00047025084,0.0005844984,0.80453736
Cacnb2,6.711483e-05,0.00040251017,0.000469625,0.000520255,0.9026822
Plppr5,6.958842e-05,0.0003912449,0.0004608333,0.0010592937,0.43503818
Prtg,6.5118074e-05,0.00039297342,0.0004580915,0.0008307296,0.5514326
Etv5,9.2834234e-05,0.00036236644,0.00045520067,0.0012825825,0.35490936
Vsnl1,-6.7308545e-05,-0.00038316846,-0.000450477,-0.0012833799,0.35100824
Kif26b,-3.4183264e-05,-0.00041526556,-0.00044944882,-0.0005339458,0.8417498
Slco3a1,9.4503164e-05,0.00035455823,0.0004490614,0.0005396783,0.83209074
Zfp687,-4.014373e-05,-0.00040536746,-0.0004455112,-0.0014413816,0.3090861
Rcsd1,8.3848834e-05,0.0003606081,0.00044445693,0.000851526,0.52195334
Slc24a2,-5.9321523e-05,-0.0003811717,-0.00044049323,-0.00088910095,0.4954366
Fosl1,-5.139038e-05,-0.00038184598,-0.00043323636,-0.006386054,0.06784091
Gm13481,-1.9162893e-05,-0.0004105568,-0.0004297197,-0.0011827179,0.36333227
Palm2,7.2449446e-05,0.0003554821,0.00042793155,0.00051140424,0.8367774
Myocd,5.0723553e-05,0.00037705898,0.00042778254,0.00056923705,0.75150144
Fbxo32,-7.861853e-05,-0.00034478307,-0.0004234016,-0.0008818623,0.48012203
Plxna4,7.072091e-05,0.00035068393,0.00042140484,0.00070254365,0.5998272
Creb3l2,-5.3286552e-05,-0.0003631413,-0.00041642785,-0.00049079035,0.84848404
Prkca,-3.6224723e-05,-0.00037834048,-0.0004145652,-0.0009921964,0.41782567
Nfic,-5.721301e-05,-0.00035677105,-0.00041398406,-0.0018969004,0.21824229
Cdh3,5.3942204e-05,0.00035858154,0.00041252375,0.0008356279,0.4936691
Myom1,7.325411e-05,0.00033581257,0.00040906668,0.00041592584,0.9835086
Bach2,5.286932e-05,0.00035592914,0.00040879846,0.00060846546,0.6718514
Lcn3,-5.0140778e-05,-0.00035760738,-0.00040774816,-0.022034382,0.018504987
Mitf,6.765127e-05,0.0003387928,0.00040644407,0.0004818789,0.84345675
Fam19a2,6.304309e-05,0.0003414601,0.0004045032,0.0022749724,0.17780566
Myl9,5.888939e-05,0.0003426075,0.0004014969,0.00049588195,0.8096621
Arhgef28,6.659329e-05,0.00033313036,0.00039972365,0.0012836668,0.31139198
Dach1,4.3928623e-05,0.00035512447,0.0003990531,0.0007050893,0.56596094
Klhl6,9.506941e-05,0.00030350685,0.00039857626,0.0015141763,0.26322967
Hcn1,-5.119294e-05,-0.00034613907,-0.000397332,-0.0012837457,0.3095098
Zscan2,-6.249547e-05,-0.0003324002,-0.00039489567,-0.001647588,0.23968098
Tfeb,-4.1097403e-05,-0.0003463924,-0.0003874898,-0.0007421477,0.5221194
Lncpint,-3.0741096e-05,-0.00035637617,-0.00038711727,-0.000935179,0.41394982
Rassf5,6.775558e-05,0.0003052652,0.00037302077,0.0007147727,0.5218732
A930011G23Rik,-3.5643578e-05,-0.00033691525,-0.00037255883,-0.00080012786,0.46562403
Thra,-6.392598e-05,-0.0003081262,-0.0003720522,-0.00052714103,0.70579237
Slc1a3,-6.0543418e-05,-0.00030961633,-0.00037015975,-0.0007429843,0.49820662
Adamts9,6.6027045e-05,0.00030386448,0.00036989152,0.00068088074,0.5432544
Meis1,5.8323145e-05,0.00031152368,0.00036984682,0.00056810834,0.65101445
Sox5,-4.0113926e-05,-0.0003284812,-0.00036859512,-0.00096020044,0.38387302
Cacna1c,5.069375e-05,0.00031751394,0.0003682077,0.00033822106,1.0886598
Smad6,4.978478e-05,0.00031593442,0.0003657192,0.00058798894,0.621983
Epha6,6.22049e-05,0.0002983585,0.0003605634,0.0021661045,0.16645695
Cma1,-5.4712407e-05,-0.00030314736,-0.00035785977,-0.0139309,0.0256881
Ankrd1,6.4104795e-05,0.00029155612,0.00035566092,0.0005518815,0.6444515
Fam198b,5.6773424e-05,0.0002988726,0.000355646,0.0007643192,0.46531075
Zfp120,8.1419945e-05,0.00027360022,0.00035502017,0.0010998488,0.3227899
Pip5k1b,-4.041195e-05,-0.00031232834,-0.0003527403,-0.00040108184,0.879472
Pde1c,-6.251037e-05,-0.0002901554,-0.00035266578,-0.0012946066,0.27241147
Tfap2d,-4.1304156e-05,-0.00030898303,-0.00035028718,-0.0049692616,0.070490696
Arhgap31,-4.1633844e-05,-0.00030854344,-0.0003501773,-0.00042939614,0.8155109
Acta2,5.7429075e-05,0.00028896332,0.0003463924,0.0005732616,0.6042483
Stat3,-4.0620565e-05,-0.00030316412,-0.0003437847,-0.0007212761,0.47663388
Kcnq3,-4.232675e-05,-0.0003013909,-0.00034371763,-0.00084374874,0.40736955
Prune2,7.6562166e-05,0.00026635826,0.00034292042,0.0009965249,0.34411615
Pakap,3.7133694e-05,0.00030481815,0.00034195185,0.00037955886,0.900919
Trabd2b,-6.6682696e-05,-0.0002734512,-0.0003401339,-0.0008851075,0.38428533
Pde4b,-2.2605062e-05,-0.00031471252,-0.0003373176,-0.00044615497,0.75605464
Mef2a,-5.093217e-05,-0.00028592348,-0.00033685565,-0.00041618987,0.80937964
Zbtb46,-4.36306e-05,-0.00029212236,-0.00033575296,-0.0006834466,0.49126428
Vmn2r65,-4.0356303e-05,-0.0002952395,-0.0003355958,-0.020307614,0.016525514
Nfil3,7.818639e-05,0.00025583804,0.00033402443,0.0008753207,0.38160226
Tcf4,-4.3302774e-05,-0.00028970838,-0.00033301115,-0.00063322956,0.52589315
Col26a1,-7.585436e-05,-0.00025695562,-0.00033280998,-0.0016907811,0.1968379
Zfp738,5.3852797e-05,0.00027681887,0.00033067167,0.0008240172,0.4012921
Zscan25,-2.9787421e-05,-0.00030088425,-0.00033067167,-0.0016478617,0.20066702
Tet2,-5.7190657e-05,-0.0002732277,-0.00033041835,-0.0005286788,0.6249887
Dpf3,4.5359135e-05,0.0002834797,0.00032883883,0.00041513317,0.7921284
Cdh13,-3.3318996e-05,-0.00029543042,-0.00032874942,-0.00052130944,0.6306223
Zbtb8a,-3.0115247e-05,-0.00029841065,-0.0003285259,-0.0011797814,0.27846327
Mical2,-4.0650368e-05,-0.00028705597,-0.00032770634,-0.0003019663,1.0852413
Myo18b,-4.2438507e-05,-0.00028508902,-0.00032752752,-0.0003755981,0.87201583
Zfp987,-4.5577995e-05,-0.0002792701,-0.0003248481,-0.006372905,0.050973218
Amica1,-3.200397e-05,-0.00029264018,-0.00032464415,-0.0054083136,0.060026772
Mylk3,6.684661e-05,0.00025746226,0.00032430887,0.00044905386,0.72220474
Zfp60,6.8843365e-05,0.0002541691,0.00032301247,0.00088370556,0.3655204
Sema6d,5.2422285e-05,0.00027024746,0.00032266974,0.0006025098,0.5355426
Gpld1,-1.7799437e-05,-0.0003042668,-0.00032206625,-0.0017399765,0.18509795
Pf4,-5.2317046e-05,-0.00026940834,-0.00032172538,-0.019105045,0.016839713
Thyn1,-4.6297908e-05,-0.00027376413,-0.00032006204,-0.001090964,0.29337537
Pcdh17,-5.1930547e-05,-0.00026664138,-0.00031857193,-0.0009664393,0.3296346
Angpt1,-3.9562583e-05,-0.0002784133,-0.00031797588,-0.0005709619,0.5569125
Mest,8.112192e-05,0.00023427606,0.00031539798,0.0005705574,0.55278915
Nebl,6.952882e-05,0.00024586916,0.00031539798,0.0003183262,0.9908011
Flrt2,-5.121529e-05,-0.00026386976,-0.00031508505,-0.00087855937,0.35863823
Stard13,-5.1371753e-05,-0.00026342273,-0.00031479448,-0.0014072729,0.22369105
Slc24a3,-3.951788e-05,-0.00027370453,-0.0003132224,-0.00058745453,0.53318566
Nfkb2,-6.312132e-05,-0.00024950504,-0.00031262636,-0.0016110662,0.19404925
Myrfl,3.6284328e-05,0.00027625263,0.00031253695,0.001112595,0.28090802
Palld,6.997585e-05,0.00024026632,0.00031024218,0.0002509761,1.2361423
Esrra,-3.6150217e-05,-0.0002734661,-0.00030961633,-0.0004162365,0.743847
Hoxb7,-3.7079677e-05,-0.00027231872,-0.0003093984,-0.0075576045,0.040938586
Rbm20,-1.8060207e-05,-0.0002899766,-0.0003080368,-0.0003037446,1.0141308
Cd5,-4.080776e-05,-0.00026666746,-0.00030747522,-0.0063760593,0.048223294
Tcl1b1,-1.8345076e-05,-0.00028867275,-0.00030701782,-0.02377818,0.012911647
Gja4,-4.5436434e-05,-0.00025805365,-0.0003034901,-0.013135697,0.023104124
Shroom3,4.300475e-05,0.00026008487,0.00030308962,0.0004262994,0.71097815
Zfp523,6.303191e-05,0.00023780763,0.00030083954,0.00070948567,0.42402476
Myh7b,-3.2544136e-05,-0.00026771426,-0.0003002584,-0.00044357387,0.6769072
Atf7,-4.3809414e-05,-0.00025507808,-0.0002988875,-0.00052149716,0.5731334
Kcnq5,2.0995736e-05,0.00027763844,0.00029863417,0.00036161207,0.8258412
Ppp1r14c,-1.616776e-05,-0.000282228,-0.00029839575,-0.00041759814,0.7145523
Vav3,3.1255186e-05,0.0002667606,0.00029801577,0.0009850899,0.30252638
E2f6,7.0258975e-05,0.00022634864,0.0002966076,0.00073394505,0.40412772
Eps8,-4.7817826e-05,-0.0002476275,-0.00029544532,-0.0012937743,0.22835913
Tspan18,5.3942204e-05,0.00024136901,0.0002953112,0.00061086036,0.4834348
Foxo3,-3.8027763e-05,-0.0002564937,-0.00029452145,-0.0007800066,0.37758833
Obscn,6.338954e-05,0.00022780895,0.0002911985,0.0003177845,0.9163394
Gm28047,-3.6833808e-05,-0.00025268644,-0.00028952025,-0.0027023633,0.10713585
Pygl,5.632639e-05,0.00023274124,0.00028906763,0.0005532283,0.5225104
Tectb,-5.8959704e-05,-0.00022968464,-0.00028864434,-0.01710754,0.016872246
Aqp1,-4.174374e-05,-0.00024688058,-0.00028862432,-0.008527097,0.033847798
Dmrta2,-2.572313e-05,-0.00026271585,-0.00028843898,-0.0055333194,0.05212756
Galnt14,5.58272e-05,0.00023236871,0.0002881959,0.0012050754,0.23915166
Zeb2,-3.8042665e-05,-0.00024941564,-0.0002874583,-0.00060711737,0.47348052
Dab2,5.2452087e-05,0.00023365021,0.0002861023,0.00096334814,0.29698735
Cd300c,-3.4611905e-05,-0.00025095046,-0.00028556236,-0.017858934,0.015989788
Clstn2,3.587827e-05,0.00024828315,0.00028416142,0.0013474029,0.21089555
Rspo3,7.148087e-05,0.00021244586,0.00028392673,0.0006881213,0.41261137
Gfra1,-5.3863972e-05,-0.00022749603,-0.00028136,-0.0021437614,0.13124585
Lrrtm4,5.2541494e-05,0.00022865832,0.0002811998,0.0012489161,0.22515497
Gramd1b,-2.2038817e-05,-0.00025901198,-0.0002810508,-0.00042835885,0.6561105
Zfp771,-4.1112304e-05,-0.00023916364,-0.00028027594,-0.0007529289,0.37224746
Gm6086,-3.4317374e-05,-0.0002457369,-0.0002800543,-0.00910107,0.030771475
Ahrr,-3.3069402e-05,-0.00024543703,-0.00027850643,-0.0019574666,0.14227891
Cpeb3,-2.3260713e-05,-0.00025498867,-0.00027824938,-0.00062956655,0.4419697
Cyp26b1,-1.8093735e-05,-0.00025939196,-0.0002774857,-0.0019715347,0.14074594
Dpp6,-3.965944e-05,-0.00023718178,-0.00027684122,-0.0011468901,0.24138416
Zbtb8b,-5.0202012e-05,-0.00022583455,-0.00027603656,-0.0030579993,0.09026695
Zfp64,4.7415495e-05,0.00022700429,0.00027441978,0.00063516665,0.43204367
Slit3,3.296137e-05,0.00024038553,0.0002733469,0.00041915124,0.6521437
Hmcn1,-3.1486154e-05,-0.00024181604,-0.0002733022,-0.0005655835,0.48322153
Prss16,-4.1060615e-05,-0.0002320148,-0.00027307542,-0.019059163,0.014327677
Eya4,-3.01674e-05,-0.00024273992,-0.00027290732,-0.0011642519,0.2344056
Zfp322a,6.0409307e-05,0.00021235645,0.00027276576,0.0005400413,0.505083
Tox3,-3.799796e-05,-0.00023424625,-0.00027224422,-0.00094843406,0.28704593
Enpep,-3.889203e-05,-0.00023296475,-0.00027185678,-0.0010816461,0.2513361
Zbtb32,-4.5259483e-05,-0.00022611581,-0.0002713753,-0.00968823,0.028010722
Kcnj3,-4.273653e-05,-0.00022858381,-0.00027132034,-0.0008486285,0.3197162
Isl1,7.002801e-05,0.00020121783,0.00027124584,0.0014308481,0.18956986
