gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Myrfl,-7.543713e-06,-5.593896e-05,-6.348267e-05,-0.00022599088,0.28090802
Nfrkb,-1.0505319e-05,-4.941225e-05,-5.991757e-05,-0.000119032906,0.5033697
Myl9,6.377697e-06,5.2392483e-05,5.877018e-05,7.2586045e-05,0.8096621
Fbn2,-8.404255e-06,-4.929304e-05,-5.7697296e-05,-5.699867e-05,1.0122567
Ano4,6.392598e-06,4.914403e-05,5.5536628e-05,8.170368e-05,0.67973214
Creb3,-1.3455749e-05,-3.9964914e-05,-5.3420663e-05,-0.00021088345,0.25331834
Spon1,-7.0929527e-06,-4.133582e-05,-4.8428774e-05,-5.86234e-05,0.82609963
Ctnna3,4.4703484e-06,4.3094158e-05,4.7564507e-05,4.7832247e-05,0.9944024
Fstl4,-3.7103891e-06,-4.2676926e-05,-4.6387315e-05,-6.757472e-05,0.6864595
Atp2b4,6.6161156e-06,3.9219856e-05,4.5835972e-05,9.2075e-05,0.49781114
Rfx2,-7.763505e-06,-3.682077e-05,-4.4584274e-05,-0.00016316761,0.2732421
Tead3,-9.387732e-06,-3.4868717e-05,-4.425645e-05,-8.440282e-05,0.5243479
Gpld1,3.825873e-06,3.965199e-05,4.3477863e-05,0.00023489098,0.18509795
Zfp40,-7.122755e-06,-3.6001205e-05,-4.312396e-05,-8.906068e-05,0.48420864
Esrrb,2.7790666e-06,4.014373e-05,4.2922795e-05,9.388513e-05,0.45718408
Actb,-8.434057e-06,-3.4071505e-05,-4.2505562e-05,-0.00011924337,0.3564605
Foxp2,-6.608665e-06,-3.5375357e-05,-4.198402e-05,-0.000114834846,0.36560342
Zfp7,-6.7800283e-06,-3.4928322e-05,-4.170835e-05,-0.00013468943,0.30966303
Actn2,4.6491623e-06,3.6895275e-05,4.1544437e-05,4.1795367e-05,0.9939961
Smad7,-6.482005e-06,-3.504753e-05,-4.1529536e-05,-9.667665e-05,0.42957142
Zfp608,-3.606081e-06,-3.7521124e-05,-4.1127205e-05,-7.310976e-05,0.5625404
Id2,-9.179115e-06,-3.1739473e-05,-4.091859e-05,-9.354369e-05,0.43742746
Grhl1,7.3313713e-06,3.33488e-05,4.068017e-05,8.179872e-05,0.49732032
Dysf,6.943941e-06,3.3706427e-05,4.0650368e-05,6.3887084e-05,0.6362845
Ldb3,6.3478947e-06,3.373623e-05,4.0084124e-05,3.7048983e-05,1.0819223
Mybpc3,6.198883e-06,3.2931566e-05,3.913045e-05,4.0177394e-05,0.9739418
Ano3,-5.0254166e-06,-3.3974648e-05,-3.9000064e-05,-0.00019216532,0.20295048
Hmga2,-5.6028366e-06,-3.322959e-05,-3.8832426e-05,-7.152535e-05,0.54291826
Tcf12,-8.34465e-06,-3.0368567e-05,-3.8713217e-05,-6.3475156e-05,0.60989547
Stat2,5.9455633e-06,3.2395124e-05,3.8340688e-05,9.064176e-05,0.42299134
Elf2,-5.990267e-06,-3.2305717e-05,-3.8295984e-05,-7.809655e-05,0.49036708
Pou2f1,-6.839633e-06,-3.1352043e-05,-3.8191676e-05,-7.6670025e-05,0.4981304
Tnnt2,6.1392784e-06,3.167987e-05,3.7819147e-05,4.3574375e-05,0.8679216
Mitf,5.5134296e-06,3.2007694e-05,3.7521124e-05,4.4484936e-05,0.84345675
Arhgef4,7.674098e-06,2.9698014e-05,3.7372112e-05,9.700045e-05,0.38527763
Mllt10,-6.0796738e-06,-3.1262636e-05,-3.734231e-05,-5.830663e-05,0.64044696
Smyd1,6.7055225e-06,3.0338764e-05,3.7044287e-05,4.4411176e-05,0.8341207
Prtg,-5.751848e-06,-3.120303e-05,-3.695488e-05,-6.701612e-05,0.5514326
Zfp408,-6.2584877e-06,-3.0472875e-05,-3.6731362e-05,-8.65974e-05,0.42416233
Pgm5,2.413988e-06,3.4093857e-05,3.6507845e-05,4.300101e-05,0.84899956
Myl3,7.2419643e-06,2.9057264e-05,3.629923e-05,5.951335e-05,0.6099341
Zfp110,-7.122755e-06,-2.8774142e-05,-3.5896897e-05,-8.725105e-05,0.4114207
Arhgef28,5.4761767e-06,3.0383468e-05,3.5859644e-05,0.00011515914,0.31139198
Asb2,5.5134296e-06,3.0100346e-05,3.5613775e-05,4.1775922e-05,0.85249513
Irf9,8.791685e-06,2.6807189e-05,3.5598874e-05,0.000111151174,0.3202743
Epha6,4.9620867e-06,3.029406e-05,3.5256147e-05,0.00021180326,0.16645695
Lama4,5.7816505e-06,2.9206276e-05,3.4987926e-05,4.8970356e-05,0.71447146
Lama2,-3.5017729e-06,-3.0964613e-05,-3.4466386e-05,-7.6379845e-05,0.45124966
