gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Crebl2,-8.636713e-05,-0.0006528348,-0.0007392019,-0.0024485947,0.30188814
Actc1,0.00014013052,0.0005300045,0.000670135,0.0009699215,0.69091666
4930455D15Rik,-9.0666115e-05,-0.00053313375,-0.00062379986,-0.0064763655,0.09631934
Gm28047,-8.135103e-05,-0.00054170936,-0.0006230604,-0.0058156056,0.10713585
Hif1a,0.00010898709,0.0004966259,0.000605613,0.0008489047,0.713405
Fosl1,-6.7604706e-05,-0.000529252,-0.0005968567,-0.008797875,0.06784091
Atp2b4,0.00010228157,0.0004886836,0.00059096515,0.001187127,0.49781114
Zscan2,-9.217113e-05,-0.0004977286,-0.0005898997,-0.002461186,0.23968098
Nfic,-8.27834e-05,-0.00050701946,-0.00058980286,-0.0027025128,0.21824229
Dnah8,0.000132218,0.0004556775,0.0005878955,0.0011594677,0.507039
Ankrd1,8.7976456e-05,0.00048947334,0.0005774498,0.00089603284,0.6444515
Zfp60,0.00011062622,0.00045530498,0.0005659312,0.0015482886,0.3655204
Zfp874a,-9.2074275e-05,-0.00046929717,-0.00056137145,-0.0030641516,0.18320605
Zfp687,-4.646182e-05,-0.00051439926,-0.0005608611,-0.0018145782,0.3090861
Zbtb37,-0.000100284815,-0.00044240057,-0.0005426854,-0.0011876617,0.4569359
Vcan,8.043647e-05,0.0004595518,0.0005399883,0.00069991924,0.7715007
Zfp607a,7.6025724e-05,0.00045213103,0.00052815676,0.001492432,0.3538899
Rel,8.444488e-05,0.0004389584,0.0005234033,0.0011984883,0.43671948
Zfp637,-7.89389e-05,-0.0004440844,-0.0005230233,-0.0032204408,0.16240726
Smad9,-0.0001013875,-0.0004121065,-0.000513494,-0.0014843143,0.34594685
Id2,9.588897e-05,0.0004157275,0.00051161647,0.0011696027,0.43742746
Rcsd1,8.20905e-05,0.0004261434,0.0005082339,0.000973715,0.52195334
Sox5,-6.071478e-05,-0.0004414916,-0.0005022064,-0.0013082614,0.38387302
Creb3,0.000110432506,0.00039001554,0.00050044805,0.001975569,0.25331834
Clock,8.183718e-05,0.0004181862,0.00050002337,0.0008419639,0.5938773
Vwa3a,8.092821e-05,0.00041794777,0.000498876,0.0022364939,0.22306153
Prdm9,0.00010204315,0.00039352477,0.0004955679,0.0016428762,0.30164644
Zfp987,-6.4921565e-05,-0.00042738765,-0.0004923092,-0.009658175,0.050973218
Mest,0.00010499358,0.00038678944,0.000491783,0.00088963925,0.55278915
Zfp941,-9.583309e-05,-0.00039218366,-0.00048801675,-0.0037429947,0.13038126
Zfp30,-9.781122e-05,-0.00038556755,-0.00048337877,-0.001516587,0.31872794
Sdk1,6.723404e-05,0.0004143119,0.00048154593,0.0005076485,0.9485812
Lipf,-6.723404e-05,-0.00041059405,-0.00047782809,-0.009826845,0.048624672
Tnni3k,5.2571297e-05,0.00042304397,0.00047561526,0.001208313,0.39361915
Myh7,7.727742e-05,0.0003952682,0.00047254562,0.00053752214,0.8791183
Zbtb8a,-6.2175095e-05,-0.00040863454,-0.00047080964,-0.0016907417,0.27846327
Zfp1,6.0930848e-05,0.00040462613,0.00046555698,0.0012926585,0.36015457
Kcnj6,5.5823475e-05,0.00040555,0.00046137348,0.0025920577,0.17799497
Zfp771,-7.1913004e-05,-0.00038276613,-0.00045467913,-0.001221443,0.37224746
Slc24a3,-6.528199e-05,-0.00038927794,-0.00045455992,-0.0008525357,0.53318566
Zfp112,5.3703785e-05,0.0003978312,0.000451535,0.0013370492,0.33771
Abcc9,7.0899725e-05,0.0003774464,0.00044834614,0.0007223547,0.620673
Nav2,7.855892e-05,0.00036925077,0.0004478097,0.00047482605,0.9431025
Zfp683,-5.9540384e-05,-0.00038689934,-0.00044643972,-0.01076706,0.04146337
Plac8,-9.883195e-05,-0.00034534186,-0.0004441738,-0.0021278856,0.20873941
Foxj2,-7.031858e-05,-0.0003707707,-0.00044108927,-0.0010380577,0.42491776
Nfkb1,6.0260296e-05,0.00037941337,0.00043967366,0.0005346397,0.8223736
Nebl,9.340048e-05,0.00033426285,0.00042766333,0.00043163385,0.9908011
Tmem71,7.970631e-05,0.00034447014,0.00042417645,0.0020972304,0.20225543
Grin3a,-8.279085e-05,-0.00034081936,-0.0004236102,-0.0006684332,0.6337359
Zfp827,-5.096197e-05,-0.000372082,-0.00042304397,-0.0005176737,0.81720185
Alcam,7.241964e-05,0.00034880638,0.00042122602,0.00056683196,0.7431232
BC025920,-9.62019e-05,-0.00031469762,-0.00041089952,-0.0028388037,0.1447438
Zfp709,-8.508563e-05,-0.00032299012,-0.00040807575,-0.0018163907,0.22466289
Rspo3,0.00010187924,0.00030447543,0.00040635467,0.0009848361,0.41261137
Nexn,5.620718e-05,0.00034970045,0.00040590763,0.00040467473,1.0030465
Zfp445,-7.3730946e-05,-0.0003310144,-0.00040474534,-0.0007899905,0.5123419
Erbb4,2.759695e-05,0.0003735423,0.00040113926,0.000415189,0.96616054
Atp6v0a2,-6.555021e-05,-0.0003325343,-0.00039808452,-0.0007103792,0.560383
Erf,-7.517636e-05,-0.00032037497,-0.00039555132,-0.0013304227,0.29731244
Amica1,-3.6418438e-05,-0.00035894662,-0.00039536506,-0.006586468,0.060026772
Kif26b,4.249811e-05,0.00035268068,0.0003951788,0.00046947293,0.8417498
Alox5,-7.660687e-05,-0.00031781197,-0.00039441884,-0.0015675132,0.25162065
Lama4,5.2541494e-05,0.00034096837,0.00039350986,0.0005507705,0.71447146
Zfp629,-7.168949e-05,-0.00032145157,-0.00039314106,-0.0015240955,0.2579503
Igf2,-7.632375e-05,-0.000315845,-0.00039216876,-0.00067449815,0.5814229
Gm28557,-4.838407e-05,-0.00034163892,-0.000390023,-0.0017529352,0.22249699
Slco3a1,6.952882e-05,0.00032001734,0.00038954616,0.0004681534,0.83209074
Grhl1,7.9363585e-05,0.0003094375,0.0003888011,0.0007817919,0.49732032
Arhgap31,5.0753355e-05,0.0003337264,0.00038447976,0.00047145868,0.8155109
Gm28363,-6.734207e-05,-0.0003137961,-0.00038113818,-0.022154378,0.01720364
Gon4l,6.574392e-05,0.00031492114,0.00038066506,0.0007197814,0.52886194
Ahrr,-5.255267e-05,-0.0003278181,-0.00038037077,-0.0026734143,0.14227891
Trim55,5.4568052e-05,0.0003244877,0.00037905574,0.00036292165,1.044456
Cc2d1a,7.669628e-05,0.00030052662,0.0003772229,0.0010251282,0.36797622
E2f6,6.707013e-05,0.00030870736,0.00037577748,0.0009298481,0.40412772
Cux2,-4.914403e-05,-0.0003257692,-0.00037491322,-0.0007578858,0.4946829
Zfp738,4.582107e-05,0.00032658875,0.00037240982,0.0009280266,0.4012921
Zfp383,-0.000105306506,-0.0002667457,-0.0003720522,-0.0010322001,0.36044574
Rsl1,-5.3100288e-05,-0.00031892955,-0.00037202984,-0.0020720386,0.17954764
Myl7,6.249547e-05,0.0003094077,0.00037190318,0.0005103142,0.7287729
Oacyl,-4.643947e-05,-0.00032527745,-0.00037171692,-0.003265062,0.11384672
Mef2d,4.7773123e-05,0.000323236,0.0003710091,0.00040925838,0.9065399
Irf9,-9.6306205e-05,-0.00026988983,-0.00036619604,-0.0011433823,0.3202743
Pla2r1,7.44313e-05,0.00028979778,0.00036422908,0.0008144159,0.44722727
Pip5k1b,5.6743622e-05,0.00030726194,0.00036400557,0.00041389096,0.879472
Tfcp2,-3.8176775e-05,-0.00032567978,-0.00036385655,-0.0006224981,0.5845102
Pura,6.324053e-05,0.00030055642,0.00036379695,0.0009575958,0.37990648
Pias3,-5.325675e-05,-0.00031003356,-0.0003632903,-0.00093222596,0.3897019
Ldb3,4.8995018e-05,0.000312984,0.000361979,0.0003345702,1.0819223
Slc8a1,3.695488e-05,0.00032389164,0.00036084652,0.00033590855,1.0742402
Bcl2,6.195903e-05,0.00029489398,0.000356853,0.00045117934,0.7909337
Etv2,1.4910474e-06,0.0003544353,0.00035592634,0.006259611,0.056860678
Sh3bgr,4.3600798e-05,0.00031098723,0.00035458803,0.0005193369,0.6827706
Mpped2,5.5879354e-05,0.00029850006,0.00035437942,0.0005158681,0.6869573
Cdon,-6.020069e-05,-0.00029361248,-0.00035381317,-0.00081769825,0.43269396
Homez,-6.696582e-05,-0.00028577447,-0.0003527403,-0.0012956117,0.27225763
Tgif2,-6.042421e-05,-0.00029222667,-0.00035265088,-0.0009923364,0.35537422
Ptn,-7.44611e-05,-0.00027807802,-0.00035253912,-0.0015198915,0.23195007
E2f4,7.95871e-05,0.00027005374,0.00034964085,0.0012117529,0.2885413
Ryr2,4.7534704e-05,0.0003015995,0.0003491342,0.00034385308,1.0153586
Rfx2,5.595386e-05,0.0002925694,0.00034852326,0.0012755105,0.2732421
Gm17655,-4.973635e-05,-0.0002966076,-0.00034634396,-0.0023465473,0.14759716
Etv5,5.699694e-05,0.00028717518,0.00034417212,0.00096974627,0.35490936
Crebzf,6.145239e-05,0.000279814,0.0003412664,0.00084796175,0.40245485
Csrnp1,-7.785112e-05,-0.0002629608,-0.0003408119,-0.0018095745,0.18833804
Ccdc60,-3.2985583e-05,-0.00030757487,-0.00034056045,-0.0026162232,0.13017245
