gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Thap4,-2.6479363e-05,-0.00014290214,-0.0001693815,-0.00030179732,0.56124246
Zfp628,-1.28000975e-05,-0.00014476478,-0.00015756488,-0.00066003745,0.23872101
Zfp934,-1.7344952e-05,-0.00013664365,-0.0001539886,-0.0005189777,0.29671517
Zfp977,-1.8909574e-05,-0.00013373792,-0.0001526475,-0.00057013315,0.26773998
Cacna1c,1.4990568e-05,0.0001360774,0.00015106797,0.00013876507,1.0886598
Myl9,1.874566e-05,0.00013053417,0.00014927983,0.00018437297,0.8096621
Actn2,1.4662743e-05,0.0001321435,0.00014680624,0.00014769296,0.9939961
Myo18b,2.1129847e-05,0.00012022257,0.00014135242,0.00016209843,0.87201583
Zfp653,1.3932586e-05,0.0001244247,0.00013835728,0.00031507146,0.43912977
Filip1,1.6838312e-05,0.00011885166,0.00013568997,0.00016524139,0.821162
Obscn,2.6762486e-05,0.000107228756,0.00013399124,0.00014622445,0.9163394
Zfp287,1.8909574e-05,0.000115036964,0.00013394654,0.00041809882,0.32037044
Myom1,1.9460917e-05,0.000114142895,0.00013360381,0.00013584405,0.9835086
Gbx1,-2.272427e-05,-0.0001071319,-0.00012985617,-0.0010573834,0.12280888
Zbtb37,-2.002716e-05,-0.0001091063,-0.00012913346,-0.00028260733,0.4569359
Zfp473,-2.3968518e-05,-0.000100106,-0.00012407452,-0.0008842015,0.1403237
Dnah8,1.7374754e-05,0.00010636449,0.00012373924,0.00024404279,0.507039
Dbx2,-2.0911917e-05,-0.00010132417,-0.00012223609,-0.0017458212,0.07001629
Mitf,1.8060207e-05,0.00010302663,0.000121086836,0.0001435602,0.84345675
Prdm15,-1.4290214e-05,-0.000106304884,-0.0001205951,-0.00025439443,0.4740476
Meis3,-3.285706e-05,-8.60095e-05,-0.00011886656,-0.00034302243,0.34652698
Palld,2.2649765e-05,9.447336e-05,0.00011712313,9.4748895e-05,1.2361423
Rap1gap2,1.6123056e-05,9.846687e-05,0.00011458993,0.0001751005,0.65442365
Lama4,1.5348196e-05,9.134412e-05,0.000106692314,0.00014933039,0.71447146
Camta2,-2.4363399e-05,-8.226931e-05,-0.00010663271,-0.00024098656,0.44248396
Nfkb2,1.9952655e-05,8.653104e-05,0.0001064837,0.00054874545,0.19404925
Ldb3,1.2397766e-05,9.346008e-05,0.00010585785,9.784236e-05,1.0819223
Myh6,2.3841858e-05,8.165836e-05,0.00010550022,9.444596e-05,1.1170431
Foxp4,-2.5495887e-05,-7.927418e-05,-0.000104770064,-0.00021504174,0.48720795
P3h2,1.0445714e-05,9.432435e-05,0.000104770064,0.00023976476,0.43697014
Ttn,1.6510487e-05,8.72612e-05,0.00010377169,8.248582e-05,1.2580547
Zfp974,1.1250377e-05,9.161234e-05,0.000102862716,0.00022081094,0.46584058
Gpld1,-3.7644058e-06,-9.894371e-05,-0.000102708116,-0.0005548849,0.18509795
Gm14418,-1.42119825e-05,-8.845329e-05,-0.000102665275,-0.0009730769,0.10550572
Zfp54,1.5422702e-05,8.608401e-05,0.00010150671,0.0004654907,0.21806377
Csrnp1,-1.9729137e-05,-8.063018e-05,-0.00010035932,-0.00053286774,0.18833804
Dsp,1.0341406e-05,8.9883804e-05,0.00010022521,0.00010742351,0.93299127
Fam198b,1.5944242e-05,8.365512e-05,9.959936e-05,0.00021404908,0.46531075
Ctnna3,8.106232e-06,9.11355e-05,9.924173e-05,9.980036e-05,0.9944024
Zbtb40,-2.4437904e-05,-7.31051e-05,-9.7543e-05,-0.00021905439,0.44529116
L3mbtl3,-1.7225742e-05,-8.0004334e-05,-9.723008e-05,-0.00023906055,0.40671727
Mpped2,1.8119812e-05,7.838011e-05,9.649992e-05,0.00014047438,0.6869573
Zbtb21,-1.22487545e-05,-8.395314e-05,-9.62019e-05,-0.00020487244,0.46956962
Palm2,1.1086464e-05,8.434057e-05,9.5427036e-05,0.00011404111,0.8367774
Pura,1.8566847e-05,7.669628e-05,9.526312e-05,0.0002507541,0.37990648
Tbx3,1.475215e-05,7.942319e-05,9.417534e-05,0.00024473507,0.38480514
Thap2,-1.8015504e-05,-7.554889e-05,-9.356439e-05,-0.00020429115,0.45799524
Unc13c,8.396804e-06,8.5145235e-05,9.354204e-05,0.00021069327,0.44397253
Smyd1,1.5467405e-05,7.7456236e-05,9.292364e-05,0.0001114031,0.8341207
Irf9,-2.464652e-05,-6.777793e-05,-9.242445e-05,-0.00028857897,0.3202743
Jph2,8.702278e-06,8.2314014e-05,9.101629e-05,0.000102485494,0.8880894
Rassf5,1.475215e-05,7.554889e-05,9.030104e-05,0.00017303249,0.5218732
