gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Sema3c,0.00012302399,0.00033807755,0.00046110153,0.0006577067,0.7010746
Mpped2,8.72314e-05,0.00031545758,0.00040268898,0.00058619207,0.6869573
Rspo3,9.231269e-05,0.000273332,0.0003656447,0.00088617194,0.41261137
Grhl1,7.6532364e-05,0.0002706945,0.00034722686,0.0006981955,0.49732032
Dnah8,8.751452e-05,0.00025638938,0.0003439039,0.00067825906,0.507039
Lcn3,-4.0888088e-05,-0.00029901974,-0.00033990783,-0.018368345,0.018504987
Zfp687,-3.5315752e-05,-0.0003023818,-0.00033769757,-0.0010925676,0.3090861
Etv2,-1.5394762e-06,-0.0003291294,-0.00033066887,-0.0058154124,0.056860678
Nfkb2,-5.978346e-05,-0.00026632287,-0.00032610632,-0.0016805328,0.19404925
Pf4,-5.1718205e-05,-0.00026961789,-0.0003213361,-0.019081928,0.016839713
Myh7,7.44462e-05,0.00024431944,0.00031876564,0.0003625969,0.8791183
Scube1,7.4490905e-05,0.0002399385,0.0003144294,0.0006678887,0.4707811
Atp2b4,6.365776e-05,0.0002488494,0.00031250715,0.00062776235,0.49781114
Sema6d,5.3152442e-05,0.00025334954,0.00030650198,0.0005723203,0.5355426
Vcan,5.865097e-05,0.0002475977,0.00030624866,0.00039695183,0.7715007
Slco3a1,5.9366226e-05,0.00023829937,0.0002976656,0.0003577321,0.83209074
Thap4,5.2422285e-05,0.00024467707,0.00029709935,0.00052935997,0.56124246
Cma1,-4.3125823e-05,-0.00024537742,-0.00028850324,-0.011230963,0.0256881
Purg,3.97712e-05,0.00024670362,0.00028647482,0.00048179243,0.59460205
Bcl2,6.0886145e-05,0.00022557378,0.00028645992,0.00036217936,0.7909337
Tcl1b1,-1.6697857e-05,-0.00026403926,-0.00028073712,-0.021742769,0.012911647
Gm3604,-2.7783215e-05,-0.0002465546,-0.00027433783,-0.00093830616,0.2923755
Zfp523,6.67721e-05,0.00020428002,0.00027105212,0.0006392364,0.42402476
Vmn2r65,-3.2693613e-05,-0.00023704581,-0.00026973942,-0.016322505,0.016525514
Arhgef28,4.9687922e-05,0.00021322072,0.00026290864,0.000844301,0.31139198
Zfp362,-5.173683e-05,-0.00021107495,-0.00026281178,-0.00091089885,0.28851908
Trpc3,3.992021e-05,0.00022262335,0.00026254356,0.0006063558,0.4329859
Meis2,5.0231814e-05,0.0002104938,0.00026072562,0.00041829154,0.6233106
Myl7,5.8203936e-05,0.00019720197,0.0002554059,0.00035046015,0.7287729
Tlr11,-2.7642702e-05,-0.00022585038,-0.00025349308,-0.020724397,0.012231527
Hoxb7,-3.1783246e-05,-0.00021992251,-0.00025170576,-0.0061483593,0.040938586
Gja4,-3.536418e-05,-0.00021631923,-0.0002516834,-0.010893393,0.023104124
Pgm5,-1.9162893e-05,-0.00023132563,-0.00025048852,-0.0002950396,0.84899956
Irf5,3.913045e-05,0.0002104044,0.00024953485,0.0005886805,0.42388833
Fosl1,-3.845431e-05,-0.00020939857,-0.00024785288,-0.0036534374,0.06784091
Tectb,-4.7858804e-05,-0.00019968487,-0.00024754368,-0.014671562,0.016872246
Mcc,3.734231e-05,0.00020778179,0.0002451241,0.00037675747,0.650615
Nebl,5.0485134e-05,0.00019431114,0.00024479628,0.00024706902,0.9908011
Abcc9,4.8190355e-05,0.00019481778,0.00024300814,0.00039152353,0.620673
Col26a1,-5.7026744e-05,-0.00018472224,-0.00024174899,-0.0012281622,0.1968379
Meis1,4.0262938e-05,0.00020083785,0.00024110079,0.0003703462,0.65101445
B930025P03Rik,-3.0602794e-05,-0.00020893198,-0.00023953477,-0.01582606,0.015135366
Rap1gap2,4.145503e-05,0.00019785762,0.00023931265,0.00036568454,0.65442365
3632451O06Rik,5.5521727e-05,0.0001834333,0.00023895502,0.00048446012,0.49323973
Ccdc136,6.0230494e-05,0.00017827749,0.00023850799,0.00045680846,0.52211803
Lipf,-3.3380464e-05,-0.00020194985,-0.00023533031,-0.0048397207,0.048624672
Mecom,4.7907233e-05,0.00018689036,0.0002347976,0.0005653378,0.41532257
Prtg,3.5256147e-05,0.00019922853,0.00023448467,0.00042522806,0.5514326
Zfp965,-3.1355303e-05,-0.00020301249,-0.00023436779,-0.01711995,0.013689647
Tbr1,-3.5578385e-05,-0.00019782782,-0.0002334062,-0.0071532885,0.032629117
Zfp989,-3.5459874e-05,-0.0001975121,-0.00023297197,-0.01596079,0.014596419
Bcl6b,-3.6763027e-05,-0.00019471534,-0.00023147836,-0.006940342,0.033352487
