gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Pde3a,-6.186962e-05,-0.00029248,-0.0003543496,-0.00044043892,0.80453736
Ctnna3,-4.2557716e-05,-0.00031077862,-0.00035333633,-0.00035532526,0.9944024
Cacna1c,-5.1558018e-05,-0.0002695918,-0.00032114983,-0.00029499555,1.0886598
Palld,-8.010864e-05,-0.00023704767,-0.00031715631,-0.00025656942,1.2361423
Erbb4,-3.2380223e-05,-0.00028043985,-0.00031282008,-0.00032377645,0.96616054
Myl9,-4.1663647e-05,-0.00025081635,-0.00029248,-0.00036123703,0.8096621
Trim55,-5.26309e-05,-0.00023883581,-0.0002914667,-0.00027906074,1.044456
Slc8a1,-3.811717e-05,-0.000246346,-0.00028446317,-0.00026480402,1.0742402
Sdk1,-5.3226948e-05,-0.000230968,-0.00028419495,-0.00029959998,0.9485812
Plppr5,-5.1543117e-05,-0.00022137165,-0.00027291477,-0.0006273351,0.43503818
Ghr,-5.5596232e-05,-0.00021153688,-0.00026713312,-0.0003953262,0.6757282
Igfbp5,-5.1289797e-05,-0.00021570921,-0.000266999,-0.00044366342,0.6018052
Sphkap,-5.7309866e-05,-0.00020307302,-0.0002603829,-0.00031597744,0.8240552
Pgm5,-1.9669533e-05,-0.00023531914,-0.00025498867,-0.00030034012,0.84899956
Cdh3,-4.7668815e-05,-0.00020632148,-0.0002539903,-0.00051449495,0.4936691
Sox6,-3.618002e-05,-0.00021541119,-0.0002515912,-0.00031736342,0.7927542
Frmd4b,-6.2942505e-05,-0.00018677115,-0.00024971366,-0.0004051017,0.61642206
Sema3c,-7.364154e-05,-0.00016993284,-0.00024357438,-0.00034742997,0.7010746
Myh6,-7.56979e-05,-0.00016736984,-0.00024306774,-0.00021759923,1.1170431
Zbtb20,-4.762411e-05,-0.00019299984,-0.00024062395,-0.00025553926,0.9416319
Trps1,-4.403293e-05,-0.00019603968,-0.00024007261,-0.0005068387,0.47366655
Palm2,-4.7296286e-05,-0.00018304586,-0.00023034215,-0.00027527288,0.8367774
Synpo2,-4.3690205e-05,-0.00018236041,-0.00022605062,-0.0004020787,0.5622048
Rgs6,-4.044175e-05,-0.00018036366,-0.0002208054,-0.00029817797,0.7405154
Ldb3,-3.761053e-05,-0.00018161535,-0.00021922588,-0.00020262625,1.0819223
Myom1,-4.5329332e-05,-0.0001732111,-0.00021854043,-0.00022220488,0.9835086
Shroom3,-3.9726496e-05,-0.00017136335,-0.00021108985,-0.00029690057,0.71097815
Filip1,-3.20971e-05,-0.00016266108,-0.00019475818,-0.00023717385,0.821162
Rap1gap2,-3.963709e-05,-0.00015288591,-0.000192523,-0.00029418705,0.65442365
Cacnb2,-3.0338764e-05,-0.00015807152,-0.00018841028,-0.00020872269,0.9026822
Cdh13,-2.82228e-05,-0.00015726686,-0.00018548965,-0.00029413743,0.6306223
Hdac9,-2.6986003e-05,-0.00015559793,-0.00018258393,-0.00028194961,0.64757633
Thsd4,-2.8774142e-05,-0.0001502335,-0.00017900765,-0.0002948202,0.6071755
Actn2,-2.4110079e-05,-0.00015288591,-0.00017699599,-0.00017806506,0.9939961
Cacna1d,-3.2380223e-05,-0.00014394522,-0.00017632544,-0.00027172893,0.6489019
Kcnq3,-3.273785e-05,-0.00014230609,-0.00017504394,-0.00042969314,0.40736955
Slc24a2,-3.4347177e-05,-0.00013884902,-0.0001731962,-0.0003495829,0.4954366
Alcam,-4.056096e-05,-0.00012654066,-0.00016710162,-0.00022486392,0.7431232
Pip5k1b,-3.1888485e-05,-0.0001348257,-0.00016671419,-0.00018956166,0.879472
Ttn,-3.46303e-05,-0.00013160706,-0.00016623735,-0.0001321384,1.2580547
Tbx20,-3.5703182e-05,-0.00012806058,-0.00016376376,-0.00021041211,0.7783
Obscn,-4.285574e-05,-0.0001193583,-0.00016221404,-0.00017702395,0.9163394
Gm14325,-2.2757798e-05,-0.00013929605,-0.00016205385,-0.00069107953,0.23449367
Srebf2,-3.3825636e-05,-0.0001257956,-0.00015962124,-0.00024663805,0.64718807
Tnc,-4.36157e-05,-0.00011397898,-0.00015759468,-0.0005109188,0.30845338
Vsnl1,-3.3646822e-05,-0.00012227893,-0.00015592575,-0.00044422236,0.35100824
Ankrd1,-3.4600496e-05,-0.00012061,-0.0001552105,-0.0002408412,0.6444515
Tmem108,-2.6196241e-05,-0.00012591481,-0.00015211105,-0.00019187934,0.79274315
Gm3604,-1.7732382e-05,-0.0001320839,-0.00014981627,-0.0005124103,0.2923755
Fbn2,-2.5421381e-05,-0.00012433529,-0.00014975667,-0.00014794336,1.0122567
Clstn2,-2.5037676e-05,-0.00012259185,-0.00014762953,-0.0007000122,0.21089555
Cdip1,-2.4169683e-05,-0.00012046099,-0.00014463067,-0.00017600544,0.8217396
Tmod1,-2.065301e-05,-0.00012290478,-0.00014355779,-0.00016364823,0.8772338
Kcnh7,-3.0457973e-05,-0.0001128912,-0.00014334917,-0.0001780867,0.8049402
Fam198b,-2.9459596e-05,-0.0001103282,-0.0001397878,-0.0003004181,0.46531075
Dpf3,-2.2500753e-05,-0.00011533499,-0.00013783574,-0.0001740068,0.7921284
9430076C15Rik,-2.7865171e-05,-0.00010967255,-0.00013753772,-0.0002468009,0.557282
Plagl1,-2.8043985e-05,-0.00010946393,-0.00013750792,-0.00018264956,0.75285095
Gpld1,-1.1624768e-05,-0.00012493134,-0.0001365561,-0.0007377501,0.18509795
Nfkb1,-2.4616718e-05,-0.00011175871,-0.00013637543,-0.00016583144,0.8223736
Sorbs2,-2.9563904e-05,-0.00010675192,-0.00013631582,-0.00013288253,1.025837
Mbd2,-3.0383468e-05,-0.00010538101,-0.00013576448,-0.00024260717,0.5596061
Prickle1,-1.8328428e-05,-0.00011733174,-0.00013566017,-0.0001927577,0.7037859
Arhgap31,-2.3156404e-05,-0.00011065602,-0.00013381243,-0.00016408414,0.8155109
Jazf1,-1.2822449e-05,-0.00011998415,-0.0001328066,-0.00029781964,0.44592953
Col22a1,-3.6746264e-05,-9.562075e-05,-0.00013236701,-0.000557063,0.2376158
Emilin2,-2.220273e-05,-0.00010949373,-0.00013169646,-0.00020269946,0.6497128
Plcb1,-2.7626753e-05,-0.000100672245,-0.000128299,-0.00032562806,0.39400464
Smoc2,-3.9234757e-05,-8.737296e-05,-0.00012660772,-0.0006912345,0.18316165
Pakap,-1.5437603e-05,-0.000110805035,-0.00012624264,-0.00014012649,0.900919
Nr2f1,-3.9950013e-05,-8.620322e-05,-0.00012615323,-0.0003773352,0.3343266
Esr1,-2.2009015e-05,-0.000103637576,-0.00012564659,-0.0003317647,0.37872192
Zscan25,-1.598522e-05,-0.00010895729,-0.00012494251,-0.00062263565,0.20066702
Prune2,-3.4943223e-05,-8.943677e-05,-0.00012437999,-0.0003614476,0.34411615
Cyp26b1,-1.7158687e-05,-0.000106699765,-0.00012385845,-0.00088001374,0.14074594
Irf5,-2.7731061e-05,-9.419024e-05,-0.0001219213,-0.00028762594,0.42388833
Bcl2,-2.6643276e-05,-9.468198e-05,-0.000121325254,-0.00015339494,0.7909337
Dnah8,-3.5956502e-05,-8.2314014e-05,-0.00011827052,-0.00023325717,0.507039
Angpt1,-2.4229288e-05,-9.3877316e-05,-0.0001181066,-0.00021207386,0.5569125
Etv6,-1.7657876e-05,-0.000100046396,-0.00011770427,-0.00017218356,0.6835975
Dsp,-1.463294e-05,-0.00010275841,-0.00011739135,-0.00012582254,0.93299127
Rbpms,-1.680851e-05,-0.000100016594,-0.000116825104,-0.00012510596,0.9338091
Ryr2,-1.9997358e-05,-9.572506e-05,-0.00011572242,-0.00011397196,1.0153586
Lrrtm3,-1.4029443e-05,-0.000100940466,-0.00011496991,-0.00026678425,0.43094707
Kctd16,-1.2481585e-05,-0.000101700425,-0.00011418201,-0.00065585604,0.17409605
Pcdh17,-2.5875866e-05,-8.803606e-05,-0.00011391193,-0.0003455702,0.3296346
Nrp2,-3.2037497e-05,-8.1673265e-05,-0.00011371076,-0.0004037652,0.28162587
Grin3a,-2.3961067e-05,-8.940697e-05,-0.000113368034,-0.00017888843,0.6337359
Ptprd,-1.6391277e-05,-9.62019e-05,-0.000112593174,-0.00014087578,0.79923713
Rassf5,-2.8327107e-05,-8.422136e-05,-0.00011254847,-0.00021566244,0.5218732
Dysf,-2.5093555e-05,-8.702278e-05,-0.00011211634,-0.0001762047,0.6362845
Naaladl2,-1.7650425e-05,-9.1552734e-05,-0.00010920316,-0.00035397842,0.30850223
Nebl,-2.9981136e-05,-7.838011e-05,-0.000108361244,-0.00010936729,0.9908011
Plxna4,-1.9222498e-05,-8.884072e-05,-0.00010806322,-0.00018015722,0.5998272
Fbxo32,-2.8029084e-05,-7.876754e-05,-0.00010679662,-0.00022243637,0.48012203
Mast4,-2.169609e-05,-8.416176e-05,-0.00010585785,-0.00010807537,0.9794816
Galnt14,-2.4206936e-05,-7.764995e-05,-0.00010185689,-0.000425909,0.23915166
Dgki,-1.4059246e-05,-8.761883e-05,-0.00010167807,-0.00024112604,0.4216801
Pbx1,-1.9967556e-05,-8.1688166e-05,-0.00010165572,-0.00013111491,0.77531767
Slit3,-1.4871359e-05,-8.5800886e-05,-0.000100672245,-0.00015437123,0.6521437
Sgcd,-1.1950731e-05,-8.8483095e-05,-0.00010043383,-0.00020650052,0.48636103
Nr2f2,-3.4689903e-05,-6.432831e-05,-9.9018216e-05,-0.00029404834,0.3367412
Myocd,-1.3336539e-05,-8.457899e-05,-9.791553e-05,-0.00013029318,0.75150144
Ppargc1a,-2.2381544e-05,-7.548928e-05,-9.787083e-05,-0.000148668,0.6583179
Il15,-1.655519e-05,-8.0913305e-05,-9.7468495e-05,-0.00020702474,0.47080594
Rere,-2.130866e-05,-7.5787306e-05,-9.7095966e-05,-0.00012822857,0.75720996
Ikzf2,-2.2441149e-05,-7.428229e-05,-9.672344e-05,-0.00024830416,0.38953602
Nav2,-1.9520521e-05,-7.7068806e-05,-9.658933e-05,-0.00010241656,0.9431025
Zfp458,-2.5838614e-05,-7.042289e-05,-9.62615e-05,-0.00037070274,0.25967294
Setbp1,-1.296401e-05,-8.2463026e-05,-9.5427036e-05,-0.00016606673,0.57463056
Zfp715,-1.7285347e-05,-7.7947974e-05,-9.523332e-05,-0.00032151458,0.2962021
Zfp804a,-1.0523945e-05,-8.454919e-05,-9.5073134e-05,-0.00036374238,0.26137483
Slco1c1,-2.1073967e-05,-7.3835254e-05,-9.490922e-05,-0.0005229405,0.18149135
Ccdc141,-2.43783e-05,-7.033348e-05,-9.471178e-05,-9.40957e-05,1.0065472
Elf1,-1.5221536e-05,-7.939339e-05,-9.461492e-05,-0.00031570482,0.29969418
Plcxd3,-2.3268163e-05,-6.978959e-05,-9.305775e-05,-0.0005751936,0.16178499
Hivep2,-1.7389655e-05,-7.5280666e-05,-9.267032e-05,-0.00015871883,0.58386457
Meis3,2.4974346e-05,6.686151e-05,9.183586e-05,0.00026501785,0.34652698
Asb2,-1.552701e-05,-7.534027e-05,-9.086728e-05,-0.00010658978,0.85249513
Tmem163,-1.6570091e-05,-7.4118376e-05,-9.068847e-05,-0.00014306293,0.633906
Blk,-1.34930015e-05,-7.6428056e-05,-8.992106e-05,-0.00046548978,0.19317505
Slc1a3,-2.1398067e-05,-6.827712e-05,-8.967519e-05,-0.00017999594,0.49820662
Foxp2,-1.8522143e-05,-7.072091e-05,-8.9243054e-05,-0.00024409792,0.36560342
