gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Mast4,-6.109476e-05,-0.0004401803,-0.00050127506,-0.00051177584,0.9794816
Tfeb,-4.643202e-05,-0.00038307905,-0.00042951107,-0.0008226298,0.5221194
Dkk3,-4.284084e-05,-0.00038430095,-0.0004271418,-0.0006622604,0.6449755
Fstl4,-2.7671456e-05,-0.0003838241,-0.00041149557,-0.0005994461,0.6864595
Mical2,-4.7147274e-05,-0.00035893917,-0.00040608644,-0.00037418996,1.0852413
Kif26b,-3.1858683e-05,-0.00037050247,-0.00040236115,-0.0004780056,0.8417498
Emilin2,-3.4332275e-05,-0.00036776066,-0.00040209293,-0.0006188778,0.6497128
Cdh20,-2.592802e-05,-0.00037026405,-0.00039619207,-0.00084793346,0.4672442
Creb3l2,-4.1782856e-05,-0.0003233552,-0.00036513805,-0.00043034164,0.84848404
Gata4,-3.056228e-05,-0.00033065677,-0.00036121905,-0.00051820016,0.6970646
Etv2,-2.0824373e-06,-0.00035705045,-0.0003591329,-0.006316004,0.056860678
Klf10,-4.3824315e-05,-0.00031419098,-0.0003580153,-0.0011765518,0.3042919
A930011G23Rik,-3.4362078e-05,-0.0003235638,-0.0003579259,-0.0007687014,0.46562403
Esr1,-3.8713217e-05,-0.00031395257,-0.00035266578,-0.0009311996,0.37872192
Dach1,3.6001205e-05,0.00031396747,0.00034996867,0.00061836175,0.56596094
Tfcp2,-3.2305717e-05,-0.00031012297,-0.00034242868,-0.00058583857,0.5845102
Zfpm2,-1.8522143e-05,-0.0003232956,-0.00034181774,-0.00050203735,0.68086106
Gtf2ird1,-5.7578087e-05,-0.00028124452,-0.0003388226,-0.00056088984,0.6040804
Nfia,-2.4065375e-05,-0.000310719,-0.0003347844,-0.0006884277,0.48630282
Sema3c,7.742643e-05,0.00025364757,0.000331074,0.00047223782,0.7010746
Cux1,-3.951788e-05,-0.0002886355,-0.00032815337,-0.00039214763,0.8368107
Rgs6,-3.221631e-05,-0.00029101968,-0.000323236,-0.0004365013,0.7405154
Gabrb1,5.2697957e-05,0.0002695173,0.00032221526,0.0013130327,0.24539763
Rara,-3.0726194e-05,-0.00028780103,-0.00031852722,-0.00052345725,0.60850656
Pip5k1b,-3.4064054e-05,-0.00028169155,-0.0003157556,-0.00035902855,0.879472
Ntn1,-2.9101968e-05,-0.0002811253,-0.00031022727,-0.0007378364,0.42045528
Slc1a3,-3.8087368e-05,-0.000271976,-0.00031006336,-0.0006223589,0.49820662
Kcnq5,1.8790364e-05,0.000289917,0.00030870736,0.00037380954,0.8258412
Pgm5,-1.30832195e-05,-0.0002925992,-0.00030568242,-0.0003600501,0.84899956
Zfp661,4.4718385e-05,0.00025638193,0.0003011003,0.0017241205,0.17463985
Cpeb3,-2.6196241e-05,-0.00027292967,-0.0002991259,-0.0006768017,0.4419697
Mef2d,-3.6746264e-05,-0.00025615096,-0.00029289722,-0.00032309353,0.9065399
Foxo3,-3.7044287e-05,-0.00024473667,-0.00028178096,-0.0007462648,0.37758833
Vcan,4.1902065e-05,0.00023984909,0.00028175116,0.00036519876,0.7715007
Rcor1,-3.1620264e-05,-0.0002487898,-0.00028041005,-0.00042653186,0.65741867
Mecom,4.23342e-05,0.00023761392,0.00027994812,0.0006740497,0.41532257
Dnajc1,-3.5718083e-05,-0.00024208426,-0.00027780235,-0.0004382943,0.63382596
Zfp148,-3.7431717e-05,-0.00024011731,-0.00027754903,-0.00047888476,0.57957363
Ano4,-2.30968e-05,-0.0002539158,-0.0002770126,-0.00040753192,0.67973214
Synpo2,3.555417e-05,0.00024065375,0.00027620792,0.0004912941,0.5622048
Stat3,-3.248453e-05,-0.0002400577,-0.00027254224,-0.00057180616,0.47663388
Arid1b,-3.3423305e-05,-0.00023898482,-0.00027240813,-0.00051891105,0.524961
Myom1,3.8325787e-05,0.00023400784,0.00027233362,0.00027690007,0.9835086
Zfp408,-3.5628676e-05,-0.00023528934,-0.000270918,-0.0006387129,0.42416233
Grhl1,-4.503131e-05,-0.00022530556,-0.00027033687,-0.0005435869,0.49732032
Zfp672,-3.9935112e-05,-0.0002272278,-0.00026716292,-0.0005405856,0.49421012
Zfp516,-5.029142e-05,-0.00021651387,-0.0002668053,-0.00057501957,0.4639933
Mpped2,3.886223e-05,0.00022619963,0.00026506186,0.00038584904,0.6869573
Myrfl,2.9254705e-05,0.00023552775,0.00026478246,0.00094259455,0.28090802
Pde4b,-1.8313527e-05,-0.00024408102,-0.00026239455,-0.0003470576,0.75605464
Tcf4,-3.0577183e-05,-0.0002284348,-0.00025901198,-0.0004925181,0.52589315
9430076C15Rik,-2.6926398e-05,-0.00022885203,-0.00025577843,-0.0004589748,0.557282
Meis2,3.5449862e-05,0.00021311641,0.00024856627,0.00039878386,0.6233106
Col4a2,-2.926588e-05,-0.00021579862,-0.0002450645,-0.0006375024,0.38441336
Carm1,-3.1217933e-05,-0.00021278858,-0.00024400651,-0.0005513291,0.4425786
Acacb,-3.7521124e-05,-0.00020632148,-0.0002438426,-0.00047135996,0.51731706
Arid2,-4.4554472e-05,-0.00019732118,-0.00024187565,-0.00043171746,0.56026363
P3h2,2.130121e-05,0.0002193451,0.0002406463,0.00055071554,0.43697014
Prkca,-1.8842518e-05,-0.00022113323,-0.00023997575,-0.00057434407,0.41782567
Ldha,-3.3795834e-05,-0.00020509958,-0.00023889542,-0.00043031626,0.5551623
Tbx3,-4.7057867e-05,-0.00019142032,-0.00023847818,-0.0006197374,0.38480514
Thra,-3.7252903e-05,-0.00020074844,-0.00023800135,-0.0003372115,0.70579237
Eps8,-3.6031008e-05,-0.00019992888,-0.00023595989,-0.0010332838,0.22835913
Zfp827,-2.4616718e-05,-0.00021126866,-0.00023588538,-0.00028865004,0.81720185
Syne1,3.899634e-05,0.00019556284,0.00023455918,0.00052067556,0.45049
Lama2,-2.361834e-05,-0.00021091104,-0.00023452938,-0.000519733,0.45124966
Zfp521,-1.9177794e-05,-0.00021511316,-0.00023429096,-0.00030706447,0.76300234
Rora,-2.3722649e-05,-0.0002090931,-0.00023281574,-0.00034936058,0.6664052
Zfp771,-3.4302473e-05,-0.0001975745,-0.00023187697,-0.0006229107,0.37224746
Esrra,-2.8371811e-05,-0.00020349026,-0.00023186207,-0.00031170662,0.743847
Ncor2,-3.9204955e-05,-0.00019204617,-0.00023125112,-0.00053422624,0.43287104
Cdh13,-1.8939376e-05,-0.00020939112,-0.0002283305,-0.00036207162,0.6306223
Zfp607b,-3.758818e-05,-0.00019036978,-0.00022795796,-0.00096918014,0.2352069
Zfp54,3.296882e-05,0.00019393861,0.00022690743,0.0010405548,0.21806377
Spon1,-2.515316e-05,-0.00019961596,-0.00022476912,-0.00027208473,0.82609963
Ciz1,-3.4362078e-05,-0.0001898557,-0.00022421777,-0.00043387664,0.5167776
Nfkb2,-4.3079257e-05,-0.00018021464,-0.0002232939,-0.0011507067,0.19404925
Flrt2,-3.0487776e-05,-0.00019226968,-0.00022275746,-0.0006211201,0.35863823
Mybpc3,-2.2888184e-05,-0.00019979477,-0.00022268295,-0.0002286409,0.9739418
Rreb1,-3.3155084e-05,-0.00018918514,-0.00022234023,-0.00044400292,0.5007629
Tox3,-2.9683113e-05,-0.00019229949,-0.0002219826,-0.0007733345,0.28704593
Zeb2,-2.6375055e-05,-0.00019454956,-0.00022092462,-0.00046659698,0.47348052
Gramd1b,-1.9192696e-05,-0.00020131469,-0.00022050738,-0.00033608262,0.6561105
Cxcr6,-3.798213e-05,-0.0001818277,-0.00021980982,-0.004495999,0.048889995
Usp32,-2.3573637e-05,-0.00019526482,-0.00021883845,-0.00035252114,0.62078094
3632451O06Rik,3.619492e-05,0.00018140674,0.00021760166,0.00044116806,0.49323973
Bcl11a,-2.5585294e-05,-0.00019185245,-0.00021743774,-0.00075269345,0.28887945
Gm13481,-9.328127e-06,-0.00020807981,-0.00021740794,-0.0005983721,0.36333227
