gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Asb2,-0.00011900067,-0.00081825256,-0.00093725324,-0.0010994234,0.85249513
Myl2,-0.00013580918,-0.00067925453,-0.0008150637,-0.0014063071,0.5795772
Mylk3,-0.000110179186,-0.000695467,-0.0008056462,-0.0011155369,0.72220474
Myl9,-7.817149e-05,-0.0007020533,-0.0007802248,-0.0009636423,0.8096621
Myh7,-0.0001386404,-0.00060606,-0.00074470043,-0.0008470991,0.8791183
Obscn,-0.00012856722,-0.0005784929,-0.0007070601,-0.0007716137,0.9163394
Myh6,-0.0001513362,-0.0005361438,-0.00068748,-0.00061544613,1.1170431
Tgfbr3,-7.598102e-05,-0.00058832765,-0.00066430867,-0.0015124982,0.43921277
Actn2,-6.1154366e-05,-0.0006017089,-0.00066286325,-0.000666867,0.9939961
Abcc9,-9.277463e-05,-0.00054845214,-0.00064122677,-0.0010331151,0.620673
Myo18b,-0.000103354454,-0.00052526593,-0.0006286204,-0.00072088174,0.87201583
Pip5k1b,-7.2956085e-05,-0.0005235076,-0.0005964637,-0.00067820644,0.879472
Filip1,-7.9482794e-05,-0.0005030036,-0.0005824864,-0.000709344,0.821162
Grin3a,-0.00010436773,-0.00046783686,-0.0005722046,-0.0009029069,0.6337359
Zbtb38,-7.066131e-05,-0.0005007088,-0.0005713701,-0.0011213546,0.5095355
Capn15,-9.7602606e-05,-0.00046360493,-0.00056120753,-0.0009484194,0.59172916
Hand2,-9.36985e-05,-0.0004672706,-0.0005609691,-0.0016462045,0.34076506
Mpped2,-0.00010949373,-0.00045081973,-0.00056031346,-0.0008156451,0.6869573
Mybpc3,-7.009506e-05,-0.00048834085,-0.0005584359,-0.000573377,0.9739418
Tnni1,-5.814433e-05,-0.0005002618,-0.0005584061,-0.0005240756,1.0655067
Arntl2,-6.425381e-05,-0.00048324466,-0.00054749846,-0.0014329546,0.38207656
Pde4b,-3.9741397e-05,-0.00050598383,-0.0005457252,-0.0007218065,0.75605464
Scube1,-0.00011180341,-0.0004286468,-0.0005404502,-0.001147986,0.4707811
Ntn1,-4.9754977e-05,-0.00049066544,-0.0005404204,-0.0012853217,0.42045528
Esrrb,-3.4056604e-05,-0.00049880147,-0.0005328581,-0.0011655217,0.45718408
Ldb3,-6.774068e-05,-0.00046479702,-0.0005325377,-0.00049221434,1.0819223
Gpld1,-4.3850392e-05,-0.00048701465,-0.00053086504,-0.0028680207,0.18509795
Zkscan5,-9.943545e-05,-0.0004297346,-0.00052917004,-0.0014684142,0.36036828
Zfp189,-6.80536e-05,-0.00045476854,-0.00052282214,-0.0018231182,0.2867735
Cdh20,-3.235787e-05,-0.0004903078,-0.0005226657,-0.0011186133,0.4672442
Smyd1,-9.2595816e-05,-0.00042429566,-0.0005168915,-0.0006196842,0.8341207
Myh7b,-6.389618e-05,-0.0004504621,-0.0005143583,-0.00075986516,0.6769072
Nav2,-7.036328e-05,-0.00044375658,-0.00051411986,-0.00054513675,0.9431025
Prdm16,-5.9440732e-05,-0.00044617057,-0.0005056113,-0.0010380561,0.48707503
Slco3a1,-7.891655e-05,-0.00041785836,-0.0004967749,-0.00059702,0.83209074
Slc16a10,-5.224347e-05,-0.00044339895,-0.0004956424,-0.0007381224,0.6714907
Ccnd2,-7.081032e-05,-0.0004210472,-0.0004918575,-0.00072572555,0.6777458
Zfp523,-9.198487e-05,-0.00039575994,-0.0004877448,-0.0011502741,0.42402476
Prdm11,-7.390976e-05,-0.00041252375,-0.0004864335,-0.00086749415,0.5607339
Mical2,-6.234646e-05,-0.00041669607,-0.00047904253,-0.0004414156,1.0852413
Gm14443,-8.479506e-05,-0.00039294362,-0.00047773868,-0.0020311987,0.23520027
Bcl2,-7.733703e-05,-0.00039854646,-0.00047588348,-0.0006016729,0.7909337
Ror1,-5.570054e-05,-0.00041756034,-0.00047326088,-0.001275603,0.37100947
Cux2,-5.838275e-05,-0.00040477514,-0.0004631579,-0.0009362721,0.4946829
Tef,-8.165836e-05,-0.0003798008,-0.00046145916,-0.0010145118,0.45485827
Thap3,-8.484721e-05,-0.0003746748,-0.000459522,-0.0007239077,0.6347797
1700112E06Rik,-1.4636666e-05,-0.00044083595,-0.00045547262,-0.0014005215,0.32521635
Arhgef4,-8.568168e-05,-0.0003671646,-0.0004528463,-0.0011753762,0.38527763
Sorbs2,-7.414818e-05,-0.00037765503,-0.0004518032,-0.00044042396,1.025837
Lama4,-5.760789e-05,-0.0003926158,-0.00045022368,-0.0006301492,0.71447146
Gramd1b,-4.7653913e-05,-0.00039961934,-0.00044727325,-0.000681704,0.6561105
Il15,-5.120039e-05,-0.0003939867,-0.0004451871,-0.0009455849,0.47080594
Cux1,-5.5223703e-05,-0.00038719177,-0.00044241548,-0.0005286923,0.8368107
Tfeb,-4.9084425e-05,-0.00039309263,-0.00044217706,-0.0008468886,0.5221194
Kcnk3,-6.41197e-05,-0.0003771484,-0.0004412681,-0.0010530127,0.41905287
Gtf2ird2,-6.340444e-05,-0.000377357,-0.00044076145,-0.0007789057,0.56587255
Zfp934,-6.0252845e-05,-0.000378415,-0.00043866783,-0.0014784135,0.29671517
Tshz2,-6.3598156e-05,-0.00037275255,-0.0004363507,-0.0016297958,0.26773328
Zfp457,-3.9424747e-05,-0.00039619207,-0.00043561682,-0.001992374,0.21864198
Rnf213,-5.7846308e-05,-0.00037491322,-0.00043275952,-0.0012666569,0.3416548
Atp6v0a2,-6.201863e-05,-0.00037023425,-0.00043225288,-0.0007713524,0.560383
Dsp,-4.3272972e-05,-0.00038790703,-0.00043118,-0.0004621479,0.93299127
Kcnh7,-6.6936016e-05,-0.00036340952,-0.00043034554,-0.0005346303,0.8049402
Hopx,-5.9574842e-05,-0.0003656,-0.00042517483,-0.0010587003,0.40160066
Rassf5,-7.331371e-05,-0.00035184622,-0.00042515993,-0.00081468036,0.5218732
Tsc22d4,-7.56681e-05,-0.00034870207,-0.00042437017,-0.0007650461,0.5546987
Zfp937,-7.4990094e-05,-0.00034739822,-0.00042238832,-0.0023343528,0.1809444
Klhl6,-9.2856586e-05,-0.00032889843,-0.00042175502,-0.0016022315,0.26322967
Nexn,-6.3717365e-05,-0.00035652518,-0.00042024255,-0.0004189661,1.0030465
Tspan18,-6.8336725e-05,-0.00035095215,-0.00041928887,-0.000867312,0.4834348
Rara,-4.8533082e-05,-0.00037062168,-0.00041915476,-0.00068882527,0.60850656
Alk,-4.456751e-05,-0.00037430227,-0.00041886978,-0.0028617522,0.14636819
Trdn,-6.610155e-05,-0.0003464222,-0.00041252375,-0.00075717695,0.54481804
Ikzf4,-6.54459e-05,-0.00034470856,-0.00041015446,-0.0011389425,0.36011857
Rgs22,-5.1669776e-05,-0.00035725534,-0.00040892512,-0.0014988695,0.27282226
Nfkb1,-5.7697296e-05,-0.00035098195,-0.00040867925,-0.00049695076,0.8223736
Jph2,-3.954768e-05,-0.00036466122,-0.0004042089,-0.0004551443,0.8880894
Zkscan1,-8.684397e-05,-0.00031434,-0.00040118396,-0.0011199111,0.35822833
Ankrd1,-7.176399e-05,-0.0003283322,-0.00040009618,-0.00062083197,0.6444515
Unc45b,-6.7055225e-05,-0.00033271313,-0.00039976835,-0.0005774064,0.6923517
Tfcp2,-5.160272e-05,-0.0003476143,-0.000399217,-0.00068299397,0.5845102
Slc7a1,-6.0245395e-05,-0.00033858418,-0.00039882958,-0.0009736512,0.40962255
Casz1,-6.443262e-05,-0.00033175945,-0.00039619207,-0.00044815755,0.8840463
Zbtb34,-6.580353e-05,-0.0003286302,-0.00039443374,-0.0009491173,0.41557947
Mcc,-4.8428774e-05,-0.00034451485,-0.00039294362,-0.0006039571,0.650615
9430076C15Rik,-4.9218535e-05,-0.00034353137,-0.0003927499,-0.0007047596,0.557282
Pou6f2,-7.399917e-05,-0.0003182441,-0.00039224327,-0.00093399937,0.41996086
1700007G11Rik,-5.820021e-05,-0.00033331662,-0.00039151683,-0.004168859,0.09391452
Gm4924,-6.042421e-05,-0.00033077598,-0.00039120018,-0.0010493653,0.3727969
Cxcl12,-7.797778e-05,-0.00031309575,-0.00039107352,-0.0014460521,0.27044213
