gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Grin3a,-6.780028e-05,-0.00025972724,-0.00032752752,-0.0005168201,0.6337359
Myocd,-4.5508146e-05,-0.0002488494,-0.00029435754,-0.0003916925,0.75150144
Mef2c,-5.671382e-05,-0.00019565225,-0.00025236607,-0.00034854002,0.72406614
Zfp977,-4.2133033e-05,-0.00020934641,-0.00025147945,-0.0009392671,0.26773998
Tnni1,-3.4332275e-05,-0.00021356344,-0.00024789572,-0.00023265522,1.0655067
Ankrd1,-5.4329634e-05,-0.0001911223,-0.00024545193,-0.00038086943,0.6444515
Myl7,-6.484985e-05,-0.00017386675,-0.0002387166,-0.00032755962,0.7287729
Ttn,-4.798174e-05,-0.00017535686,-0.0002233386,-0.00017752692,1.2580547
Myom1,-4.5239925e-05,-0.0001706481,-0.00021588802,-0.000219508,0.9835086
Smyd1,-4.4465065e-05,-0.00016966462,-0.00021412969,-0.00025671304,0.8341207
Actn2,-2.887845e-05,-0.00017929077,-0.00020816922,-0.00020942658,0.9939961
Acta2,-3.889203e-05,-0.00016912818,-0.00020802021,-0.00034426275,0.6042483
Pde3a,-3.3080578e-05,-0.00017184019,-0.00020492077,-0.0002547063,0.80453736
3632451O06Rik,-4.862249e-05,-0.00014567375,-0.00019429624,-0.0003939184,0.49323973
Zfp994,-3.606081e-05,-0.00015711784,-0.00019317865,-0.0006313113,0.30599576
Unc45b,-3.9368868e-05,-0.00015336275,-0.00019273162,-0.00027837238,0.6923517
Filip1,-3.1113625e-05,-0.00015956163,-0.00019067526,-0.00023220172,0.821162
Cap2,-2.2187829e-05,-0.0001681745,-0.00019036233,-0.0002648115,0.7188597
Syne1,-4.4465065e-05,-0.00014302135,-0.00018748641,-0.0004161832,0.45049
Ldb3,-3.3646822e-05,-0.00015342236,-0.00018706918,-0.00017290443,1.0819223
Unc13c,-2.3029745e-05,-0.00016111135,-0.0001841411,-0.0004147578,0.44397253
Mpped2,-4.5090914e-05,-0.00013753772,-0.00018262863,-0.00026585147,0.6869573
Erbb4,-1.9744039e-05,-0.00015962124,-0.00017936528,-0.00018564747,0.96616054
Myl9,-2.8699636e-05,-0.00014916062,-0.00017786026,-0.00021967218,0.8096621
Myo18b,-3.6895275e-05,-0.00013640523,-0.0001733005,-0.00019873548,0.87201583
Tbx2,-5.3599477e-05,-0.00011847913,-0.00017207861,-0.00057002675,0.30187804
Rcsd1,-4.157424e-05,-0.0001296103,-0.00017118454,-0.00032796897,0.52195334
Plppr5,-3.196299e-05,-0.00013712049,-0.00016908348,-0.00038866347,0.43503818
Ryr2,-3.299117e-05,-0.00013589859,-0.00016888976,-0.00016633507,1.0153586
Jph2,-2.3335218e-05,-0.00014460087,-0.00016793609,-0.00018909815,0.8880894
Amph,-3.1664968e-05,-0.00013183057,-0.00016349554,-0.0006818687,0.23977558
Palm2,-3.7014484e-05,-0.0001257062,-0.00016272068,-0.0001944611,0.8367774
Rbm20,-1.6331673e-05,-0.00014638901,-0.00016272068,-0.00016045332,1.0141308
Nexn,-3.1352043e-05,-0.00012883544,-0.00016018748,-0.00015970094,1.0030465
Cacna1c,-2.7000904e-05,-0.00013047457,-0.00015747547,-0.00014465075,1.0886598
Fam19a2,-2.5711954e-05,-0.00013062358,-0.00015633553,-0.00087924895,0.17780566
Nebl,-4.7177076e-05,-0.00010877848,-0.00015595555,-0.00015740347,0.9908011
