gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Dsp,-9.417534e-06,-9.191036e-05,-0.000101327896,-0.000108605396,0.93299127
Gpld1,6.6161156e-06,9.250641e-05,9.9122524e-05,0.0005355136,0.18509795
Grin3a,-1.4767051e-05,-8.019805e-05,-9.49651e-05,-0.00014984961,0.6337359
Gramd1b,-9.700656e-06,-8.2969666e-05,-9.267032e-05,-0.00014124191,0.6561105
Gata4,-9.790063e-06,-8.165836e-05,-9.1448426e-05,-0.00013119073,0.6970646
Erbb4,-5.736947e-06,-8.302927e-05,-8.876622e-05,-9.187521e-05,0.96616054
Casz1,-1.2725592e-05,-7.456541e-05,-8.7291e-05,-9.874029e-05,0.8840463
Spon1,-1.424551e-05,-7.197261e-05,-8.621812e-05,-0.00010436768,0.82609963
Zfp955b,-1.0147691e-05,-7.478893e-05,-8.493662e-05,-0.00030770776,0.27603006
Pip5k1b,-1.0102987e-05,-7.2181225e-05,-8.228421e-05,-9.3560906e-05,0.879472
Klf13,-1.001358e-05,-6.826222e-05,-7.82758e-05,-0.000191353,0.40906483
Rgs6,-9.804964e-06,-6.824732e-05,-7.805228e-05,-0.00010540263,0.7405154
Homez,-1.2591481e-05,-6.479025e-05,-7.738173e-05,-0.00028422236,0.27225763
Pdzrn3,-6.943941e-06,-6.997585e-05,-7.6919794e-05,-0.00013187644,0.58327156
Rbm20,-5.2452087e-06,-7.164478e-05,-7.688999e-05,-7.58186e-05,1.0141308
Pde4b,-6.109476e-06,-7.0393085e-05,-7.650256e-05,-0.00010118654,0.75605464
Esrrg,-5.5879354e-06,-7.069111e-05,-7.6279044e-05,-0.000100987214,0.75533354
Myl2,-1.4334917e-05,-6.03199e-05,-7.465482e-05,-0.00012880907,0.5795772
Shox2,1.937151e-05,5.429983e-05,7.367134e-05,0.00032222783,0.22863111
Ddit3,-1.0073185e-05,-6.2704086e-05,-7.277727e-05,-0.00012383664,0.5876876
AW146154,-9.149313e-06,-6.277859e-05,-7.1927905e-05,-0.00019179864,0.37501773
Nrp2,1.6070902e-05,5.4225326e-05,7.029623e-05,0.00024960848,0.28162587
Tmem163,-9.760261e-06,-5.9843063e-05,-6.9603324e-05,-0.00010980068,0.633906
Cap2,-5.275011e-06,-6.252527e-05,-6.780028e-05,-9.431642e-05,0.7188597
Zfp641,1.2300909e-05,5.4471195e-05,6.67721e-05,0.00033820508,0.1974307
Nav2,-9.119511e-06,-5.6505203e-05,-6.5624714e-05,-6.958385e-05,0.9431025
Slc24a2,-8.46386e-06,-5.6922436e-05,-6.5386295e-05,-0.0001319771,0.4954366
Mecom,1.16974115e-05,5.2571297e-05,6.426871e-05,0.00015474405,0.41532257
Gm14443,1.0624528e-05,5.3584576e-05,6.42091e-05,0.00027299745,0.23520027
Gzf1,-1.0237098e-05,-5.3331256e-05,-6.3568354e-05,-0.00022947138,0.27702075
Rel,-1.0207295e-05,-5.3226948e-05,-6.343424e-05,-0.00014525166,0.43671948
Zbtb18,-1.1146069e-05,-5.1908195e-05,-6.305426e-05,-0.0002593126,0.24315917
Thap4,-7.0631504e-06,-5.543232e-05,-6.249547e-05,-0.000111351976,0.56124246
Ppp1r14c,-3.6358833e-06,-5.8472157e-05,-6.210804e-05,-8.69188e-05,0.7145523
Zfp438,-6.8694353e-06,-5.4627657e-05,-6.149709e-05,-0.00012575882,0.48900813
Cic,-8.761883e-06,-5.2288175e-05,-6.105006e-05,-0.000133759,0.45641825
Zfp287,-7.793307e-06,-5.1483512e-05,-5.927682e-05,-0.00018502583,0.32037044
Foxj2,-8.6426735e-06,-5.0485134e-05,-5.9127808e-05,-0.00013915115,0.42491776
Msx2,-9.410083e-06,-4.9628317e-05,-5.90384e-05,-0.00036870703,0.1601227
Stat2,-9.119511e-06,-4.978478e-05,-5.890429e-05,-0.00013925646,0.42299134
Nfkb1,8.910894e-06,4.9889088e-05,5.8799982e-05,7.150031e-05,0.8223736
Ikzf4,-9.000301e-06,-4.9576163e-05,-5.8576465e-05,-0.00016265879,0.36011857
Zfp804a,4.2505562e-06,5.403161e-05,5.8282167e-05,0.00022298301,0.26137483
Zfp975,-8.903444e-06,-4.9352646e-05,-5.825609e-05,-0.00017360195,0.3355727
Zfp1,7.763505e-06,5.0380826e-05,5.814433e-05,0.00016144267,0.36015457
Prdm6,-7.0780516e-06,-5.042553e-05,-5.750358e-05,-0.0001432328,0.4014693
Obscn,-7.95722e-06,-4.8965216e-05,-5.6922436e-05,-6.2119376e-05,0.9163394
Gm13481,-2.5629997e-06,-5.403161e-05,-5.659461e-05,-0.0001557654,0.36333227
Prkca,-5.401671e-06,-5.1140785e-05,-5.6542456e-05,-0.00013532545,0.41782567
Bcl6b,-7.940456e-06,-4.8322603e-05,-5.626306e-05,-0.0016869174,0.033352487
Csrnp1,-1.1518598e-05,-4.450977e-05,-5.6028366e-05,-0.00029748815,0.18833804
Dnajc1,-7.3462725e-06,-4.848838e-05,-5.583465e-05,-8.809144e-05,0.63382596
Col20a1,-7.0370734e-06,-4.874915e-05,-5.5786222e-05,-0.0003414476,0.1633814
Slit2,-7.338822e-06,-4.8190355e-05,-5.5529177e-05,-0.00016644267,0.33362335
Zfp738,-5.8859587e-06,-4.9635768e-05,-5.5521727e-05,-0.00013835735,0.4012921
Smad7,-8.359551e-06,-4.6998262e-05,-5.5357814e-05,-0.00012886751,0.42957142
Zfp398,-7.7039e-06,-4.749e-05,-5.51939e-05,-0.00014188486,0.3890048
Tet2,9.089708e-06,4.6104193e-05,5.51939e-05,8.831183e-05,0.6249887
Zfp808,-6.608665e-06,-4.8562884e-05,-5.517155e-05,-0.00015424418,0.3576896
Sema6d,7.6293945e-06,4.7534704e-05,5.51641e-05,0.00010300597,0.5355426
Tnni1,-4.2021275e-06,-5.0663948e-05,-5.4866076e-05,-5.1492938e-05,1.0655067
Mical2,-7.0929527e-06,-4.7445297e-05,-5.453825e-05,-5.0254486e-05,1.0852413
Zscan25,4.4479966e-06,4.9635768e-05,5.4083765e-05,0.0002695198,0.20066702
Zbed4,7.480383e-06,4.5835972e-05,5.3316355e-05,0.00010878576,0.49010408
Gm14412,-9.186566e-06,-4.4029206e-05,-5.3215772e-05,-0.0005566071,0.09560733
Zfp977,6.0275197e-06,4.711747e-05,5.314499e-05,0.00019849473,0.26773998
Cd34,-8.365139e-06,-4.4712797e-05,-5.3077936e-05,-0.0011148957,0.047607884
Rassf5,-9.462237e-06,-4.3570995e-05,-5.3033233e-05,-0.0001016209,0.5218732
Zfp408,-7.2419643e-06,-4.5627356e-05,-5.286932e-05,-0.00012464405,0.42416233
Zfp382,-9.663403e-06,-4.3049455e-05,-5.2712858e-05,-0.00018403753,0.2864244
Sp2,-7.197261e-06,-4.531443e-05,-5.2511692e-05,-0.00013971775,0.37584114
Myl3,-8.702278e-06,-4.3794513e-05,-5.249679e-05,-8.6069595e-05,0.6099341
Zfp825,-9.030104e-06,-4.3064356e-05,-5.209446e-05,-0.00017493451,0.29779398
Zfp958,-7.4654818e-06,-4.4584274e-05,-5.2049756e-05,-0.00015262359,0.3410334
Arid3a,9.37283e-06,4.2021275e-05,5.1394105e-05,0.00015286345,0.33620918
Cd5,-4.9062073e-06,-4.5951456e-05,-5.0857663e-05,-0.0010546263,0.048223294
Trdn,-8.9854e-06,-4.1782856e-05,-5.0768256e-05,-9.318385e-05,0.54481804
Pla2r1,9.089708e-06,4.1604042e-05,5.069375e-05,0.00011335118,0.44722727
Myl4,-5.364418e-06,-4.518032e-05,-5.054474e-05,-5.20139e-05,0.9717543
Zfp943,-8.061528e-06,-4.2319298e-05,-5.0380826e-05,-0.00011288686,0.44629478
Irf9,-1.1399388e-05,-3.8787723e-05,-5.018711e-05,-0.00015670036,0.3202743
Ltbp1,5.4240227e-06,4.476309e-05,5.018711e-05,6.423485e-05,0.7813064
Egfl7,-9.145588e-06,-4.0894374e-05,-5.0039962e-05,-0.00093811174,0.053341053
Dthd1,6.1597675e-06,4.2960048e-05,4.9119815e-05,0.00039868735,0.123203754
E2f2,-8.277595e-06,-4.066527e-05,-4.8942864e-05,-0.00030229142,0.16190612
Zkscan3,8.285046e-06,4.0650368e-05,4.8935413e-05,8.487424e-05,0.57656366
Nfkb2,-8.329749e-06,-4.0590763e-05,-4.8920512e-05,-0.00025210343,0.19404925
Zfp58,-8.299947e-06,-4.041195e-05,-4.8711896e-05,-0.00017745155,0.27450806
Zfp867,8.076429e-06,4.056096e-05,4.863739e-05,0.00019498235,0.24944499
Fstl4,-3.97861e-06,-4.428625e-05,-4.826486e-05,-7.0309834e-05,0.6864595
Cdh13,-4.902482e-06,-4.3332577e-05,-4.823506e-05,-7.648802e-05,0.6306223
Akap6,-5.2303076e-06,-4.300475e-05,-4.823506e-05,-0.000110973015,0.43465567
Rap1gap2,-5.8710575e-06,-4.23491e-05,-4.8220158e-05,-7.368338e-05,0.65442365
Zfp444,-8.478761e-06,-3.9681792e-05,-4.8160553e-05,-0.00011143917,0.4321689
Gm28047,5.470589e-06,4.259497e-05,4.8065558e-05,0.0004486408,0.10713585
Sh3bgr,-4.5895576e-06,-4.3064356e-05,-4.7653913e-05,-6.97949e-05,0.6827706
Znfx1,7.0035458e-06,4.053116e-05,4.7534704e-05,0.00011693211,0.4065153
Gm5141,-6.7800283e-06,-4.0724874e-05,-4.7504902e-05,-0.00013664644,0.3476482
