gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Kcnh7,0.00014457107,0.0008468628,0.0009914339,0.0012316861,0.8049402
Grin3a,0.00011263788,0.0006042123,0.00071685016,0.0011311495,0.6337359
Tmem163,8.097291e-05,0.0005992949,0.0006802678,0.0010731365,0.633906
Kif26b,5.930662e-05,0.0005611181,0.00062042475,0.0007370654,0.8417498
Gata4,6.259978e-05,0.0005324185,0.00059501827,0.0008536055,0.6970646
Rgs6,6.446242e-05,0.00052425265,0.0005887151,0.00079500704,0.7405154
Casz1,9.098649e-05,0.000495553,0.0005865395,0.00066347135,0.8840463
Slc16a10,5.1498413e-05,0.0005349815,0.0005864799,0.0008733997,0.6714907
Alcam,0.000100106,0.00048598647,0.0005860925,0.0007886881,0.7431232
Myh6,0.00010347366,0.0004798174,0.00058329105,0.0005221741,1.1170431
Fstl4,5.4359436e-05,0.00052437186,0.0005787313,0.0008430668,0.6864595
Zfpm2,3.5777688e-05,0.0005288124,0.0005645901,0.00082922936,0.68086106
Erbb4,3.5852194e-05,0.00052410364,0.00055995584,0.00057956803,0.96616054
Pip5k1b,6.529689e-05,0.00047028065,0.00053557754,0.0006089761,0.879472
Angpt1,6.28829e-05,0.00046864152,0.0005315244,0.0009544126,0.5569125
Mical2,7.122755e-05,0.00044316053,0.0005143881,0.00047398492,1.0852413
Arhgap31,5.8203936e-05,0.00045582652,0.00051403046,0.00063031696,0.8155109
Mecom,-7.9602e-05,-0.00042799115,-0.00050759315,-0.0012221658,0.41532257
Ldb3,5.7697296e-05,0.00044190884,0.00049960613,0.0004617763,1.0819223
Tnni1,4.720688e-05,0.00045222044,0.0004994273,0.00046872278,1.0655067
Ryr2,6.005168e-05,0.00043827295,0.00049832463,0.0004907868,1.0153586
Pde4b,3.8549304e-05,0.00045484304,0.00049339235,0.0006525881,0.75605464
Emilin2,5.3972006e-05,0.0004349649,0.0004889369,0.000752543,0.6497128
Obscn,7.161498e-05,0.00041615963,0.0004877746,0.0005323077,0.9163394
Rel,7.9363585e-05,0.00040334463,0.00048270822,0.0011053048,0.43671948
Myo18b,7.104874e-05,0.0003886521,0.00045970082,0.0005271702,0.87201583
Mlip,7.328391e-05,0.00038585067,0.00045913458,0.0006447808,0.71207845
Rbm20,3.3199787e-05,0.00042569637,0.00045889616,0.00045250187,1.0141308
Gpld1,2.7224422e-05,0.00042511523,0.00045233965,0.002443784,0.18509795
Ano4,4.1604042e-05,0.00040748715,0.0004490912,0.0006606884,0.67973214
Spon1,7.05421e-05,0.00036850572,0.0004390478,0.0005314707,0.82609963
Gm44973,5.537644e-05,0.000383541,0.00043891743,0.0021209607,0.20694263
Slc8a1,3.8594007e-05,0.00039762259,0.0004362166,0.00040606983,1.0742402
Ppp1r14c,2.4721026e-05,0.00038462877,0.0004093498,0.00057287584,0.7145523
Lncpint,4.016608e-05,0.0003684461,0.0004086122,0.0009871054,0.41394982
Slc24a2,5.157292e-05,0.00035572052,0.00040729344,0.0008220898,0.4954366
Gm14443,5.2005053e-05,0.00034822524,0.0004002303,0.0017016567,0.23520027
Tbx20,6.219745e-05,0.00033655763,0.00039875507,0.00051234104,0.7783
Meis2,-6.0364604e-05,-0.00033831596,-0.00039868057,-0.0006396177,0.6233106
Actn2,3.5703182e-05,0.00035983324,0.00039553642,0.0003979255,0.9939961
Hcn1,4.4748187e-05,0.0003503114,0.0003950596,0.0012764037,0.3095098
Pgm5,1.9818544e-05,0.0003746152,0.00039443374,0.00046458642,0.84899956
Alox5,5.427748e-05,0.0003284067,0.00038268417,0.0015208769,0.25162065
Myl4,4.5001507e-05,0.00032541156,0.00037041306,0.0003811797,0.9717543
Vsnl1,4.939735e-05,0.00031846762,0.00036786497,0.0010480235,0.35100824
Nrp2,-6.946921e-05,-0.0002925843,-0.0003620535,-0.0012855829,0.28162587
Cap2,3.1977892e-05,0.00032883883,0.00036081672,0.0005019292,0.7188597
Zfp934,3.8683414e-05,0.0003221184,0.00036080182,0.0012159867,0.29671517
Slc1a3,6.149709e-05,0.00029718876,0.00035868585,0.0007199539,0.49820662
Trim55,3.9935112e-05,0.00031661987,0.00035655499,0.00034137862,1.044456
Grid2,-4.1268766e-05,-0.00031459332,-0.00035586208,-0.00097322447,0.36565253
Myh7b,4.4703484e-05,0.00030109286,0.00034579635,0.0005108474,0.6769072
Nrp1,5.9232116e-05,0.0002862513,0.00034548342,0.0005590752,0.6179551
Nebl,6.222725e-05,0.00028294325,0.0003451705,0.00034837512,0.9908011
Ttn,4.762411e-05,0.00029677153,0.00034439564,0.0002737525,1.2580547
Gm13481,1.6972423e-05,0.000323385,0.00034035742,0.00093676604,0.36333227
Zfp112,5.9247017e-05,0.0002798438,0.00033909082,0.0010040886,0.33771
Ptk2b,6.224215e-05,0.00027614832,0.00033839047,0.0009209035,0.36745477
Lama4,4.6253204e-05,0.0002911389,0.0003373921,0.00047222606,0.71447146
Cacna1d,4.0233135e-05,0.00029689074,0.00033712387,0.00051952974,0.6489019
Fbxo32,5.877018e-05,0.00027248263,0.0003312528,0.0006899345,0.48012203
Rnf213,4.621595e-05,0.0002848953,0.00033111125,0.0009691395,0.3416548
Myl9,2.9057264e-05,0.0003004372,0.00032949448,0.000406953,0.8096621
Prkca,3.132224e-05,0.00029408932,0.00032541156,0.0007788212,0.41782567
Ctnna3,2.4020672e-05,0.00029832125,0.00032234192,0.00032415637,0.9944024
Sphkap,4.184246e-05,0.00028049946,0.00032234192,0.00039116538,0.8240552
Dnah8,7.793307e-05,0.00023955107,0.00031748414,0.00062615314,0.507039
Ccdc141,5.5462122e-05,0.0002605915,0.00031605363,0.0003139978,1.0065472
Myl2,5.272031e-05,0.00026205182,0.00031477213,0.00054310635,0.5795772
Cobll1,3.7133694e-05,0.00027638674,0.00031352043,0.0006540735,0.47933507
Trdn,4.7415495e-05,0.00026357174,0.00031098723,0.00057080924,0.54481804
Synpo2,-4.132092e-05,-0.00026893616,-0.00031025708,-0.00055185764,0.5622048
Camta2,4.389882e-05,0.00026372075,0.00030761957,0.00069521053,0.44248396
Unc45b,4.220009e-05,0.0002642572,0.00030645728,0.0004426323,0.6923517
Cyp26b1,2.7339906e-05,0.00027877092,0.00030611083,0.002174916,0.14074594
Thap4,4.4688582e-05,0.00025624037,0.00030092895,0.0005361834,0.56124246
Mast4,4.1902065e-05,0.0002565384,0.00029844046,0.00030469222,0.9794816
Zfp382,5.827844e-05,0.0002386421,0.00029692054,0.001036645,0.2864244
Jph2,2.7090311e-05,0.00026899576,0.00029608607,0.00033339666,0.8880894
Sdk1,3.6418438e-05,0.0002592206,0.00029563904,0.0003116644,0.9485812
Tbx2,7.31796e-05,0.00022040308,0.00029358268,0.00097252056,0.30187804
Prox1,3.0875206e-05,0.0002565682,0.0002874434,0.0003940492,0.7294606
Esr1,3.0100346e-05,0.00025512278,0.00028522313,0.00075312,0.37872192
Kcnq3,2.8125942e-05,0.00025689602,0.00028502196,0.00069966423,0.40736955
Tnnt2,4.130602e-05,0.0002411604,0.0002824664,0.0003254515,0.8679216
Slc35f1,3.272295e-05,0.00024956465,0.0002822876,0.0007232262,0.39031705
Med12l,3.0234456e-05,0.00025060773,0.00028084219,0.00052430574,0.5356457
Foxp4,-4.762411e-05,-0.00022932887,-0.00027695298,-0.00056844915,0.48720795
Terf2,-3.0875206e-05,-0.0002449751,-0.0002758503,-0.000439482,0.6276713
Tbx5,5.351007e-05,0.00022163987,0.00027514994,0.00059125404,0.4653666
Zfp941,3.4149736e-05,0.00024074316,0.0002748929,0.0021083758,0.13038126
Pou6f2,5.669892e-05,0.0002180636,0.0002747625,0.0006542573,0.41996086
Gabrb1,-4.6670437e-05,-0.00022262335,-0.00026929379,-0.0010973768,0.24539763
Zfp977,3.3684075e-05,0.00023518503,0.0002688691,0.0010042168,0.26773998
Gramd1b,2.6002526e-05,0.00024276972,0.00026877224,0.0004096447,0.6561105
Wnt2,4.6938658e-05,0.00022119284,0.0002681315,0.0010339785,0.25932008
Blk,2.40542e-05,0.0002438128,0.000267867,0.0013866535,0.19317505
Stk32a,2.7932227e-05,0.00023952127,0.0002674535,0.00084842223,0.3152362
Arhgef28,-4.7773123e-05,-0.00021800399,-0.0002657771,-0.0008535128,0.31139198
Abcc9,3.7789345e-05,0.00022792816,0.0002657175,0.00042811185,0.620673
Etv5,-4.3690205e-05,-0.00022161007,-0.00026530027,-0.0007475154,0.35490936
Ankrd1,3.84748e-05,0.00022518635,0.00026366115,0.0004091248,0.6444515
Tnc,-4.734099e-05,-0.00021606684,-0.00026340783,-0.0008539629,0.30845338
Hmg20b,5.7011843e-05,0.00020630658,0.00026331842,0.00050868344,0.5176468
Prdm9,5.362928e-05,0.00020964444,0.00026327372,0.00087278883,0.30164644
Ghr,-3.3318996e-05,-0.00022828579,-0.0002616048,-0.00038714492,0.6757282
Nexn,3.9219856e-05,0.00022110343,0.0002603233,0.0002595326,1.0030465
Atp8a1,4.0903687e-05,0.00021922588,0.00026012957,0.00069242256,0.3756803
Vcam1,4.4927e-05,0.00021499395,0.00025992095,0.0007374289,0.3524691
Preb,4.4867396e-05,0.00021232665,0.00025719404,0.0006911895,0.37210342
Jazf1,1.3768673e-05,0.00024327636,0.00025704503,0.0005764251,0.44592953
Creb3,6.02901e-05,0.00019558519,0.0002558753,0.0010100935,0.25331834
Mybpc3,3.4987926e-05,0.00022003055,0.00025501847,0.00026184157,0.9739418
Esrrg,2.092123e-05,0.00023204088,0.0002529621,0.00033490115,0.75533354
Palld,3.4451485e-05,0.00021767616,0.00025212765,0.00020396327,1.2361423
Atp2b4,-4.2825937e-05,-0.0002091974,-0.00025202334,-0.0005062629,0.49781114
Pcsk5,3.144145e-05,0.00021353364,0.0002449751,0.00049162394,0.49829766
Sorbs2,3.671646e-05,0.0002079606,0.00024467707,0.00023851455,1.025837
Sema6d,-3.0890107e-05,-0.00021147728,-0.00024236739,-0.00045256404,0.5355426
Cacnb2,2.464652e-05,0.00021499395,0.00023964047,0.00026547597,0.9026822
Dsp,1.1503696e-05,0.0002245903,0.000236094,0.00025305056,0.93299127
Gm12295,3.118068e-05,0.00020377338,0.00023495406,0.0006525258,0.36006853
Rassf5,4.388392e-05,0.00019040704,0.00023429096,0.0004489422,0.5218732
Cdh20,1.0624528e-05,0.00022283196,0.00023345649,0.0004996455,0.4672442
Dthd1,2.6769936e-05,0.0002053678,0.00023213774,0.001884176,0.123203754
Zfp87,4.0888786e-05,0.00019091368,0.00023180246,0.0008135974,0.28491044
Zfp467,2.8118491e-05,0.0002028048,0.0002309233,0.0007390733,0.3124497
Ltbp1,-2.5749207e-05,-0.00020384789,-0.00022959709,-0.00029386304,0.7813064
AW146154,3.3155084e-05,0.00019541383,0.00022856891,0.0006094881,0.37501773
Myo1h,4.041195e-05,0.00018808246,0.0002284944,0.00093829393,0.24352103
Zfp811,3.582239e-05,0.00019107759,0.00022689998,0.00062812876,0.36123154
A930011G23Rik,2.501905e-05,0.00020134449,0.00022636354,0.0004861508,0.46562403
Abcb10,3.5263598e-05,0.00018881261,0.00022407621,0.0009095314,0.24636436
Zfp607a,3.3974648e-05,0.00018709898,0.00022107363,0.0006246959,0.3538899
Cpa2,4.3675303e-05,0.00017604232,0.00021971762,0.0009219025,0.23833056
