gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Zbtb4,6.772578e-05,0.0003219843,0.00038971007,0.001245481,0.31289917
Esrrb,2.2612512e-05,0.00034368038,0.0003662929,0.0008011933,0.45718408
Myl3,6.5118074e-05,0.00027608871,0.0003412068,0.0005594157,0.6099341
Asb2,4.6610832e-05,0.00028082728,0.00032743812,0.00038409376,0.85249513
Zfp758,5.105138e-05,0.00025999546,0.00031104684,0.0009957408,0.31237724
Myh7,6.446242e-05,0.00024357438,0.0003080368,0.00035039283,0.8791183
Zfp457,2.5492162e-05,0.00027795136,0.00030344352,0.001387855,0.21864198
Myh7b,3.8176775e-05,0.00025886297,0.00029703975,0.00043881894,0.6769072
Syne1,6.03348e-05,0.00023564696,0.00029598176,0.0006570217,0.45049
Mpped2,6.335974e-05,0.00023213029,0.00029549003,0.00043014315,0.6869573
Gm14418,4.2837113e-05,0.00024944544,0.00029228255,0.002770298,0.10550572
Myl2,5.2422285e-05,0.00023332238,0.00028574467,0.0004930225,0.5795772
Actb,5.6952238e-05,0.00022872537,0.0002856776,0.0008014283,0.3564605
Zfp637,4.8473477e-05,0.00023714826,0.00028562173,0.0017586747,0.16240726
Dsp,1.8775463e-05,0.00026357174,0.0002823472,0.00030262573,0.93299127
Cdip1,3.015995e-05,0.00025081635,0.0002809763,0.00034192856,0.8217396
Zfp626,5.070865e-05,0.00022417307,0.00027488172,0.0008831442,0.3112534
Lrrtm3,2.2880733e-05,0.0002490878,0.00027196854,0.0006310949,0.43094707
Rspo3,6.315112e-05,0.00020544231,0.00026859343,0.00065095973,0.41261137
Gramd1b,3.1366944e-05,0.00023669004,0.000268057,0.00040855454,0.6561105
Irf9,6.1526895e-05,0.00020248443,0.00026401132,0.00082432857,0.3202743
Purg,2.7537346e-05,0.00022900105,0.0002565384,0.00043144543,0.59460205
Rbm20,1.7762184e-05,0.00023770332,0.0002554655,0.00025190585,1.0141308
Hand2,3.783405e-05,0.00021630526,0.0002541393,0.0007457902,0.34076506
Lncpint,2.5220215e-05,0.00022673607,0.00025195628,0.0006086637,0.41394982
Slco3a1,4.181266e-05,0.0002078116,0.00024962425,0.00029999638,0.83209074
Tln1,4.030764e-05,0.00020866096,0.0002489686,0.00052599993,0.4733243
Blk,2.1770597e-05,0.00022667646,0.00024844706,0.0012861233,0.19317505
Cux2,2.783537e-05,0.0002195239,0.00024735928,0.00050003594,0.4946829
Grhl1,4.7639012e-05,0.00019815564,0.00024579465,0.000494238,0.49732032
Tsc22d4,5.7578087e-05,0.000187397,0.0002449751,0.00044163622,0.5546987
Rel,-3.8668513e-05,-0.00020086765,-0.00023953617,-0.0005484897,0.43671948
Zbtb8a,2.9571354e-05,0.00020626187,0.00023583323,0.00084690936,0.27846327
Dkk3,2.43932e-05,0.00021100044,0.00023539364,0.00036496518,0.6449755
Zfp57,-4.8533082e-05,-0.00018624961,-0.0002347827,-0.00069815636,0.33628947
Myom1,4.1872263e-05,0.00019073486,0.00023260713,0.00023650745,0.9835086
Rgs22,3.1985343e-05,0.00020028651,0.00023227185,0.00085136667,0.27282226
Zfp445,3.3795834e-05,0.00019724667,0.0002310425,0.00045095364,0.5123419
Zfp97,5.4702163e-05,0.00017631799,0.00023102015,0.0014298526,0.1615691
Mylk3,3.5136938e-05,0.00019562244,0.00023075938,0.00031952068,0.72220474
Rsl1,2.3081899e-05,0.00020591915,0.00022900105,0.0012754326,0.17954764
Zfp623,5.0395727e-05,0.00017771125,0.00022810698,0.0009726812,0.23451349
Zfp827,3.5256147e-05,0.00019201636,0.00022727251,0.0002781106,0.81720185
Zfp46,4.0486455e-05,0.0001861006,0.00022658706,0.00088954385,0.25472265
Thap4,3.7297606e-05,0.00018781424,0.00022511184,0.00040109546,0.56124246
Zfp61,5.851686e-05,0.00016593188,0.00022444874,0.00068847684,0.3260076
Hmgb1,2.9072165e-05,0.00019434094,0.00022341311,0.0004732261,0.4721064
Tfap2d,2.3279339e-05,0.00019986555,0.00022314489,0.0031655892,0.070490696
Zfp661,-3.117323e-05,-0.00018886477,-0.000220038,-0.0012599522,0.17463985
Clu,4.144013e-05,0.00017707795,0.00021851808,0.0009708747,0.22507331
Zbtb24,4.094839e-05,0.00017681718,0.00021776557,0.0008785046,0.24788201
Prune2,4.643202e-05,0.00017121434,0.00021764636,0.0006324792,0.34411615
Alox5,3.6619604e-05,0.00018076599,0.00021738559,0.00086394144,0.25162065
Zkscan7,-3.810227e-05,-0.00017863512,-0.00021673739,-0.0007499403,0.2890061
Dlc1,3.1232834e-05,0.00018396974,0.00021520257,0.0003133229,0.68683946
Myo18b,4.3928623e-05,0.00017055869,0.00021448731,0.00024596718,0.87201583
Zfp937,4.0382147e-05,0.00017313659,0.00021351874,0.0011800233,0.1809444
3632451O06Rik,4.5776367e-05,0.00016736984,0.00021314621,0.00043213504,0.49323973
Ttn,3.927946e-05,0.00017243624,0.0002117157,0.00016828813,1.2580547
Cpox,3.2410026e-05,0.00017796457,0.0002103746,0.0007015585,0.29986742
Zfp493,4.1998923e-05,0.00016810745,0.00021010637,0.0016353383,0.12847874
Klhl6,4.618615e-05,0.00016248226,0.00020866841,0.0007927235,0.26322967
Klf10,-2.4095178e-05,-0.00018197298,-0.00020606816,-0.00067720533,0.3042919
Rimbp2,3.860891e-05,0.00016573817,0.00020434707,0.0010254054,0.19928409
Gabrb1,3.515184e-05,0.00016911328,0.00020426512,0.00083238387,0.24539763
Gm11375,2.6809052e-05,0.00017720833,0.00020401739,0.0030034913,0.067926645
Stk32a,2.3968518e-05,0.00017775595,0.00020172447,0.0006399151,0.3152362
A430033K04Rik,2.7745962e-05,0.00017359853,0.00020134449,0.0005695978,0.35348526
Pcsk6,1.8909574e-05,0.000182271,0.00020118058,0.0005451614,0.36902928
Zfp867,3.208965e-05,0.00016772747,0.00019981712,0.0008010465,0.24944499
Zbtb38,2.6807189e-05,0.00017291307,0.00019972026,0.00039196527,0.5095355
Smad9,2.9921532e-05,0.00016951561,0.00019943714,0.00057649636,0.34594685
2610044O15Rik8,3.6761165e-05,0.00016264617,0.00019940734,0.00054443453,0.36626494
Zxdc,-3.7565827e-05,-0.00015997887,-0.0001975447,-0.00043322818,0.45598292
Zfp809,3.4302473e-05,0.00016307831,0.00019738078,0.00043921705,0.44939226
Tcf7l2,-2.6524067e-05,-0.00017076731,-0.00019729137,-0.0002994512,0.65884304
Kcnq5,1.0982156e-05,0.00018554926,0.00019653141,0.00023797722,0.8258412
Tnni1,2.104044e-05,0.00017547607,0.00019651651,0.00018443477,1.0655067
Irx2,4.181266e-05,0.00015384704,0.0001956597,0.00094737246,0.2065287
Bmp6,1.4305115e-05,0.0001796484,0.00019395351,0.00069341756,0.27970657
Plac8,3.9719045e-05,0.00015398115,0.0001937002,0.0009279517,0.20873941
Tbcel,2.5302172e-05,0.0001680553,0.00019335747,0.0004463468,0.4332
Ddit3,2.4139881e-05,0.00016865134,0.00019279122,0.00032805046,0.5876876
Zkscan3,-3.4302473e-05,-0.00015753508,-0.00019183755,-0.00033272564,0.57656366
Gatad2a,2.861023e-05,0.00016307831,0.00019168854,0.00035025473,0.5472831
Zfp334,3.103912e-05,0.00016040355,0.00019144267,0.0007015984,0.27286637
Zfp40,2.9966235e-05,0.00016140938,0.00019137561,0.0003952337,0.48420864
Krt18,3.3453107e-05,0.00015781075,0.00019126385,0.0015116431,0.12652703
Ahrr,2.2508204e-05,0.00016668439,0.0001891926,0.0013297294,0.14227891
Trpc3,2.5644898e-05,0.00016340613,0.00018905103,0.0004366216,0.4329859
Rxrb,3.6880374e-05,0.00015126169,0.00018814206,0.0005595984,0.336209
Nfe2l1,3.2752752e-05,0.00015482306,0.00018757582,0.00045815285,0.40941745
Zfp972,3.3551827e-05,0.00015387684,0.00018742867,0.0019406368,0.096580915
Arhgef28,3.2141805e-05,0.00015498698,0.00018712878,0.0006009427,0.31139198
Slc26a3,3.5034493e-05,0.00015128776,0.00018632226,0.0031226738,0.05966744
Smoc2,-3.5375357e-05,-0.0001507923,-0.00018616766,-0.0010164112,0.18316165
Grin3a,2.0444393e-05,0.00016540289,0.00018584728,0.00029325663,0.6337359
