gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Tmem163,-9.119511e-05,-0.0004748106,-0.0005660057,-0.00089288567,0.633906
Arhgap31,-8.8483095e-05,-0.0004722178,-0.0005607009,-0.00068754546,0.8155109
Pgm5,-3.46303e-05,-0.0004928708,-0.0005275011,-0.00062132074,0.84899956
Rgs6,-8.100271e-05,-0.00044426322,-0.00052526593,-0.00070932467,0.7405154
Alcam,-0.000110805035,-0.00039964914,-0.0005104542,-0.0006869038,0.7431232
Pip5k1b,-7.9751015e-05,-0.00041532516,-0.0004950762,-0.00056292425,0.879472
Slc24a2,-7.9900026e-05,-0.00040602684,-0.00048592687,-0.0009808051,0.4954366
Fbxo32,-0.00010795891,-0.0003683269,-0.00047628582,-0.0009920098,0.48012203
Slc1a3,-9.1165304e-05,-0.00037565827,-0.00046682358,-0.00093700783,0.49820662
Mical2,-7.742643e-05,-0.00038933754,-0.00046676397,-0.0004301015,1.0852413
Grid2,6.813556e-05,0.000392586,0.00046072155,0.001259998,0.36565253
Sdk1,-6.645918e-05,-0.00039339066,-0.00045984983,-0.0004847764,0.9485812
Myh6,-0.00013238192,-0.00032556057,-0.0004579425,-0.0004099595,1.1170431
Grin3a,-9.1060996e-05,-0.00036606193,-0.00045712292,-0.0007213144,0.6337359
Kcnh7,-8.5651875e-05,-0.00037133694,-0.0004569888,-0.00056773005,0.8049402
Emilin2,-5.8442354e-05,-0.00037387013,-0.0004323125,-0.00066539,0.6497128
Mecom,8.375943e-05,0.0003451705,0.00042892992,0.0010327632,0.41532257
Myo18b,-8.2582235e-05,-0.0003257692,-0.00040835142,-0.00046828436,0.87201583
Cdh6,4.9985945e-05,0.0003501922,0.00040017813,0.001667898,0.23992951
Erbb4,-3.7133694e-05,-0.00036275387,-0.00039988756,-0.00041389343,0.96616054
Ano4,-4.324317e-05,-0.00034859776,-0.00039184093,-0.00057646364,0.67973214
Sphkap,-7.751584e-05,-0.00031405687,-0.0003915727,-0.00047517772,0.8240552
Gata4,-4.7937036e-05,-0.00033316016,-0.0003810972,-0.0005467171,0.6970646
Ctnna3,-4.014373e-05,-0.0003387332,-0.00037887692,-0.00038100962,0.9944024
Zfpm2,-2.7164817e-05,-0.00034993887,-0.0003771037,-0.00055386283,0.68086106
Casz1,-8.201599e-05,-0.0002912283,-0.0003732443,-0.00042219987,0.8840463
