gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Rgs6,-0.000111460686,-0.0007042289,-0.00081568956,-0.0011015158,0.7405154
Pip5k1b,-0.00010660291,-0.0006236434,-0.0007302463,-0.00083032344,0.879472
Tmem163,-0.00010737777,-0.00060743093,-0.0007148087,-0.0011276255,0.633906
Myh6,-0.00015974045,-0.00052696466,-0.0006867051,-0.00061475247,1.1170431
Myo18b,-0.00011894107,-0.0005430281,-0.0006619692,-0.0007591251,0.87201583
Pgm5,-4.1246414e-05,-0.00061929226,-0.0006605387,-0.00077801995,0.84899956
Arhgap31,-9.512901e-05,-0.00056135654,-0.00065648556,-0.00080499897,0.8155109
Kcnh7,-0.00010725856,-0.0005489588,-0.00065621734,-0.00081523723,0.8049402
Grin3a,-0.00011435151,-0.0005352497,-0.0006496012,-0.0010250345,0.6337359
Casz1,-0.00012287498,-0.0005146265,-0.0006375015,-0.00072111766,0.8840463
Mical2,-9.459257e-05,-0.00049209595,-0.0005866885,-0.00054060644,1.0852413
Emilin2,-7.0005655e-05,-0.0005039871,-0.00057399273,-0.0008834559,0.6497128
Alcam,-0.000110298395,-0.0004426241,-0.0005529225,-0.0007440522,0.7431232
Slc24a2,-8.5383654e-05,-0.00045910478,-0.00054448843,-0.0010990071,0.4954366
Actn2,-5.5402517e-05,-0.000472188,-0.0005275905,-0.0005307772,0.9939961
Mecom,0.000102072954,0.00042453408,0.00052660704,0.0012679468,0.41532257
Tbx20,-8.547306e-05,-0.00041356683,-0.0004990399,-0.00064119213,0.7783
Slc1a3,-0.000100672245,-0.00039628148,-0.0004969537,-0.000997485,0.49820662
Grid2,7.339567e-05,0.00042253733,0.000495933,0.0013562954,0.36565253
Gata4,-5.6639314e-05,-0.0004386902,-0.0004953295,-0.0007105933,0.6970646
Fbxo32,-0.00010420382,-0.00038960576,-0.0004938096,-0.0010285083,0.48012203
Slc16a10,-5.6147575e-05,-0.00043711066,-0.00049325824,-0.0007345718,0.6714907
Sdk1,-6.887317e-05,-0.00041770935,-0.00048658252,-0.00051295816,0.9485812
Ankrd1,-8.371472e-05,-0.00039291382,-0.00047662854,-0.00073958776,0.6444515
Dsp,-4.6521425e-05,-0.0004298687,-0.00047639012,-0.00051060505,0.93299127
Obscn,-8.46982e-05,-0.0003874004,-0.0004720986,-0.0005152005,0.9163394
Nrp2,0.00011473894,0.00035446882,0.00046920776,0.0016660672,0.28162587
Zfpm2,-3.33786e-05,-0.0004323125,-0.0004656911,-0.0006839736,0.68086106
Myh7b,-6.389618e-05,-0.00039592385,-0.00045982003,-0.00067929545,0.6769072
Ldb3,-5.8442354e-05,-0.00039488077,-0.00045332313,-0.0004189978,1.0819223
Kif26b,-4.708767e-05,-0.0004042983,-0.00045138597,-0.00053624716,0.8417498
Fstl4,-4.1678548e-05,-0.0004041791,-0.00044585764,-0.0006495031,0.6864595
Zfp189,-7.0557e-05,-0.00036361814,-0.00043417513,-0.0015139997,0.2867735
Fras1,-7.8469515e-05,-0.00035315752,-0.00043162704,-0.00061426143,0.7026763
Erbb4,-3.1635165e-05,-0.0003797412,-0.00041137636,-0.00042578462,0.96616054
Mast4,-6.0379505e-05,-0.0003502369,-0.0004106164,-0.00041921803,0.9794816
Trdn,-7.452071e-05,-0.00033450127,-0.00040902197,-0.00075074955,0.54481804
