gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Gpld1,3.744103e-05,0.00045242906,0.0004898701,0.0026465438,0.18509795
Fstl4,-4.3809414e-05,-0.00043943524,-0.00048324466,-0.00070396665,0.6864595
Scube1,-8.5771084e-05,-0.00035256147,-0.00043833256,-0.00093107496,0.4707811
Cux2,-4.9591064e-05,-0.000372082,-0.00042167306,-0.0008524107,0.4946829
Ccnd2,-6.3717365e-05,-0.00029987097,-0.00036358833,-0.000536467,0.6777458
Nfkb1,5.2332878e-05,0.00030100346,0.00035333633,0.0004296542,0.8223736
Sema3c,0.000100284815,0.00025045872,0.00035074353,0.0005002941,0.7010746
Myl9,3.9696693e-05,0.00029313564,0.00033283234,0.00041107554,0.8096621
Dkk3,-3.6597252e-05,-0.0002850592,-0.00032165647,-0.0004987111,0.6449755
Ikzf4,5.9977174e-05,0.00025980175,0.00031977892,0.0008879821,0.36011857
Spon1,-4.2885542e-05,-0.00026839972,-0.00031128526,-0.00037681317,0.82609963
Smad9,-4.6491623e-05,-0.0002491176,-0.00029560924,-0.000854493,0.34594685
Ankrd1,4.8846006e-05,0.0002425909,0.0002914369,0.00045222466,0.6444515
Cyp26b1,3.6660582e-05,0.00025019795,0.00028685853,0.0020381287,0.14074594
Smad6,-3.4064054e-05,-0.0002526641,-0.00028672814,-0.00046099024,0.621983
Myl3,-5.015731e-05,-0.00023040175,-0.00028055906,-0.0004599825,0.6099341
Ctnna3,2.7686357e-05,0.00022888184,0.0002565682,0.0002580124,0.9944024
Ldb3,3.734231e-05,0.0002167821,0.0002541244,0.00023488227,1.0819223
Prdm11,-4.0322542e-05,-0.0002116561,-0.00025197864,-0.00044937283,0.5607339
Zfp934,3.2797456e-05,0.00021895766,0.00025175512,0.0008484738,0.29671517
Plppr5,3.914535e-05,0.00020974874,0.0002488941,0.00057212,0.43503818
Tbx3,-5.2005053e-05,-0.00019519031,-0.00024719536,-0.00064239086,0.38480514
Zfp467,5.8546662e-05,0.00017954409,0.00023809075,0.00076201285,0.3124497
9430076C15Rik,3.9190054e-05,0.00019618869,0.00023537874,0.0004223691,0.557282
Zfp94,3.8027763e-05,0.00019611418,0.00023414195,0.0009931038,0.23576772
Zfp101,-4.2825937e-05,-0.0001886338,-0.00023145974,-0.0006204539,0.37304896
Rap1gap2,-2.7179718e-05,-0.0002001524,-0.00022733212,-0.00034737753,0.65442365
Gm14443,3.758073e-05,0.0001885742,0.00022615492,0.0009615415,0.23520027
Tet2,-3.9368868e-05,-0.00018391013,-0.000223279,-0.0003572528,0.6249887
Klf10,2.8952956e-05,0.00019331276,0.00022226572,0.00073043565,0.3042919
Zbtb21,3.6507845e-05,0.00018498302,0.00022149086,0.00047168898,0.46956962
Actn2,2.2470951e-05,0.00019830465,0.0002207756,0.0002221091,0.9939961
Rel,4.1425228e-05,0.0001784563,0.00021988153,0.0005034845,0.43671948
Cacnb2,3.2544136e-05,0.00018715858,0.00021970272,0.00024338876,0.9026822
Gm20422,-1.5512109e-05,-0.0002041161,-0.00021962821,-0.0005857555,0.37494853
Nav2,-2.9355288e-05,-0.00018996,-0.00021931529,-0.00023254659,0.9431025
Gtf2ird1,-3.9190054e-05,-0.00017943978,-0.00021862984,-0.0003619217,0.6040804
Grhl1,-2.69562e-05,-0.0001898408,-0.000216797,-0.0004359302,0.49732032
Fam198b,3.5196543e-05,0.00018067658,0.00021587312,0.00046393313,0.46531075
Zfp111,4.015863e-05,0.00017415732,0.00021431595,0.0013542292,0.15825668
Rcor1,-2.3692846e-05,-0.00019055605,-0.0002142489,-0.0003258941,0.65741867
Foxk1,-2.1599233e-05,-0.00019186735,-0.00021346658,-0.000522845,0.40827882
P3h2,2.2612512e-05,0.00019061565,0.00021322817,0.00048796955,0.43697014
Thra,3.4749508e-05,0.00017747283,0.00021222234,0.0003006866,0.70579237
Thap7,-4.722178e-05,-0.00016313791,-0.00021035969,-0.00087075814,0.24158213
Zbtb43,4.3556094e-05,0.00016646087,0.00021001697,0.0005400781,0.38886398
Zfp85,3.2819808e-05,0.00017686188,0.00020968169,0.0008472715,0.24747863
Zfpm2,-1.0699034e-05,-0.00019812584,-0.00020882487,-0.00030670696,0.68086106
Crem,2.2158027e-05,0.0001847148,0.00020687282,0.00043976124,0.4704207
Zfp661,2.9616058e-05,0.0001771748,0.00020679086,0.0011840982,0.17463985
Nppa,4.208088e-05,0.0001642853,0.00020636618,0.00061308366,0.33660355
Slc1a3,-2.938509e-05,-0.00017645955,-0.00020584464,-0.00041317116,0.49820662
Myom1,4.082918e-05,0.00016433,0.00020515919,0.00020859926,0.9835086
Zkscan7,2.7775764e-05,0.00017552078,0.00020329654,0.0007034331,0.2890061
Galnt14,3.9041042e-05,0.00016370416,0.0002027452,0.000847768,0.23915166
Rtkn2,-3.3080578e-05,-0.00016926229,-0.00020234287,-0.00060063705,0.33688033
Prdm16,-2.373755e-05,-0.000177145,-0.00020088255,-0.00041242622,0.48707503
Foxj2,-2.0727515e-05,-0.0001795888,-0.00020031631,-0.0004714236,0.42491776
Zfp120,4.1797757e-05,0.00015699863,0.00019879639,0.0006158691,0.3227899
Stat5a,2.9966235e-05,0.00016874075,0.00019870698,0.0007134238,0.27852577
Smoc2,4.592538e-05,0.00015102327,0.00019694865,0.0010752717,0.18316165
Zfp641,-3.2827258e-05,-0.00016396493,-0.00019679219,-0.0009967653,0.1974307
Zkscan8,5.094707e-05,0.00014477223,0.0001957193,0.00054594484,0.35849637
Ccdc136,-3.248453e-05,-0.00016200542,-0.00019448996,-0.00037250182,0.52211803
Gm3604,1.629442e-05,0.00017814338,0.0001944378,0.0006650275,0.2923755
Zfp260,-3.3140182e-05,-0.00016115606,-0.00019429624,-0.0004007211,0.4848664
Hmgb1,-1.9520521e-05,-0.0001744926,-0.00019401312,-0.00041095202,0.4721064
Tnc,4.544854e-05,0.00014811754,0.00019356608,0.0006275374,0.30845338
Lama4,2.82228e-05,0.00016346574,0.00019168854,0.00026829413,0.71447146
Zfp866,3.2544136e-05,0.00015802681,0.00019057095,0.00042181494,0.45178798
Zfp97,-3.541261e-05,-0.00015515089,-0.0001905635,-0.0011794543,0.1615691
Ttn,3.939867e-05,0.00015068054,0.00019007921,0.00015108977,1.2580547
Sema6d,-2.69413e-05,-0.00016275048,-0.00018969178,-0.00035420476,0.5355426
Unc5c,-2.0004809e-05,-0.00016956031,-0.00018956512,-0.0005314882,0.35666844
Pcsk6,-1.7091632e-05,-0.00017112494,-0.00018821657,-0.0005100314,0.36902928
Zfp143,-2.554059e-05,-0.00016257167,-0.00018811226,-0.00046700443,0.40280607
Zfp512,-2.7686357e-05,-0.00016024709,-0.00018793344,-0.0003411549,0.5508741
Frmd4b,3.9488077e-05,0.00014841557,0.00018790364,0.00030482947,0.61642206
Zfp977,1.8961728e-05,0.00016754866,0.00018651038,0.0006966099,0.26773998
Zfp54,2.387911e-05,0.00016260147,0.00018648058,0.00085516495,0.21806377
Gm29266,1.2438744e-05,0.00017389655,0.0001863353,0.0011484104,0.16225487
Rspo3,-4.054606e-05,-0.00014546514,-0.0001860112,-0.00045081443,0.41261137
Bach2,1.9654632e-05,0.00016576052,0.00018541515,0.00027597637,0.6718514
Zkscan16,2.1776184e-05,0.00016136467,0.00018314086,0.0013297652,0.1377241
Akap6,2.0518899e-05,0.00016260147,0.00018312037,0.00042129977,0.43465567
Filip1,2.8133392e-05,0.00015497208,0.00018310547,0.00022298333,0.821162
Slc35f1,-2.0243227e-05,-0.00016263127,-0.0001828745,-0.000468528,0.39031705
Camta2,-2.3290515e-05,-0.00015954673,-0.00018283725,-0.0004132064,0.44248396
Sox6,1.975894e-05,0.00016248226,0.0001822412,0.00022988359,0.7927542
Etv2,1.295004e-06,0.00018047169,0.00018176669,0.0031966972,0.056860678
Tcf25,-3.1888485e-05,-0.00014925003,-0.00018113852,-0.00029654347,0.6108328
Hivep2,2.3052096e-05,0.00015768409,0.00018073618,0.00030955148,0.58386457
Slc8a1,2.30968e-05,0.00015676022,0.00017985702,0.00016742716,1.0742402
Palld,4.4107437e-05,0.00013542175,0.00017952919,0.00014523343,1.2361423
Zbtb38,2.7269125e-05,0.00015193224,0.00017920136,0.00035169546,0.5095355
Dlc1,-1.9669533e-05,-0.00015902519,-0.00017869473,-0.00026016953,0.68683946
Igfbpl1,-4.2945147e-05,-0.00013560057,-0.00017854571,-0.00092054764,0.19395587
Zfp617,3.616512e-05,0.00014081597,0.00017698109,0.00042896467,0.4125772
Zfp994,3.1158328e-05,0.00014549494,0.00017665327,0.0005773061,0.30599576
Lef1,-2.1606684e-05,-0.00015422702,-0.0001758337,-0.00044793155,0.39254582
Pde3a,3.287196e-05,0.00014126301,0.00017413497,0.0002164411,0.80453736
Zfp68,2.8461218e-05,0.00014565885,0.00017412007,0.00045610603,0.38175339
Zfp771,-2.8416514e-05,-0.00014564395,-0.00017406046,-0.00046759332,0.37224746
Myl7,-2.3931265e-05,-0.00014963746,-0.00017356873,-0.0002381657,0.7287729
3632451O06Rik,3.954768e-05,0.00013366342,0.0001732111,0.00035117014,0.49323973
A930011G23Rik,-1.7553568e-05,-0.0001552105,-0.00017276406,-0.0003710376,0.46562403
Gpx3,-3.0010939e-05,-0.00014210492,-0.00017211586,-0.0002948376,0.58376485
Fam179a,2.7775764e-05,0.00014430285,0.00017207861,0.00090899644,0.18930604
Wiz,-2.56598e-05,-0.00014619529,-0.00017185509,-0.000447713,0.38385093
Crb1,2.6226044e-05,0.00014547259,0.00017169863,0.0012536267,0.13696143
Esr2,1.8514693e-05,0.00015253574,0.00017105043,0.0013781089,0.12411958
