gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Grin3a,-7.300079e-05,-0.00034031272,-0.0004133135,-0.0006521856,0.6337359
Tmem163,-5.5179e-05,-0.00034931302,-0.00040449202,-0.0006380945,0.633906
Tnc,8.198619e-05,0.00032010674,0.00040209293,0.0013035773,0.30845338
Etv2,2.6952475e-06,0.00039936975,0.000402065,0.007071043,0.056860678
Myh6,-9.49502e-05,-0.00029152632,-0.00038647652,-0.00034598168,1.1170431
Nkx2-6,3.318116e-05,0.00031872094,0.0003519021,0.0058608702,0.060042534
Zfp941,-5.3633004e-05,-0.00028104335,-0.00033467636,-0.0025669034,0.13038126
Asb2,-4.8696995e-05,-0.00028383732,-0.0003325343,-0.00039007174,0.85249513
Phb,5.7950616e-05,0.0002720654,0.00033001602,0.00070071593,0.47096968
Myo18b,-5.8084726e-05,-0.00025498867,-0.0003130734,-0.00035902255,0.87201583
Scube1,-6.519258e-05,-0.00023972988,-0.00030492246,-0.0006476947,0.4707811
Fstl4,-2.4154782e-05,-0.000269562,-0.0002937168,-0.0004278719,0.6864595
Slc16a10,-3.3169985e-05,-0.00025510788,-0.00028827786,-0.0004293102,0.6714907
Smad6,3.8549304e-05,0.0002489984,0.0002875477,0.00046230791,0.621983
Zfp738,4.9173832e-05,0.00023578107,0.0002849549,0.00071009336,0.4012921
Lncpint,-3.0331314e-05,-0.00024840236,-0.00027873367,-0.0006733512,0.41394982
Cdip1,3.2007694e-05,0.000246495,0.0002785027,0.00033891838,0.8217396
Zfp383,-6.903708e-05,-0.0002079755,-0.0002770126,-0.0007685277,0.36044574
Mast4,-4.0650368e-05,-0.00023543835,-0.00027608871,-0.00028187226,0.9794816
Ikzf4,-3.860891e-05,-0.00023663044,-0.00027523935,-0.0007643018,0.36011857
Zfp62,5.531311e-05,0.00021752715,0.00027284026,0.0005047389,0.54055715
Pgm5,-1.5109777e-05,-0.00025451183,-0.0002696216,-0.00031757564,0.84899956
Vwa3a,4.0322542e-05,0.00022682548,0.00026714802,0.0011976422,0.22306153
Ctnna3,-2.3126602e-05,-0.0002425909,-0.0002657175,-0.0002672132,0.9944024
Preb,-3.7655234e-05,-0.00022758543,-0.00026524067,-0.0007128142,0.37210342
Etv1,-3.515184e-05,-0.00022900105,-0.00026415288,-0.0005003286,0.5279587
Zbtb37,-3.9070845e-05,-0.00022339821,-0.00026246905,-0.00057441095,0.4569359
Zfp14,4.634261e-05,0.0002155751,0.0002619177,0.00067830214,0.38613713
Zfp64,4.1022897e-05,0.0002194643,0.0002604872,0.00060291856,0.43204367
Gm3604,2.5011599e-05,0.00023069978,0.00025571138,0.0008745989,0.2923755
Cacnb2,-3.0994415e-05,-0.00022435188,-0.0002553463,-0.00028287506,0.9026822
Ano4,-2.43932e-05,-0.0002271533,-0.0002515465,-0.00037006702,0.67973214
Ppp1r14c,-1.7359853e-05,-0.0002335906,-0.00025095046,-0.0003511995,0.7145523
Kcnq5,-1.3366342e-05,-0.00023722649,-0.00025059283,-0.00030343945,0.8258412
Zfp653,3.7550926e-05,0.00021113455,0.00024868548,0.0005663142,0.43912977
Zfpm1,4.1395426e-05,0.00020642579,0.0002478212,0.0006889865,0.3596894
Gtf2ird2,3.6761165e-05,0.00020998716,0.00024674833,0.00043604922,0.56587255
Zfp180,3.5077333e-05,0.0002091825,0.00024425983,0.00054506946,0.44812596
Sorbs2,-4.0203333e-05,-0.0002014637,-0.00024166703,-0.00023558033,1.025837
Prrx2,4.6551228e-05,0.00019487739,0.00024142861,0.0005254374,0.45948112
Alox5,-4.4584274e-05,-0.00019684434,-0.00024142861,-0.0009594941,0.25162065
Dnah8,5.0351024e-05,0.00018948317,0.00023983419,0.00047300922,0.507039
Zfp189,-3.1530857e-05,-0.00020702183,-0.00023855269,-0.0008318503,0.2867735
Rnf213,-2.8662384e-05,-0.00020740926,-0.00023607165,-0.0006909652,0.3416548
Gramd1b,-2.5182962e-05,-0.0002092123,-0.00023439527,-0.0003572496,0.6561105
Zfp473,-3.4030527e-05,-0.00019756705,-0.00023159757,-0.0016504511,0.1403237
Myl7,4.1544437e-05,0.00018885732,0.00023040175,0.00031615022,0.7287729
Palld,-4.3988228e-05,-0.00018554926,-0.00022953749,-0.00018568855,1.2361423
Frmd4b,4.476309e-05,0.00018462539,0.00022938848,0.00037212885,0.61642206
Zfp605,3.9622188e-05,0.00018954277,0.00022916496,0.0010071566,0.22753647
Smad7,3.5345554e-05,0.00019326806,0.00022861362,0.0005321899,0.42957142
Sp2,3.235042e-05,0.0001951456,0.00022749603,0.0006052982,0.37584114
Kif26b,-2.4795532e-05,-0.00020158291,-0.00022637844,-0.00026893787,0.8417498
Zfp429,4.480034e-05,0.00018112361,0.00022592396,0.0015047393,0.15014149
Zfp780b,-3.3915043e-05,-0.00019052625,-0.00022444129,-0.00055086217,0.4074363
Clock,3.8653612e-05,0.00018569827,0.00022435188,0.00037777473,0.5938773
Id2,4.3466687e-05,0.0001770854,0.00022055209,0.00050420256,0.43742746
Myl2,-4.1365623e-05,-0.00017654896,-0.00021791458,-0.0003759888,0.5795772
Cxcl12,5.041063e-05,0.00016716123,0.00021757185,0.00080450403,0.27044213
Erbb4,-1.4394522e-05,-0.00020295382,-0.00021734834,-0.00022496087,0.96616054
Arhgdib,3.2804906e-05,0.00018303096,0.00021583587,0.0012331663,0.17502566
4930455D15Rik,-2.9781833e-05,-0.00018532574,-0.00021510758,-0.0022332727,0.09631934
Trdn,-3.695488e-05,-0.00017797947,-0.00021493435,-0.00039450658,0.54481804
Trim55,-2.7894974e-05,-0.00018578768,-0.00021368265,-0.00020458749,1.044456
Zbtb43,-3.761053e-05,-0.00017474592,-0.00021235645,-0.00054609426,0.38886398
Smarcc2,2.925098e-05,0.00018146634,0.00021071732,0.0003573633,0.58964443
Actn2,-2.3901463e-05,-0.00018656254,-0.000210464,-0.00021173521,0.9939961
Zkscan7,4.132092e-05,0.00016798079,0.00020930171,0.0007242118,0.2890061
