gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Etv2,6.039627e-06,0.0011048205,0.0011108601,0.019536491,0.056860678
Esrrb,5.1617622e-05,0.0008736551,0.0009252727,0.0020238513,0.45718408
Zfp637,0.00014150888,0.0007088855,0.00085039437,0.005236181,0.16240726
Cdip1,8.696318e-05,0.00067317486,0.00076013803,0.00092503504,0.8217396
Zfp987,0.000106200576,0.00065212324,0.0007583238,0.014876878,0.050973218
Actn2,6.258488e-05,0.0006956458,0.0007582307,0.00076281046,0.9939961
Lcn3,9.3800714e-05,0.0006517116,0.0007455123,0.040286884,0.018504987
Zfp683,0.00010425318,0.00064062513,0.0007448783,0.017964687,0.04146337
Gtf2ird2,0.000107347965,0.00062665343,0.0007340014,0.0012971141,0.56587255
Esrrg,5.4612756e-05,0.0006698966,0.00072450936,0.0009591911,0.75533354
Cma1,0.00011951197,0.0005969703,0.0007164823,0.027891492,0.0256881
A930011G23Rik,7.632375e-05,0.0006311536,0.00070747733,0.0015194173,0.46562403
Purg,7.4878335e-05,0.0006298125,0.0007046908,0.0011851467,0.59460205
Ctnna3,5.2839518e-05,0.00064873695,0.0007015765,0.0007055256,0.9944024
Nkx2-6,4.7652982e-05,0.00064048544,0.0006881384,0.0114608295,0.060042534
Syne1,0.00012233853,0.00056278706,0.0006851256,0.001520845,0.45049
Cd5,9.097438e-05,0.0005900189,0.0006809933,0.014121638,0.048223294
Tnni1,6.106496e-05,0.0006058216,0.00066688657,0.0006258867,1.0655067
Gm14418,8.28132e-05,0.0005832687,0.0006660819,0.0063132243,0.10550572
Sema6d,9.281933e-05,0.00055876374,0.0006515831,0.0012166781,0.5355426
Ttn,9.3996525e-05,0.00055378675,0.0006477833,0.00051490864,1.2580547
Tcf19,0.000111714005,0.0005355887,0.0006473027,0.0028613813,0.22622027
Cd300c,8.2485145e-05,0.0005581761,0.0006406612,0.04006665,0.015989788
Agbl4,3.928691e-05,0.00059762597,0.0006369129,0.001373573,0.46369052
Prdm11,9.7349286e-05,0.0005388558,0.0006362051,0.0011345933,0.5607339
Hoxb7,7.61291e-05,0.0005584061,0.0006345352,0.015499648,0.040938586
Myh7,0.0001052022,0.0005247295,0.0006299317,0.0007165493,0.8791183
Nfkb2,0.00012086332,0.0005010795,0.0006219428,0.0032050754,0.19404925
Lipf,8.389354e-05,0.00053261034,0.0006165039,0.012678802,0.048624672
Atf4,8.6799264e-05,0.00052442774,0.000611227,0.0023173853,0.26375708
Filip1,7.3224306e-05,0.0005340576,0.0006072819,0.0007395396,0.821162
Myocd,6.623566e-05,0.00053960085,0.0006058365,0.000806168,0.75150144
Lrrtm3,4.7154725e-05,0.00055637956,0.0006035343,0.0014004833,0.43094707
Asb2,6.699562e-05,0.00053468347,0.0006016791,0.0007057859,0.85249513
Zfp975,9.3877316e-05,0.0005058944,0.00059977174,0.0017873074,0.3355727
Rora,6.644428e-05,0.00053179264,0.0005982369,0.0008977073,0.6664052
Parm1,7.735193e-05,0.0005197525,0.00059710443,0.0013919609,0.42896628
Mylk3,7.1913004e-05,0.0005221069,0.0005940199,0.0008225088,0.72220474
Kcnh7,-8.5771084e-05,-0.0005070567,-0.0005928278,-0.00073648663,0.8049402
Zfp978,8.912431e-05,0.0005022865,0.0005914108,0.018035293,0.03279176
Cacna1c,6.195903e-05,0.00052785873,0.00058981776,0.00054178335,1.0886598
Dmrta1,9.537488e-05,0.0004942417,0.0005896166,0.01399276,0.04213716
