gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Kif26b,6.720424e-05,0.00068062544,0.0007478297,0.00088842266,0.8417498
Mecom,-0.000118643045,-0.0006003976,-0.00071904063,-0.001731282,0.41532257
Pip5k1b,9.1433525e-05,0.00061279535,0.0007042289,0.0008007404,0.879472
Tmem163,8.441508e-05,0.00061249733,0.0006969124,0.0010993937,0.633906
Erbb4,4.6640635e-05,0.0006453395,0.0006919801,0.0007162164,0.96616054
Pgm5,3.2782555e-05,0.00062793493,0.0006607175,0.00077823055,0.84899956
Rgs6,7.5519085e-05,0.0005709529,0.000646472,0.0008730026,0.7405154
Sema3c,-0.0001526177,-0.0004938245,-0.0006464422,-0.00092207314,0.7010746
Kcnh7,9.998679e-05,0.0005400777,0.0006400645,0.0007951701,0.8049402
Mical2,8.1181526e-05,0.0005503893,0.0006315708,0.0005819634,1.0852413
Gata4,5.6922436e-05,0.0005273223,0.0005842447,0.0008381499,0.6970646
Ano4,5.121529e-05,0.00052818656,0.00057940185,0.0008523972,0.67973214
Emilin2,5.5730343e-05,0.00049456954,0.0005502999,0.0008469893,0.6497128
Grid2,-6.709248e-05,-0.00047650933,-0.0005436018,-0.0014866618,0.36565253
Ppp1r14c,3.287196e-05,0.00050902367,0.0005418956,0.00075837073,0.7145523
Mast4,6.660819e-05,0.00047516823,0.0005417764,0.00055312563,0.9794816
Slc8a1,4.7057867e-05,0.00049209595,0.0005391538,0.0005018931,1.0742402
Meis2,-8.928776e-05,-0.0004376173,-0.00052690506,-0.00084533286,0.6233106
Arhgap31,5.7935715e-05,0.00046423078,0.0005221665,0.0006402936,0.8155109
Nrp2,-0.00011190027,-0.0004056245,-0.0005175248,-0.0018376317,0.28162587
Myo18b,7.882714e-05,0.00043556094,0.0005143881,0.0005898838,0.87201583
Lncpint,4.8920512e-05,0.00045982003,0.00050874054,0.0012289906,0.41394982
Zfpm2,2.899766e-05,0.000451684,0.00048068166,0.0007059907,0.68086106
Actn2,4.5865774e-05,0.00041389465,0.00045976043,0.0004625374,0.9939961
Casz1,7.125735e-05,0.0003851056,0.00045636296,0.0005162206,0.8840463
Gramd1b,4.1291118e-05,0.00041344762,0.00045473874,0.0006930824,0.6561105
Slc24a2,5.4314733e-05,0.0003913939,0.00044570863,0.0008996278,0.4954366
Cdh6,-4.9043447e-05,-0.00039432943,-0.00044337288,-0.0018479289,0.23992951
Rbm20,2.6255846e-05,0.00041013956,0.0004363954,0.00043031466,1.0141308
Myl4,4.9591064e-05,0.00038132071,0.00043091178,0.0004434369,0.9717543
Ryr2,4.968047e-05,0.00038087368,0.00043055415,0.00042404144,1.0153586
Myh7b,4.8696995e-05,0.0003758669,0.00042456388,0.00062721124,0.6769072
Myh6,8.791685e-05,0.00033080578,0.00041872263,0.00037484907,1.1170431
Tnni1,3.4719706e-05,0.00038349628,0.000418216,0.0003925043,1.0655067
Synpo2,-5.878508e-05,-0.0003556311,-0.0004144162,-0.0007371266,0.5622048
Spon1,5.4180622e-05,0.00035652518,0.0004107058,0.00049716246,0.82609963
Sh3bgr,4.0769577e-05,0.00036934018,0.00041010976,0.00060065516,0.6827706
Lama4,5.7011843e-05,0.00034829974,0.00040531158,0.0005672886,0.71447146
Amph,-6.182492e-05,-0.00033985078,-0.0004016757,-0.0016752145,0.23977558
Sdk1,4.6610832e-05,0.0003542304,0.00040084124,0.00042256917,0.9485812
Prkca,3.4697354e-05,0.0003642738,0.00039897114,0.00095487444,0.41782567
Grhl1,5.814433e-05,0.00033563375,0.0003937781,0.00079179957,0.49732032
Ctnna3,3.2424927e-05,0.00036084652,0.00039327145,0.00039548517,0.9944024
Fstl4,3.1903386e-05,0.00035902858,0.00039093196,0.00056949013,0.6864595
Cdh3,-4.9620867e-05,-0.0003284514,-0.00037807226,-0.00076584134,0.4936691
Ldb3,4.6014786e-05,0.00033044815,0.00037646294,0.00034795742,1.0819223
Gm13481,1.649931e-05,0.0003593862,0.00037588552,0.00103455,0.36333227
Alcam,6.714463e-05,0.00030830503,0.00037544966,0.00050523196,0.7431232
Gabrb1,-6.438792e-05,-0.00031003356,-0.00037442148,-0.001525774,0.24539763
Prdm6,4.1291118e-05,0.00032564998,0.0003669411,0.0009139952,0.4014693
Cdh11,-6.330758e-05,-0.00030355155,-0.00036685914,-0.0014619874,0.2509317
Ltbp1,-3.84748e-05,-0.00032103062,-0.00035950541,-0.00046013365,0.7813064
Ttn,5.4121017e-05,0.00030314922,0.00035727024,0.0002839862,1.2580547
Slc16a10,3.734231e-05,0.0003170669,0.00035440922,0.0005277946,0.6714907
Cdh20,1.8291175e-05,0.00033590198,0.00035419315,0.00075804704,0.4672442
Cap2,2.6285648e-05,0.00032636523,0.00035265088,0.00049056974,0.7188597
Ptk2b,5.814433e-05,0.00029408932,0.00035223365,0.0009585767,0.36745477
Klhl6,-7.947534e-05,-0.0002708286,-0.00035030395,-0.0013307916,0.26322967
Syne1,-6.5252185e-05,-0.00028279424,-0.00034804642,-0.00077259506,0.45049
Tnc,-6.829202e-05,-0.00027780235,-0.00034609437,-0.001122031,0.30845338
Fbxo32,5.5283308e-05,0.00028941035,0.00034469366,0.00071792916,0.48012203
Grin3a,7.233024e-05,0.000261724,0.00033405423,0.0005271189,0.6337359
Pde4b,2.3782253e-05,0.00030976534,0.0003335476,0.00044116855,0.75605464
Epha7,4.197657e-05,0.00029101968,0.00033299625,0.0005578289,0.59695035
Trdn,5.339086e-05,0.00027498603,0.0003283769,0.0006027275,0.54481804
Palld,5.1617622e-05,0.00027650595,0.00032812357,0.00026544157,1.2361423
Cacna1d,3.8012862e-05,0.0002898872,0.00032790005,0.0005053152,0.6489019
Angpt1,3.7148595e-05,0.00028398633,0.00032113492,0.0005766343,0.5569125
Mybpc3,4.0471554e-05,0.00027874112,0.00031921268,0.00032775328,0.9739418
Esr1,3.0264258e-05,0.00028410554,0.0003143698,0.0008300806,0.37872192
Trim55,3.489852e-05,0.00027877092,0.00031366944,0.00030031844,1.044456
Creb3l2,3.632903e-05,0.0002744496,0.00031077862,0.0003662751,0.84848404
Ankrd1,5.015731e-05,0.00025990605,0.00031006336,0.00048112744,0.6444515
A930011G23Rik,3.1262636e-05,0.00027686357,0.0003081262,0.0006617488,0.46562403
Slc2a1,3.388524e-05,0.00027358532,0.00030747056,0.0004461519,0.689161
Nexn,3.9041042e-05,0.0002682805,0.00030732155,0.0003063881,1.0030465
Ttf1,-5.8233738e-05,-0.00024616718,-0.00030440092,-0.0009900385,0.30746362
Fam19a2,-4.0099025e-05,-0.0002593696,-0.00029946864,-0.0016842459,0.17780566
Zfp444,-6.0766935e-05,-0.0002348274,-0.00029559433,-0.0006839786,0.4321689
Tfeb,3.07858e-05,0.00026401877,0.00029480457,0.00056463043,0.5221194
Esrrg,2.1353364e-05,0.00026667118,0.00028802454,0.00038132095,0.75533354
Jph2,2.3573637e-05,0.0002632141,0.00028678775,0.00032292661,0.8880894
Sorbs2,4.4554472e-05,0.0002413392,0.00028589368,0.00027869307,1.025837
Sema6d,-4.082918e-05,-0.00024425983,-0.00028508902,-0.00053233665,0.5355426
Galnt14,-5.7674944e-05,-0.00022427738,-0.00028195232,-0.0011789682,0.23915166
Clstn2,-3.329292e-05,-0.00024834275,-0.00028163567,-0.0013354266,0.21089555
Atp8a1,4.044175e-05,0.00024044514,0.0002808869,0.00074767513,0.3756803
Cd44,3.758073e-05,0.00024321675,0.00028079748,0.00058671535,0.47859228
Tmod1,2.4169683e-05,0.00025594234,0.00028011203,0.00031931282,0.8772338
Pcsk6,-2.6240945e-05,-0.000252828,-0.00027906895,-0.0007562242,0.36902928
Tbx5,4.5374036e-05,0.00023365021,0.00027902424,0.0005995793,0.4653666
P3h2,-2.669543e-05,-0.00025081635,-0.00027751178,-0.00063508167,0.43697014
Foxp4,-6.482005e-05,-0.00021263957,-0.00027745962,-0.000569489,0.48720795
Esrra,2.3812056e-05,0.00025352836,0.0002773404,0.00037284597,0.743847
Mlip,4.49121e-05,0.00023126602,0.00027617812,0.00038784783,0.71207845
Zfp7,-4.5724213e-05,-0.00023028255,-0.00027600676,-0.000891313,0.30966303
Tshz3,-4.4971704e-05,-0.00022806972,-0.00027304143,-0.0015169163,0.17999758
Vsnl1,3.235042e-05,0.00023882091,0.00027117133,0.0007725496,0.35100824
Gtf2ird2,-4.3168664e-05,-0.00022661686,-0.00026978552,-0.00047676012,0.56587255
Vegfc,-3.1217933e-05,-0.00023794174,-0.00026915967,-0.0009279665,0.29005313
Tshz2,-4.2393804e-05,-0.00022642314,-0.00026881695,-0.0010040472,0.26773328
Terf2,-3.7282705e-05,-0.00022995472,-0.00026723742,-0.00042576005,0.6276713
Atp1b1,2.8371811e-05,0.00023716688,0.0002655387,0.0003636877,0.7301282
Zfp804a,-2.0753592e-05,-0.00024409592,-0.0002648495,-0.0010132935,0.26137483
Pakap,2.1100044e-05,0.0002425909,0.00026369095,0.00029269102,0.900919
Cdh13,2.4288893e-05,0.00023892522,0.0002632141,0.00041738778,0.6306223
Sema3a,-3.1664968e-05,-0.00022992492,-0.00026158988,-0.0005234551,0.49973693
Isl1,-6.9759786e-05,-0.00019106269,-0.00026082247,-0.0013758639,0.18956986
Aff3,-2.7775764e-05,-0.00023156404,-0.0002593398,-0.00042441746,0.61104876
Zkscan5,-4.313886e-05,-0.00021569431,-0.00025883317,-0.0007182461,0.36036828
Dach1,-3.090501e-05,-0.0002271533,-0.0002580583,-0.00045596476,0.56596094
Lrrtm4,-4.2669475e-05,-0.00021505356,-0.00025772303,-0.0011446468,0.22515497
Cacna1c,2.6226044e-05,0.00023114681,0.00025737286,0.00023641255,1.0886598
Hcn1,2.6836991e-05,0.00023044646,0.00025728345,0.0008312608,0.3095098
Zfp617,-5.298853e-05,-0.00020335615,-0.00025634468,-0.0006213252,0.4125772
Med12l,2.3409724e-05,0.0002323389,0.00025574863,0.00047745844,0.5356457
Npas3,-1.9222498e-05,-0.00023534894,-0.00025457144,-0.00072581536,0.35073847
3632451O06Rik,-4.3213367e-05,-0.00021100044,-0.0002542138,-0.00051539595,0.49323973
Bmp6,-2.0835549e-05,-0.00023241341,-0.00025324896,-0.0009054091,0.27970657
Pcsk5,2.8759241e-05,0.00022295117,0.00025171041,0.0005051406,0.49829766
Fgf10,-3.4831464e-05,-0.00021673739,-0.00025156885,-0.0014126875,0.1780781
Ism1,-4.030019e-05,-0.00020846725,-0.00024876744,-0.0019126773,0.13006231
Cgnl1,2.501905e-05,0.00022265315,0.0002476722,0.0005513222,0.44923306
Rbpms,2.3156404e-05,0.00022304058,0.00024619699,0.00026364805,0.9338091
Susd1,1.8030405e-05,0.00022700429,0.0002450347,0.0005030821,0.48706692
Ccdc141,4.4316053e-05,0.00019973516,0.00024405122,0.00024246372,1.0065472
Hsf5,-2.990663e-05,-0.0002117306,-0.00024163723,-0.001142578,0.21148413
Kcnq5,-1.5974045e-05,-0.00022542477,-0.00024139881,-0.00029230653,0.8258412
Atf6,2.0772219e-05,0.00021982193,0.00024059415,0.00042447879,0.56679887
Slc1a3,3.4451485e-05,0.00020611286,0.00024056435,0.00048286052,0.49820662
Shisa6,-3.771484e-05,-0.00020247698,-0.00024019182,-0.0013415169,0.17904484
Zfp384,-3.5360456e-05,-0.00020468235,-0.0002400428,-0.0005271417,0.45536667
Zscan25,-2.3022294e-05,-0.0002168268,-0.00023984909,-0.0011952585,0.20066702
Tcf7l1,-3.270805e-05,-0.0002065599,-0.00023926795,-0.0005826465,0.41065702
Gm14306,3.0383468e-05,0.00020807981,0.00023846328,0.0012898347,0.18487884
Sphkap,3.6656857e-05,0.00019782782,0.00023448467,0.00028454966,0.8240552
Prox1,2.3245811e-05,0.00021067262,0.00023391843,0.0003206731,0.7294606
Dkk3,1.783669e-05,0.0002156794,0.0002335161,0.00036205415,0.6449755
Rap1gap2,-3.7670135e-05,-0.00019398332,-0.00023165345,-0.0003539808,0.65442365
Specc1,-3.4570694e-05,-0.00019595027,-0.00023052096,-0.00095493224,0.24140023
Meis1,-3.7416816e-05,-0.00019276142,-0.00023017824,-0.0003535685,0.65101445
Pou6f2,4.0218234e-05,0.00018934906,0.00022956729,0.0005466396,0.41996086
Mef2a,2.592802e-05,0.00020319223,0.00022912025,0.0002830813,0.80937964
Tnnt2,3.3199787e-05,0.00019571185,0.00022891164,0.0002637469,0.8679216
Alk,-2.8371811e-05,-0.00020015985,-0.00022853166,-0.0015613467,0.14636819
Fhl2,3.0636787e-05,0.00019657612,0.0002272129,0.00042987205,0.52855927
Thra,3.156066e-05,0.00019550323,0.0002270639,0.00032171482,0.70579237
Arid3a,-4.157424e-05,-0.00018535554,-0.00022692978,-0.0006749659,0.33620918
Nfkb1,2.4199486e-05,0.00020188093,0.00022608042,0.00027491202,0.8223736
Arhgdib,-4.249066e-05,-0.00018167496,-0.00022416562,-0.0012807578,0.17502566
Unc45b,2.8371811e-05,0.00019457936,0.00022295117,0.00032202006,0.6923517
Zbtb40,-3.9055943e-05,-0.0001835674,-0.00022262335,-0.00049994997,0.44529116
Zbtb21,-3.658235e-05,-0.00018435717,-0.00022093952,-0.00047051485,0.46956962
Prune2,-4.9471855e-05,-0.00017118454,-0.0002206564,-0.00064122636,0.34411615
Wnt2,3.350526e-05,0.00018693507,0.00022044033,0.0008500701,0.25932008
Jazf1,1.2733042e-05,0.00020676851,0.00021950155,0.0004922336,0.44592953
Slc35f1,2.2657216e-05,0.00019660592,0.00021926314,0.0005617564,0.39031705
Lrrfip1,2.9116869e-05,0.00019013882,0.00021925569,0.00024523493,0.8940637
Cacnb2,2.464652e-05,0.0001937747,0.00021842122,0.0002419691,0.9026822
Stac,-3.407523e-05,-0.00018405914,-0.00021813437,-0.0017892612,0.12191299
Nrp1,3.5956502e-05,0.00018173456,0.00021769106,0.00035227643,0.6179551
Nav2,2.5510788e-05,0.00019085407,0.00021636486,0.00022941816,0.9431025
Zbtb4,-4.258752e-05,-0.00017306209,-0.0002156496,-0.0006891982,0.31289917
Kcnq3,1.9587576e-05,0.0001951456,0.00021473318,0.00052712124,0.40736955
Ccnd2,-3.916025e-05,-0.0001746118,-0.00021377206,-0.00031541623,0.6777458
Dpf3,2.2649765e-05,0.00019103289,0.00021368265,0.00026975755,0.7921284
Ptch1,-3.0897558e-05,-0.00018273294,-0.0002136305,-0.00069332175,0.30812597
Zfp423,-2.5101006e-05,-0.00018829107,-0.00021339208,-0.0010029019,0.21277452
Epha6,-3.1147152e-05,-0.00018176436,-0.00021291152,-0.0012790777,0.16645695
Palm2,2.82228e-05,0.00018459558,0.00021281838,0.0002543309,0.8367774
Zfp740,-4.044175e-05,-0.00017222762,-0.00021266937,-0.00042236462,0.50352067
Myl1,3.7893653e-05,0.00017306209,0.00021095574,0.00069879415,0.3018853
Col8a1,-2.0746142e-05,-0.00018921494,-0.00020996109,-0.00094008737,0.223342
Cebpg,-4.8577785e-05,-0.00016096234,-0.00020954013,-0.0005863934,0.35733703
1700007G11Rik,-2.8260052e-05,-0.0001808703,-0.00020913035,-0.0022268135,0.09391452
Hdac9,1.899898e-05,0.00019007921,0.00020907819,0.00032286256,0.64757633
Tpm1,2.002716e-05,0.00018888712,0.00020891428,0.00020978485,0.9958501
Arhgef28,-3.3654273e-05,-0.00017410517,-0.00020775944,-0.00066719565,0.31139198
Ddit3,-2.5570393e-05,-0.00018212199,-0.00020769238,-0.00035340604,0.5876876
