gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Rbm20,-6.0498714e-06,-7.665157e-05,-8.2701445e-05,-8.154908e-05,1.0141308
Gm44973,-9.216368e-06,-6.762147e-05,-7.683784e-05,-0.0003713,0.20694263
Erbb4,-6.1541796e-06,-7.0512295e-05,-7.6666474e-05,-7.935168e-05,0.96616054
Myl9,-8.612871e-06,-6.771088e-05,-7.632375e-05,-9.426616e-05,0.8096621
Gm3604,-5.2303076e-06,-7.0273876e-05,-7.5504184e-05,-0.0002582438,0.2923755
Zfp94,-1.19283795e-05,-5.7697296e-05,-6.9625676e-05,-0.0002953146,0.23576772
Zfp523,-1.2636185e-05,-5.5283308e-05,-6.791949e-05,-0.0001601781,0.42402476
Nnat,-1.3872981e-05,-5.2526593e-05,-6.6399574e-05,-0.00020687349,0.32096696
Prdm11,-1.09523535e-05,-5.477667e-05,-6.572902e-05,-0.000117219606,0.5607339
Zfp977,-7.659197e-06,-5.7950616e-05,-6.560981e-05,-0.0002450504,0.26773998
Zfp937,-1.16974115e-05,-5.3696334e-05,-6.5393746e-05,-0.00036140223,0.1809444
Zfp59,-9.343028e-06,-5.558133e-05,-6.492436e-05,-0.00025450316,0.25510228
Ryr2,-8.821487e-06,-5.543232e-05,-6.425381e-05,-6.328188e-05,1.0153586
Zfp934,-8.314848e-06,-5.5760145e-05,-6.407499e-05,-0.00021594774,0.29671517
Hmg20b,-1.4543533e-05,-4.9322844e-05,-6.386638e-05,-0.00012337827,0.5176468
Preb,-9.715557e-06,-5.0663948e-05,-6.0379505e-05,-0.00016226535,0.37210342
Esrrg,-5.4091215e-06,-5.453825e-05,-5.994737e-05,-7.936542e-05,0.75533354
Cyp26b1,-5.5618584e-06,-5.417317e-05,-5.973503e-05,-0.0004244171,0.14074594
Nr2e1,-9.103678e-06,-4.967302e-05,-5.87767e-05,-0.0015271273,0.038488306
Wnt6,-1.0361895e-05,-4.8184767e-05,-5.8546662e-05,-0.0010958585,0.053425282
Ndst4,-5.878508e-06,-5.2317977e-05,-5.8196485e-05,-0.00026590467,0.21886212
Pgm5,-2.95043e-06,-5.507469e-05,-5.802512e-05,-6.834528e-05,0.84899956
Rfx1,-1.3694167e-05,-4.3697655e-05,-5.7391822e-05,-0.00019194055,0.29900825
Cdh13,-6.467104e-06,-5.015731e-05,-5.6624413e-05,-8.9791305e-05,0.6306223
Zmiz2,-9.790063e-06,-4.6387315e-05,-5.6177378e-05,-0.0001425926,0.3939711
Rnf213,-8.948147e-06,-4.6879053e-05,-5.58272e-05,-0.0001634023,0.3416548
Dpf3,-7.897615e-06,-4.762411e-05,-5.5521727e-05,-7.009182e-05,0.7921284
Gm28047,6.0852617e-06,4.9099326e-05,5.5184588e-05,0.00051508937,0.10713585
Tnni1,-5.90086e-06,-4.863739e-05,-5.453825e-05,-5.1185267e-05,1.0655067
Zfp142,-1.1861324e-05,-4.2632222e-05,-5.4493546e-05,-0.00012743784,0.42760873
Gata4,-6.6310167e-06,-4.7773123e-05,-5.440414e-05,-7.804747e-05,0.6970646
D130040H23Rik,-7.3462725e-06,-4.6223402e-05,-5.3569674e-05,-0.00012317176,0.4349184
Thap3,-9.030104e-06,-4.3958426e-05,-5.298853e-05,-8.347545e-05,0.6347797
Itga4,-8.806586e-06,-4.336238e-05,-5.2168965e-05,-0.0003438981,0.1516988
Zfp420,-1.0669231e-05,-4.1246414e-05,-5.1915646e-05,-0.00019465688,0.26670328
Myocd,-5.9604645e-06,-4.5776367e-05,-5.173683e-05,-6.884461e-05,0.75150144
Prdm8,-9.84408e-06,-4.179217e-05,-5.163625e-05,-0.0010284691,0.050206803
Rela,-1.0356307e-05,-4.094839e-05,-5.1304698e-05,-0.00013716199,0.37404448
Zfp458,-6.9886446e-06,-4.4196844e-05,-5.118549e-05,-0.00019711515,0.25967294
Mbd2,7.0929527e-06,4.3928623e-05,5.1021576e-05,9.117407e-05,0.5596061
Zfp950,-8.314848e-06,-4.2378902e-05,-5.069375e-05,-6.9228874e-05,0.73226297
Lhx9,-6.6794455e-06,-4.3261796e-05,-4.994124e-05,-0.0005721509,0.08728673
Igfbp5,-7.0035458e-06,-4.2885542e-05,-4.9889088e-05,-8.2899045e-05,0.6018052
Sgcd,-3.695488e-06,-4.5835972e-05,-4.953146e-05,-0.00010184091,0.48636103
Pde4b,-3.6358833e-06,-4.553795e-05,-4.9173832e-05,-6.504004e-05,0.75605464
Zfp128,-6.9513917e-06,-4.220009e-05,-4.915148e-05,-0.00017153649,0.28653648
Atoh8,-8.814037e-06,-4.030019e-05,-4.9114227e-05,-0.00029913193,0.16418907
Zfp112,-7.301569e-06,-4.1753054e-05,-4.9054623e-05,-0.0001452566,0.33771
Slc8a1,-5.543232e-06,-4.3451786e-05,-4.8995018e-05,-4.560899e-05,1.0742402
Zkscan7,-6.482005e-06,-4.2408705e-05,-4.889071e-05,-0.00016916837,0.2890061
Zbtb7a,-9.149313e-06,-3.962964e-05,-4.877895e-05,-0.00013544624,0.36013505
Nr2f2,-1.0192394e-05,-3.8340688e-05,-4.8533082e-05,-0.00014412572,0.3367412
E2f2,-8.068979e-06,-4.014373e-05,-4.8212707e-05,-0.00029778166,0.16190612
Zfhx2,-1.180172e-05,-3.6366284e-05,-4.8168004e-05,-0.00014188678,0.3394819
Rgs6,-6.1690807e-06,-4.1991472e-05,-4.8160553e-05,-6.503652e-05,0.7405154
Moxd1,-8.497387e-06,-3.9387494e-05,-4.788488e-05,-0.0006773509,0.07069425
Cebpg,-1.08629465e-05,-3.6999583e-05,-4.786253e-05,-0.00013394223,0.35733703
A930011G23Rik,-5.4836273e-06,-4.1633844e-05,-4.711747e-05,-0.000101192076,0.46562403
Cc2d1a,-7.8082085e-06,-3.9219856e-05,-4.7028065e-05,-0.00012780188,0.36797622
Zfpm2,-3.233552e-06,-4.3690205e-05,-4.6923757e-05,-6.891824e-05,0.68086106
Lama2,-4.9322844e-06,-4.1604042e-05,-4.6536326e-05,-0.00010312765,0.45124966
Gm20422,-3.3080578e-06,-4.3213367e-05,-4.6521425e-05,-0.00012407414,0.37494853
Foxm1,-1.08629465e-05,-3.5628676e-05,-4.6491623e-05,-0.00013386423,0.3473042
Pakap,-4.4703484e-06,-4.196167e-05,-4.643202e-05,-5.1538496e-05,0.900919
Zfp850,-8.694828e-06,-3.7699938e-05,-4.6394765e-05,-0.00016696344,0.27787372
Sorcs1,-5.6549907e-06,-4.066527e-05,-4.632026e-05,-0.00034196794,0.13545194
Zbtb39,-1.0900199e-05,-3.539771e-05,-4.6297908e-05,-0.00023375836,0.19805872
Zbtb6,-9.23872e-06,-3.7021935e-05,-4.6260655e-05,-0.00021276003,0.21743102
Prkg1,-3.2782555e-06,-4.261732e-05,-4.5895576e-05,-8.139476e-05,0.5638639
Uts2b,-5.9548765e-06,-3.992766e-05,-4.5882538e-05,-0.00061970745,0.07403893
Pias3,-7.122755e-06,-3.8579106e-05,-4.570186e-05,-0.00011727387,0.3897019
Fiz1,-1.04904175e-05,-3.4585595e-05,-4.5076013e-05,-0.00014717432,0.30627626
Smoc2,-1.0184944e-05,-3.477931e-05,-4.4964254e-05,-0.00024548933,0.18316165
Zfp1,-6.213784e-06,-3.8459897e-05,-4.467368e-05,-0.00012404026,0.36015457
Gpld1,-3.170222e-06,-4.1410327e-05,-4.458055e-05,-0.00024084828,0.18509795
Cdh20,-3.1664968e-06,-4.1276217e-05,-4.4442713e-05,-9.511665e-05,0.4672442
Khsrp,-4.529953e-06,-3.9815903e-05,-4.4345856e-05,-8.4229345e-05,0.52648926
Deaf1,-8.940697e-06,-3.5375357e-05,-4.4316053e-05,-0.00011671356,0.37969917
Klf13,-6.28829e-06,-3.7789345e-05,-4.4077635e-05,-0.000107752174,0.40906483
Wnt4,-8.381903e-06,-3.5457313e-05,-4.3839216e-05,-0.0009421307,0.04653189
Zkscan2,-7.4356794e-06,-3.618002e-05,-4.36157e-05,-0.00012856728,0.33924407
Zfp362,-7.227063e-06,-3.631413e-05,-4.3541193e-05,-0.00015091265,0.28851908
Pdzrn3,-3.8295984e-06,-3.963709e-05,-4.3466687e-05,-7.45222e-05,0.58327156
Zfp260,7.1823597e-06,3.6239624e-05,4.3421984e-05,8.9554516e-05,0.4848664
Etv1,-6.0349703e-06,-3.7133694e-05,-4.3168664e-05,-8.176521e-05,0.5279587
Gm14412,-6.6570938e-06,-3.6418438e-05,-4.307553e-05,-0.00045054586,0.09560733
Pbx4,-7.607043e-06,-3.530085e-05,-4.2907894e-05,-0.0001687617,0.25425127
Wnt2,-7.547438e-06,-3.5136938e-05,-4.2684376e-05,-0.00016460106,0.25932008
Kcnq5,-2.7418137e-06,-3.9815903e-05,-4.2557716e-05,-5.153256e-05,0.8258412
Upk3b,-6.046146e-06,-3.6485493e-05,-4.253164e-05,-0.00049219764,0.08641161
Gzf1,-6.67572e-06,-3.565848e-05,-4.23342e-05,-0.00015281954,0.27702075
Cap2,-4.5001507e-06,-3.772974e-05,-4.222989e-05,-5.8745656e-05,0.7188597
E4f1,-6.765127e-06,-3.542006e-05,-4.2185187e-05,-0.00012005061,0.35139495
Etv2,-1.9511208e-07,-4.1928142e-05,-4.2123254e-05,-0.0007408139,0.056860678
Foxp2,-4.8726797e-06,-3.71933e-05,-4.2065978e-05,-0.00011505901,0.36560342
Fbn2,-5.4240227e-06,-3.6358833e-05,-4.1782856e-05,-4.127693e-05,1.0122567
Vsnl1,-6.183982e-06,-3.542006e-05,-4.1604042e-05,-0.00011852722,0.35100824
Cpa2,-7.897615e-06,-3.298372e-05,-4.0881336e-05,-0.000171532,0.23833056
Trak2,6.1690807e-06,3.4481287e-05,4.0650368e-05,7.464734e-05,0.54456544
Ptprd,-3.8146973e-06,-3.6776066e-05,-4.0590763e-05,-5.0786875e-05,0.79923713
Osr1,-7.1004033e-06,-3.3199787e-05,-4.030019e-05,-0.00024240311,0.16625267
Eya2,-7.3499978e-06,-3.2763928e-05,-4.0113926e-05,-0.00049668516,0.08076319
Col26a1,-7.376075e-06,-3.272295e-05,-4.0099025e-05,-0.00020371587,0.1968379
Zfp341,-8.34465e-06,-3.156066e-05,-3.990531e-05,-0.00012573042,0.31738776
Oacyl,-4.865229e-06,-3.4876168e-05,-3.9741397e-05,-0.0003490778,0.11384672
Dpyd,-3.9041042e-06,-3.580749e-05,-3.9711595e-05,-0.0001858869,0.21363299
Tmem132c,-5.379319e-06,-3.3974648e-05,-3.9353967e-05,-0.00010840343,0.3630324
Gramd1b,-3.9190054e-06,-3.5345554e-05,-3.926456e-05,-5.9844417e-05,0.6561105
Hmgb2,-7.644296e-06,-3.142655e-05,-3.9070845e-05,-0.00017457163,0.22380972
Hcn1,-4.7162175e-06,-3.4302473e-05,-3.901869e-05,-0.00012606605,0.3095098
Unc45b,-7.033348e-06,-3.1501055e-05,-3.8534403e-05,-5.5657256e-05,0.6923517
Irf9,-7.4356794e-06,-3.094971e-05,-3.838539e-05,-0.00011985158,0.3202743
Zfp777,-5.13345e-06,-3.311038e-05,-3.824383e-05,-0.00013554828,0.28214166
Lmx1b,-5.3998083e-06,-3.2760203e-05,-3.816001e-05,-0.0005316118,0.07178163
Gorab,-6.0126185e-06,-3.20971e-05,-3.810972e-05,-0.00013048747,0.29205644
Zfp825,-6.2286854e-06,-3.182888e-05,-3.8057566e-05,-0.00012779827,0.29779398
Thsd4,-4.798174e-06,-3.325939e-05,-3.8057566e-05,-6.267966e-05,0.6071755
