gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Dkk3,4.220009e-05,0.0003504753,0.0003926754,0.0006088221,0.6449755
Rel,-5.4880977e-05,-0.00029718876,-0.00035206974,-0.0008061689,0.43671948
Hmg20a,-3.9815903e-05,-0.00026634336,-0.00030615926,-0.0003844891,0.7962754
Zfp970,-3.4108758e-05,-0.0002669394,-0.00030104816,-0.0012324736,0.24426326
Zfp661,-3.6887825e-05,-0.00024849921,-0.00028538704,-0.0016341452,0.17463985
Zfp418,-4.7195703e-05,-0.00023107976,-0.00027827546,-0.0028856986,0.09643252
Gm14306,-3.2078475e-05,-0.00024321675,-0.00027529523,-0.0014890566,0.18487884
Zfp493,-5.5745244e-05,-0.00021902472,-0.00027476996,-0.0021386398,0.12847874
Cdip1,-2.8669834e-05,-0.00024312735,-0.00027179718,-0.00033075822,0.8217396
Arntl2,-2.6352704e-05,-0.0002399981,-0.0002663508,-0.0006971135,0.38207656
Fstl4,2.1487474e-05,0.00022819638,0.00024968386,0.00036372695,0.6864595
Dmrta1,-3.837794e-05,-0.00020927563,-0.00024765357,-0.0058773058,0.04213716
Zfp987,-2.6141293e-05,-0.00022003427,-0.00024617556,-0.0048294985,0.050973218
Zfp27,-3.6641955e-05,-0.0002078116,-0.00024445355,-0.00079632713,0.3069762
Zfp322a,-4.4584274e-05,-0.00019681454,-0.00024139881,-0.00047793877,0.505083
Prox1,-2.4795532e-05,-0.00021606684,-0.00024086237,-0.0003301924,0.7294606
Lrrk2,-2.3037195e-05,-0.0002169013,-0.0002399385,-0.0006771548,0.35433322
Zscan26,-4.7445297e-05,-0.00019146502,-0.00023891032,-0.00060363836,0.39578375
Plekha4,-2.873689e-05,-0.00021010637,-0.00023884326,-0.0013522907,0.17662114
Zfp438,-2.259016e-05,-0.00021463633,-0.00023722649,-0.00048511758,0.48900813
E2f2,-3.6388636e-05,-0.00019227713,-0.00022866577,-0.0014123346,0.16190612
Emilin2,1.7404556e-05,0.00020933151,0.00022673607,0.00034897885,0.6497128
Zmiz2,-3.6478043e-05,-0.00018571317,-0.00022219121,-0.00056397833,0.3939711
Zbtb14,-4.2065978e-05,-0.00017496198,-0.00021702796,-0.0014920725,0.14545393
Gm5141,-3.1098723e-05,-0.00018587708,-0.00021697581,-0.0006241245,0.3476482
Zhx1,-2.8267503e-05,-0.00018849969,-0.00021676719,-0.00045381064,0.4776599
Zfp944,-3.2812357e-05,-0.00018368661,-0.00021649897,-0.00058629905,0.36926365
Zfp426,-4.169345e-05,-0.00017227232,-0.00021396577,-0.00047781985,0.4477958
Oacyl,-2.3478642e-05,-0.00019022822,-0.00021370687,-0.001877144,0.11384672
Zfp354a,-3.3169985e-05,-0.00018052757,-0.00021369755,-0.0010011378,0.21345457
