gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Zfp683,4.1216612e-05,0.0002478864,0.00028910302,0.006972475,0.04146337
Dkk3,-3.8668513e-05,-0.00024676323,-0.00028543174,-0.00044254656,0.6449755
Zfp637,4.325807e-05,0.00021529198,0.00025855005,0.0015919848,0.16240726
Etv2,1.6251579e-06,0.00025527924,0.0002569044,0.0045181303,0.056860678
Zfp934,3.1478703e-05,0.00022314489,0.0002546236,0.0008581412,0.29671517
Cd5,3.2467768e-05,0.00021170452,0.0002441723,0.0050633578,0.048223294
Scube1,-4.5344234e-05,-0.00019466877,-0.000240013,-0.0005098186,0.4707811
Hoxb7,2.8282404e-05,0.00020887889,0.0002371613,0.005793085,0.040938586
Zfp987,3.3235177e-05,0.0002024956,0.00023573078,0.0046245917,0.050973218
Cxcr6,3.8847327e-05,0.00018975139,0.00022859871,0.0046757674,0.048889995
Cyp26b1,2.027303e-05,0.00020176172,0.00022203475,0.0015775559,0.14074594
Mest,-4.6640635e-05,-0.0001745224,-0.00022116303,-0.0004000856,0.55278915
Myh6,-4.607439e-05,-0.00017482042,-0.00022089481,-0.00019774956,1.1170431
Vmn2r65,2.6430935e-05,0.00019388646,0.0002203174,0.013331872,0.016525514
Dnah8,-4.555285e-05,-0.00017213821,-0.00021769106,-0.0004293378,0.507039
Zbtb8a,2.6196241e-05,0.0001912862,0.00021748245,0.0007810092,0.27846327
Tmem163,-2.8163195e-05,-0.00018751621,-0.0002156794,-0.0003402387,0.633906
Lcn3,2.5431858e-05,0.00018646382,0.00021189568,0.011450672,0.018504987
Gm6086,2.6881695e-05,0.00018471666,0.00021159835,0.0068764226,0.030771475
Kcnh7,-2.6166439e-05,-0.00018513203,-0.00021129847,-0.00026250203,0.8049402
Cma1,3.127195e-05,0.00017974526,0.0002110172,0.008214558,0.0256881
Pf4,3.3494085e-05,0.00016906671,0.0002025608,0.012028684,0.016839713
Nfkb2,3.799796e-05,0.00016392767,0.00020192564,0.0010405891,0.19404925
Tfap2d,2.2849068e-05,0.00017866865,0.00020151772,0.0028587808,0.070490696
4930455D15Rik,3.0951574e-05,0.00016934425,0.00020029582,0.0020794952,0.09631934
Zfp457,1.5381724e-05,0.00018207729,0.00019745901,0.0009031153,0.21864198
Gm14443,2.770871e-05,0.0001667738,0.0001944825,0.0008268801,0.23520027
Gm14410,1.5892088e-05,0.000177145,0.00019303709,0.0005687877,0.3393833
Zfp628,1.5363097e-05,0.00017760694,0.00019297004,0.0008083492,0.23872101
Abcc9,-3.1143427e-05,-0.00015994906,-0.00019109249,-0.00030787944,0.620673
Gpld1,1.5158206e-05,0.00017511845,0.00019027665,0.0010279776,0.18509795
Zfp687,1.692772e-05,0.00017130002,0.00018822774,0.00060898135,0.3090861
Zfp111,3.2313168e-05,0.00015535206,0.00018766522,0.0011858273,0.15825668
Mx1,3.314158e-05,0.00015073828,0.00018387986,0.008254428,0.02227641
Tcl1b1,1.0833202e-05,0.0001699198,0.000180753,0.013999114,0.012911647
Nfrkb,2.7626753e-05,0.00015240908,0.00018003583,0.00035766116,0.5033697
Rslcan18,3.090501e-05,0.00014825165,0.00017915666,0.0013117641,0.13657679
Dsp,-1.5169382e-05,-0.00016391277,-0.00017908216,-0.00019194405,0.93299127
Akap6,1.770258e-05,0.0001604855,0.00017818809,0.00040995222,0.43465567
1700001K19Rik,1.9583851e-05,0.00015811995,0.0001777038,0.002430884,0.073102444
Myl7,-3.4183264e-05,-0.0001424849,-0.00017666817,-0.00024241865,0.7287729
Tlr11,1.938967e-05,0.00015607104,0.00017546071,0.014344838,0.012231527
Esr2,1.8879771e-05,0.00015577674,0.00017465651,0.0014071622,0.12411958
Zfp512b,3.8072467e-05,0.00013477728,0.00017284974,0.0006013086,0.2874559
Zfp989,2.5392743e-05,0.00014680903,0.00017220178,0.011797455,0.014596419
Zbtb7b,3.0875206e-05,0.0001407899,0.0001716651,0.0014019326,0.12244881
Gm14409,1.5704427e-05,0.00015262887,0.0001683333,0.0067356387,0.024991337
Maff,2.952665e-05,0.00013829023,0.00016781688,0.0013906168,0.120677926
Zscan25,1.7099082e-05,0.00015039742,0.0001674965,0.00083469826,0.20066702
Prss16,2.4862355e-05,0.00014114194,0.00016600429,0.0115861865,0.014327677
B930025P03Rik,2.0030886e-05,0.00014581066,0.00016584154,0.010957149,0.015135366
Dmrta1,2.7446076e-05,0.00013724342,0.0001646895,0.003908405,0.04213716
Aqp1,2.435781e-05,0.00014022738,0.00016458519,0.0048624934,0.033847798
Gm11375,2.6389956e-05,0.00013747066,0.00016386062,0.0024123138,0.067926645
Zbtb24,3.1523407e-05,0.0001321584,0.0001636818,0.00066032115,0.24788201
Rbak,2.618134e-05,0.00013741851,0.00016359985,0.0008251957,0.19825572
Sntb1,1.4841557e-05,0.00014872849,0.00016357005,0.0006392022,0.2558971
Zbtb32,2.5770627e-05,0.00013764575,0.00016341638,0.005834044,0.028010722
Gm14418,2.1386892e-05,0.0001417771,0.00016316399,0.0015464928,0.10550572
Hsf4,2.924027e-05,0.00013353024,0.0001627705,0.010049562,0.016196676
Lipf,2.1256506e-05,0.00014065765,0.00016191415,0.0033298696,0.048624672
Nckap5,1.3139099e-05,0.00014875829,0.00016189739,0.0010973702,0.14753206
Ccdc136,-3.5494566e-05,-0.00012618303,-0.0001616776,-0.0003096571,0.52211803
Zfp189,2.5361776e-05,0.00013533235,0.00016069412,0.0005603519,0.2867735
Homez,2.193451e-05,0.00013630092,0.00015823543,0.0005811972,0.27225763
Mier3,3.0189753e-05,0.00012803078,0.00015822053,0.00037627897,0.42048723
Uncx,2.4862587e-05,0.00013305712,0.00015791971,0.007057678,0.02237549
Efnb3,2.6404858e-05,0.00012941658,0.00015582144,0.00039745364,0.39204925
Ccnd2,-2.8759241e-05,-0.00012689829,-0.00015565753,-0.00022966944,0.6777458
Zfp445,2.4348497e-05,0.00013116002,0.00015550852,0.0003035248,0.5123419
Zbtb8b,2.6684254e-05,0.00012852624,0.0001552105,0.0017194591,0.09026695
Dnase1l3,2.839556e-05,0.00012662075,0.00015501631,0.007351216,0.021087065
Gja4,2.387911e-05,0.00013110321,0.00015498232,0.0067079645,0.023104124
Gtf3a,2.8550625e-05,0.00012616068,0.0001547113,0.0006409242,0.24138772
Dmrta2,1.353398e-05,0.0001410488,0.00015458278,0.0029654657,0.05212756
Zbtb18,3.2037497e-05,0.00012250245,0.00015453994,0.00063555024,0.24315917
Zbtb37,2.5480986e-05,0.00012852252,0.0001540035,0.00033703516,0.4569359
Tox3,2.0563602e-05,0.00013321638,0.00015377998,0.0005357329,0.28704593
Pou6f1,2.142787e-05,0.00013176352,0.00015319139,0.0008866732,0.17277086
Mef2d,-2.259016e-05,-0.00013053417,-0.00015312433,-0.00016891072,0.9065399
Lamp3,2.1023676e-05,0.0001319293,0.00015295297,0.0056735384,0.026958907
Fosl1,1.7564744e-05,0.00013428926,0.00015185401,0.0022383807,0.06784091
E430018J23Rik,2.9791147e-05,0.000121988356,0.0001517795,0.0030191585,0.05027202
Rxrb,3.2648444e-05,0.00011873245,0.0001513809,0.0004502582,0.336209
