gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Myh7,-0.0001322627,-0.00053697824,-0.00066924095,-0.0007612637,0.8791183
Myl9,-7.197261e-05,-0.0005328655,-0.00060483813,-0.00074702525,0.8096621
Asb2,-8.305907e-05,-0.0004813671,-0.0005644262,-0.0006620872,0.85249513
P3h2,-5.6259334e-05,-0.00047183037,-0.0005280897,-0.0012085256,0.43697014
Ankrd1,-9.277463e-05,-0.00043421984,-0.00052699447,-0.0008177409,0.6444515
Myom1,-8.791685e-05,-0.0004107356,-0.00049865246,-0.00050701376,0.9835086
Mpped2,-0.00010678172,-0.0003837049,-0.0004904866,-0.00071399857,0.6869573
Actn2,-5.081296e-05,-0.00043523312,-0.00048604608,-0.00048898184,0.9939961
Syne1,-9.584427e-05,-0.00036787987,-0.00046372414,-0.001029377,0.45049
Myocd,-5.8740377e-05,-0.0003964901,-0.00045523047,-0.0006057612,0.75150144
Cacnb2,-6.3329935e-05,-0.00039035082,-0.00045368075,-0.00050259184,0.9026822
Sema3c,-0.00012382865,-0.00032386184,-0.0004476905,-0.00063857745,0.7010746
Cacna1c,-5.814433e-05,-0.00038439035,-0.00044253469,-0.0004064949,1.0886598
Smyd1,-7.995963e-05,-0.0003399551,-0.00041991472,-0.00050342194,0.8341207
Ldb3,-5.9187412e-05,-0.00035858154,-0.00041776896,-0.00038613577,1.0819223
3632451O06Rik,-8.994341e-05,-0.0003221035,-0.0004120469,-0.00083538855,0.49323973
Myh6,-0.00010150671,-0.0003068447,-0.00040835142,-0.00036556454,1.1170431
Mitf,-6.479025e-05,-0.00033640862,-0.00040119886,-0.0004756602,0.84345675
Obscn,-8.234382e-05,-0.00031745434,-0.00039979815,-0.00043629916,0.9163394
Pakap,-4.23491e-05,-0.00035369396,-0.00039604306,-0.0004395989,0.900919
Camta2,-5.9604645e-05,-0.00033056736,-0.000390172,-0.00088177645,0.44248396
Mecom,-7.028878e-05,-0.00030952692,-0.0003798157,-0.00091450755,0.41532257
Filip1,-5.5283308e-05,-0.00032430887,-0.00037959218,-0.00046226216,0.821162
Jph2,-3.862381e-05,-0.00033956766,-0.00037819147,-0.00042584835,0.8880894
Nebl,-8.383393e-05,-0.00029230118,-0.0003761351,-0.00037962722,0.9908011
Mylk3,-6.347895e-05,-0.0003091395,-0.00037261844,-0.0005159456,0.72220474
Ltbp1,-3.862381e-05,-0.000333488,-0.0003721118,-0.00047626864,0.7813064
Myl7,-7.626414e-05,-0.00029155612,-0.00036782026,-0.0005047117,0.7287729
Ccnd2,-6.41346e-05,-0.0003030002,-0.0003671348,-0.00054169976,0.6777458
Ttn,-6.431341e-05,-0.00029313564,-0.00035744905,-0.00028412836,1.2580547
Trim55,-5.3554773e-05,-0.00030356646,-0.00035712123,-0.00034192076,1.044456
Tpm1,-4.6551228e-05,-0.0003001988,-0.00034675002,-0.00034819497,0.9958501
Myo18b,-6.312132e-05,-0.0002835691,-0.00034669042,-0.0003975735,0.87201583
