gene,t_minus_0.25,t_center,t_plus_0.25,t_plus_0.5,t_pred
9130019O22Rik,0.16783963,0.08587357,0.20476158,0.046535287,0.1412445
Acsm4,0.09451363,0.0,0.273763,0.0,0.12628236
Alox12e,0.0,0.0,0.12096922,0.0,0.038897388
Atp8b1,0.26778296,0.13735908,0.24471524,0.14429913,0.21541692
Cacnb2,0.27969202,0.1349271,0.21191168,0.1961383,0.23871057
Cadps2,0.53216034,0.21828681,0.28800866,0.25606757,0.38314772
Cd200r1,0.17186464,0.033070263,0.035218902,0.010988986,0.076540396
Cdkn1c,0.75749034,0.19785796,0.39609587,0.26262847,0.4915126
Ckm,1.4503715,0.6992144,1.0011542,0.7301329,1.1625326
Crxos,0.0,0.0,0.0,0.21537904,0.06904818
Cryga,0.020647408,0.014155929,0.0,0.16870914,0.06395833
Ctcfl,0.35710815,0.11392709,0.20804489,0.45564803,0.33181778
D930020B18Rik,0.13322338,0.020492706,0.028252264,0.010988923,0.055875126
Dbp,0.3748928,0.10075377,0.17263255,0.33023903,0.30795202
Dmbt1,0.001119877,0.0042304946,0.0016412367,0.027138367,0.010901491
Dsg1a,0.015423405,0.0,0.010555955,0.021977952,0.0168127
Ebf2,0.27564865,0.11056543,0.16045378,0.17234972,0.20454185
Etv5,0.36930302,0.13139634,0.15688594,0.20029126,0.23553346
Fhl2,0.41948393,0.1737776,0.27910945,0.19893691,0.27785423
Fosb,0.52175385,0.06006329,0.029845133,0.1567831,0.22223048
Gabrp,0.1182561,0.00113094,0.021873394,0.035240456,0.05365766
Gm34838,0.0,0.0,0.07660836,0.0,0.025390083
Hdac9,1.4353659,0.6853209,0.90541667,0.9312424,1.0696427
Hmx1,0.10501842,0.014069056,0.0111525245,0.0,0.036488283
Hspb7,0.9018286,0.16705142,0.4415273,0.26184466,0.5048539
Igf1,0.8340973,0.216733,0.45544267,0.30974606,0.54475313
Itga9,0.697006,0.36505577,0.5884767,0.46047488,0.636613
Itgb2,0.16065541,0.02147979,0.029207662,0.07174696,0.09317179
Jund,0.72580355,0.19635534,0.4729357,0.3162765,0.5252476
Kcnj3,0.773692,0.35304773,0.5954556,0.42071277,0.6028291
Klf7,1.4583358,0.5908233,0.806526,0.5284367,0.91259915
Ldha,1.1509241,0.29262245,0.69808424,0.42400083,0.80167156
Lipf,0.1192408,0.0,0.15937679,0.0,0.09483867
