gene,t_minus_0.25,t_center,t_plus_0.25,t_plus_0.5,t_pred
Mptx1,0.006636471,0.0,0.0,0.001550979,0.0026049751
Shc4,0.042746834,0.013079977,0.027104963,0.028656028,0.034783468
Cebpb,0.034734555,0.014589598,0.031828713,0.027365148,0.03045241
Dbp,0.09952154,0.04132117,0.046227038,0.08191844,0.08103281
Plvap,0.011501158,0.006732517,0.023814637,0.0011482614,0.011739652
Kcnab1,0.01657327,0.007913184,0.008522597,0.018489491,0.015422914
Ttr,0.009602589,0.004014847,0.0053410227,0.0060950443,0.007273358
Nr2f1,0.009509454,0.00576168,0.006766734,0.014379681,0.0103849545
Stmn2,0.01683984,0.007969351,0.01599953,0.008756204,0.0143486895
Obox1,0.026386004,0.0002899802,0.039553724,0.012940177,0.028028188
Nalf1,0.039620794,0.022715172,0.026973266,0.03868359,0.038187906
Prss32,0.007777613,0.0010458945,0.003510831,0.005535181,0.005145785
Pdzrn4,0.09635972,0.06675115,0.12159001,0.0994822,0.111855865
Lipm,0.0020037973,0.0008469084,0.0021932,0.0035992968,0.0025820062
Slc6a15,0.0033152124,0.0009109404,0.0018654065,0.0029453244,0.0027484826
Lce1g,0.0010201816,0.0,0.0011083877,0.0008015055,0.0009888991
Rxrb,0.14530294,0.07392664,0.11787431,0.1516897,0.13923775
Zfp748,0.08165745,0.01250914,0.04265192,0.1007371,0.074579544
Dnah10,0.011237171,0.0067288233,0.009796155,0.012284433,0.011796258
Glra1,0.0026359768,0.0013198251,0.0030238002,0.0029178867,0.0027047298
Slc18a1,0.054050278,0.017975232,0.041462474,0.044221878,0.05108641
Egr2,0.0040306137,0.0010409227,0.0019575548,0.0002768834,0.0021362796
Serpinb7,0.0008698269,0.0002246952,0.0018794115,0.0016952361,0.001544505
Zfp770,0.07298594,0.023164434,0.052135374,0.052638758,0.056574717
Wfdc18,0.001018924,0.00055984844,0.0007389135,0.0008959752,0.00089218485
Dmrt2,0.013818102,0.0063156867,0.007335265,0.01607939,0.013430286
BC051019,0.019819979,0.009027598,0.010808423,0.010852442,0.015202971
Grhl2,0.0083747795,0.006070694,0.008032202,0.017621983,0.010225858
Rasgrp3,0.06122452,0.030624408,0.046771176,0.052227914,0.04936764
Kcnh1,0.03376046,0.016391521,0.029404225,0.02755456,0.032402597
Mycl,0.03291682,0.007197839,0.0042297165,0.031614136,0.024569964
Ppargc1a,0.2643594,0.1329285,0.15987694,0.19432287,0.2130839
Lyl1,0.0031997592,0.0011146876,0.0018924989,0.0055472758,0.0038322543
Zbtb3,0.02080887,0.0014990803,0.0051978976,2.7373528e-05,0.008008639
Lce1l,0.00091024156,0.0,0.0007414647,0.00020160942,0.0005977713
Galnt13,0.016944343,0.011245504,0.015400042,0.0183001,0.017806951
Odad2,0.0070471913,0.0026963365,0.005607245,0.009873648,0.007922985
Kcnj6,0.01610446,0.007547803,0.0068202415,0.015037134,0.013522596
Corin,0.14400016,0.08492877,0.104292996,0.15136482,0.14462847
Armh4,0.06776493,0.03730335,0.049354,0.057015743,0.059577603
Anxa13,0.0052511226,0.0006738837,0.0004691677,0.007183803,0.004437557
Lmx1a,0.010966457,0.0042613507,0.011597039,0.0033618656,0.009259624
F13a1,0.0145371575,0.00710851,0.013930634,0.01833587,0.015300376
Ebf1,0.07626628,0.047782436,0.07701049,0.076551385,0.08335889
Zfp964,0.08125856,0.04401702,0.043382175,0.12390027,0.07539333
Fgf10,0.023709329,0.0123455115,0.015347199,0.01913845,0.020835644
Ak9,0.0059875436,0.0023172037,0.0019322076,0.014448041,0.008051644
Myo1h,0.009415786,0.0046454947,0.0045836023,0.01064339,0.007427961
Lce1a2,0.0022753454,1.3311201e-05,0.0009885967,0.0012627058,0.001552071
Hepacam2,0.0025805312,0.000699812,0.0015363611,0.0028275093,0.002473343
Il2ra,0.000380895,0.00015345565,0.00072203716,0.0,0.000400935
Fga,0.012879921,0.0049542394,0.0067036515,0.011833972,0.010837099
Fcrl2,0.0014533226,0.00011344581,0.0011285457,0.002123688,0.0014810502
Onecut1,0.005957111,0.0017298977,0.00246211,0.0046494883,0.004782818
Krt79,0.0016682273,0.00045253884,0.0013961743,0.00011538054,0.0011174162
Trim66,0.0015380435,0.0001372116,0.00045509642,0.0009274661,0.0010337048
Zfp268,0.027733544,0.012203882,0.012900099,0.022204177,0.020723622
Gm2381,0.0003035392,0.00012084696,0.000780521,0.0,0.00035416518
Dmbt1,0.0052736965,0.0022055157,0.0022897327,0.0030694315,0.0035122507
Lox,0.036147434,0.008990679,0.035242494,0.045326617,0.03918632
Rac2,0.0050597233,0.00223057,0.0023772155,0.007926392,0.005003427
Etv4,0.018866377,0.0051409747,0.013018655,0.019759275,0.01592695
Apoe,0.02265329,0.011573434,0.018171312,0.02235404,0.022999562
Krt1,0.007897407,0.0011044932,0.0038076246,0.0017604512,0.004899977
Ush2a,0.0068806726,0.0026556782,0.0049179397,0.007501746,0.0058723176
Pax9,0.0077183438,0.0041998834,0.012042655,0.011355561,0.009863952
Nell2,0.025003167,0.009940344,0.020139584,0.020602627,0.023782326
Pth,0.00027043096,0.0,0.0,0.0,8.641847e-05
Scrt1,0.004536562,0.00095410045,0.0061042206,0.0008241525,0.0036979262
Cuzd1,0.017074637,0.0052429507,0.023126198,1.5014598e-05,0.013856393
Prox2,0.01900173,0.007895775,0.011908568,0.021100571,0.016931267
Chgb,0.003306522,0.0010525022,0.000973457,0.0016239464,0.0018703239
Zbtb12,0.102011725,0.025919214,0.06269602,0.055958327,0.07663358
Slc17a6,0.006540921,0.0031950625,0.0030289595,0.008113823,0.005500327
Cntnap4,0.012973686,0.0059097577,0.013761336,0.008421861,0.012187702
Myf6,0.31774035,0.09858374,0.1772453,0.10741149,0.20705658
Hnf4g,0.005365745,0.0015731081,0.0059525743,0.0025942028,0.004619908
Etos1,0.007941416,0.0,0.0,0.0020178773,0.0036361273
Arhgdib,0.02138816,0.009918198,0.014451682,0.01988711,0.020279795
Tafa4,0.0147391055,0.003949011,0.011978387,0.0035245672,0.00965543
Gm94,0.0022066531,7.419325e-05,0.003234531,0.001967529,0.0026300203
Mycn,0.016792055,0.0052405726,0.0048871,0.008645007,0.009768708
Msx1,0.0010138093,0.00013298349,0.0003999576,0.001483472,0.0009561719
Bcl6,0.12967496,0.07035978,0.103413835,0.08888376,0.11803331
Zfp768,0.16470745,0.042631257,0.094981596,0.15302221,0.13375206
Zfp605,0.112004794,0.044647094,0.0765317,0.07861766,0.09554315
2610028H24Rik,0.026557999,0.013828754,0.02374219,0.025914196,0.02734354
Zfp689,0.08392921,0.0430476,0.057868037,0.071621485,0.07606326
Cdx1,0.0024153434,0.0007939908,0.0017513393,0.00088533026,0.0017331541
Zfp511,0.08218381,0.019932702,0.07364678,0.039006867,0.07113357
Kmo,0.0028486934,0.00092278485,0.0017412767,0.0041881124,0.002817947
Lrrc23,0.003002379,0.0010175884,0.0015532745,0.005632543,0.0034883975
Insm1,0.0007746906,3.8200997e-05,0.0018905138,3.0029561e-05,0.0009853228
Col20a1,0.050180282,0.025727741,0.028736176,0.044680227,0.044133212
A930001A20Rik,0.0009955132,0.0003021126,0.0,0.0011760695,0.0006864911
Gap43,0.024255712,0.012412561,0.017869975,0.023451243,0.023866223
Myo3a,0.0017252854,0.00029994856,0.0008741221,0.0023725173,0.0016203952
Hbb-bh1,6.016419e-05,0.0,4.1588533e-05,0.0,3.7216047e-05
Thyn1,0.09397789,0.039686203,0.07925926,0.072095685,0.07504396
Zfp280b,0.09709299,0.03335239,0.048251987,0.049307667,0.06782333
Crct1,0.0012449642,0.00048504295,0.0018251984,0.0010758383,0.0012556644
Cnbp,0.3770908,0.1535689,0.21335062,0.18742582,0.27415293
Gm14095,0.0042729555,0.0,0.00051664177,0.009533678,0.004377939
Hydin,0.018281795,0.004963865,0.010712699,0.02094527,0.0155709665
Spag17,0.0072784014,0.0019416764,0.0029933096,0.013713054,0.008102915
Ctse,0.004026316,0.0020972271,0.005351043,0.0075637535,0.005950721
Ldha,0.31038034,0.0927747,0.15521833,0.12521426,0.21150756
Mep1b,0.0057586734,0.00078795984,0.0032825426,0.0001979096,0.0031918536
Dnah9,0.012132919,0.0019374524,0.0042048437,0.0142155085,0.010339094
Zfp558,0.076407656,0.024741648,0.0499304,0.10692303,0.084969126
Mybl1,0.005837767,0.0041705924,0.007854132,0.0091440575,0.007025506
AU041133,0.20264627,0.09956465,0.12423847,0.16998953,0.17774944
Alox5,0.0028131453,0.0011965942,0.004881614,0.0024385287,0.003361657
Tspear,0.014630754,0.0070030913,0.009879566,0.014061336,0.01209074
Phb1,0.21578325,0.104455836,0.13974638,0.11965763,0.1616242
Hoxa1,0.00496493,9.409998e-05,0.001316446,5.9675524e-05,0.0021037257
L3mbtl1,0.010203028,0.0021193712,0.013241686,0.0071235197,0.010513718
Sprr3,0.0003067959,0.0,0.00020111522,0.00036938468,0.0002702867
Pou3f1,0.005626118,0.002488967,0.004865104,0.001748481,0.0038494417
Slpi,0.010280593,0.0033060568,0.012740682,0.009938408,0.010917301
Flg,0.004658181,0.0014774883,0.0063325395,0.004401076,0.0053685936
Cntnap5b,0.017911099,0.007516246,0.011452956,0.021795798,0.016953548
Spdef,0.0117197605,0.007845691,0.003527816,0.021827672,0.013437092
Sp2,0.17046583,0.082068026,0.10901581,0.12495091,0.14057013
Zfp729a,0.087360546,0.030635262,0.067816116,0.07400216,0.072280414
Cidec,0.0067639076,0.0021434121,0.0048231157,0.004339677,0.005044705
Ofcc1,0.038949214,0.015900725,0.02576521,0.036618445,0.032591607
Rorb,0.014897703,0.005438076,0.012231408,0.012727547,0.014096364
Bcan,0.0027719268,0.0005009315,0.0011506124,0.0024259172,0.002250349
Zfp952,0.2543468,0.12737213,0.11874686,0.29682317,0.2223325
Vwc2,0.8112502,0.37586576,0.5659062,0.48879725,0.64016527
Rtkn2,0.076498106,0.035957865,0.04671764,0.056508955,0.061197005
Nudt4,0.1450684,0.06850659,0.09927255,0.08757973,0.1077966
Zfp120,0.18473203,0.09433776,0.10450959,0.14197813,0.15244128
Dbh,0.008105419,0.0009728552,0.0026427745,0.0004635501,0.004035962
Gpnmb,0.0058254334,0.0005162253,0.0034558054,0.0041154423,0.004771592
