names,scores,logfoldchanges,pvals,pvals_adj
ENSMUSG00000047171,392837.0,2.3165627,1.6239520223785427e-298,6.336660791321074e-295
ENSMUSG00000051437,341532.0,3.6022413,1.18206865498722e-243,2.3062159458800664e-240
ENSMUSG00000044186,303906.0,7.0267553,2.264098812151397e-220,2.944837855004917e-217
ENSMUSG00000091624,303937.0,4.7974606,5.787505970014813e-216,5.64571207374945e-213
ENSMUSG00000054054,289050.0,27.50996,4.52784122144847e-213,3.5335272892183856e-210
ENSMUSG00000006311,287123.0,27.452051,5.493507540106196e-206,3.5726110702490634e-203
ENSMUSG00000107598,352491.5,1.9987049,4.957481137572816e-191,2.763441628401304e-188
ENSMUSG00000085354,373527.5,0.9367029,6.341758712445592e-182,3.093192811995337e-179
ENSMUSG00000063549,382893.0,3.2071764,1.164049894097763e-181,5.046802985299412e-179
ENSMUSG00000108127,281196.0,6.2501464,8.388803786858532e-171,3.273311237632199e-168
ENSMUSG00000092275,363237.5,3.9106202,4.484290256775218e-168,1.5907000529033546e-165
ENSMUSG00000075069,337554.0,4.3219166,2.7207468603321584e-167,8.846961874180068e-165
ENSMUSG00000090675,417679.0,1.7183764,5.3515770135790164e-166,1.6062964236142556e-163
ENSMUSG00000078875,299208.0,2.3807583,4.299573939465541e-165,1.1983526794138958e-162
ENSMUSG00000018623,315325.0,4.8597155,7.937787442232235e-162,2.0648831066393457e-159
ENSMUSG00000050241,387226.0,1.2159567,7.575998046082939e-153,1.8475965234884768e-150
ENSMUSG00000004842,397221.0,0.797643,3.9826374244446406e-149,9.141324253048816e-147
ENSMUSG00000075066,297222.0,5.5445194,7.392426094122507e-143,1.6025137010703347e-140
ENSMUSG00000024979,427894.0,1.5731978,1.0094292264868667e-142,2.0730488640798703e-140
ENSMUSG00000021362,314714.5,4.5699263,4.490466511958967e-139,8.760900164831945e-137
ENSMUSG00000050982,329759.0,3.7512004,5.605325015866736e-139,1.0415227719958098e-136
ENSMUSG00000090744,381000.0,2.2975426,1.801094269113587e-134,3.1944862900369166e-132
ENSMUSG00000033122,379826.0,0.7676539,9.106526989131316e-129,1.5449421005039302e-126
ENSMUSG00000084773,379637.0,2.0498507,1.9975328800251437e-120,3.247655540774213e-118
ENSMUSG00000089773,364060.0,2.46301,3.608215640481719e-118,5.631702971663867e-116
ENSMUSG00000085187,316195.0,5.029087,1.1554019452611332e-117,1.7339916886188238e-115
ENSMUSG00000039691,369489.0,3.6952875,4.414475268728181e-116,6.3797342587323556e-114
ENSMUSG00000070990,396705.0,3.1670601,5.367798231061125e-115,7.480410249143039e-113
ENSMUSG00000066372,321977.5,1.4444687,4.769789458275922e-112,6.417833953859534e-110
ENSMUSG00000030173,314537.0,6.2558966,1.938949253744699e-111,2.5219266627039386e-109
ENSMUSG00000106466,283851.0,5.1734776,1.4898491405040156e-109,1.8752875310473126e-107
ENSMUSG00000110110,298504.0,5.565184,3.230261562167918e-109,3.938900192368505e-107
ENSMUSG00000048377,295598.0,1.0179996,7.632951341895801e-108,9.025386707902246e-106
ENSMUSG00000046080,416516.0,2.8422935,1.8012945459172956e-107,2.0672503876968494e-105
ENSMUSG00000009580,397852.0,1.1783853,3.8879566087819743e-107,4.334516196419218e-105
ENSMUSG00000035042,328614.0,-0.6798034,4.5752876032049413e-104,4.9591033965849116e-102
ENSMUSG00000034855,389630.5,1.5616251,1.0316269194075813e-102,1.0879481728455088e-100
ENSMUSG00000079451,339870.0,0.47243538,7.626159118969582e-102,7.830861284794555e-100
ENSMUSG00000043753,419014.5,2.414866,1.0206170209769358e-101,1.0211404143210265e-99
ENSMUSG00000051354,413831.0,1.2212595,1.4927017394239768e-101,1.4561305468080893e-99
ENSMUSG00000078810,433785.0,1.8520428,6.176718155015478e-100,5.878427863626925e-98
ENSMUSG00000085601,417359.0,1.8529433,1.0897923067379796e-99,1.0124689478313325e-97
ENSMUSG00000035861,394310.5,3.276823,3.753399400740252e-95,3.4059917352763866e-93
ENSMUSG00000079594,368137.0,0.76886004,3.381676455375602e-92,2.9989321656535457e-90
ENSMUSG00000107929,307404.0,2.5123732,4.544309503200929e-92,3.9404212625533385e-90
ENSMUSG00000049723,340130.5,1.115687,1.08671849809829e-91,9.218207781694626e-90
ENSMUSG00000035951,345477.0,1.8654498,4.051198862998107e-91,3.3633570134933224e-89
ENSMUSG00000075104,419857.0,1.7194816,7.813528537291823e-91,6.351747573440145e-89
ENSMUSG00000110028,366978.5,1.7094953,1.6991630165145954e-90,1.353088589885704e-88
ENSMUSG00000107180,311312.5,2.102138,5.201523254345018e-90,4.059268747690852e-88
ENSMUSG00000042414,358585.0,1.1724042,5.443076654613102e-89,4.164487275745161e-87
ENSMUSG00000051490,337175.0,2.0305135,8.720519795532182e-88,6.54374389272434e-86
ENSMUSG00000029275,381669.5,1.1373903,1.9323932891879044e-87,1.4226789838511703e-85
ENSMUSG00000053747,388517.0,1.0874847,9.379596489855498e-87,6.777626945077066e-85
ENSMUSG00000058491,287946.0,4.1339827,2.300838832762891e-86,1.6323405682619639e-84
ENSMUSG00000031688,408780.0,1.9073744,7.450985251553811e-84,5.191740080636245e-82
ENSMUSG00000053063,421016.0,1.6051619,3.826078319183539e-83,2.6191855441147664e-81
ENSMUSG00000018620,376532.0,0.39474764,6.886433404887045e-83,4.632907438942974e-81
ENSMUSG00000111399,334702.0,-0.4700056,4.04791812338564e-82,2.6771146639747062e-80
ENSMUSG00000078500,322349.0,1.7555026,1.8354314905400438e-81,1.1936422793478752e-79
ENSMUSG00000063796,410592.5,1.8806229,7.913248606837385e-81,5.06188460063598e-79
ENSMUSG00000058579,303243.5,-1.3441232,1.1690236350675598e-80,7.357306812957449e-79
ENSMUSG00000026560,305863.0,2.904172,1.768325469785723e-79,1.0952390449371256e-77
ENSMUSG00000029272,370517.0,1.6210846,2.330050617455901e-79,1.4206027358301447e-77
ENSMUSG00000030162,397117.0,1.2218295,2.7557971113844954e-79,1.654326204403431e-77
ENSMUSG00000020673,378754.0,1.7705939,3.9712931913824445e-79,2.3478766716324694e-77
ENSMUSG00000051176,291372.0,4.2155404,7.855807577271975e-77,4.575128532315709e-75
ENSMUSG00000085510,416061.0,3.2558486,8.983321660791791e-77,5.1548413412367015e-75
ENSMUSG00000039783,427463.0,2.4999204,3.858323560777501e-76,2.1819099324860595e-74
ENSMUSG00000084787,371436.0,3.1118844,5.584532671631546e-76,3.1129780692437562e-74
ENSMUSG00000074651,358717.0,3.5172021,6.977123895773658e-76,3.8344700621561715e-74
ENSMUSG00000031621,380172.5,1.0299609,9.08675118804843e-75,4.924514324411802e-73
ENSMUSG00000030149,341099.0,0.6993953,8.127523202385782e-74,4.344328155576619e-72
ENSMUSG00000078796,359077.0,2.8746293,1.2989399944453338e-73,6.849275484223909e-72
ENSMUSG00000030361,293260.0,0.17986673,1.0279525708907995e-72,5.348094575487866e-71
ENSMUSG00000050675,396014.0,2.350258,1.7257097413610681e-72,8.860157119461696e-71
ENSMUSG00000006546,347642.0,2.1922083,2.225593654699374e-72,1.1278268104723322e-70
ENSMUSG00000091381,315513.0,1.4671757,3.172763424374431e-72,1.5871952412703882e-70
ENSMUSG00000068082,383022.5,1.0993483,7.535761803981198e-72,3.722093994827169e-70
ENSMUSG00000050334,453074.0,1.8560773,7.841151295041409e-72,3.824521544156447e-70
ENSMUSG00000062524,295169.0,0.25805545,2.3315982662739446e-71,1.1231970907408558e-69
ENSMUSG00000028176,451767.0,1.4427067,5.209088574324462e-71,2.4787638557334205e-69
ENSMUSG00000040610,413723.0,3.713719,8.961606322591347e-71,4.2130346832230644e-69
ENSMUSG00000022303,345353.0,0.8714414,3.033236199773651e-70,1.4090104347043791e-68
ENSMUSG00000033027,265119.0,5.4918103,5.7813674172062853e-70,2.6539877249339914e-68
ENSMUSG00000014725,389079.0,0.4905849,2.0676865806394943e-69,9.381526787971287e-68
ENSMUSG00000033569,448187.0,1.2043536,8.785435746627299e-69,3.940318423372382e-67
ENSMUSG00000079157,447225.0,1.5636832,3.435284939358759e-68,1.523236571974759e-66
ENSMUSG00000049252,447148.0,1.4660794,3.8286329079635246e-68,1.6785759108846824e-66
ENSMUSG00000045493,324408.5,-0.2293712,4.300482501878709e-68,1.8644980802589693e-66
ENSMUSG00000026874,444211.0,2.3501701,4.748324630434421e-68,2.036039858017045e-66
ENSMUSG00000062991,446448.0,1.31073,1.0291212155263418e-67,4.364816285851941e-66
ENSMUSG00000026787,445947.0,2.04447,1.4009192724206838e-67,5.877835484930654e-66
ENSMUSG00000101447,413266.0,1.7137716,6.840181195494724e-67,2.839402874980895e-65
ENSMUSG00000060924,444297.0,1.3225601,2.1015637266908968e-66,8.631896485839873e-65
ENSMUSG00000028298,345587.0,-0.87186027,3.352844533415245e-66,1.3494285096402112e-64
ENSMUSG00000049280,284856.0,-0.1075552,3.3545506262198997e-66,1.3494285096402112e-64
ENSMUSG00000067610,332068.0,1.0171144,4.737714482980879e-66,1.8863838686317745e-64
ENSMUSG00000029372,433402.0,2.1758509,9.206420380061243e-66,3.628631547777674e-64
ENSMUSG00000026058,443187.0,1.6594813,9.75326557684863e-66,3.805724228086335e-64
ENSMUSG00000029866,442975.0,2.1307847,1.2959794849487517e-65,4.9769343501785766e-64
ENSMUSG00000024992,430729.0,2.3297455,1.300992577442888e-65,4.9769343501785766e-64
ENSMUSG00000052613,442765.0,1.1832106,1.76860178801987e-65,6.700081725100518e-64
ENSMUSG00000066392,442543.0,1.2300113,2.405180732242159e-65,9.0240530934701e-64
ENSMUSG00000035864,442220.0,1.2907897,3.759413750930934e-65,1.3970697577269053e-63
ENSMUSG00000025892,442037.0,1.2778318,4.840843964269254e-65,1.7819785989225122e-63
ENSMUSG00000061080,441709.0,1.1153109,7.611130926629298e-65,2.775573165953974e-63
ENSMUSG00000045569,374196.0,0.24321322,8.150588060496856e-65,2.944777278894327e-63
ENSMUSG00000033726,411211.0,1.5669271,9.608836835373529e-65,3.439787278130964e-63
ENSMUSG00000029697,390884.0,0.41080406,1.0534757950874967e-64,3.736965956755829e-63
ENSMUSG00000030963,303467.0,2.0732694,1.1084971137789674e-64,3.896716881050028e-63
ENSMUSG00000079346,284713.0,3.0648274,1.9572729287422175e-64,6.81899907852869e-63
ENSMUSG00000020151,440375.0,1.9779565,2.1150630636430823e-64,7.303518649854255e-63
ENSMUSG00000004359,386547.0,1.4926646,2.6639409157347718e-64,9.118155660699193e-63
ENSMUSG00000033981,440550.0,1.6340116,3.744331902195915e-64,1.2704680941189965e-62
ENSMUSG00000018654,440176.0,1.8655723,4.7945419779039816e-64,1.612784723946667e-62
ENSMUSG00000022315,350820.0,0.7804195,7.280726838995547e-64,2.4281535150222754e-62
ENSMUSG00000053182,362954.0,0.7155359,1.0366219568589059e-63,3.427880403104619e-62
ENSMUSG00000039578,439610.0,1.1415732,1.3548894897304475e-63,4.442671251200173e-62
ENSMUSG00000039830,394450.0,3.779794,2.7596520866984207e-63,8.973468701914364e-62
ENSMUSG00000045083,438862.0,1.6297084,3.753860543504887e-63,1.2105424661781874e-61
ENSMUSG00000032036,438453.0,1.5785018,6.543112226067115e-63,2.092723270992941e-61
ENSMUSG00000056553,438290.0,1.5125493,8.160047794165232e-63,2.588659064457946e-61
ENSMUSG00000035472,438157.0,2.0991411,9.723728113092016e-63,3.059837669135891e-61
ENSMUSG00000030500,438049.0,1.8239541,1.018023487266289e-62,3.1778621178504484e-61
ENSMUSG00000084796,436158.0,2.1628244,1.5424823005910788e-62,4.776798362624119e-61
ENSMUSG00000021301,437805.0,1.421611,1.566682945237245e-62,4.813540828595062e-61
ENSMUSG00000004110,437744.0,1.3716443,1.704774675299341e-62,5.1968990492328346e-61
ENSMUSG00000056073,437594.0,1.330169,2.095047542413244e-62,6.33711279883448e-61
ENSMUSG00000054976,437361.0,1.7246387,2.5649966708565764e-62,7.698936161294124e-61
