,0
1700112E06Rik,0.18877289
Pax4,0.009987871
Lnx1,0.16839361
Galnt14,0.34821066
Elf2,0.67921764
Zfp983,0.44749904
Gm15446,0.64627534
Zfp260,0.9047035
Nkx2-5,0.049772855
Gabrp,0.14678515
Aldh1a3,0.12320362
Lefty2,0.010771824
Plxdc2,0.866954
Plcxd3,0.39098305
Gp1bb,0.16595075
Nfat5,1.1339256
Klf9,0.27870315
Zbtb1,0.76491374
Hand1,0.098411
Kmt2c,1.1940942
Zfp948,0.811546
Zfp7,0.3089984
Gm28845,0.01183217
Clca3b,0.009891731
Myh7,0.096835285
Nfrkb,0.91209084
Scgb3a2,0.0073322505
Hapln1,0.33428055
Cd300c,0.007841343
Slc25a37,0.2831357
Stard13,0.660077
Hmx3,0.0069232774
Col11a1,0.92693263
Dsp,0.20670682
Fmod,0.25232077
Agmo,0.17396827
Lin28a,0.0531051
Dll3,0.08955449
Mme,0.8391321
Vmn2r8,0.0053982874
Slpi,0.102048926
Ocstamp,0.03674565
Nkx3-1,0.021350883
Zfp964,0.35189748
Lypd6,0.43709117
Ldha,0.37453133
Gm14410,0.611475
F5,0.04482778
A1cf,0.03896798
Vwf,0.091811545
Gorab,0.7439623
Lhx3,0.017661264
Pitx3,0.14146455
Ntn1,0.62526584
Pilra,0.050744332
Fam19a1,0.59455335
Lrp1b,0.50196135
Gramd1b,0.54513115
Pde1c,0.52854496
Ttc29,0.038774867
A330033J07Rik,0.13068889
Gm14409,0.010972769
Gbx1,0.05695216
Slc22a27,0.043834563
Slc7a1,0.34854692
Gm44511,0.05924247
Ank1,0.205354
Nupr1,0.09027063
Smyd1,0.32977945
Pitx2,0.4664439
Cpa1,0.03930338
Prkg2,0.5683081
Itga2,0.19149677
Sohlh2,0.008737411
Zfp647,0.27962378
Hoxc9,0.31696925
Olfr869,0.020774284
Hsf5,0.3558128
Zfp57,0.78146446
Ly6a,0.009924866
Ntrk2,0.57159126
S100a14,0.012745152
Kcnj1,0.038357098
Pkhd1,0.065659605
Ednrb,0.3034455
Cela3b,0.017750297
Dnah8,0.18443626
Onecut3,0.07386385
Slc7a13,0.024700627
Sbsn,0.13074148
Otx2,0.09611842
Lhx5,0.06825866
Hoxd12,0.10139354
Slc24a5,0.44047847
Gm14295,0.18660899
Runx3,0.1400891
Gm2824,0.07764019
Lmo3,0.29783222
Pou2f3,0.07028003
Tmem232,0.3166452
Emb,0.19878063
Sned1,0.68328315
Esr2,0.2586369
Tgfb2,0.92470545
Egr4,0.01265734
Nefm,0.20107637
Sox21,0.06526041
Hoxc13,0.126896
Zfp735,0.0067951283
Zfp809,0.5110186
Grm1,0.12973674
Hoxc12,0.039040226
Nfic,0.65603286
Astn2,0.7684656
Mx1,0.020799344
Hoxd11,0.192476
Pnliprp1,0.044283103
Igf1,0.63525593
Ppl,0.11324824
Adpgk,0.5604822
Nfib,1.20917
Fcer1a,0.0041431226
Zfp969,0.0009069916
Atp8b1,0.16499873
Esrp1,0.13971335
Mybl2,0.27744335
Cdsn,0.03812619
Pacrg,0.3371897
Clca1,0.0072013037
Zfp955b,0.38998124
Bbx,0.49757338
Pla2g7,0.11378373
Zfp623,0.31191203
Fam169b,0.11559284
Zeb1,1.1089876
Dpp10,0.41298747
Zfp763,0.6769166
Col4a2,0.39352474
Tmem178b,0.3171919
Mical2,0.23914587
Cubn,0.047134947
Stat5b,0.8323921
Gpr141,0.019616285
Foxa2,0.036616564
Col9a1,0.43533614
BC048546,0.014394753
Padi2,0.051979296
Shroom3,0.49524862
6530403H02Rik,0.23153277
Krt78,0.008174549
Bhlha9,0.0118521
Col9a2,0.42004427
Ryr2,0.46571836
H19,0.41648915
Scarb1,0.40680674
Cela1,0.0590332
9330185C12Rik,0.012705438
Ebf1,0.5523797
Barhl1,0.038430046
C3ar1,0.044919528
Gkn1,0.007741519
Zfp72,0.1665265
Chrm2,0.2743658
Skint10,0.050625794
Sgms2,0.25645724
Trps1,0.7062961
Atf6b,0.46293584
Cacna2d4,0.029821392
Dgkb,0.4983907
Timp3,0.7830861
Pde10a,0.6795798
5430401F13Rik,0.03191816
Nell2,0.5239428
Zfp114,0.29912028
Tfcp2,0.9376653
Try5,0.009353746
Dbx2,0.089981
Crybb3,0.056495532
Tpsab1,0.005551482
Zfp367,0.45389807
Dlx3,0.0749311
Gm7145,0.021474583
Ptgs1,0.21817222
Lgals3,0.07233575
Ascl2,0.029111339
Nr5a1,0.032361243
Ppp1r14c,0.19395746
Mctp2,0.2610476
Cryba4,0.012228477
2610021A01Rik,0.72481894
Dnah3,0.04061971
Actb,0.3804867
Nrp1,0.75950456
Nr2e1,0.080908164
Zfp281,0.42656517
Ell2,0.34634575
Ferd3l,0.012041485
Gm11007,0.012953534
L3mbtl4,0.09280747
Cpeb1,0.023918977
1700007G11Rik,0.29292318
Scrg1,0.149064
Gm973,0.15768784
Gria2,0.40614304
Cnfn,0.002041914
Stmn2,0.36656705
Lbx1,0.08213817
Olfm5,0.022542987
Comp,0.116193324
Slc4a5,0.0526617
Tub,0.24539891
Bpifb5,0.027992913
Cfap46,0.09333372
Pdzd2,0.7348015
Foxf2,0.23998849
Zfp954,0.10378965
Arid2,1.0570886
Sox10,0.09269361
Acacb,0.2190626
Cpa2,0.16466852
Phyhipl,0.13698582
Serpinb1a,0.031582482
Hinfp,0.52194804
Xbp1,0.46594864
Emx2,0.19869702
Lrriq1,0.32357728
Lrrk2,0.54666543
Colec12,0.95358026
Lrrc4c,0.5936933
Zmat4,0.29318377
Zfp3,0.25259978
Fgb,0.12362264
Aldh1a2,0.482965
Zfp967,0.0009072406
Zfp408,0.3860732
Kcnd3,0.47561175
Ltf,0.013716853
RP23-122B15.1,0.018463695
Klf14,0.10908175
Chsy3,0.6034915
Sgcd,1.0390224
Chga,0.07693909
Nrf1,0.985525
Zfp619,0.47622862
Zfp366,0.06229413
Pbx3,0.9097162
Gm14618,0.007511668
B4galnt2,0.025876988
Msgn1,0.0
Foxg1,0.101268716
Ppbp,0.038172
Hmg20a,1.1035603
Gm4924,0.7431358
Nfkb2,0.21325587
Clec4f,0.026707152
Caln1,0.4288285
Cfap69,0.44924706
Trpm1,0.038390797
Samd5,0.80793786
Pakap,0.7303713
Zfp326,1.1193569
Zp2,0.0094597
Zfp646,0.27708736
Fmo6,0.04316405
Bank1,0.03423294
Cd38,0.18775323
Zbtb12,0.17620896
Klf2,0.04805749
Myrfl,0.118120186
Mag,0.017554995
Crocc2,0.21286525
Tmem132b,0.20163476
Zic2,0.29816738
Irf2,0.5153135
Car6,0.021354197
Gm10130,0.31283942
Zfp936,0.0249601
Col8a1,0.56138027
Ccdc162,0.19828182
Relb,0.27525088
Smoc1,0.63390446
Pax3,0.41015714
Ube2o,0.65425617
Pip5k1b,0.28003663
Mptx1,0.009473843
Zfp335,0.47655457
Keg1,0.0074251457
Panx3,0.20391281
Lcor,0.92265546
A430033K04Rik,0.7429797
Zfp11,0.40031162
Ebf4,0.63163877
Gm21994,0.011986411
Cntnap5a,0.10319514
Cxcl13,0.20323372
Crygd,0.007925913
Xcr1,0.011100714
Rgs22,0.44194996
Hsf1,0.5036177
Zfp574,0.40936208
Ptprb,0.07393319
Jhy,0.055096466
A2m,0.28563103
Dgkg,0.054491263
Ckm,0.054142714
Zfp36l2,0.28729776
Fev,0.01913567
Gabrg3,0.33215377
Prg2,0.017441671
Nkx6-1,0.15181541
Cadm2,0.5803838
Olfr1437,0.011981837
Zfp219,0.36857837
Nts,0.059500154
S100a3,0.050218664
Trim9,0.3288296
Tnnc1,0.16690531
Msc,0.080542944
Zfp395,0.7055171
Sdk1,0.91439426
Nccrp1,0.0053405217
Cx3cr1,0.23484464
Snai1,0.29517
Ubtf,0.5446325
Etv5,0.36649683
E2f1,0.4896232
Irf3,0.42869794
Zfp592,0.7886363
Kcnq3,0.26892388
Eya4,0.6836694
Klk7,0.0300182
Alb,0.26051027
Sox17,0.036491424
Cldn6,0.07558945
Tchh,0.06559249
Foxb1,0.027811961
Myo16,0.3254549
Cxcr2,0.01372959
Pdzrn3,1.0563018
Ly6g,0.006709218
Usp53,0.57149875
Zfp296,0.023588398
Hey2,0.3056303
Kcnh1,0.252894
Zfp683,0.004096067
Rimbp2,0.069039956
2210017I01Rik,0.0078294035
Alx1,0.44866022
Ncf2,0.037817866
Nxph1,0.31374156
Gm12606,0.038003903
Zfp113,0.5314147
Il15,0.20120522
Rab27b,0.33558944
Ifng,0.01255395
Hoxa9,0.36602688
Hpse2,0.5812616
Tubb1,0.008161731
Elf5,0.04345258
Serpina1a,0.0735342
Cd300lf,0.017921852
Tbx4,0.45876816
Ereg,0.09820273
Ovol2,0.06292169
Etv1,0.6268379
Trpm2,0.030697776
Ins1,0.0029495077
Krt17,0.041611172
Mier1,1.0850233
Lyar,0.5028264
Ccser1,0.709019
