,Gli2_Gli1_Gli3,Gli2_Gli1,Gli1_Gli3,Gli2_Gli3,Gli1,Gli2,Gli3
Col11a1,0.8064450573817543,0.52351472658148,0.37170924558548146,0.7138091122663387,0.09096183503755943,0.43094438775699867,0.28138751591451655
Fmod,0.004670175842284951,0.003491197763864987,0.002444346602563926,0.0035775884824161396,0.0012653686332748236,0.0022156656097251748,0.0013466774549799046
Slc7a1,0.3559284806118813,0.2562251561851062,0.2729677642184689,0.17975858159828742,0.17449977173012815,0.0814424293888863,0.09732925986721559
Pitx2,0.010881068476829264,0.008694685327385711,0.014046238975261072,0.0029999207084222624,0.013410662597360908,0.004779534737153964,0.0012584413647313195
Itga2,0.7978332018270118,0.4283576039110418,0.8142237978284786,0.35524907229951525,0.4504877436445066,0.01567552052761481,0.3645640641212027
Tgfb2,0.1219223157096384,0.053683318405017985,0.11020894478002015,0.07756696905448432,0.04231411041781907,0.01030705513125814,0.06679114119401489
Mybl2,0.010197298962766603,0.02050193740451317,0.03415363156112827,0.005396273713313902,0.0055328880719141505,0.02482481108914418,0.028474370400833508
Col4a2,0.021962260514869596,0.08127272733873096,0.03864647056898606,0.09048420630982154,0.06725459011924127,0.013840397301846547,0.10578514831115964
C3ar1,0.00165392611211043,0.0010970345430318968,0.0016497389914286573,0.0006741319147916457,0.0010970345430318968,4.18715462599247e-06,0.0006699447491506415
Sgms2,0.021848189533700497,0.013691839352861836,0.008242752421503217,0.03821273015741955,0.015857650029757087,0.029509168878153972,0.008669002393091346
Timp3,0.16889661415601373,0.226529148434847,0.09799214790618362,0.011523917847585751,0.15655695539937023,0.06960964499610194,0.058266999864792855
Lgals3,0.030773764628323274,0.018307794425580164,0.0063024434724121906,0.050616957206701965,0.019550735039695462,0.03772692435792586,0.013628485582513783
Nrp1,0.054668964987971184,0.026729877175947707,0.07417541049793624,0.0033253241774191928,0.04615677167272278,0.02270448619772637,0.02754132073394128
Comp,0.015203116766512387,0.019115468994233543,0.009951889001379475,0.025822357887680572,0.00845868887967109,0.02759501167596155,0.0012804820253966382
Xbp1,0.0038590256346905816,0.005697035968961145,0.0038590256346905816,0.001758442639624212,0.005681122365955627,7.95675397954211e-06,0.0017504859182167621
Sgcd,1.8406882066190944,1.3493261116966024,0.9037354853549244,1.4226034109492198,0.4151482505453493,0.9304870157297177,0.490823220214014
Cd38,0.2090612996561582,0.17474310797605433,0.13131327560400854,0.10905952924391248,0.0975931939799041,0.07375527869239434,0.03335368005642177
Nkx6-1,0.1248374830785095,0.14444040345383452,0.010846901442418707,0.09494929808083925,0.030612214315675196,0.11450484441310749,0.019772081015358
E2f1,0.3082484191313704,0.22324634791835832,0.038869128067031376,0.35289380713532364,0.04134191604109361,0.26856790088628624,0.07867521295274596
Hey2,0.0011117162383051148,0.05000382453984974,0.03504831721031938,0.0178693763361348,0.01492040166621144,0.031958916745814483,0.051981512158659815
Il15,0.06807414912298229,0.029648696184012772,0.0021709295433203018,0.10755405186403727,0.04094786678565958,0.06994528213086113,0.039986455121246225
Ereg,0.11996762210135155,0.067514008294888,0.0787392092691095,0.1065986880040745,0.014192052598715588,0.05335813984567736,0.06461047213341672
Lyar,0.024490524517665025,0.01241300568651944,0.01130835469612847,0.025316967338261255,0.0009573643106492701,0.013337639480510123,0.011864771310280476
Sntb1,0.916256871255168,0.32939832933987095,1.287199110858129,0.8288161026790762,0.0430203388127988,0.422923043650429,1.241785909643315
Tpm2,0.010613958969614621,0.012466964480105334,0.010216379248702232,0.0012779348512504452,0.012069384759192944,0.00040467937750345175,0.0016968135419360192
Junb,0.0004207694203347116,0.0030109604955693018,0.0006338863992747767,0.0016994713379813735,0.002027343590706462,0.000967223248220313,0.0027377334716108203
Ptch1,0.33457934532113864,0.4268031301808908,0.2770369680095098,0.03912930765475698,0.3717954518490711,0.05532453103785699,0.09567243972515144
Msr1,0.002979568401322537,0.0003378891933494956,0.005518856898002521,0.001689445966747478,0.0020785305432287873,0.0023345071840350077,0.0042082562771923945
Fbn2,0.38167738844102866,0.22627176508665603,0.27665702078703674,0.2587143924596076,0.12067762425409415,0.10405758531238818,0.15469570414771736
Sele,0.005904434128173447,0.0012898917883948063,0.005783317604032839,0.007266996000114962,0.0014049525643571581,0.00012111659566698412,0.007145879085830482
Lama1,0.3427051153362634,0.2519480404881152,0.25248990155883483,0.18233052914411113,0.16028787193615893,0.09122667484694581,0.09192747488232
Nfya,0.01311602011649026,0.018137480592559055,0.01322229415913996,0.03050072482874931,0.017756664307279724,0.0006819267562651262,0.030952391070124072
Hey1,0.0005354877372280507,0.0001508416205403961,0.0005430298379945498,0.0003771040564123952,0.0001508416205403961,0.0,0.0003695619758915159
Vav3,0.7139851806366168,0.6682684839186738,0.5288109897088284,0.21646661829221667,0.48379900892766053,0.17671740898563354,0.03799873374632782
Has2,0.5870158527075872,0.4642974363477101,0.5369394166504649,0.17217185282047742,0.41344218873146976,0.051711911586086075,0.12417867954032792
E2f2,0.1449520912994586,0.00021228034198310716,0.02453606943752134,0.3186504951088863,0.1698596580102448,0.17331806221095974,0.14642036799895683
Ccr7,0.04892961661415448,0.03430953093952866,0.05774139606470047,0.006181754086010771,0.046379048364955815,0.011791417863014447,0.013555363025111145
Vcan,0.2748857291297312,0.1538071188954045,0.22446572038645665,0.1682150256534429,0.10308023058726105,0.04885493583382816,0.12025004055773462
Igfbp1,0.07933625272243362,0.05002064405236247,0.06347466861613632,0.04384595489481747,0.03648164825986643,0.015323424543017017,0.02635100312657728
Atf4,0.0011881276701285082,0.0018648096448235037,0.0011015752830830596,0.0005035772798099566,0.0017074417547836248,0.00017310469488503877,0.0005901296404534524
Egfr,0.23796256098262059,0.2626492121924744,0.13151450994851788,0.5980924443711911,0.36721937941094757,0.10697553813525362,0.4913701113723118
Arid4b,0.00851686005320217,0.005455665289032791,0.021944535537643757,0.000939148687094249,0.008065208110357127,0.01418042852205482,0.013205434191616697
Prkcb,0.5462749839805117,0.41872626889730225,0.002691774710053938,0.6767742854802328,0.1288169496336605,0.546818516485412,0.12892048656168315
Postn,0.34383767149941713,0.34052780325042886,0.3351411596205721,0.02034600074781074,0.3313120594171998,0.011519665092286248,0.010043201640392756
Cap2,0.2538446038805421,0.058958890028880793,0.06581081367028141,0.39009480259541973,0.13358221071861268,0.19367297933419528,0.20149508869058697
Cdh1,0.08386137710705355,0.009135811172071613,0.18101446704514357,0.02025104873923605,0.10326153947355958,0.11144794464709135,0.08322545204376904
Thbs1,0.021555810835430667,0.0717795516456279,0.03091129242527882,0.007583548630270738,0.013793442798216532,0.05957109053598955,0.044859171693171045
Lama2,1.55011521701507,0.5922305938835875,1.2797174245943819,1.218711470694162,0.3269405035239436,0.2600630588213435,0.9539941618253469
Klf10,0.031800511871418836,0.02218940393956759,0.02164111912525084,0.01993176086659717,0.012229973844551392,0.010165843084450387,0.00957240546927737
Slc1a2,0.10440453529267203,0.08682900618344042,0.17269676511558055,0.05278119937962175,0.15832174965285611,0.07246491496372057,0.017225983571301992
Vcam1,0.08782125420324981,0.07901058194319191,0.03602577002583899,0.06718715359075814,0.026817769827850172,0.055193995388475914,0.013254582555797485
Sell,0.012052724206634276,0.014835266312189017,0.0017483889313149527,0.007521792370905703,0.0041738136376474385,0.010564732912917874,0.002775102492595477
Mxd3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unc5c,1.1585977300925465,0.3404937200806401,0.6895620383134707,1.26888661149781,0.12404928748078281,0.4513473621700575,0.8123790472483273
Vip,0.12262858321955553,0.032117347954269855,0.0948101307278492,0.11818047589443907,0.0032117347954269846,0.02863560049544259,0.09057518456880627
Igfbp2,0.0724887140418602,0.01909253131642588,0.08063967707301296,0.0466639412374344,0.02678174202532386,0.007789592087854092,0.05500897770400985
Ecm1,0.0005342369813457171,2.3227695434133887e-05,0.0005110093034479061,0.000540043920304973,5.806923761109456e-06,2.3227695434133887e-05,0.0005168162034375558
Thy1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smad2,0.046985233182288796,0.026793042487405928,0.012116842529255333,0.055114058870520934,0.00837330315219631,0.035372621577184446,0.019978274195672593
Adgre1,0.023247163548897942,0.03356741358181782,0.015945851500104878,0.00011969363209701379,0.024018523096384525,0.009562191240597531,0.008332006690968499
Il2rb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pmp22,0.1491835405438648,0.1261623069212318,0.12454840520012371,0.04676594090279621,0.10073877231308104,0.025655413376171398,0.02192675294034458
Shh,0.29080767197996193,0.20612004371309364,0.24074408344994835,0.13858813143866053,0.1561790303279372,0.05099523366960548,0.08713320313384994
Il18r1,0.411562674910219,0.2872698116956849,0.25830738421164373,0.2834469929781745,0.13864749598564483,0.1595845023463624,0.11519147529557533
Olr1,0.2705927735788517,0.10239920090813702,0.2324020336587225,0.2056556521274893,0.0650514209814848,0.037340630932485804,0.1673220320417612
Ctcf,0.09286391714907168,0.05401135023101808,0.054121999811865676,0.07502442556673272,0.016873831564829033,0.0369564570964798,0.0364032176302723
Dapp1,0.4491812737336555,0.26797167185784826,0.38196259149215117,0.2566466356876602,0.19877515912943305,0.06874495750730192,0.1902046185354274
Slc7a5,0.03165896634923193,0.021964543562860005,0.02674459684481135,0.017445220305677956,0.015264567502357496,0.006707876890007421,0.011100785284446564
Tgfbr3,0.18667978479710615,0.027909718483371947,0.06976758991542822,0.2757225169629367,0.08870728244438819,0.11708663954253672,0.1572135624972029
Foxn3,1.249808887615885,0.975263002034109,0.6214128076043635,0.8904608866902604,0.3520175221413649,0.6182105343217452,0.26642449928069895
Eng,0.2089551669708466,0.13555591371476028,0.13350081572862157,0.15123107821935622,0.06106866533925414,0.07446710192024114,0.07402384474952278
Aplnr,0.01170084561599604,0.049104339774854594,0.016939036127254302,0.011874712272494183,0.02048665281999767,0.027922221123280237,0.039486191661572474
