,Gli2,Gli1,Gli3,Gli2_Gli1,Gli2_Gli3,Gli1_Gli3,Gli2_Gli1_Gli3
1700112E06Rik,0.019055486,0.010420203,0.013433099,0.02922213,0.032749057,0.024016738,0.04310298
Pax4,-3.8705766e-06,-6.5807253e-06,4.3231994e-06,-1.0251999e-05,8.335337e-07,-1.879409e-06,-4.948117e-06
Lnx1,-0.0004695654,-0.00013183057,-0.00026762486,-0.00058954954,-0.00074614584,-0.0004029125,-0.0008738041
Galnt14,0.0037398934,0.0068733096,-0.0010291338,0.010599852,0.002688408,0.0059603453,0.009660602
Elf2,-9.036064e-05,-0.0003219545,-0.00046101213,-0.00040972233,-0.00054740906,-0.0007595718,-0.0008504987
Zfp983,4.5001507e-05,0.00012755394,8.5532665e-05,0.0001732111,0.00012812018,0.00021642447,0.00026285648
Gm15446,-0.00040340424,-9.226799e-05,-0.00029492378,-0.00048804283,-0.00068736076,-0.00038778782,-0.00077325106
Zfp260,0.00024229288,-0.00076520443,-0.0017713308,-0.0005223155,-0.0015692711,-0.002542019,-0.0023373365
Nkx2-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabrp,-0.00019685924,0.0014781058,-0.00027871132,0.0012461096,-0.00046280026,0.0012250841,0.0010042489
Aldh1a3,-0.0011312068,-0.0007839799,-0.00013139844,-0.0019303262,-0.0012731552,-0.00089737773,-0.0020554364
Lefty2,-4.180707e-06,-4.0289015e-06,-2.9876828e-06,-8.387491e-06,-7.674098e-06,-7.3630363e-06,-1.1797994e-05
Plxdc2,0.04060507,0.05554056,0.0311265,0.096530914,0.07167578,0.08682394,0.12750864
Plcxd3,0.0035104156,0.014482498,0.004419625,0.017956018,0.007882178,0.018962324,0.022463858
Gp1bb,5.0887465e-05,-2.9549003e-05,-2.7552247e-05,1.962483e-05,2.1979213e-05,-6.261468e-05,-1.783669e-05
Nfat5,-0.0050792694,0.0060635805,-0.0029639006,0.0011268854,-0.008357286,0.0030362606,-0.002199769
Klf9,0.00017184019,0.0003670454,0.00012740493,0.0005490184,0.00028938055,0.000495702,0.0006554723
Zbtb1,-0.0001553297,-0.00035524368,-0.001190722,-0.00047510862,-0.0013745427,-0.0015357137,-0.0016762614
Hand1,1.0281801e-05,-2.2500753e-06,-7.599592e-07,6.8992376e-06,8.523464e-06,-2.4735928e-06,5.9604645e-06
Kmt2c,0.018468618,0.018113613,0.0059154034,0.036572456,0.024240494,0.024166584,0.042428255
Zfp948,0.002461195,0.0016213655,-0.0025934577,0.0041400194,-0.00019395351,-0.0009685755,0.0014721751
Zfp7,-0.00051125884,-0.00030583143,-0.00011193752,-0.0007917285,-0.00059586763,-0.00040739775,-0.0008779764
Gm28845,5.2712858e-06,7.821247e-06,-7.908791e-06,1.2950972e-05,-3.1050295e-06,6.891787e-08,4.1332096e-06
Clca3b,1.6227365e-05,-8.405931e-05,-8.5011125e-06,-6.679073e-05,4.671514e-06,-9.368546e-05,-7.6370314e-05
Myh7,2.7365983e-05,-9.045005e-06,-3.7688762e-05,1.5854836e-05,-1.1667609e-05,-4.813075e-05,-2.2158027e-05
Nfrkb,-0.00024044514,-5.00679e-06,-0.00056290627,-0.00021719933,-0.0007891655,-0.00054728985,-0.0007568598
Scgb3a2,-0.00011242181,-3.4570694e-05,-4.4852495e-05,-0.00014978461,-0.0001532957,-8.061528e-05,-0.00019113347
Hapln1,0.003882289,-0.0025809705,0.00074371696,0.0012995601,0.004707843,-0.0018513501,0.0021236837
