,Gli2_Gli3,Gli2_Gli1_Gli3,Gli3,Gli1_Gli3,Gli2_Gli1,Gli2,Gli1
Col11a1,0.6341109991693304,0.6999219257609948,0.17710660168190553,0.24680803699743287,0.5137101707441696,0.4478992441525052,0.06940110485697802
Fmod,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slc7a1,0.01727871361443681,0.08457406618225237,0.16541750618182194,0.23403493356662056,0.07547656332097391,0.14266064913330412,0.0687090673566311
Pitx2,0.40969995766608236,0.3592080622260331,0.17065625009147561,0.12057696596585613,0.18391877584012575,0.23819490896467188,0.053179770890514656
Itga2,1.876990098468917,1.6590267483098453,1.2547615077082828,1.0239304814041053,0.39974759604186744,0.619677929810641,0.22652912894660296
Tgfb2,0.16761696294949438,0.13578757989845727,0.05345468760927033,0.020891679371162424,0.06891086339286963,0.10413326433276922,0.034697195686532296
Mybl2,0.04485326413842548,0.05556827767846509,0.06299636720918077,0.07405183478347672,0.007217624363090154,0.019746330663598405,0.011464013744711484
Col4a2,1.348211991963224,1.2932673810840691,0.11964720617482663,0.18583430916199853,1.3818226430981235,1.4445902823696108,0.07362648267468956
C3ar1,0.029027189753690064,0.029027189753690064,0.004256369541138848,0.004256369541138848,0.02614499590726212,0.02614499590726212,0.0
Sgms2,0.5601374391593962,0.5699998850772717,0.09979578953207978,0.11146823833626066,0.5051261854565228,0.4889764133434794,0.018391250878542143
Timp3,0.12528372429897391,0.2600963820153488,0.17047695931293655,0.037285410074117106,0.4029433880238216,0.2593846798669699,0.1424437116622939
Lgals3,0.2785098383297102,0.27419802584127523,0.02158413651071473,0.02941926048296728,0.27891035818909987,0.2862823796040276,0.009174353222667086
Nrp1,1.6439058030333944,1.4410000630630626,1.4825800572790286,1.6797292232279635,2.7688332249864605,2.9831921122309835,0.19809188133402675
Comp,0.04264190385705096,0.07446262279120001,0.03481395429600144,0.06852302416562597,0.0306555655026247,0.0017544251136085757,0.03332738114968003
Xbp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sgcd,19.109661901758734,19.872473942818015,10.162964310319365,10.93598642688857,9.722139946001587,8.929434742865165,0.7991261404466491
Cd38,0.17716116228340248,0.2297013195955352,0.12164448728855745,0.17294833714038824,0.11553912254187013,0.0621493715017129,0.053055771427600755
Nkx6-1,1.583019675812162,1.4546583879926898,1.2945690847493847,1.1693960684684135,0.1764364079421119,0.2997158214879154,0.12975255008557124
E2f1,0.033026887268946585,0.020519059006754728,0.04188396343565003,0.027689306765931496,0.022317697361349188,0.008132761487282552,0.015570373944385535
Hey2,0.32280242417363425,0.24475561567186208,0.1335178526480008,0.05283941898491524,0.12494289849340921,0.19883529892555607,0.07753674701837418
Il15,1.4249274850018356,1.1228191231510314,3.105643903127002,2.7996885406650445,1.9169060712734256,1.5854176712326302,0.32237769556571205
Ereg,0.03406234310515424,0.20023921849424367,0.4826470266672586,0.6863744032495068,0.21645070634096233,0.4511165778944587,0.2070152569021997
Lyar,0.09442943270828387,0.09727314028008545,0.046072283408497505,0.04845618561595063,0.053372542131497745,0.05081886541656776,0.0024617156420602897
Sntb1,2.3746486373201483,1.4787142221689964,2.5765885100340453,1.6102284392054886,0.9815924235684592,0.11166119912405263,0.9085856101692016
Tpm2,0.012148060778996318,0.012134607922496524,0.005065055092521454,0.005313935646214701,0.018477698376141546,0.018544962658640515,0.00012780351805604284
Junb,0.0018580715090071368,0.002324971599394905,0.002143928644563569,0.002601300138188057,0.0009528571952556371,0.0005050143111834617,0.0004573714552573898
Ptch1,2.163659612324587,1.1579136023571244,1.4502442585937916,0.4240220772938715,0.3512002842659079,0.6846840070599617,1.0556647633473348
Msr1,0.1133939101236785,0.12199966369777088,0.05504596234133806,0.06452066427223534,0.06445629791926645,0.05791025727327866,0.007974970399045472
