,0
1700112E06Rik,0.21742027
Pax4,0.01827606
Lnx1,0.25684768
Galnt14,0.28251863
Elf2,0.94946116
Zfp983,0.5963174
Gm15446,0.5117282
Zfp260,0.66052645
Nkx2-5,0.026567396
Gabrp,0.0105971275
Aldh1a3,0.058839682
Lefty2,0.012563542
Plxdc2,0.28230658
Plcxd3,0.7873736
Gp1bb,0.08590235
Nfat5,0.85100853
Klf9,0.13263114
Zbtb1,0.46623814
Hand1,0.016013453
Kmt2c,1.3620019
Zfp948,0.47945127
Zfp7,0.4840536
Gm28845,0.0065309894
Clca3b,0.017324043
Myh7,0.11970617
Nfrkb,0.815353
Scgb3a2,0.0011959575
Hapln1,0.08102673
Cd300c,0.01409161
Slc25a37,0.3874922
Stard13,0.1594626
Hmx3,0.055664606
Col11a1,0.8732714
Dsp,0.0517153
Fmod,0.03706758
Agmo,0.15702185
Lin28a,0.12368091
Dll3,0.7315827
Mme,0.10937459
Vmn2r8,0.0
Slpi,0.050764915
Ocstamp,0.033452377
Nkx3-1,0.0023920266
Zfp964,0.17689425
Lypd6,0.275873
Ldha,0.27801442
Gm14410,0.4466576
F5,0.10803794
A1cf,0.065068044
Vwf,0.12756449
Gorab,0.59143037
Lhx3,0.01917411
Pitx3,0.06756597
Ntn1,0.19891903
Pilra,0.033092212
Fam19a1,0.13309567
Lrp1b,0.50097287
Gramd1b,0.35079795
Pde1c,0.7040804
Ttc29,0.06661188
A330033J07Rik,0.16345456
Gm14409,0.03901447
Gbx1,0.11420265
Slc22a27,0.04105643
Slc7a1,0.45534715
Gm44511,0.055456553
Ank1,0.46031323
Nupr1,0.07401565
Smyd1,0.2876968
Pitx2,0.12639983
Cpa1,0.0022450085
Prkg2,0.10869137
Itga2,0.058712233
Sohlh2,0.03214715
Zfp647,0.347936
Hoxc9,0.6202135
Olfr869,0.008741908
Hsf5,0.52571636
Zfp57,0.67654604
Ly6a,0.008410627
Ntrk2,0.34618923
S100a14,0.0075822845
Kcnj1,0.009410769
Pkhd1,0.2255195
Ednrb,0.29520947
Cela3b,0.011941539
Dnah8,0.10269426
Onecut3,0.14457586
Slc7a13,0.043689966
Sbsn,0.15239361
Otx2,0.2279509
Lhx5,0.5011503
Hoxd12,0.052793264
Slc24a5,0.46583167
Gm14295,0.15580443
Runx3,0.010322611
Gm2824,0.017618839
Lmo3,0.25889128
Pou2f3,0.04995494
Tmem232,0.20521763
Emb,0.48029512
Sned1,0.23292151
Esr2,0.08594974
Tgfb2,0.357485
Egr4,0.0
Nefm,0.11593535
Sox21,0.13344546
Hoxc13,0.2575608
Zfp735,0.013798379
Zfp809,0.40259075
Grm1,0.07666086
Hoxc12,0.1260508
Nfic,0.25500116
Astn2,0.45452583
Mx1,0.017636936
Hoxd11,0.28289413
Pnliprp1,0.021220755
Igf1,0.30655384
Ppl,0.022569532
Adpgk,0.55234665
Nfib,1.062755
Fcer1a,0.0
Zfp969,0.0
Atp8b1,0.17341475
Esrp1,0.039422844
Mybl2,0.24072677
Cdsn,0.0035782973
Pacrg,0.350165
Clca1,0.011966803
Zfp955b,0.3372313
Bbx,0.9548418
