pathway,p_value_pred,p_value_real,neg_log10_p_pred,neg_log10_p_real,cell_type
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1.4857478443133191e-06,0.03614815442096284,5.8280548911915835,1.4419138711288617,Limb#mesenchyme#trajectory
REACTOME_SIGNALING_BY_WNT,0.03364644899148665,0.0006150884152155159,1.4730607639743232,3.2110624525492564,Limb#mesenchyme#trajectory
REACTOME_SIGNALING_BY_HEDGEHOG,0.04843182067588618,0.004841143382937264,1.3148692044073502,2.315052054418335,Limb#mesenchyme#trajectory
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.0838367943837928,0.39008417134909773,1.076565335895243,0.40884167192663956,Limb#mesenchyme#trajectory
HALLMARK_G2M_CHECKPOINT,0.4360145717426913,0.4360145717426913,0.36049899623211956,0.36049899623211956,Limb#mesenchyme#trajectory
HALLMARK_TGF_BETA_SIGNALING,1.0,1.0,-0.0,-0.0,Limb#mesenchyme#trajectory
HALLMARK_NOTCH_SIGNALING,1.0,0.14433231326972928,-0.0,0.8406364277165965,Limb#mesenchyme#trajectory
HALLMARK_APOPTOSIS,1.0,1.0,-0.0,-0.0,Limb#mesenchyme#trajectory
HALLMARK_INFLAMMATORY_RESPONSE,1.0,1.0,-0.0,-0.0,Limb#mesenchyme#trajectory
REACTOME_SIGNALING_BY_WNT,0.005182634141249466,0.5178481152038281,2.2854494483174577,0.2857976001029281,Myotube#trajectory
HALLMARK_INFLAMMATORY_RESPONSE,0.06325904664659315,1.0,1.1988773574605074,-0.0,Myotube#trajectory
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.28048489952145833,0.11175709773584633,0.5520905149106174,0.9517248851121388,Myotube#trajectory
REACTOME_SIGNALING_BY_HEDGEHOG,0.3051663458356008,1.0,0.5154633626692812,-0.0,Myotube#trajectory
HALLMARK_TGF_BETA_SIGNALING,1.0,1.0,-0.0,-0.0,Myotube#trajectory
HALLMARK_PI3K_AKT_MTOR_SIGNALING,1.0,1.0,-0.0,-0.0,Myotube#trajectory
