,gene,pathway
0,Shh,HALLMARK_HEDGEHOG_SIGNALING
1,Gli1,HALLMARK_HEDGEHOG_SIGNALING
2,Slit1,HALLMARK_HEDGEHOG_SIGNALING
3,Ptch1,"HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING"
4,Nrp1,HALLMARK_HEDGEHOG_SIGNALING
5,Plg,HALLMARK_HEDGEHOG_SIGNALING
6,Nrp2,HALLMARK_HEDGEHOG_SIGNALING
7,Unc5c,HALLMARK_HEDGEHOG_SIGNALING
8,Ets2,HALLMARK_HEDGEHOG_SIGNALING
9,Nkx6-1,HALLMARK_HEDGEHOG_SIGNALING
10,Hey2,"HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING"
11,Thy1,"HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"
12,Nrcam,HALLMARK_HEDGEHOG_SIGNALING
13,Scg2,"HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"
14,Hey1,"HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING"
15,Ppard,"HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_NOTCH_SIGNALING"
16,Tcf7,HALLMARK_WNT_BETA_CATENIN_SIGNALING
17,Ncor2,"HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_TGF_BETA_SIGNALING"
18,Ccnd2,"HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_APOPTOSIS"
19,Trp53,"HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_E2F_TARGETS"
20,Wnt6,HALLMARK_WNT_BETA_CATENIN_SIGNALING
21,Rbpj,HALLMARK_WNT_BETA_CATENIN_SIGNALING
22,Myc,"HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_G2M_CHECKPOINT,HALLMARK_E2F_TARGETS,HALLMARK_MYC_TARGETS_V2"
23,Lef1,"HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_APOPTOSIS"
24,Smad1,HALLMARK_TGF_BETA_SIGNALING
25,Tgif1,HALLMARK_TGF_BETA_SIGNALING
26,Cdh1,HALLMARK_TGF_BETA_SIGNALING
27,Smad6,HALLMARK_TGF_BETA_SIGNALING
28,Klf10,HALLMARK_TGF_BETA_SIGNALING
29,Smad7,"HALLMARK_TGF_BETA_SIGNALING,HALLMARK_APOPTOSIS"
30,Id2,"HALLMARK_TGF_BETA_SIGNALING,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"
31,Junb,HALLMARK_TGF_BETA_SIGNALING
32,Smad3,"HALLMARK_TGF_BETA_SIGNALING,HALLMARK_G2M_CHECKPOINT"
33,Thbs1,"HALLMARK_TGF_BETA_SIGNALING,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"
34,Arid4b,HALLMARK_TGF_BETA_SIGNALING
35,Id3,HALLMARK_TGF_BETA_SIGNALING
36,Eng,HALLMARK_TGF_BETA_SIGNALING
37,Id1,HALLMARK_TGF_BETA_SIGNALING
38,Tgfb1,"HALLMARK_TGF_BETA_SIGNALING,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_G2M_CHECKPOINT"
39,Cdkn1c,HALLMARK_TGF_BETA_SIGNALING
40,Dapp1,HALLMARK_PI3K_AKT_MTOR_SIGNALING
41,Cdkn1a,"HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_APOPTOSIS,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_E2F_TARGETS"
42,Vav3,HALLMARK_PI3K_AKT_MTOR_SIGNALING
43,E2f1,"HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_G2M_CHECKPOINT"
44,Sla,HALLMARK_PI3K_AKT_MTOR_SIGNALING
45,Egfr,HALLMARK_PI3K_AKT_MTOR_SIGNALING
46,Adcy2,HALLMARK_PI3K_AKT_MTOR_SIGNALING
47,Itpr2,HALLMARK_PI3K_AKT_MTOR_SIGNALING
48,Slc2a1,HALLMARK_PI3K_AKT_MTOR_SIGNALING
49,Ddit3,"HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_APOPTOSIS"
50,Atf1,HALLMARK_PI3K_AKT_MTOR_SIGNALING
51,Prkcb,HALLMARK_PI3K_AKT_MTOR_SIGNALING
52,Pitx2,HALLMARK_PI3K_AKT_MTOR_SIGNALING
53,Plcb1,HALLMARK_PI3K_AKT_MTOR_SIGNALING
54,Gna14,HALLMARK_PI3K_AKT_MTOR_SIGNALING
55,Mapk10,HALLMARK_PI3K_AKT_MTOR_SIGNALING
56,Smad2,HALLMARK_PI3K_AKT_MTOR_SIGNALING
57,Camk4,HALLMARK_PI3K_AKT_MTOR_SIGNALING
58,Stat2,HALLMARK_PI3K_AKT_MTOR_SIGNALING
59,Heyl,HALLMARK_NOTCH_SIGNALING
60,Prkca,HALLMARK_NOTCH_SIGNALING
61,Tcf7l2,HALLMARK_NOTCH_SIGNALING
62,Hes1,HALLMARK_NOTCH_SIGNALING
63,Wnt2,HALLMARK_NOTCH_SIGNALING
64,Eln,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
65,Col6a3,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
66,Sgcd,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
67,Fmod,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
68,Myl9,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
69,Vcam1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
70,Lox,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
71,Tpm2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
72,Col4a2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
73,Cxcl12,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
74,Spock1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
75,Col3a1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
76,Pmp22,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
77,Edil3,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
78,Cdh6,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
79,Itgb3,"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_INFLAMMATORY_RESPONSE"
80,Col6a2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
81,Slit2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
82,Fap,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
83,Comp,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
84,Fbn2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
85,Lama3,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
86,Dcn,"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_APOPTOSIS"
