,0
1700112E06Rik,0.16610189
Pax4,0.0069602774
Lnx1,0.19224115
Galnt14,0.15103124
Elf2,0.72039545
Zfp983,0.39978692
Gm15446,0.5793126
Zfp260,0.883022
Nkx2-5,0.01250978
Gabrp,0.052136734
Aldh1a3,0.17133966
Lefty2,0.021255767
Plxdc2,1.0518986
Plcxd3,0.38921437
Gp1bb,0.09097014
Nfat5,1.2717943
Klf9,0.30936962
Zbtb1,0.8043595
Hand1,0.051206943
Kmt2c,1.2227591
Zfp948,0.83759
Zfp7,0.42072332
Gm28845,0.027920276
Clca3b,0.033815052
Myh7,0.032277394
Nfrkb,0.75202405
Scgb3a2,0.00933963
Hapln1,0.3184538
Cd300c,0.036255077
Slc25a37,0.25284916
Stard13,0.4423616
Hmx3,0.010863469
Col11a1,0.9058623
Dsp,0.12496917
Fmod,0.38536513
Agmo,0.17510493
Lin28a,0.028594514
Dll3,0.03402528
Mme,0.8626219
Vmn2r8,0.0036104992
Slpi,0.10628865
Ocstamp,0.04164386
Nkx3-1,0.026633885
Zfp964,0.450979
Lypd6,0.4949185
Ldha,0.42460012
Gm14410,0.6161823
F5,0.030397143
A1cf,0.0359614
Vwf,0.07402253
Gorab,0.6054148
Lhx3,0.014466287
Pitx3,0.06569324
Ntn1,0.5577062
Pilra,0.06716813
Fam19a1,0.6023771
Lrp1b,0.42149258
Gramd1b,0.40100738
Pde1c,0.41280735
Ttc29,0.038437564
A330033J07Rik,0.07907357
Gm14409,0.018973434
Gbx1,0.08711695
Slc22a27,0.04148049
Slc7a1,0.30776557
Gm44511,0.036226545
Ank1,0.14522047
Nupr1,0.14465533
Smyd1,0.21132639
Pitx2,0.20326963
Cpa1,0.021681046
Prkg2,0.4524655
Itga2,0.19890809
Sohlh2,0.01710963
Zfp647,0.32042563
Hoxc9,0.48226035
Olfr869,0.02257663
Hsf5,0.40308943
Zfp57,0.7038394
Ly6a,0.0063125812
Ntrk2,0.6162636
S100a14,0.016568338
Kcnj1,0.021501906
Pkhd1,0.074012384
Ednrb,0.07925446
Cela3b,0.041896347
Dnah8,0.45095125
Onecut3,0.03284193
Slc7a13,0.010212576
Sbsn,0.159695
Otx2,0.06847805
Lhx5,0.061059225
Hoxd12,0.072936825
Slc24a5,0.26752496
Gm14295,0.25562257
Runx3,0.15059492
Gm2824,0.028557327
Lmo3,0.121976085
Pou2f3,0.054234736
Tmem232,0.09986952
Emb,0.17279366
Sned1,0.7484137
Esr2,0.25439414
Tgfb2,0.99221903
Egr4,0.0072123813
Nefm,0.11405848
Sox21,0.050404888
Hoxc13,0.09821104
Zfp735,0.010137342
Zfp809,0.58040136
Grm1,0.04037579
Hoxc12,0.047754083
Nfic,0.6837992
Astn2,0.5428003
Mx1,0.032648772
Hoxd11,0.33635855
