,Gli2,Gli1,Gli3,Gli2_Gli1,Gli2_Gli3,Gli1_Gli3,Gli2_Gli1_Gli3
1700112E06Rik,0.0002565682,0.0050148964,-9.012222e-05,0.005339533,0.00021487474,0.0049237907,0.0052856207
Pax4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lnx1,5.157292e-05,0.0004015118,-0.00074602664,0.00044228137,-0.0006965548,-0.00036986172,-0.00032621622
Galnt14,0.00071910024,0.00061140954,-0.00045856833,0.001353547,0.00027278066,0.00016728044,0.000922814
Elf2,1.1324883e-06,-0.00028389692,0.00022614002,-0.00027245283,0.00022739172,-4.6610832e-05,-4.082918e-05
Zfp983,1.8894672e-05,9.125471e-05,-0.0006018281,0.00011360645,-0.00058817863,-0.00054833293,-0.0005323887
Gm15446,0.0001938343,0.0008018017,0.00017803907,0.000980854,0.00036382675,0.0009815097,0.0011585355
Zfp260,-0.00057953596,5.13196e-05,0.00022161007,-0.00055390596,-0.0003655553,0.0002065301,-0.0003940463
Nkx2-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabrp,7.070601e-06,-1.3783574e-06,-1.8119812e-05,5.751848e-06,-1.0795891e-05,-1.9438565e-05,-1.3250858e-05
Aldh1a3,-0.0003375113,-0.0011948198,-0.0003439784,-0.0015293956,-0.0006957948,-0.0015614778,-0.0019062757
Lefty2,-8.046627e-07,-3.2717362e-06,-7.1991235e-07,-3.970228e-06,-1.6093254e-06,-4.059635e-06,-4.835427e-06
Plxdc2,-0.0019426346,0.0230757,0.01927185,0.02121675,0.017148972,0.04273534,0.040711284
Plcxd3,0.0006081462,-0.0009086728,0.0008408427,-0.0003437996,0.0014730692,-4.017353e-05,0.0005325675
Gp1bb,-1.4230609e-06,3.2037497e-07,2.0191073e-06,-1.2889504e-06,1.0281801e-06,2.3916364e-06,1.1473894e-06
Nfat5,-0.0031586885,0.0016627312,-0.002286911,-0.0016326904,-0.005446553,-0.0007414818,-0.0039875507
Klf9,5.748868e-05,0.00027367473,0.0003668666,0.000328511,0.00043022633,0.00062039495,0.000687629
Zbtb1,0.00049728155,-2.6643276e-05,0.0007480383,0.00047028065,0.0012468696,0.00070512295,0.0012133718
Hand1,-1.1324883e-06,-5.1409006e-07,5.8859587e-07,-1.4267862e-06,-6.2584877e-07,-1.1175871e-08,-1.0468066e-06
Kmt2c,-0.0019569397,0.0035116673,0.004083872,0.0015319586,0.002149582,0.007551551,0.0056188107
Zfp948,0.00054198503,0.00094789267,-0.00014609098,0.001475811,0.00041812658,0.00078839064,0.001339972
Zfp7,3.838539e-05,-0.00012040138,-9.161234e-05,-6.240606e-05,-5.2392483e-05,-0.00022020936,-0.00016000867
Gm28845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clca3b,-8.9779496e-07,-4.6808273e-06,-1.4938414e-06,-5.528331e-06,-2.6375055e-06,-6.325543e-06,-7.2997063e-06
Myh7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nfrkb,-0.0007278919,0.0017095208,7.504225e-05,0.0009536743,-0.0005940199,0.0018262267,0.0011332035
Scgb3a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hapln1,0.00090813637,0.002221942,-0.0025609732,0.003131926,-0.0016450584,-0.00051757693,0.00039750338
Cd300c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slc25a37,9.179115e-06,-5.298853e-05,-3.835559e-05,-4.4435263e-05,-3.2812357e-05,-9.23574e-05,-8.7082386e-05
Stard13,-3.5375357e-05,-0.0020715892,-0.0005520582,-0.002093196,-0.0005580187,-0.0026721954,-0.0026899576
Hmx3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Col11a1,0.0039401054,-0.000715971,0.010262966,0.0029447079,0.014257431,0.009208441,0.01292038
Dsp,0.0002091676,1.1369586e-05,-5.593151e-05,0.00021854788,0.00014986098,-3.1508505e-05,0.00017771125
Fmod,-9.3758106e-05,-8.353591e-05,-0.0003105402,-0.00017824769,-0.0004028678,-0.00039494038,-0.00048580766
Agmo,0.0001334995,0.0012161285,0.00063844025,0.0013592988,0.00077447295,0.0018872172,0.0020548552
Lin28a,3.298372e-05,0.00016646087,-4.5431778e-05,0.00020416267,-8.2384795e-06,0.000119389966,0.00015894324
Dll3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mme,0.001616478,0.007233143,0.0038604736,0.008802414,0.0054552555,0.011101007,0.012643814
Vmn2r8,-1.159031e-06,-8.9174137e-07,4.7397334e-06,-2.1816231e-06,3.4407713e-06,3.815163e-06,2.445653e-06
Slpi,-4.711002e-05,0.00052482635,-0.00039970875,0.00047776103,-0.00044950843,0.0001174435,6.828457e-05
Ocstamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nkx3-1,9.2200935e-08,-3.4086406e-07,-2.7474016e-07,-2.3841858e-07,-1.2759119e-07,-5.867332e-07,-4.5634806e-07
Zfp964,2.1547079e-05,-1.5377998e-05,-0.00024813414,-5.9604645e-07,-0.00022637844,-0.00027793646,-0.00026220083
Lypd6,0.0061063766,0.0135525465,0.0065711737,0.019421458,0.012684941,0.020131111,0.0260247
Ldha,7.0929527e-06,0.00034433603,-0.0005058348,0.0003453493,-0.0004943907,-0.00016653538,-0.00015756488
Gm14410,0.0011844635,0.0006169677,0.001034379,0.0018139482,0.0021844506,0.0017127991,0.002882123
F5,-0.00010642037,6.193295e-05,2.8945506e-05,-4.701689e-05,-7.79219e-05,8.4899366e-05,-2.4363399e-05
A1cf,-5.402416e-05,0.00022338331,0.00021025538,0.00016242266,0.00015747175,0.00043827668,0.00037927926
Vwf,-9.26815e-05,-6.4674765e-05,2.2437423e-05,-0.00014950708,-7.234141e-05,-4.1294843e-05,-0.00012784824
Gorab,0.00081288815,0.00079250336,-0.0019086599,0.001565218,-0.0011168122,-0.0011447668,-0.0003912449
Lhx3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
