gene,gli2_effect,gli1_gli3_compensation,compensation_ratio,same_sign,gli2_positive
Plcb1,0.0003092289,0.06548071,211.07224375291918,1,1
Dpyd,0.00029337406,0.029227138,99.28571151955441,1,1
Fbln5,2.2411346e-05,0.0019831657,84.70959764551769,1,0
Lef1,0.00021660328,0.01188159,54.60207217464737,0,1
Ptch1,0.00037050247,0.01949656,52.48029710273527,0,0
Cd44,3.015995e-05,0.0014224052,45.64850713816935,0,0
Ptpre,3.2052398e-05,0.0014078021,42.593039694124464,1,0
Col5a2,0.0008111,0.034561157,42.557760128063045,0,0
Thbs1,2.8133392e-05,0.001208663,41.48720478549151,0,0
Ppard,0.00013017654,0.0049578547,37.79528488859365,0,0
Id2,5.066395e-06,0.00021654367,35.695609995722336,1,1
Cebpg,4.506111e-05,0.001613915,35.03856072943097,1,0
Fbn2,0.001783371,0.052413464,29.373635863842217,0,0
Cd38,6.170571e-05,0.001650989,26.329165238699954,1,1
Mapk10,0.00022521615,0.0056638718,25.03743344584372,0,0
Spock1,0.00030735135,0.007156819,23.209948651108547,0,0
Postn,0.00013363361,0.003063798,22.756561307388253,0,0
Kcnmb2,0.00035208464,0.0070693493,20.021684602309517,1,1
Smad1,0.00012457371,0.0024065971,19.164816425348903,1,0
Col6a3,0.0003451109,0.0060679913,17.53192777228339,1,1
Tnc,0.001311779,0.021564841,16.42686316584894,1,1
Tgfb2,0.0007677078,0.01222527,15.903663264507006,0,0
Klf6,1.3232231e-05,0.00022137165,15.554247960140613,0,0
Wnt2,0.0003092587,0.004684001,15.097081886825414,1,1
Plg,5.349517e-06,9.320676e-05,14.679346476275283,1,1
Sgcd,0.0033493042,0.049013376,14.629530058792868,1,1
Slit2,0.0016653538,0.023826838,14.298786968289688,1,1
Fap,0.0009787083,0.013855219,14.142188036990197,0,0
Abca1,0.0006725788,0.0092971325,13.802590728805596,1,1
Prkcb,0.00015637279,0.001910761,12.141622449471729,0,0
Vegfc,0.00049358606,0.005931139,11.992127315517141,1,1
Wnt6,2.6345253e-05,0.00031226873,11.419485861037744,0,1
Hoxc10,8.33869e-05,0.0009160042,10.854815143108706,1,0
Slc7a5,0.000113770366,0.0012401193,10.805222142447466,1,0
Sntb1,0.0011217296,0.010647386,9.48348204233682,1,1
Arid4a,0.00026607513,0.002532363,9.481837563834565,1,1
Rara,0.00042051077,0.0039724708,9.424363700125621,0,1
Comp,0.00015548617,0.0014723167,9.40860588510793,0,0
Khsrp,0.00040447712,0.0037455559,9.237403826879307,0,0
Mylk,0.0006148219,0.005305469,8.615265225221773,1,1
Col4a1,0.00051790476,0.0044667125,8.607962085373817,1,1
Sla,2.0084903e-05,0.00018070638,8.570415524320884,1,1
Cdh11,0.0057234764,0.048968792,8.55428314806224,0,0
Sparc,0.00036031008,0.0030706525,8.498662699916924,1,1
E2f3,0.00042670965,0.0035721064,8.35170868835903,0,1
Prkca,0.0017335415,0.014370322,8.284795722673687,0,0
Krt18,6.4969063e-06,6.15567e-05,8.210946960881717,0,0
Ddit3,0.0002065301,0.0016823411,8.10649202212113,1,1
E2f2,0.00037300587,0.0029442012,7.87207216827907,1,0
Eln,0.0014283657,0.010935187,7.650377366687896,1,0
Lgals3,8.504838e-06,7.2505325e-05,7.628254684614299,1,1
Dcn,0.0019727945,0.015009761,7.604520632720376,1,1
Edil3,0.0006432533,0.0048542023,7.534617672893565,1,1
Rela,7.933378e-05,0.00059109926,7.358041162758681,0,1
Nabp1,3.8295984e-06,3.2126904e-05,6.652086020237212,1,0
Itga2,0.0004937649,0.0032012463,6.4702372783517985,0,0
Vcan,0.0059769154,0.038102627,6.3738986670838464,1,1
Nrp2,0.0006533861,0.0041035414,6.270826045968885,0,1
Col1a2,0.0014252663,0.008889198,6.232495292078345,0,0
Meis1,0.0014886856,0.008957028,6.012696907320579,1,1
Lamp3,2.7026981e-05,0.00016631559,5.934124335403802,0,1
Col4a2,0.00094896555,0.005567789,5.861043066245928,0,0
Slit3,0.003354311,0.019540787,5.823837790297233,1,1
Prrx1,0.0027582645,0.015800953,5.72650900267082,1,1
Cap2,0.00060892105,0.003396511,5.568771564778753,0,0
Lyar,0.0005366206,0.0029418468,5.471975590221059,1,1
Mest,0.002889514,0.014947176,5.171113511299374,0,0
Hif1a,0.0011948347,0.006108403,5.10806635733183,0,1
Pitx2,0.00059986115,0.0028919578,4.813021777160996,0,0
Timp3,0.00045114756,0.002157569,4.77182493255078,0,1
Sgms2,0.00019624084,0.0009366125,4.748572861482439,1,1
Col3a1,0.005623102,0.025726318,4.5742979056923225,0,0
Ccnd2,0.0003605485,0.0016499162,4.5634712908503285,1,0
Gpx3,4.0456653e-05,0.00018911064,4.561647559922409,1,0
Gna14,0.00024530292,0.0010879934,4.417298016604918,1,0
Msr1,4.4621527e-05,0.00019939244,4.370577951062445,0,1
Fn1,0.0020167828,0.008805275,4.3638368807584245,1,1
Atf6,0.00035476685,0.0015004873,4.217614148142245,0,0
Fmod,9.3758106e-05,0.00039494038,4.16787963237678,1,0
E2f1,0.00047972798,0.001956135,4.0691099361430965,1,1
Clu,7.5533986e-05,0.00031085312,4.061635049296923,1,1
Itpr2,0.000795722,0.0030717254,3.855454474710125,0,0
Ros1,1.6156584e-05,6.580353e-05,3.835468062873122,1,0
Pde4b,0.004032612,0.015190244,3.76591600778657,1,1
Heyl,0.00027936697,0.0010552853,3.7639430208201774,1,0
Ahr,0.0003543049,0.0013288558,3.7400435513273247,1,0
Smad7,0.00045365095,0.0016921759,3.7219231588540613,0,1
Matn2,0.0021262765,0.0077851415,3.6596754112594203,0,0
Adcy2,0.005694866,0.018964529,3.3295251327892896,1,1
Stab1,2.528727e-05,8.739531e-05,3.3246248088903867,0,0
Lox,0.00046473742,0.0015285611,3.282023377035068,1,1
Igfbp1,8.6426735e-07,5.8859587e-06,3.15725032678387,1,1
Lcp2,5.879253e-05,0.00018672273,3.122843773294089,1,0
Nfyb,0.00022667646,0.0006890893,3.0266163660485588,1,0
Slc4a4,0.0034169555,0.010292172,3.011207138302415,1,1
Egfr,0.0012836456,0.0038273335,2.979291331399104,1,0
Lama1,0.0016994476,0.0049750805,2.9257476090412906,1,1
Nedd9,0.0001629591,0.00047409534,2.8915463673562494,0,1
Olr1,3.7550926e-06,1.34874135e-05,2.836414479078704,1,0
Ctcf,0.0010551214,0.0029910803,2.8321368168470027,1,1
Ntm,0.00068593025,0.0019228458,2.7991863802765997,0,1
Nrcam,0.00045920908,0.001273796,2.7678636849146914,1,1
Cav1,0.00012242794,0.00033175945,2.6878796648473595,1,0
Col12a1,0.002715826,0.007283926,2.681042510635572,1,1
Nfkb1,0.002145648,0.005722046,2.665572557773794,1,1
Thy1,1.617521e-05,4.339218e-05,2.5264424714457636,1,0
Nkx6-1,8.803606e-05,0.00022275746,2.5018791262776006,1,1
Il15,3.629923e-05,9.196997e-05,2.465733743029012,1,0
Klf10,9.869039e-05,0.00024570525,2.4646834062942276,1,0
Tpm2,6.484985e-05,0.00016218424,2.462940158557689,0,1
Ncl,0.00020807981,0.00050246716,2.4032313784865216,1,1
Slit1,9.100139e-05,0.00021634251,2.351513493437436,1,1
Col11a1,0.0039401054,0.009208441,2.3365122384192003,1,1
Atf5,2.577901e-06,8.34465e-06,2.332275264184224,0,1
Slc7a1,0.00036996603,0.00086182356,2.323187274047707,1,1
Ncor2,0.0023981333,0.005309105,2.212926226316812,1,1
Ssrp1,0.00033074617,0.0007274747,2.192865406705373,0,1
Mxd3,4.172325e-07,3.0994415e-06,2.186967558251734,0,0
E2f8,0.00038471818,0.0008305609,2.153284296840766,0,0
Tgfbr3,0.007812619,0.016638517,2.129425174173453,0,0
Ecm1,1.1742115e-05,2.6375055e-05,2.06991186314046,0,1
Tgfb1,0.0002117306,0.00043410063,2.040612069913778,1,0
Zbtb17,0.00011605024,0.0002362132,2.0180496853317003,0,1
Has2,0.0024149418,0.0048336983,2.0007511356440784,1,1
Dapp1,0.00015565753,0.00030474365,1.9452856814479331,0,0
Pura,0.00021910667,0.00042396784,1.9261926047038918,1,0
Lama3,9.5933676e-05,0.00018449128,1.9032733268054334,1,1
Acta2,0.00043460727,0.00082600117,1.8962061170374864,1,0
Arid4b,0.0024715662,0.0045722723,1.8492011659788925,1,1
Slc2a1,0.00025108457,0.00045624375,1.8098836830830223,1,0
Ets2,0.0009908676,0.0017713308,1.785854079717898,1,0
Marco,4.835427e-06,1.0300428e-05,1.765154118113379,1,0
Il18rap,1.6093254e-05,3.0171126e-05,1.7650896663677962,0,0
Spp1,0.00015760958,0.00026540458,1.6733199848331988,0,1
Col6a2,0.00016307831,0.00026929379,1.641251607235594,0,1
Slamf1,3.0677766e-06,6.4857304e-06,1.59441656653416,0,1
Preb,0.00046610832,0.00073456764,1.5725852196338528,1,0
Itgb3,0.0005123466,0.00080306083,1.5643637846242675,1,0
Smad2,0.0006040931,0.00094115734,1.5553926164419987,0,0
Tfdp1,0.0006945729,0.0010640621,1.529763594872658,1,0
Unc5c,0.0006599426,0.0010061264,1.5222598755171777,0,0
Cxcl10,1.413282e-06,3.62657e-06,1.5027543403547534,1,0
Satb1,0.0010807216,0.001537323,1.4211817532348434,0,1
F2,2.0861626e-06,4.2691827e-06,1.3833304505731487,1,1
Fbn1,0.0037329197,0.0049940348,1.337477825246215,1,1
Irf7,1.1585653e-06,2.8833747e-06,1.3357829387880924,1,1
Aqp9,3.758818e-06,6.273389e-06,1.318266216526877,1,0
Cxcl12,0.00034576654,0.0004543662,1.3102942400382689,0,0
Foxn3,0.00058984756,0.0007638931,1.2928767954969635,1,0
Gp1ba,1.3201497e-06,2.917368e-06,1.2574050717503273,0,0
Hey2,9.3877316e-07,2.3394823e-06,1.2066818069629146,0,1
Mybl2,0.00038707256,0.0004606545,1.1870318787806073,1,0
